# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  1                1.00000000E-05   4.50367523E+01   8.38296072E-01   1.60506374E-01   6.15744524E-04   3.76095482E-04   1.14353974E-04   5.67412715E-05   2.29869267E-05   3.16380670E-109 
  2                6.66450893E-05   5.64790897E+01   8.38296072E-01   1.60506374E-01   6.15744645E-04   3.76095556E-04   1.14353997E-04   5.67412827E-05   2.29869267E-05   1.22553541E-109 
  3                1.33123770E-04   6.33671901E+01   8.38296072E-01   1.60506374E-01   6.15744727E-04   3.76095606E-04   1.14354012E-04   5.67412903E-05   2.29869266E-05   8.67125858E-110 
  4                2.11145276E-04   6.84164605E+01   8.38296072E-01   1.60506374E-01   6.15744786E-04   3.76095642E-04   1.14354023E-04   5.67412957E-05   2.29869266E-05   6.88524276E-110 
  5                3.02691806E-04   7.26963365E+01   8.38296072E-01   1.60506374E-01   6.15744835E-04   3.76095672E-04   1.14354032E-04   5.67413002E-05   2.29869266E-05   5.75055299E-110 
  6                4.08811919E-04   7.67497927E+01   8.38296072E-01   1.60506374E-01   6.15744877E-04   3.76095698E-04   1.14354040E-04   5.67413041E-05   2.29869266E-05   4.94821050E-110 
  7                5.30522239E-04   8.05381570E+01   8.38296072E-01   1.60506374E-01   6.15744917E-04   3.76095722E-04   1.14354047E-04   5.67413078E-05   2.29869266E-05   4.34368322E-110 
  8                6.69591322E-04   8.43402236E+01   8.38296071E-01   1.60506374E-01   6.15744955E-04   3.76095746E-04   1.14354054E-04   5.67413113E-05   2.29869266E-05   3.86638443E-110 
  9                8.28517467E-04   8.80806781E+01   8.38296071E-01   1.60506374E-01   6.15744994E-04   3.76095769E-04   1.14354061E-04   5.67413149E-05   2.29869266E-05   3.47583464E-110 
  10               1.01059741E-03   9.19743155E+01   8.38296071E-01   1.60506374E-01   6.15745033E-04   3.76095793E-04   1.14354068E-04   5.67413184E-05   2.29869266E-05   3.14717470E-110 
