# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               NH3              H2S             
  1                1.00000000E-05   4.08033504E+01   8.38146473E-01   1.60477725E-01   7.59606531E-04   5.11281444E-04   4.87176064E-05   5.13403407E-06   2.37882614E-05   2.29826072E-05  
  2                1.74007629E-04   5.24618761E+01   8.38146473E-01   1.60477725E-01   7.59606537E-04   5.11281449E-04   4.87176068E-05   5.13403411E-06   2.37882616E-05   2.29826072E-05  
  3                3.67363122E-04   5.89993450E+01   8.38146473E-01   1.60477725E-01   7.59606540E-04   5.11281450E-04   4.87176070E-05   5.13403413E-06   2.37882617E-05   2.29826072E-05  
  4                5.95409447E-04   6.42656717E+01   8.38146473E-01   1.60477725E-01   7.59606542E-04   5.11281451E-04   4.87176071E-05   5.13403414E-06   2.37882617E-05   2.29826072E-05  
  5                8.64292903E-04   6.79583026E+01   8.38146473E-01   1.60477725E-01   7.59606543E-04   5.11281452E-04   4.87176071E-05   5.13403415E-06   2.37882617E-05   2.29826072E-05  
  6                1.18126793E-03   7.20309882E+01   8.38146473E-01   1.60477725E-01   7.59606544E-04   5.11281453E-04   4.87176072E-05   5.13403415E-06   2.37882618E-05   2.29826072E-05  
  7                1.55236919E-03   7.51817466E+01   8.38146473E-01   1.60477725E-01   7.59606544E-04   5.11281453E-04   4.87176072E-05   5.13403416E-06   2.37882618E-05   2.29826072E-05  
  8                1.98308668E-03   7.90626940E+01   8.38146473E-01   1.60477725E-01   7.59606545E-04   5.11281454E-04   4.87176073E-05   5.13403416E-06   2.37882618E-05   2.29826072E-05  
  9                2.48083460E-03   8.21125307E+01   8.38146473E-01   1.60477725E-01   7.59606546E-04   5.11281454E-04   4.87176073E-05   5.13403417E-06   2.37882618E-05   2.29826072E-05  
  10               3.05502726E-03   8.61285396E+01   8.38146473E-01   1.60477725E-01   7.59606547E-04   5.11281455E-04   4.87176074E-05   5.13403417E-06   2.37882619E-05   2.29826072E-05  
  11               3.71817182E-03   8.93630644E+01   8.38146473E-01   1.60477725E-01   7.59606547E-04   5.11281455E-04   4.87176074E-05   5.13403418E-06   2.37882619E-05   2.29826072E-05  
  12               4.48518601E-03   9.36673302E+01   8.38146473E-01   1.60477725E-01   7.59606547E-04   5.11281455E-04   4.87176074E-05   5.13403418E-06   2.37882619E-05   2.29826072E-05  
  13               5.37293005E-03   9.72099062E+01   8.38146473E-01   1.60477725E-01   7.59606547E-04   5.11281455E-04   4.87176074E-05   5.13403418E-06   2.37882619E-05   2.29826072E-05  
  14               6.40092781E-03   1.01980775E+02   8.38146135E-01   1.60477660E-01   7.59606548E-04   5.11281456E-04   4.87176075E-05   5.13403418E-06   2.37882619E-05   2.29825980E-05  
  15               7.59228048E-03   1.05922421E+02   8.38144687E-01   1.60477383E-01   7.59606855E-04   5.11281662E-04   4.87176271E-05   5.13403626E-06   2.37882715E-05   2.29825582E-05  
  16               8.97405892E-03   1.11193732E+02   8.38141458E-01   1.60476765E-01   7.59608283E-04   5.11282624E-04   4.87177187E-05   5.13404591E-06   2.37883162E-05   2.29824697E-05  
  17               1.05775164E-02   1.15652584E+02   8.38121812E-01   1.60473003E-01   7.59608588E-04   5.11282829E-04   4.87177383E-05   5.13404797E-06   2.37883258E-05   2.29819310E-05  
  18               1.24384492E-02   1.21654738E+02   8.38076300E-01   1.60464289E-01   7.59635402E-04   5.11300877E-04   4.87194580E-05   5.13422920E-06   2.37891655E-05   2.29806830E-05  
  19               1.45981300E-02   1.26856986E+02   8.38146365E-01   1.60477704E-01   7.59679048E-04   5.11330255E-04   4.87222573E-05   5.13452420E-06   2.37905324E-05   2.29826043E-05  
  20               1.71042528E-02   1.33689907E+02   8.38146435E-01   1.60477717E-01   7.59632140E-04   5.11298682E-04   4.87192488E-05   5.13420716E-06   2.37890634E-05   2.29826062E-05  
  21               2.00125177E-02   1.39627684E+02   8.38146333E-01   1.60477698E-01   7.59699581E-04   5.11344075E-04   4.87235742E-05   5.13466298E-06   2.37911754E-05   2.29826034E-05  
  22               2.33878991E-02   1.47266346E+02   8.38146331E-01   1.60477698E-01   7.59698955E-04   5.11343654E-04   4.87235340E-05   5.13465874E-06   2.37911558E-05   2.29826033E-05  
  23               2.73051413E-02   1.53935391E+02   8.38146305E-01   1.60477693E-01   7.59699655E-04   5.11344125E-04   4.87235789E-05   5.13466347E-06   2.37911777E-05   2.29826026E-05  
  24               3.18522975E-02   1.62239223E+02   8.38146223E-01   1.60477677E-01   7.59699686E-04   5.11344146E-04   4.87235809E-05   5.13466368E-06   2.37911787E-05   2.29826004E-05  
  25               3.71333416E-02   1.69412622E+02   8.38145725E-01   1.60477582E-01   7.59699774E-04   5.11344205E-04   4.87235865E-05   5.13466428E-06   2.37911814E-05   2.29825867E-05  
  26               4.32675059E-02   1.78272559E+02   8.38144364E-01   1.60477321E-01   7.59700300E-04   5.11344559E-04   4.87236203E-05   5.13466784E-06   2.37911979E-05   2.29825494E-05  
  27               5.03897862E-02   1.86042593E+02   8.38137265E-01   1.60475962E-01   7.59701858E-04   5.11345608E-04   4.87237202E-05   5.13467837E-06   2.37912467E-05   2.29823547E-05  
  28               5.86527025E-02   1.95625881E+02   8.38119466E-01   1.60472554E-01   7.59709712E-04   5.11350894E-04   4.87242239E-05   5.13473145E-06   2.37914926E-05   2.29818667E-05  
  29               6.82260954E-02   2.04333708E+02   8.38055353E-01   1.60460278E-01   7.59731196E-04   5.11365355E-04   4.87256018E-05   5.13487665E-06   2.37921654E-05   2.29801086E-05  
  30               7.93139673E-02   2.13999409E+02   8.37619949E-01   1.60376913E-01   7.59808894E-04   5.11417652E-04   4.87305850E-05   5.13540180E-06   2.37945987E-05   2.29681695E-05  
  31               9.21554240E-02   2.22300025E+02   8.38145602E-01   1.60477558E-01   7.60191201E-04   5.11674978E-04   4.87551044E-05   5.13798574E-06   2.38065712E-05   2.29825833E-05  
  32               1.07034591E-01   2.31312942E+02   8.38145448E-01   1.60477529E-01   7.60294261E-04   5.11744346E-04   4.87617141E-05   5.13868230E-06   2.38097987E-05   2.29825791E-05  
  33               1.24280315E-01   2.38994405E+02   8.38146154E-01   1.60477664E-01   7.59820430E-04   5.11425417E-04   4.87313249E-05   5.13547977E-06   2.37949600E-05   2.29825985E-05  
  34               1.44282396E-01   2.47667300E+02   8.38145444E-01   1.60477528E-01   7.60297300E-04   5.11746392E-04   4.87619091E-05   5.13870284E-06   2.38098939E-05   2.29825790E-05  
  35               1.67491302E-01   2.55463563E+02   8.38145442E-01   1.60477527E-01   7.60298484E-04   5.11747189E-04   4.87619850E-05   5.13871085E-06   2.38099310E-05   2.29825789E-05  
  36               1.94425881E-01   2.64720977E+02   8.38145448E-01   1.60477528E-01   7.60294640E-04   5.11744602E-04   4.87617385E-05   5.13868486E-06   2.38098106E-05   2.29825791E-05  
  37               2.25668874E-01   2.73464549E+02   8.38145442E-01   1.60477527E-01   7.60298521E-04   5.11747214E-04   4.87619874E-05   5.13871110E-06   2.38099321E-05   2.29825789E-05  
  38               2.61879319E-01   2.83866501E+02   8.38145442E-01   1.60477527E-01   7.60298523E-04   5.11747215E-04   4.87619875E-05   5.13871111E-06   2.38099322E-05   2.29825789E-05  
  39               3.03818968E-01   2.94045376E+02   8.38145442E-01   1.60477527E-01   7.60298525E-04   5.11747217E-04   4.87619876E-05   5.13871112E-06   2.38099322E-05   2.29825789E-05  
  40               3.52333214E-01   3.06507901E+02   8.38145442E-01   1.60477527E-01   7.60298527E-04   5.11747218E-04   4.87619877E-05   5.13871113E-06   2.38099323E-05   2.29825789E-05  
  41               4.08294396E-01   3.20564611E+02   8.38145442E-01   1.60477527E-01   7.60298529E-04   5.11747219E-04   4.87619879E-05   5.13871115E-06   2.38099324E-05   2.29825789E-05  
  42               4.72730044E-01   3.35163924E+02   8.38145441E-01   1.60477527E-01   7.60298531E-04   5.11747221E-04   4.87619880E-05   5.13871116E-06   2.38099324E-05   2.29825789E-05  
  43               5.46850337E-01   3.50256932E+02   8.38145441E-01   1.60477527E-01   7.60298533E-04   5.11747222E-04   4.87619882E-05   5.13871118E-06   2.38099325E-05   2.29825789E-05  
  44               6.32060956E-01   3.65935617E+02   8.38145436E-01   1.60477526E-01   7.60298538E-04   5.11747225E-04   4.87619884E-05   5.13871121E-06   2.38099326E-05   2.29825788E-05  
  45               7.29956932E-01   3.82151195E+02   8.38145437E-01   1.60477526E-01   7.60298539E-04   5.11747226E-04   4.87619886E-05   5.13871122E-06   2.38099327E-05   2.29825787E-05  
  46               8.42293168E-01   3.98998677E+02   8.38145077E-01   1.60477456E-01   7.60298581E-04   5.11747254E-04   4.87619912E-05   5.13871150E-06   2.38099340E-05   2.29825688E-05  
  47               9.71042205E-01   4.16414066E+02   8.38145113E-01   1.60477421E-01   7.60298055E-04   5.11746900E-04   4.87619575E-05   5.13870794E-06   2.38099175E-05   2.29825638E-05  
  48               1.11841912E+00   4.34494609E+02   8.38145106E-01   1.60477418E-01   7.60302997E-04   5.11750227E-04   4.87622744E-05   5.13874135E-06   2.38100723E-05   2.29825633E-05  
  49               1.28692545E+00   4.53169205E+02   8.38145086E-01   1.60477411E-01   7.60302997E-04   5.11750227E-04   4.87622745E-05   5.13874135E-06   2.38100723E-05   2.29825622E-05  
  50               1.47927477E+00   4.72533344E+02   8.38144693E-01   1.60477347E-01   7.60303121E-04   5.11750310E-04   4.87622824E-05   5.13874219E-06   2.38100762E-05   2.29825531E-05  
  51               1.69839766E+00   4.92495489E+02   8.38144414E-01   1.60477624E-01   7.60304474E-04   5.11751221E-04   4.87623692E-05   5.13875133E-06   2.38101185E-05   2.29825927E-05  
  52               1.94770835E+00   5.13164750E+02   8.38141726E-01   1.60477072E-01   7.60304514E-04   5.11751248E-04   4.87623718E-05   5.13875160E-06   2.38101198E-05   2.29825137E-05  
  53               2.23138006E+00   5.34478802E+02   8.38142045E-01   1.60476753E-01   7.60304464E-04   5.11751214E-04   4.87623685E-05   5.13875126E-06   2.38101182E-05   2.29824681E-05  
  54               2.55401088E+00   5.56567116E+02   8.38142056E-01   1.60476631E-01   7.60366697E-04   5.11793102E-04   4.87663598E-05   5.13917188E-06   2.38120671E-05   2.29824505E-05  
  55               2.92040663E+00   5.79329056E+02   8.38142235E-01   1.60476453E-01   7.60366385E-04   5.11792892E-04   4.87663398E-05   5.13916977E-06   2.38120574E-05   2.29824250E-05  
  56               3.33539441E+00   6.02855824E+02   8.38142527E-01   1.60476161E-01   7.60366368E-04   5.11792881E-04   4.87663388E-05   5.13916966E-06   2.38120568E-05   2.29823833E-05  
  57               3.80422628E+00   6.27011860E+02   8.38142976E-01   1.60475713E-01   7.60365481E-04   5.11792284E-04   4.87662819E-05   5.13916367E-06   2.38120291E-05   2.29823191E-05  
  58               4.33394363E+00   6.51954739E+02   8.38143634E-01   1.60475057E-01   7.60364146E-04   5.11791386E-04   4.87661963E-05   5.13915465E-06   2.38119873E-05   2.29822252E-05  
  59               4.93231796E+00   6.77592979E+02   8.38144532E-01   1.60474162E-01   7.60362270E-04   5.11790122E-04   4.87660759E-05   5.13914196E-06   2.38119285E-05   2.29820970E-05  
  60               5.60714089E+00   7.04052631E+02   8.38145685E-01   1.60473012E-01   7.60359806E-04   5.11788464E-04   4.87659179E-05   5.13912531E-06   2.38118513E-05   2.29819322E-05  
  61               6.36625487E+00   7.31172586E+02   8.38147056E-01   1.60471642E-01   7.60356770E-04   5.11786421E-04   4.87657232E-05   5.13910479E-06   2.38117563E-05   2.29817360E-05  
  62               7.21769154E+00   7.59045379E+02   8.38148586E-01   1.60470102E-01   7.60353317E-04   5.11784096E-04   4.87655017E-05   5.13908145E-06   2.38116481E-05   2.29815154E-05  
  63               8.17311127E+00   7.87576164E+02   8.38150174E-01   1.60468474E-01   7.60349693E-04   5.11781657E-04   4.87652693E-05   5.13905696E-06   2.38115347E-05   2.29812822E-05  
  64               9.24786003E+00   8.17014152E+02   8.38151656E-01   1.60466795E-01   7.60346278E-04   5.11779359E-04   4.87650503E-05   5.13903388E-06   2.38114277E-05   2.29810416E-05  
  65               1.04567886E+01   8.47238258E+02   8.38153042E-01   1.60465159E-01   7.60343816E-04   5.11777701E-04   4.87648924E-05   5.13901726E-06   2.38113506E-05   2.29808066E-05  
  66               1.18138443E+01   8.78369518E+02   8.38154544E-01   1.60463644E-01   7.60344731E-04   5.11778318E-04   4.87649511E-05   5.13902360E-06   2.38113793E-05   2.29805886E-05  
