# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   2.80865294E+01   8.38098200E-01   1.60468496E-01   7.79178530E-04   5.29660758E-04   7.27471808E-05   2.43607039E-05   2.29805905E-05   0.00000000E+00  
  2                2.15538117E-05   3.34494064E+01   8.38098200E-01   1.60468496E-01   7.79178525E-04   5.29660754E-04   7.27471802E-05   2.43607037E-05   2.29805905E-05   0.00000000E+00  
  3                3.58628499E-05   3.52229364E+01   8.38098200E-01   1.60468496E-01   7.79178521E-04   5.29660752E-04   7.27471799E-05   2.43607036E-05   2.29805905E-05   0.00000000E+00  
  4                5.35828216E-05   3.68232013E+01   8.38098200E-01   1.60468496E-01   7.79178519E-04   5.29660750E-04   7.27471797E-05   2.43607035E-05   2.29805905E-05   0.00000000E+00  
  5                7.55254689E-05   3.84395927E+01   8.38098200E-01   1.60468496E-01   7.79178517E-04   5.29660749E-04   7.27471795E-05   2.43607035E-05   2.29805905E-05   0.00000000E+00  
  6                1.02694170E-04   3.98675902E+01   8.38098200E-01   1.60468496E-01   7.79178516E-04   5.29660748E-04   7.27471794E-05   2.43607034E-05   2.29805905E-05   0.00000000E+00  
  7                1.36331151E-04   4.13868653E+01   8.38098200E-01   1.60468496E-01   7.79178514E-04   5.29660747E-04   7.27471793E-05   2.43607034E-05   2.29805905E-05   0.00000000E+00  
  8                1.77970070E-04   4.29834768E+01   8.38098200E-01   1.60468496E-01   7.79178513E-04   5.29660746E-04   7.27471791E-05   2.43607033E-05   2.29805905E-05   0.00000000E+00  
  9                2.29508925E-04   4.48340227E+01   8.38098200E-01   1.60468496E-01   7.79178512E-04   5.29660745E-04   7.27471790E-05   2.43607033E-05   2.29805905E-05   0.00000000E+00  
  10               2.93291796E-04   4.67457980E+01   8.38098200E-01   1.60468496E-01   7.79178511E-04   5.29660744E-04   7.27471789E-05   2.43607032E-05   2.29805905E-05   0.00000000E+00  
  11               3.72209119E-04   4.87787932E+01   8.38098200E-01   1.60468496E-01   7.79178509E-04   5.29660744E-04   7.27471788E-05   2.43607032E-05   2.29805905E-05   0.00000000E+00  
  12               4.69836977E-04   5.06390411E+01   8.38098200E-01   1.60468496E-01   7.79178508E-04   5.29660743E-04   7.27471787E-05   2.43607032E-05   2.29805905E-05   0.00000000E+00  
  13               5.90581698E-04   5.24811108E+01   8.38098200E-01   1.60468496E-01   7.79178507E-04   5.29660742E-04   7.27471786E-05   2.43607031E-05   2.29805905E-05   0.00000000E+00  
  14               7.39862048E-04   5.41442591E+01   8.38098200E-01   1.60468496E-01   7.79178506E-04   5.29660741E-04   7.27471785E-05   2.43607031E-05   2.29805905E-05   0.00000000E+00  
  15               9.24375257E-04   5.59168895E+01   8.38098200E-01   1.60468496E-01   7.79178504E-04   5.29660740E-04   7.27471783E-05   2.43607031E-05   2.29805905E-05   0.00000000E+00  
  16               1.15235383E-03   5.76406295E+01   8.38098200E-01   1.60468496E-01   7.79178503E-04   5.29660739E-04   7.27471782E-05   2.43607030E-05   2.29805905E-05   0.00000000E+00  
