# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              CH4              N2               H                H2S             
  1                1.00000000E-05   6.37764361E+01   8.38445272E-01   1.60534937E-01   3.87731698E-04   3.88595309E-04   1.54277927E-04   5.91686438E-05   3.16437323E-109  2.29909508E-05  
  2                1.38220382E-04   8.49136986E+01   8.38445272E-01   1.60534937E-01   3.87731579E-04   3.88595190E-04   1.54277880E-04   5.91686256E-05   8.51141287E-110  2.29909508E-05  
  3                2.68695355E-04   1.00892141E+02   8.38345390E-01   1.60515813E-01   3.87687564E-04   3.88551077E-04   1.54260366E-04   5.91619089E-05   6.10763410E-109  2.29882120E-05  
  4                4.08995612E-04   1.11030802E+02   8.38445172E-01   1.60534918E-01   3.87778308E-04   3.88642023E-04   1.54296474E-04   5.91757566E-05   8.60894113E-99   2.29909481E-05  
  5                5.64070757E-04   1.21144808E+02   8.38445172E-01   1.60534918E-01   3.87778309E-04   3.88642025E-04   1.54296474E-04   5.91757568E-05   2.37674753E-90   2.29909481E-05  
  6                7.37143461E-04   1.28814351E+02   8.38445170E-01   1.60534918E-01   3.87778308E-04   3.88642024E-04   1.54296474E-04   5.91757567E-05   7.63118029E-85   2.29909481E-05  
  7                9.31240482E-04   1.37696555E+02   8.38445164E-01   1.60534916E-01   3.87778282E-04   3.88641997E-04   1.54296463E-04   5.91757526E-05   3.18756680E-79   2.29909479E-05  
  8                1.14970250E-03   1.44386444E+02   8.38445104E-01   1.60534905E-01   3.87778190E-04   3.88641905E-04   1.54296427E-04   5.91757387E-05   1.86127796E-75   2.29909462E-05  
  9                1.39621318E-03   1.52816916E+02   8.38444931E-01   1.60534872E-01   3.87777559E-04   3.88641272E-04   1.54296175E-04   5.91756423E-05   3.60922805E-71   2.29909415E-05  
  10               1.67485581E-03   1.59209109E+02   8.38443752E-01   1.60534646E-01   3.87776316E-04   3.88640027E-04   1.54295681E-04   5.91754526E-05   3.13313797E-68   2.29909092E-05  
  11               1.99046818E-03   1.67348375E+02   8.38441646E-01   1.60534243E-01   3.87746967E-04   3.88610613E-04   1.54284003E-04   5.91709740E-05   8.35808662E-65   2.29908514E-05  
  12               2.34852559E-03   1.73468550E+02   8.38391433E-01   1.60524629E-01   3.87779041E-04   3.88642758E-04   1.54296765E-04   5.91758685E-05   1.89261779E-62   2.29894745E-05  
  13               2.75479217E-03   1.81582666E+02   8.38445683E-01   1.60535016E-01   3.87540484E-04   3.88403670E-04   1.54201844E-04   5.91394643E-05   1.46056949E-59   2.29909621E-05  
  14               3.21563498E-03   1.87884529E+02   8.38290698E-01   1.60505341E-01   3.87808150E-04   3.88671932E-04   1.54308348E-04   5.91803106E-05   1.68524075E-57   2.29867123E-05  
  15               3.73852988E-03   1.96507136E+02   8.38002367E-01   1.60450135E-01   3.87879340E-04   3.88743280E-04   1.54336674E-04   5.91911743E-05   6.98729667E-55   2.29788060E-05  
  16               4.33163517E-03   2.03451393E+02   8.38444515E-01   1.60534792E-01   3.88083997E-04   3.88948394E-04   1.54418107E-04   5.92224054E-05   6.08730098E-53   2.29909301E-05  
  17               5.00454868E-03   2.12232094E+02   8.38444515E-01   1.60534792E-01   3.88084002E-04   3.88948398E-04   1.54418109E-04   5.92224061E-05   1.15373962E-50   2.29909301E-05  
  18               5.76809325E-03   2.19097492E+02   8.38444515E-01   1.60534792E-01   3.88084006E-04   3.88948403E-04   1.54418111E-04   5.92224068E-05   5.10675083E-49   2.29909301E-05  
  19               6.63496412E-03   2.27441753E+02   8.38444515E-01   1.60534792E-01   3.88084011E-04   3.88948408E-04   1.54418113E-04   5.92224076E-05   3.80177047E-47   2.29909301E-05  
  20               7.61964689E-03   2.33742968E+02   8.38444515E-01   1.60534792E-01   3.88084017E-04   3.88948414E-04   1.54418115E-04   5.92224085E-05   7.88372898E-46   2.29909301E-05  
  21               8.73897126E-03   2.41525919E+02   8.38444515E-01   1.60534792E-01   3.88084023E-04   3.88948420E-04   1.54418117E-04   5.92224094E-05   2.71518362E-44   2.29909301E-05  
  22               1.00117574E-02   2.47559660E+02   8.38444515E-01   1.60534792E-01   3.88084030E-04   3.88948426E-04   1.54418120E-04   5.92224104E-05   3.55968178E-43   2.29909301E-05  
  23               1.14592841E-02   2.55281583E+02   8.38444515E-01   1.60534792E-01   3.88084037E-04   3.88948433E-04   1.54418123E-04   5.92224115E-05   8.15390462E-42   2.29909301E-05  
  24               1.31054209E-02   2.61419096E+02   8.38444515E-01   1.60534792E-01   3.88084045E-04   3.88948441E-04   1.54418126E-04   5.92224127E-05   8.47458460E-41   2.29909301E-05  
  25               1.49775252E-02   2.69271517E+02   8.38444515E-01   1.60534792E-01   3.88084053E-04   3.88948449E-04   1.54418129E-04   5.92224139E-05   1.47233321E-39   2.29909301E-05  
  26               1.71062845E-02   2.75624973E+02   8.38444515E-01   1.60534792E-01   3.88084061E-04   3.88948458E-04   1.54418132E-04   5.92224152E-05   1.29748765E-38   2.29909301E-05  
  27               1.95263539E-02   2.83814864E+02   8.38444515E-01   1.60534792E-01   3.88084070E-04   3.88948467E-04   1.54418136E-04   5.92224166E-05   1.88697185E-37   2.29909301E-05  
  28               2.22763789E-02   2.90667818E+02   8.38444515E-01   1.60534792E-01   3.88084079E-04   3.88948476E-04   1.54418140E-04   5.92224180E-05   1.55840412E-36   2.29909301E-05  
  29               2.54000502E-02   2.99471849E+02   8.38444515E-01   1.60534792E-01   3.88084088E-04   3.88948485E-04   1.54418143E-04   5.92224193E-05   2.06854230E-35   2.29909301E-05  
  30               2.89464109E-02   3.07023850E+02   8.38444515E-01   1.60534792E-01   3.88084100E-04   3.88948497E-04   1.54418148E-04   5.92224211E-05   1.66961070E-34   2.29909301E-05  
  31               3.29705147E-02   3.16633216E+02   8.38444515E-01   1.60534792E-01   3.88084110E-04   3.88948507E-04   1.54418152E-04   5.92224227E-05   2.09056946E-33   2.29909300E-05  
  32               3.75328476E-02   3.25198037E+02   8.38444515E-01   1.60534791E-01   3.88084130E-04   3.88948527E-04   1.54418160E-04   5.92224257E-05   1.73705770E-32   2.29909300E-05  
  33               4.27004822E-02   3.36015218E+02   8.38444514E-01   1.60534791E-01   3.88084135E-04   3.88948531E-04   1.54418162E-04   5.92224264E-05   2.18772102E-31   2.29909299E-05  
  34               4.85459123E-02   3.46134744E+02   8.38444514E-01   1.60534790E-01   3.88084377E-04   3.88948774E-04   1.54418258E-04   5.92224634E-05   2.01379608E-30   2.29909297E-05  
  35               5.51499687E-02   3.58948405E+02   8.38444498E-01   1.60534783E-01   3.88084388E-04   3.88948785E-04   1.54418262E-04   5.92224651E-05   2.83409050E-29   2.29909288E-05  
  36               6.25919081E-02   3.72918317E+02   8.38444507E-01   1.60534775E-01   3.88084383E-04   3.88948781E-04   1.54418261E-04   5.92224644E-05   4.12580483E-28   2.29909276E-05  
  37               7.09718000E-02   3.87266526E+02   8.38444523E-01   1.60534759E-01   3.88084212E-04   3.88948609E-04   1.54418192E-04   5.92224382E-05   5.27331682E-27   2.29909253E-05  
  38               8.04033721E-02   4.02084830E+02   8.38444085E-01   1.60534632E-01   3.88089373E-04   3.88953781E-04   1.54420246E-04   5.92232257E-05   6.04645708E-26   2.29909071E-05  
  39               9.10098707E-02   4.17309257E+02   8.38444208E-01   1.60534510E-01   3.88089070E-04   3.88953477E-04   1.54420125E-04   5.92231795E-05   6.17955787E-25   2.29908897E-05  
  40               1.02927063E-01   4.33028114E+02   8.38444362E-01   1.60534349E-01   3.88088901E-04   3.88953308E-04   1.54420058E-04   5.92231538E-05   5.73095928E-24   2.29908666E-05  
  41               1.16315389E-01   4.49187950E+02   8.38444581E-01   1.60534025E-01   3.88089137E-04   3.88953545E-04   1.54420152E-04   5.92231899E-05   4.80232319E-23   2.29908202E-05  
  42               1.31347001E-01   4.65879925E+02   8.38444772E-01   1.60533460E-01   3.88089635E-04   3.88954044E-04   1.54420350E-04   5.92232658E-05   3.69278017E-22   2.29907393E-05  
  43               1.48209639E-01   4.83037356E+02   8.38442832E-01   1.60532226E-01   3.88118039E-04   3.88982511E-04   1.54431652E-04   5.92276003E-05   2.59153771E-21   2.29905626E-05  
  44               1.67109185E-01   5.00745118E+02   8.38444567E-01   1.60530499E-01   3.88115069E-04   3.88979535E-04   1.54430470E-04   5.92271471E-05   1.68123431E-20   2.29903153E-05  
  45               1.88262338E-01   5.18924994E+02   8.38446581E-01   1.60528491E-01   3.88112731E-04   3.88977191E-04   1.54429540E-04   5.92267902E-05   1.00257929E-19   2.29900277E-05  
  46               2.11926536E-01   5.37672465E+02   8.38449025E-01   1.60526055E-01   3.88109956E-04   3.88974410E-04   1.54428436E-04   5.92263668E-05   5.56468793E-19   2.29896788E-05  
  47               2.38395826E-01   5.56931870E+02   8.38451670E-01   1.60523418E-01   3.88107006E-04   3.88971453E-04   1.54427262E-04   5.92259166E-05   2.86650174E-18   2.29893011E-05  
