# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  1                1.00000000E-05   5.41977287E+01   8.38372767E-01   1.60521057E-01   5.03892273E-04   2.43909473E-04   2.68340832E-04   5.82034234E-05   3.16409737E-109  2.29885622E-05  
  2                7.77514912E-05   7.05355550E+01   8.38372767E-01   1.60521057E-01   5.03892277E-04   2.43909475E-04   2.68340834E-04   5.82034238E-05   1.13473768E-109  2.29885622E-05  
  3                1.56209773E-04   7.92877784E+01   8.38372767E-01   1.60521057E-01   5.03892281E-04   2.43909476E-04   2.68340836E-04   5.82034242E-05   8.00563414E-110  2.29885622E-05  
  4                2.43084563E-04   8.77839450E+01   8.38372767E-01   1.60521057E-01   5.03892283E-04   2.43909478E-04   2.68340837E-04   5.82034245E-05   6.41757792E-110  2.29885622E-05  
  5                3.40365351E-04   9.30345904E+01   8.38372767E-01   1.60521057E-01   5.03892285E-04   2.43909479E-04   2.68340838E-04   5.82034248E-05   5.42346908E-110  2.29885622E-05  
  6                4.50582841E-04   1.00019259E+02   8.38370069E-01   1.60520540E-01   5.03889389E-04   2.43908077E-04   2.68339296E-04   5.82030902E-05   4.95612950E-110  2.29884882E-05  
  7                5.76198713E-04   1.04364383E+02   8.38348909E-01   1.60516488E-01   5.03836892E-04   2.43882666E-04   2.68311340E-04   5.81970264E-05   2.24286309E-105  2.29879080E-05  
  8                7.19918905E-04   1.11123470E+02   8.38298253E-01   1.60506790E-01   5.03908390E-04   2.43917274E-04   2.68349415E-04   5.82052850E-05   7.88984405E-99   2.29865190E-05  
  9                8.84818037E-04   1.15261281E+02   8.38372657E-01   1.60521036E-01   5.03953548E-04   2.43939133E-04   2.68373463E-04   5.82105011E-05   3.22530954E-95   2.29885592E-05  
  10               1.07437090E-03   1.22117124E+02   8.38372657E-01   1.60521036E-01   5.03953548E-04   2.43939133E-04   2.68373463E-04   5.82105011E-05   9.55233678E-90   2.29885592E-05  
  11               1.29245150E-03   1.26348185E+02   8.38372657E-01   1.60521035E-01   5.03953547E-04   2.43939133E-04   2.68373463E-04   5.82105010E-05   1.10864309E-86   2.29885592E-05  
  12               1.54345207E-03   1.33618266E+02   8.38372657E-01   1.60521035E-01   5.03953546E-04   2.43939132E-04   2.68373462E-04   5.82105008E-05   7.63772498E-82   2.29885592E-05  
  13               1.83253922E-03   1.38000394E+02   8.38372651E-01   1.60521034E-01   5.03953544E-04   2.43939131E-04   2.68373461E-04   5.82105006E-05   3.44789950E-79   2.29885590E-05  
  14               2.16573168E-03   1.45616627E+02   8.38372643E-01   1.60521033E-01   5.03953536E-04   2.43939127E-04   2.68373457E-04   5.82104997E-05   6.24063997E-75   2.29885588E-05  
  15               2.54986259E-03   1.50306194E+02   8.38372529E-01   1.60521011E-01   5.03953444E-04   2.43939083E-04   2.68373408E-04   5.82104891E-05   1.54089168E-72   2.29885557E-05  
  16               2.99282480E-03   1.58485310E+02   8.38372390E-01   1.60520984E-01   5.03953331E-04   2.43939028E-04   2.68373348E-04   5.82104760E-05   1.10842391E-68   2.29885519E-05  
  17               3.50385726E-03   1.63527455E+02   8.38367329E-01   1.60520015E-01   5.03952155E-04   2.43938459E-04   2.68372721E-04   5.82103402E-05   1.64482577E-66   2.29884131E-05  
  18               4.09388811E-03   1.72059048E+02   8.38372658E-01   1.60521036E-01   5.03953295E-04   2.43939011E-04   2.68373329E-04   5.82104719E-05   4.17619242E-63   2.29885592E-05  
  19               4.77518735E-03   1.77405733E+02   8.38316114E-01   1.60510209E-01   5.03901876E-04   2.43914121E-04   2.68345946E-04   5.82045326E-05   3.75035745E-61   2.29870088E-05  
  20               5.56182381E-03   1.86402183E+02   8.38372589E-01   1.60521022E-01   5.03991400E-04   2.43957455E-04   2.68393620E-04   5.82148733E-05   4.24086245E-58   2.29885573E-05  
  21               6.46917721E-03   1.92311973E+02   8.37779607E-01   1.60407486E-01   5.03661565E-04   2.43797798E-04   2.68217972E-04   5.81767748E-05   2.91835756E-56   2.29722975E-05  
  22               7.51558106E-03   2.02100831E+02   8.38371948E-01   1.60520900E-01   5.04348105E-04   2.44130119E-04   2.68583579E-04   5.82560755E-05   1.95809494E-53   2.29885398E-05  
  23               8.72216833E-03   2.08336186E+02   8.38371943E-01   1.60520899E-01   5.04350731E-04   2.44131390E-04   2.68584977E-04   5.82563788E-05   8.72738957E-52   2.29885396E-05  
  24               1.01135846E-02   2.18033337E+02   8.38371943E-01   1.60520899E-01   5.04350732E-04   2.44131390E-04   2.68584978E-04   5.82563789E-05   2.15349309E-49   2.29885396E-05  
  25               1.17183831E-02   2.24153420E+02   8.38371943E-01   1.60520899E-01   5.04350728E-04   2.44131388E-04   2.68584976E-04   5.82563784E-05   5.29225802E-48   2.29885396E-05  
  26               1.35697075E-02   2.33574975E+02   8.38371943E-01   1.60520899E-01   5.04350737E-04   2.44131393E-04   2.68584981E-04   5.82563795E-05   5.45016382E-46   2.29885396E-05  
  27               1.57055338E-02   2.39485671E+02   8.38371944E-01   1.60520899E-01   5.04350723E-04   2.44131386E-04   2.68584973E-04   5.82563778E-05   8.04534523E-45   2.29885396E-05  
  28               1.81704352E-02   2.48761003E+02   8.38371943E-01   1.60520899E-01   5.04350742E-04   2.44131395E-04   2.68584983E-04   5.82563801E-05   4.40278689E-43   2.29885396E-05  
