# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  1                1.00000000E-05   4.92485212E+01   8.38189636E-01   1.60485997E-01   7.27521793E-04   4.81481225E-04   2.00649688E-05   5.30068587E-05   3.16340491E-109  2.29858833E-05  
  2                2.03117863E-04   6.50853369E+01   8.38189636E-01   1.60485997E-01   7.27521873E-04   4.81481278E-04   2.00649710E-05   5.30068645E-05   7.01908860E-110  2.29858833E-05  
  3                4.30712776E-04   7.38118360E+01   8.38189636E-01   1.60485997E-01   7.27521913E-04   4.81481305E-04   2.00649721E-05   5.30068674E-05   4.82015392E-110  2.29858833E-05  
  4                6.91725126E-04   8.21060901E+01   8.38189636E-01   1.60485997E-01   7.27521935E-04   4.81481319E-04   2.00649727E-05   5.30068691E-05   3.80354018E-110  2.29858833E-05  
  5                9.86861313E-04   8.67530684E+01   8.38189636E-01   1.60485997E-01   7.27521952E-04   4.81481331E-04   2.00649732E-05   5.30068703E-05   3.18439345E-110  2.29858833E-05  
  6                1.32353667E-03   9.36062886E+01   8.38189636E-01   1.60485997E-01   7.27521964E-04   4.81481339E-04   2.00649735E-05   5.30068712E-05   2.74970937E-110  2.29858833E-05  
  7                1.70998169E-03   9.73921388E+01   8.38189024E-01   1.60485879E-01   7.27521970E-04   4.81481342E-04   2.00649737E-05   5.30068716E-05   2.41912738E-110  2.29858665E-05  
  8                2.15537990E-03   1.03994557E+02   8.38188096E-01   1.60485702E-01   7.27522504E-04   4.81481695E-04   2.00649884E-05   5.30069105E-05   4.77234125E-106  2.29858411E-05  
  9                2.66994295E-03   1.07615938E+02   8.38175493E-01   1.60483289E-01   7.27523847E-04   4.81482585E-04   2.00650254E-05   5.30070084E-05   1.96507868E-102  2.29854955E-05  
  10               3.26563946E-03   1.14437833E+02   8.38104089E-01   1.60469617E-01   7.27534401E-04   4.81489570E-04   2.00653165E-05   5.30077773E-05   3.29814839E-96   2.29835373E-05  
  11               3.95627791E-03   1.18117458E+02   8.38189512E-01   1.60485973E-01   7.27604546E-04   4.81535992E-04   2.00672511E-05   5.30128880E-05   3.61324551E-93   2.29858799E-05  
  12               4.75768523E-03   1.25316547E+02   8.38189539E-01   1.60485978E-01   7.27586613E-04   4.81524123E-04   2.00667565E-05   5.30115814E-05   1.05671755E-87   2.29858807E-05  
  13               5.68775194E-03   1.29292956E+02   8.38189587E-01   1.60485987E-01   7.27554638E-04   4.81502962E-04   2.00658747E-05   5.30092518E-05   5.81014099E-85   2.29858820E-05  
  14               6.76759695E-03   1.37030919E+02   8.38189502E-01   1.60485971E-01   7.27611019E-04   4.81540276E-04   2.00674296E-05   5.30133597E-05   4.71011445E-80   2.29858797E-05  
  15               8.02188429E-03   1.41338042E+02   8.38189499E-01   1.60485970E-01   7.27610913E-04   4.81540206E-04   2.00674267E-05   5.30133520E-05   1.43020434E-77   2.29858796E-05  
  16               9.47940696E-03   1.49590760E+02   8.38189494E-01   1.60485969E-01   7.27610480E-04   4.81539919E-04   2.00674148E-05   5.30133204E-05   3.48295365E-73   2.29858794E-05  
