# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H                NH3             
  1                1.00000000E-05   4.83315809E+01   8.38135250E-01   1.60475580E-01   7.66469007E-04   5.17628347E-04   4.65048701E-05   2.95894432E-06   3.16319938E-109  2.83371524E-05  
  2                4.73999030E-04   6.36192513E+01   8.38135250E-01   1.60475580E-01   7.66469022E-04   5.17628357E-04   4.65048709E-05   2.95894438E-06   4.59449560E-110  2.83371529E-05  
  3                1.01778118E-03   7.51244269E+01   8.38135250E-01   1.60475580E-01   7.66469029E-04   5.17628362E-04   4.65048714E-05   2.95894440E-06   3.13544624E-110  2.83371532E-05  
  4                1.63972603E-03   8.15874125E+01   8.38135250E-01   1.60475580E-01   7.66469033E-04   5.17628364E-04   4.65048716E-05   2.95894442E-06   2.47025008E-110  2.83371533E-05  
  5                2.34398088E-03   8.84321976E+01   8.38135250E-01   1.60475580E-01   7.66469035E-04   5.17628366E-04   4.65048717E-05   2.95894443E-06   2.06609142E-110  2.83371534E-05  
  6                3.14849104E-03   9.32544476E+01   8.38135250E-01   1.60475580E-01   7.66469036E-04   5.17628366E-04   4.65048718E-05   2.95894443E-06   1.78268798E-110  2.83371534E-05  
  7                4.07321670E-03   9.94017890E+01   8.38135008E-01   1.60475534E-01   7.66469037E-04   5.17628367E-04   4.65048718E-05   2.95894443E-06   1.56732003E-110  2.83371535E-05  
  8                5.13964466E-03   1.03893357E+02   8.38133325E-01   1.60475212E-01   7.66468669E-04   5.17628119E-04   4.65048496E-05   2.95894302E-06   2.42119013E-106  2.83371399E-05  
  9                6.37214188E-03   1.10116953E+02   8.38130198E-01   1.60474613E-01   7.66468915E-04   5.17628285E-04   4.65048645E-05   2.95894396E-06   3.10914844E-100  2.83371490E-05  
  10               7.79953792E-03   1.14627270E+02   8.38106491E-01   1.60470074E-01   7.66466329E-04   5.17626539E-04   4.65047076E-05   2.95893398E-06   3.10933619E-96   2.83370534E-05  
  11               9.45484805E-03   1.21070891E+02   8.38069346E-01   1.60462962E-01   7.66421954E-04   5.17596570E-04   4.65020152E-05   2.95876267E-06   5.08812397E-91   2.83354128E-05  
  12               1.13755190E-02   1.25846399E+02   8.38135110E-01   1.60475554E-01   7.66562993E-04   5.17691820E-04   4.65105726E-05   2.95930715E-06   1.64081266E-87   2.83406271E-05  
  13               1.36048874E-02   1.32761963E+02   8.38135110E-01   1.60475554E-01   7.66562950E-04   5.17691791E-04   4.65105700E-05   2.95930699E-06   7.30336653E-83   2.83406256E-05  
  14               1.61939904E-02   1.37874459E+02   8.38135110E-01   1.60475554E-01   7.66562308E-04   5.17691357E-04   4.65105310E-05   2.95930451E-06   9.75671793E-80   2.83406018E-05  
  15               1.92020518E-02   1.45237855E+02   8.38135108E-01   1.60475553E-01   7.66563022E-04   5.17691839E-04   4.65105743E-05   2.95930726E-06   1.31311328E-75   2.83406282E-05  
  16               2.26971943E-02   1.50792636E+02   8.38135095E-01   1.60475551E-01   7.66563027E-04   5.17691843E-04   4.65105747E-05   2.95930728E-06   9.03964162E-73   2.83406284E-05  
  17               2.67589373E-02   1.58765007E+02   8.38135065E-01   1.60475545E-01   7.66563032E-04   5.17691846E-04   4.65105749E-05   2.95930730E-06   4.95336553E-69   2.83406286E-05  
  18               3.14803735E-02   1.64814844E+02   8.38134849E-01   1.60475503E-01   7.66563022E-04   5.17691839E-04   4.65105743E-05   2.95930726E-06   1.90916558E-66   2.83406282E-05  
  19               3.69706652E-02   1.73217660E+02   8.38134453E-01   1.60475428E-01   7.66563104E-04   5.17691895E-04   4.65105793E-05   2.95930758E-06   3.83439325E-63   2.83406312E-05  
  20               4.33545474E-02   1.79656231E+02   8.38131934E-01   1.60474945E-01   7.66563040E-04   5.17691852E-04   4.65105754E-05   2.95930733E-06   7.86947050E-61   2.83406289E-05  
  21               5.07757154E-02   1.88494908E+02   8.38127720E-01   1.60474139E-01   7.66564245E-04   5.17692665E-04   4.65106485E-05   2.95931198E-06   6.65182491E-58   2.83406734E-05  
  22               5.93949310E-02   1.95600638E+02   8.38042404E-01   1.60457803E-01   7.66564423E-04   5.17692785E-04   4.65106593E-05   2.95931267E-06   9.46380979E-56   2.83406800E-05  
  23               6.93971312E-02   2.05122912E+02   8.38135004E-01   1.60475533E-01   7.66634007E-04   5.17739778E-04   4.65148813E-05   2.95958130E-06   4.33027451E-53   2.83432526E-05  
  24               8.09972341E-02   2.12546227E+02   8.37583527E-01   1.60369943E-01   7.66587548E-04   5.17708402E-04   4.65120624E-05   2.95940194E-06   3.43597363E-51   2.83415349E-05  
  25               9.44451589E-02   2.21985727E+02   8.38134939E-01   1.60475521E-01   7.66677700E-04   5.17769286E-04   4.65175323E-05   2.95974998E-06   5.96305941E-49   2.83448680E-05  
  26               1.10035712E-01   2.29189981E+02   8.38134209E-01   1.60475381E-01   7.67167171E-04   5.18099846E-04   4.65472306E-05   2.96163957E-06   2.24404943E-47   2.83629642E-05  
  27               1.28124568E-01   2.38215760E+02   8.38134211E-01   1.60475381E-01   7.67166085E-04   5.18099113E-04   4.65471647E-05   2.96163538E-06   1.57264911E-45   2.83629241E-05  
  28               1.49119772E-01   2.45127746E+02   8.38134209E-01   1.60475381E-01   7.67167327E-04   5.18099951E-04   4.65472400E-05   2.96164017E-06   3.22960957E-44   2.83629700E-05  
  29               1.73504789E-01   2.54015162E+02   8.38134214E-01   1.60475382E-01   7.67163574E-04   5.18097417E-04   4.65470123E-05   2.96162569E-06   1.25617517E-42   2.83628312E-05  
  30               2.01829151E-01   2.61074066E+02   8.38134209E-01   1.60475381E-01   7.67167348E-04   5.18099966E-04   4.65472413E-05   2.96164026E-06   1.89101014E-41   2.83629708E-05  
  31               2.34727047E-01   2.70348741E+02   8.38134209E-01   1.60475381E-01   7.67167381E-04   5.18099988E-04   4.65472433E-05   2.96164038E-06   5.47806132E-40   2.83629720E-05  
  32               2.72938829E-01   2.78072691E+02   8.38134209E-01   1.60475381E-01   7.67167383E-04   5.18099989E-04   4.65472434E-05   2.96164039E-06   7.49692051E-39   2.83629721E-05  
  33               3.17295532E-01   2.88251372E+02   8.38134209E-01   1.60475381E-01   7.67167385E-04   5.18099991E-04   4.65472436E-05   2.96164040E-06   1.93826808E-37   2.83629721E-05  
  34               3.68747569E-01   2.97042021E+02   8.38134209E-01   1.60475381E-01   7.67167388E-04   5.18099993E-04   4.65472437E-05   2.96164041E-06   2.65185237E-36   2.83629722E-05  
  35               4.28375735E-01   3.08405615E+02   8.38134209E-01   1.60475381E-01   7.67167391E-04   5.18099994E-04   4.65472439E-05   2.96164042E-06   6.36118815E-35   2.83629723E-05  
  36               4.97404063E-01   3.18614224E+02   8.38134209E-01   1.60475381E-01   7.67167394E-04   5.18099996E-04   4.65472441E-05   2.96164043E-06   9.00570980E-34   2.83629725E-05  
  37               5.77210219E-01   3.31704534E+02   8.38134208E-01   1.60475381E-01   7.67167397E-04   5.18099999E-04   4.65472443E-05   2.96164044E-06   2.15561238E-32   2.83629726E-05  
  38               6.69302920E-01   3.44164472E+02   8.38134208E-01   1.60475381E-01   7.67167405E-04   5.18100004E-04   4.65472448E-05   2.96164048E-06   3.51196764E-31   2.83629729E-05  
  39               7.75357102E-01   3.60194893E+02   8.38134205E-01   1.60475380E-01   7.67167409E-04   5.18100007E-04   4.65472450E-05   2.96164049E-06   9.73283137E-30   2.83629730E-05  
  40               8.97187798E-01   3.76991448E+02   8.38134205E-01   1.60475380E-01   7.67167417E-04   5.18100012E-04   4.65472455E-05   2.96164052E-06   2.33221135E-28   2.83629733E-05  
  41               1.03709975E+00   3.94107468E+02   8.38133914E-01   1.60475324E-01   7.67167511E-04   5.18100075E-04   4.65472512E-05   2.96164088E-06   4.47966547E-27   2.83629768E-05  
  42               1.19760079E+00   4.12028888E+02   8.38133943E-01   1.60475296E-01   7.67166908E-04   5.18099669E-04   4.65472146E-05   2.96163856E-06   7.59211422E-26   2.83629545E-05  
  43               1.38136840E+00   4.30288705E+02   8.38133931E-01   1.60475292E-01   7.67175210E-04   5.18105275E-04   4.65477184E-05   2.96167061E-06   1.06204530E-24   2.83632614E-05  
  44               1.59139564E+00   4.49389104E+02   8.38133922E-01   1.60475289E-01   7.67175248E-04   5.18105301E-04   4.65477206E-05   2.96167075E-06   1.33234047E-23   2.83632628E-05  
  45               1.83098724E+00   4.68821963E+02   8.38133523E-01   1.60475217E-01   7.67175273E-04   5.18105318E-04   4.65477222E-05   2.96167085E-06   1.40982461E-22   2.83632638E-05  
  46               2.10414280E+00   4.89144696E+02   8.38133226E-01   1.60475510E-01   7.67176770E-04   5.18106329E-04   4.65478130E-05   2.96167663E-06   1.35886507E-21   2.83633191E-05  
  47               2.41524162E+00   5.09813054E+02   8.38130446E-01   1.60474957E-01   7.67181892E-04   5.18109788E-04   4.65481238E-05   2.96169640E-06   1.12797005E-20   2.83635085E-05  
  48               2.76906794E+00   5.31430457E+02   8.38130755E-01   1.60474657E-01   7.67176832E-04   5.18106371E-04   4.65478168E-05   2.96167687E-06   8.64593339E-20   2.83633214E-05  
  49               3.17098385E+00   5.53403673E+02   8.38130727E-01   1.60474579E-01   7.67236337E-04   5.18146557E-04   4.65514272E-05   2.96190659E-06   5.80707474E-19   2.83655214E-05  
  50               3.62653226E+00   5.76376716E+02   8.38130834E-01   1.60474472E-01   7.67236682E-04   5.18146790E-04   4.65514481E-05   2.96190792E-06   3.63952454E-18   2.83655341E-05  
  51               4.14257375E+00   5.99699370E+02   8.38131010E-01   1.60474297E-01   7.67236324E-04   5.18146548E-04   4.65514264E-05   2.96190654E-06   2.02634297E-17   2.83655209E-05  
  52               4.72657165E+00   6.24109741E+02   8.38131295E-01   1.60474012E-01   7.67235708E-04   5.18146132E-04   4.65513890E-05   2.96190416E-06   1.06476665E-16   2.83654981E-05  
  53               5.38627248E+00   6.48861854E+02   8.38131716E-01   1.60473593E-01   7.67234805E-04   5.18145522E-04   4.65513342E-05   2.96190067E-06   5.02893986E-16   2.83654647E-05  
  54               6.13016805E+00   6.74736051E+02   8.38132332E-01   1.60472979E-01   7.67233450E-04   5.18144607E-04   4.65512520E-05   2.96189544E-06   2.25528783E-15   2.83654146E-05  
  55               6.96677417E+00   7.00899490E+02   8.38133142E-01   1.60472171E-01   7.67231667E-04   5.18143403E-04   4.65511438E-05   2.96188856E-06   9.16777458E-15   2.83653487E-05  
  56               7.90613609E+00   7.28189213E+02   8.38134191E-01   1.60471122E-01   7.67229284E-04   5.18141793E-04   4.65509992E-05   2.96187936E-06   3.55426633E-14   2.83652606E-05  
  57               8.96155504E+00   7.55801389E+02   8.38135406E-01   1.60469901E-01   7.67226598E-04   5.18139979E-04   4.65508362E-05   2.96186899E-06   1.26455156E-13   2.83651613E-05  
  58               1.01472111E+01   7.84672494E+02   8.38136795E-01   1.60468485E-01   7.67223518E-04   5.18137900E-04   4.65506494E-05   2.96185710E-06   4.33134681E-13   2.83650474E-05  
  59               1.14795067E+01   8.13925052E+02   8.38138043E-01   1.60466970E-01   7.67220617E-04   5.18135941E-04   4.65504734E-05   2.96184591E-06   1.37626304E-12   2.83649402E-05  
  60               1.29744097E+01   8.44505465E+02   8.38139586E-01   1.60465421E-01   7.67221959E-04   5.18136847E-04   4.65505548E-05   2.96185111E-06   4.22898074E-12   2.83649898E-05  
  61               1.46468839E+01   8.75385081E+02   8.38140891E-01   1.60463910E-01   7.67219617E-04   5.18135265E-04   4.65504127E-05   2.96184218E-06   1.21059846E-11   2.83649032E-05  
  62               1.65161821E+01   9.07589094E+02   8.38142326E-01   1.60462452E-01   7.67220390E-04   5.18135787E-04   4.65504596E-05   2.96184580E-06   3.35816717E-11   2.83649318E-05  
  63               1.86036112E+01   9.40079584E+02   8.38143594E-01   1.60461129E-01   7.67217676E-04   5.18133954E-04   4.65502949E-05   2.96183860E-06   8.73803010E-11   2.83648314E-05  
  64               2.09303932E+01   9.73900836E+02   8.38144705E-01   1.60459865E-01   7.67215520E-04   5.18132498E-04   4.65501641E-05   2.96184576E-06   2.20875174E-10   2.83647517E-05  
  65               2.35173851E+01   1.00789247E+03   8.38145451E-01   1.60458725E-01   7.67214962E-04   5.18132121E-04   4.65501302E-05   2.96191328E-06   5.25665156E-10   2.83647311E-05  
  66               2.63838223E+01   1.04312434E+03   8.38145267E-01   1.60457523E-01   7.67217722E-04   5.18133985E-04   4.65502977E-05   2.96221402E-06   1.21609520E-09   2.83648332E-05  
  67               2.95468149E+01   1.07828909E+03   8.38144384E-01   1.60456484E-01   7.67238560E-04   5.18148058E-04   4.65515621E-05   2.96343207E-06   2.65357788E-09   2.83656036E-05  
