# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  1                1.00000000E-05   3.39304926E+01   8.38109218E-01   1.60470607E-01   7.77424843E-04   5.27873567E-04   5.30660326E-05   3.42050957E-05   2.29843451E-05   3.16310115E-109 
  2                2.41004248E-05   4.15005445E+01   8.38109218E-01   1.60470607E-01   7.77424836E-04   5.27873562E-04   5.30660321E-05   3.42050954E-05   2.29843451E-05   2.03751461E-109 
  3                4.15624029E-05   4.43589136E+01   8.38109218E-01   1.60470607E-01   7.77424832E-04   5.27873559E-04   5.30660319E-05   3.42050952E-05   2.29843451E-05   1.55153921E-109 
  4                6.31857104E-05   4.60795334E+01   8.38109218E-01   1.60470607E-01   7.77424829E-04   5.27873558E-04   5.30660317E-05   3.42050951E-05   2.29843451E-05   1.25835635E-109 
  5                8.99596392E-05   4.85163724E+01   8.38109218E-01   1.60470607E-01   7.77424827E-04   5.27873556E-04   5.30660316E-05   3.42050950E-05   2.29843451E-05   1.05460355E-109 
  6                1.23108478E-04   4.98305876E+01   8.38109218E-01   1.60470607E-01   7.77424825E-04   5.27873555E-04   5.30660314E-05   3.42050949E-05   2.29843451E-05   9.01506991E-110 
  7                1.64145093E-04   5.21563209E+01   8.38109218E-01   1.60470607E-01   7.77424824E-04   5.27873554E-04   5.30660313E-05   3.42050949E-05   2.29843451E-05   7.80726871E-110 
  8                2.14939388E-04   5.35818392E+01   8.38109218E-01   1.60470607E-01   7.77424822E-04   5.27873553E-04   5.30660312E-05   3.42050948E-05   2.29843451E-05   6.82268116E-110 
  9                2.77803950E-04   5.61191591E+01   8.38109218E-01   1.60470607E-01   7.77424821E-04   5.27873552E-04   5.30660311E-05   3.42050947E-05   2.29843451E-05   6.00127975E-110 
  10               3.55589189E-04   5.76928535E+01   8.38109218E-01   1.60470607E-01   7.77424819E-04   5.27873551E-04   5.30660310E-05   3.42050947E-05   2.29843451E-05   5.30443101E-110 
  11               4.51820428E-04   6.02379926E+01   8.38109218E-01   1.60470607E-01   7.77424818E-04   5.27873550E-04   5.30660309E-05   3.42050946E-05   2.29843451E-05   4.70576406E-110 
  12               5.70845657E-04   6.17012649E+01   8.38109218E-01   1.60470607E-01   7.77424817E-04   5.27873549E-04   5.30660308E-05   3.42050946E-05   2.29843451E-05   4.18652539E-110 
  13               7.18009985E-04   6.44049336E+01   8.38109218E-01   1.60470607E-01   7.77424815E-04   5.27873548E-04   5.30660307E-05   3.42050945E-05   2.29843451E-05   3.73291274E-110 
  14               8.99916538E-04   6.60308435E+01   8.38109218E-01   1.60470607E-01   7.77424814E-04   5.27873547E-04   5.30660306E-05   3.42050944E-05   2.29843451E-05   3.33435598E-110 
  15               1.12469062E-03   6.90452457E+01   8.38109218E-01   1.60470607E-01   7.77424812E-04   5.27873546E-04   5.30660305E-05   3.42050944E-05   2.29843451E-05   2.98261051E-110 
  16               1.40227807E-03   7.09109144E+01   8.38109218E-01   1.60470607E-01   7.77424811E-04   5.27873545E-04   5.30660304E-05   3.42050943E-05   2.29843451E-05   2.67113605E-110 
  17               1.74399284E-03   7.42136828E+01   8.38109218E-01   1.60470607E-01   7.77424809E-04   5.27873544E-04   5.30660303E-05   3.42050942E-05   2.29843451E-05   2.39519420E-110 
  18               2.16245604E-03   7.62786931E+01   8.38109218E-01   1.60470607E-01   7.77424808E-04   5.27873543E-04   5.30660302E-05   3.42050942E-05   2.29843451E-05   2.15099518E-110 
  19               2.67264104E-03   7.99673364E+01   8.38109218E-01   1.60470607E-01   7.77424806E-04   5.27873542E-04   5.30660301E-05   3.42050941E-05   2.29843451E-05   1.93482978E-110 
  20               3.29264778E-03   8.23502420E+01   8.38109218E-01   1.60470607E-01   7.77424805E-04   5.27873541E-04   5.30660300E-05   3.42050940E-05   2.29843451E-05   1.74317281E-110 
  21               4.04502149E-03   8.64544918E+01   8.38109218E-01   1.60470607E-01   7.77424804E-04   5.27873540E-04   5.30660300E-05   3.42050940E-05   2.29843451E-05   1.57272454E-110 
  22               4.95821263E-03   8.91691915E+01   8.38109218E-01   1.60470607E-01   7.77424803E-04   5.27873540E-04   5.30660299E-05   3.42050940E-05   2.29843451E-05   1.42053031E-110 
  23               6.06665100E-03   9.38469084E+01   8.38109218E-01   1.60470607E-01   7.77424803E-04   5.27873540E-04   5.30660299E-05   3.42050939E-05   2.29843451E-05   1.28421747E-110 
  24               7.41244682E-03   9.69614247E+01   8.38109218E-01   1.60470607E-01   7.77424802E-04   5.27873539E-04   5.30660299E-05   3.42050939E-05   2.29843451E-05   1.16180244E-110 
  25               9.04677764E-03   1.02205279E+02   8.38109008E-01   1.60470567E-01   7.77424802E-04   5.27873539E-04   5.30660298E-05   3.42050939E-05   2.29843393E-05   2.90212548E-108 
  26               1.10313290E-02   1.05825264E+02   8.38107694E-01   1.60470315E-01   7.77424997E-04   5.27873671E-04   5.30660431E-05   3.42051025E-05   2.29843033E-05   1.60767944E-104 
