# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H               
  1                1.00000000E-05   3.36708019E+01   8.38092807E-01   1.60467464E-01   7.79585574E-04   5.30130706E-04   8.39798612E-05   2.29808139E-05   1.87257747E-05   3.16303907E-109 
  2                5.97011181E-05   4.32596882E+01   8.38092807E-01   1.60467464E-01   7.79585621E-04   5.30130738E-04   8.39798663E-05   2.29808139E-05   1.87257758E-05   1.29453359E-109 
  3                1.20909881E-04   4.65488544E+01   8.38092807E-01   1.60467464E-01   7.79585633E-04   5.30130746E-04   8.39798675E-05   2.29808139E-05   1.87257761E-05   9.09648609E-110 
  4                1.96278860E-04   4.98652039E+01   8.38092807E-01   1.60467464E-01   7.79585639E-04   5.30130750E-04   8.39798681E-05   2.29808139E-05   1.87257762E-05   7.13949991E-110 
  5                2.89067519E-04   5.21443062E+01   8.38092807E-01   1.60467464E-01   7.79585643E-04   5.30130753E-04   8.39798686E-05   2.29808139E-05   1.87257763E-05   5.88308210E-110 
  6                4.03270153E-04   5.49076619E+01   8.38092807E-01   1.60467464E-01   7.79585646E-04   5.30130755E-04   8.39798689E-05   2.29808139E-05   1.87257764E-05   4.98088502E-110 
  7                5.43803337E-04   5.68650086E+01   8.38092807E-01   1.60467464E-01   7.79585648E-04   5.30130756E-04   8.39798691E-05   2.29808139E-05   1.87257764E-05   4.28927234E-110 
  8                7.16673163E-04   5.94815076E+01   8.38092807E-01   1.60467464E-01   7.79585650E-04   5.30130758E-04   8.39798693E-05   2.29808139E-05   1.87257765E-05   3.73631932E-110 
  9                9.29254032E-04   6.13121292E+01   8.38092807E-01   1.60467464E-01   7.79585652E-04   5.30130759E-04   8.39798695E-05   2.29808139E-05   1.87257765E-05   3.28123496E-110 
  10               1.19057504E-03   6.39955168E+01   8.38092807E-01   1.60467464E-01   7.79585653E-04   5.30130760E-04   8.39798697E-05   2.29808139E-05   1.87257765E-05   2.89885284E-110 
  11               1.51161524E-03   6.59801575E+01   8.38092807E-01   1.60467464E-01   7.79585654E-04   5.30130761E-04   8.39798698E-05   2.29808139E-05   1.87257766E-05   2.57266907E-110 
  12               1.90586626E-03   6.87912975E+01   8.38092807E-01   1.60467464E-01   7.79585656E-04   5.30130762E-04   8.39798700E-05   2.29808139E-05   1.87257766E-05   2.29117544E-110 
  13               2.38973844E-03   7.08567557E+01   8.38092807E-01   1.60467464E-01   7.79585657E-04   5.30130763E-04   8.39798701E-05   2.29808139E-05   1.87257766E-05   2.04611185E-110 
  14               2.98186569E-03   7.39023614E+01   8.38092807E-01   1.60467464E-01   7.79585658E-04   5.30130763E-04   8.39798702E-05   2.29808139E-05   1.87257767E-05   1.83172603E-110 
  15               3.70319190E-03   7.61409217E+01   8.38092807E-01   1.60467464E-01   7.79585659E-04   5.30130764E-04   8.39798703E-05   2.29808139E-05   1.87257767E-05   1.64367688E-110 
  16               4.57878261E-03   7.94934200E+01   8.38092807E-01   1.60467464E-01   7.79585659E-04   5.30130764E-04   8.39798703E-05   2.29808139E-05   1.87257767E-05   1.47818756E-110 
  17               5.63863079E-03   8.19879333E+01   8.38092807E-01   1.60467464E-01   7.79585660E-04   5.30130764E-04   8.39798704E-05   2.29808139E-05   1.87257767E-05   1.33204141E-110 
  18               6.91950735E-03   8.56962849E+01   8.38092807E-01   1.60467464E-01   7.79585660E-04   5.30130764E-04   8.39798704E-05   2.29808139E-05   1.87257767E-05   1.20244984E-110 
  19               8.46793165E-03   8.84833555E+01   8.38092807E-01   1.60467464E-01   7.79585660E-04   5.30130765E-04   8.39798704E-05   2.29808139E-05   1.87257767E-05   1.08696581E-110 
  20               1.03402771E-02   9.26130184E+01   8.38092807E-01   1.60467464E-01   7.79585660E-04   5.30130765E-04   8.39798704E-05   2.29808139E-05   1.87257767E-05   9.83645177E-111 
  21               1.26035758E-02   9.57543969E+01   8.38092807E-01   1.60467464E-01   7.79585660E-04   5.30130765E-04   8.39798705E-05   2.29808139E-05   1.87257767E-05   8.90958894E-111 
  22               1.53395388E-02   1.00391527E+02   8.38092738E-01   1.60467451E-01   7.79585661E-04   5.30130765E-04   8.39798705E-05   2.29808120E-05   1.87257767E-05   2.23029731E-110 
  23               1.86473196E-02   1.04037273E+02   8.38092410E-01   1.60467388E-01   7.79585290E-04   5.30130513E-04   8.39798306E-05   2.29808031E-05   1.87257678E-05   1.79805667E-106 
  24               2.26462932E-02   1.09332367E+02   8.38091781E-01   1.60467267E-01   7.79586098E-04   5.30131063E-04   8.39799177E-05   2.29807858E-05   1.87257872E-05   3.01866494E-101 
  25               2.74797584E-02   1.13573412E+02   8.38087513E-01   1.60466450E-01   7.79580977E-04   5.30127580E-04   8.39793659E-05   2.29806688E-05   1.87256642E-05   2.00907339E-97  
  26               3.33215239E-02   1.19544452E+02   8.38079684E-01   1.60464951E-01   7.79592041E-04   5.30135104E-04   8.39805578E-05   2.29804541E-05   1.87259300E-05   1.73416165E-92  
  27               4.03825052E-02   1.24446934E+02   8.38010701E-01   1.60451743E-01   7.79577278E-04   5.30125065E-04   8.39789675E-05   2.29785625E-05   1.87255754E-05   8.47399547E-89  
  28               4.89176671E-02   1.31244211E+02   8.38092755E-01   1.60467454E-01   7.79619626E-04   5.30153862E-04   8.39835294E-05   2.29808125E-05   1.87265926E-05   3.97285539E-84  
  29               5.92322935E-02   1.36929159E+02   8.38092661E-01   1.60467436E-01   7.79681339E-04   5.30195828E-04   8.39901773E-05   2.29808099E-05   1.87280749E-05   1.38193206E-80  
  30               7.16954889E-02   1.44616830E+02   8.38092661E-01   1.60467436E-01   7.79681339E-04   5.30195828E-04   8.39901774E-05   2.29808099E-05   1.87280749E-05   3.14188220E-76  
  31               8.67559548E-02   1.51205675E+02   8.38092656E-01   1.60467435E-01   7.79681339E-04   5.30195828E-04   8.39901773E-05   2.29808098E-05   1.87280749E-05   7.41767766E-73  
  32               1.04959602E-01   1.59790510E+02   8.38092641E-01   1.60467432E-01   7.79681342E-04   5.30195830E-04   8.39901776E-05   2.29808094E-05   1.87280750E-05   7.18382837E-69  
  33               1.26960075E-01   1.67057307E+02   8.38092546E-01   1.60467414E-01   7.79681333E-04   5.30195824E-04   8.39901766E-05   2.29808068E-05   1.87280748E-05   7.97095357E-66  
  34               1.53547877E-01   1.76156293E+02   8.38092293E-01   1.60467365E-01   7.79681391E-04   5.30195863E-04   8.39901829E-05   2.29807998E-05   1.87280762E-05   2.32713823E-62  
  35               1.85686688E-01   1.83962821E+02   8.38090902E-01   1.60467099E-01   7.79681295E-04   5.30195798E-04   8.39901726E-05   2.29807617E-05   1.87280739E-05   1.14384656E-59  
  36               2.24559215E-01   1.93741767E+02   8.38087371E-01   1.60466423E-01   7.79682295E-04   5.30196478E-04   8.39902803E-05   2.29806649E-05   1.87280979E-05   1.35071661E-56  
  37               2.71511058E-01   2.02648986E+02   8.38073455E-01   1.60463758E-01   7.79669727E-04   5.30187932E-04   8.39889265E-05   2.29802833E-05   1.87277960E-05   4.61896699E-54  
  38               3.28179339E-01   2.12871980E+02   8.37928512E-01   1.60436007E-01   7.79706407E-04   5.30212875E-04   8.39928778E-05   2.29763089E-05   1.87286771E-05   2.06134835E-51  
  39               3.96572312E-01   2.21747790E+02   8.38092585E-01   1.60467421E-01   7.79731500E-04   5.30229938E-04   8.39955808E-05   2.29808078E-05   1.87292798E-05   2.56357596E-49  
  40               4.79189381E-01   2.31619222E+02   8.37627443E-01   1.60378362E-01   7.79859674E-04   5.30317098E-04   8.40093882E-05   2.29680535E-05   1.87323586E-05   3.55745368E-47  
  41               5.79135305E-01   2.40177217E+02   8.38092434E-01   1.60467392E-01   7.79830999E-04   5.30297599E-04   8.40062992E-05   2.29808037E-05   1.87316698E-05   1.81421751E-45  
  42               7.00123796E-01   2.49974091E+02   8.38091726E-01   1.60467257E-01   7.80296123E-04   5.30613891E-04   8.40564042E-05   2.29807843E-05   1.87428422E-05   1.18160575E-43  
  43               8.46600770E-01   2.58916083E+02   8.38091726E-01   1.60467257E-01   7.80296120E-04   5.30613889E-04   8.40564039E-05   2.29807843E-05   1.87428421E-05   4.00170618E-42  
  44               1.02399198E+00   2.69638356E+02   8.38091726E-01   1.60467257E-01   7.80296117E-04   5.30613887E-04   8.40564035E-05   2.29807843E-05   1.87428420E-05   2.03176424E-40  
  45               1.23873397E+00   2.80054147E+02   8.38091726E-01   1.60467257E-01   7.80296113E-04   5.30613884E-04   8.40564031E-05   2.29807843E-05   1.87428419E-05   6.85399649E-39  
  46               1.49820461E+00   2.92554322E+02   8.38091726E-01   1.60467257E-01   7.80296108E-04   5.30613881E-04   8.40564026E-05   2.29807843E-05   1.87428418E-05   3.39765161E-37  
  47               1.81095818E+00   3.05151848E+02   8.38091726E-01   1.60467257E-01   7.80296102E-04   5.30613877E-04   8.40564019E-05   2.29807843E-05   1.87428417E-05   1.24945601E-35  
  48               2.18725892E+00   3.20512727E+02   8.38091726E-01   1.60467257E-01   7.80296095E-04   5.30613872E-04   8.40564012E-05   2.29807843E-05   1.87428415E-05   6.99368992E-34  
  49               2.63894052E+00   3.36916821E+02   8.38091726E-01   1.60467257E-01   7.80296087E-04   5.30613866E-04   8.40564003E-05   2.29807843E-05   1.87428413E-05   3.42838047E-32  
  50               3.17905610E+00   3.57038499E+02   8.38091724E-01   1.60467256E-01   7.80296078E-04   5.30613860E-04   8.40563993E-05   2.29807842E-05   1.87428411E-05   2.52279365E-30  
  51               3.82272156E+00   3.76734962E+02   8.38091724E-01   1.60467256E-01   7.80296068E-04   5.30613854E-04   8.40563983E-05   2.29807842E-05   1.87428408E-05   1.07743959E-28  
  52               4.58906960E+00   3.98741306E+02   8.38091364E-01   1.60467187E-01   7.80295828E-04   5.30613690E-04   8.40563723E-05   2.29807743E-05   1.87428351E-05   4.62332307E-27  
  53               5.49849952E+00   4.20226327E+02   8.38091390E-01   1.60467151E-01   7.80301372E-04   5.30617460E-04   8.40569696E-05   2.29807691E-05   1.87429682E-05   1.23096366E-25  
  54               6.57089272E+00   4.44127592E+02   8.38091388E-01   1.60467151E-01   7.80301353E-04   5.30617447E-04   8.40569675E-05   2.29807691E-05   1.87429678E-05   3.27525398E-24  
  55               7.82676698E+00   4.67189860E+02   8.38091310E-01   1.60467137E-01   7.80301332E-04   5.30617433E-04   8.40569652E-05   2.29807671E-05   1.87429673E-05   5.60328625E-23  
  56               9.29475517E+00   4.92801894E+02   8.38090924E-01   1.60467133E-01   7.80301352E-04   5.30617446E-04   8.40569674E-05   2.29807665E-05   1.87429677E-05   9.64412500E-22  
  57               1.10065484E+01   5.17451601E+02   8.38090664E-01   1.60467380E-01   7.80308127E-04   5.30622054E-04   8.40576972E-05   2.29808020E-05   1.87431305E-05   1.13404196E-20  
  58               1.29953353E+01   5.44843444E+02   8.38087949E-01   1.60466857E-01   7.80305466E-04   5.30620245E-04   8.40574107E-05   2.29807270E-05   1.87430666E-05   1.35547156E-19  
  59               1.52942814E+01   5.71008213E+02   8.38088122E-01   1.60466573E-01   7.80366748E-04   5.30661917E-04   8.40640122E-05   2.29806863E-05   1.87445386E-05   1.15167278E-18  
  60               1.79535635E+01   5.97809520E+02   8.38088132E-01   1.60466563E-01   7.80366695E-04   5.30661881E-04   8.40640064E-05   2.29806849E-05   1.87445373E-05   8.46680652E-18  
  61               2.10273917E+01   6.24498731E+02   8.38088148E-01   1.60466547E-01   7.80366627E-04   5.30661835E-04   8.40639991E-05   2.29806826E-05   1.87445357E-05   5.18300244E-17  
  62               2.45627459E+01   6.53993780E+02   8.38088178E-01   1.60466517E-01   7.80366530E-04   5.30661768E-04   8.40639886E-05   2.29806783E-05   1.87445333E-05   3.24364455E-16  
  63               2.86029174E+01   6.84549192E+02   8.38088227E-01   1.60466467E-01   7.80366389E-04   5.30661673E-04   8.40639734E-05   2.29806712E-05   1.87445299E-05   1.83325369E-15  
  64               3.32037288E+01   7.15470173E+02   8.38088301E-01   1.60466393E-01   7.80366203E-04   5.30661547E-04   8.40639535E-05   2.29806605E-05   1.87445255E-05   9.07457629E-15  
  65               3.84650367E+01   7.47628794E+02   8.38088413E-01   1.60466280E-01   7.80365921E-04   5.30661354E-04   8.40639230E-05   2.29806443E-05   1.87445187E-05   4.15707153E-14  
  66               4.44854699E+01   7.80408975E+02   8.38088564E-01   1.60466121E-01   7.80365556E-04   5.30661106E-04   8.40638837E-05   2.29806215E-05   1.87445099E-05   1.71913665E-13  
  67               5.13700752E+01   8.14555990E+02   8.38088764E-01   1.60465897E-01   7.80365157E-04   5.30660835E-04   8.40638407E-05   2.29805894E-05   1.87445004E-05   6.67237380E-13  
  68               5.92141771E+01   8.49274359E+02   8.38088939E-01   1.60465594E-01   7.80364962E-04   5.30660703E-04   8.40638197E-05   2.29805458E-05   1.87444957E-05   2.36276378E-12  
  69               6.81319941E+01   8.85269873E+02   8.38089175E-01   1.60465210E-01   7.80365605E-04   5.30661140E-04   8.40638890E-05   2.29804902E-05   1.87445111E-05   7.88457265E-12  
  70               7.82958149E+01   9.21943955E+02   8.38089404E-01   1.60464746E-01   7.80369174E-04   5.30663567E-04   8.40642735E-05   2.29840041E-05   1.87445968E-05   2.43705813E-11  
  71               8.98260379E+01   9.59902189E+02   8.38089877E-01   1.60464238E-01   7.80372173E-04   5.30665606E-04   8.40645965E-05   2.29859051E-05   1.87446689E-05   7.14738604E-11  
  72               1.02820332E+02   9.98221115E+02   8.38090351E-01   1.60463681E-01   7.80371299E-04   5.30665012E-04   8.40645024E-05   2.30048993E-05   1.87446479E-05   1.94426275E-10  
  73               1.17359461E+02   1.03739369E+03   8.38090749E-01   1.60463061E-01   7.80371210E-04   5.30664951E-04   8.40644928E-05   2.30550748E-05   1.87446458E-05   5.00408637E-10  
  74               1.33553141E+02   1.07662495E+03   8.38090869E-01   1.60462396E-01   7.80373398E-04   5.30666439E-04   8.40647285E-05   2.31788381E-05   1.87446983E-05   1.20107357E-09  
  75               1.51686787E+02   1.11684865E+03   8.38090248E-01   1.60461604E-01   7.80380624E-04   5.30671353E-04   8.40655070E-05   2.34723483E-05   1.87448719E-05   2.76162511E-09  
  76               1.72017279E+02   1.15752750E+03   8.38089317E-01   1.60460875E-01   7.80396706E-04   5.30682287E-04   8.40672393E-05   2.42857374E-05   1.87452582E-05   6.03041613E-09  
  77               1.94772575E+02   1.19921963E+03   8.38089878E-01   1.60460293E-01   7.80395034E-04   5.30681134E-04   8.40670589E-05   2.42855471E-05   1.87452180E-05   1.26922229E-08  
