# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H                H2S             
  1                1.00000000E-05   3.92767920E+01   8.38119915E-01   1.60472649E-01   7.73933509E-04   5.24593679E-04   4.08750602E-05   3.96645936E-05   3.16314159E-109  2.29845382E-05  
  2                2.26806677E-05   4.78755749E+01   8.38119915E-01   1.60472649E-01   7.73934002E-04   5.24594014E-04   4.08750863E-05   3.96646189E-05   2.10034537E-109  2.29845381E-05  
  3                3.83971161E-05   5.08298161E+01   8.38119914E-01   1.60472649E-01   7.73934273E-04   5.24594197E-04   4.08751006E-05   3.96646328E-05   1.61424455E-109  2.29845381E-05  
  4                5.78685430E-05   5.30118107E+01   8.38119914E-01   1.60472649E-01   7.73934456E-04   5.24594321E-04   4.08751103E-05   3.96646422E-05   1.31491402E-109  2.29845381E-05  
  5                8.19871674E-05   5.57457075E+01   8.38119914E-01   1.60472649E-01   7.73934597E-04   5.24594417E-04   4.08751177E-05   3.96646494E-05   1.10470340E-109  2.29845381E-05  
  6                1.11857305E-04   5.78702382E+01   8.38119914E-01   1.60472649E-01   7.73934717E-04   5.24594498E-04   4.08751240E-05   3.96646555E-05   9.45772007E-110  2.29845381E-05  
  7                1.48845841E-04   6.05891599E+01   8.38119913E-01   1.60472649E-01   7.73934823E-04   5.24594570E-04   4.08751297E-05   3.96646610E-05   8.19879976E-110  2.29845381E-05  
  8                1.94641000E-04   6.28040794E+01   8.38119913E-01   1.60472649E-01   7.73934921E-04   5.24594636E-04   4.08751348E-05   3.96646660E-05   7.16970799E-110  2.29845381E-05  
  9                2.51332943E-04   6.56469962E+01   8.38119913E-01   1.60472648E-01   7.73935012E-04   5.24594698E-04   4.08751396E-05   3.96646707E-05   6.30948515E-110  2.29845381E-05  
  10               3.21500537E-04   6.79374463E+01   8.38119913E-01   1.60472648E-01   7.73935101E-04   5.24594758E-04   4.08751443E-05   3.96646752E-05   5.57863285E-110  2.29845381E-05  
  11               4.08327697E-04   7.08465037E+01   8.38119913E-01   1.60472648E-01   7.73935187E-04   5.24594817E-04   4.08751489E-05   3.96646796E-05   4.95010272E-110  2.29845381E-05  
