# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  1                1.00000000E-05   3.96761077E+01   8.38101455E-01   1.60469119E-01   7.78783216E-04   5.29249281E-04   6.64893341E-05   3.16307184E-109  2.74977748E-05   2.29805740E-05  
  2                5.70686492E-05   5.13286754E+01   8.38101454E-01   1.60469119E-01   7.78783989E-04   5.29249807E-04   6.64894002E-05   1.32406791E-109  2.74978021E-05   2.29805739E-05  
  3                1.15131271E-04   5.54229517E+01   8.38101454E-01   1.60469119E-01   7.78784180E-04   5.29249937E-04   6.64894165E-05   9.32207100E-110  2.74978089E-05   2.29805739E-05  
  4                1.86676880E-04   5.92272084E+01   8.38101454E-01   1.60469119E-01   7.78784283E-04   5.29250006E-04   6.64894252E-05   7.32088844E-110  2.74978125E-05   2.29805739E-05  
  5                2.74798548E-04   6.19239142E+01   8.38101454E-01   1.60469119E-01   7.78784353E-04   5.29250054E-04   6.64894312E-05   6.03395182E-110  2.74978149E-05   2.29805739E-05  
  6                3.83298319E-04   6.52961123E+01   8.38101454E-01   1.60469119E-01   7.78784407E-04   5.29250091E-04   6.64894359E-05   5.10905523E-110  2.74978169E-05   2.29805739E-05  
  7                5.16857154E-04   6.76360533E+01   8.38101454E-01   1.60469119E-01   7.78784453E-04   5.29250122E-04   6.64894398E-05   4.39970735E-110  2.74978185E-05   2.29805739E-05  
  8                6.81204200E-04   7.07765534E+01   8.38101454E-01   1.60469119E-01   7.78784493E-04   5.29250149E-04   6.64894432E-05   3.83239616E-110  2.74978199E-05   2.29805739E-05  
  9                8.83090375E-04   7.29900211E+01   8.38101453E-01   1.60469119E-01   7.78784527E-04   5.29250172E-04   6.64894461E-05   3.36594085E-110  2.74978211E-05   2.29805739E-05  
  10               1.12984045E-03   7.64196775E+01   8.38101453E-01   1.60469119E-01   7.78784553E-04   5.29250190E-04   6.64894483E-05   2.97577777E-110  2.74978220E-05   2.29805739E-05  
  11               1.43000396E-03   7.90476132E+01   8.38101453E-01   1.60469119E-01   7.78784567E-04   5.29250199E-04   6.64894495E-05   2.64508989E-110  2.74978225E-05   2.29805739E-05  
  12               1.79399411E-03   8.28569550E+01   8.38101453E-01   1.60469119E-01   7.78784577E-04   5.29250206E-04   6.64894503E-05   2.36155763E-110  2.74978229E-05   2.29805739E-05  
  13               2.23472688E-03   8.56858324E+01   8.38101453E-01   1.60469119E-01   7.78784583E-04   5.29250210E-04   6.64894509E-05   2.11590824E-110  2.74978231E-05   2.29805739E-05  
  14               2.76866454E-03   8.97700370E+01   8.38101453E-01   1.60469119E-01   7.78784590E-04   5.29250215E-04   6.64894514E-05   1.90096397E-110  2.74978233E-05   2.29805739E-05  
  15               3.41610248E-03   9.27880630E+01   8.38101453E-01   1.60469119E-01   7.78784597E-04   5.29250220E-04   6.64894520E-05   1.71136880E-110  2.74978236E-05   2.29805739E-05  
  16               4.20153251E-03   9.72418422E+01   8.38101453E-01   1.60469119E-01   7.78784605E-04   5.29250225E-04   6.64894527E-05   1.54313951E-110  2.74978238E-05   2.29805739E-05  
  17               5.15442042E-03   1.00577955E+02   8.38101048E-01   1.60469041E-01   7.78784255E-04   5.29249987E-04   6.64894229E-05   6.22360593E-110  2.74978115E-05   2.29805628E-05  
  18               6.31021198E-03   1.05559872E+02   8.38100546E-01   1.60468945E-01   7.78785001E-04   5.29250495E-04   6.64894866E-05   1.14469358E-104  2.74978379E-05   2.29805490E-05  
  19               7.71243309E-03   1.09260277E+02   8.38086599E-01   1.60466274E-01   7.78780916E-04   5.29247718E-04   6.64891378E-05   4.42003354E-101  2.74976936E-05   2.29801666E-05  
  20               9.41395151E-03   1.14709492E+02   8.38101431E-01   1.60469114E-01   7.78799679E-04   5.29260469E-04   6.64907397E-05   3.33112135E-96   2.74983561E-05   2.29805733E-05  
  21               1.14781763E-02   1.18827886E+02   8.38015682E-01   1.60452696E-01   7.78777963E-04   5.29245711E-04   6.64888857E-05   7.93331835E-93   2.74975893E-05   2.29782221E-05  
  22               1.39815865E-02   1.24858870E+02   8.38101412E-01   1.60469111E-01   7.78812244E-04   5.29269008E-04   6.64918125E-05   2.87503169E-88   2.74987998E-05   2.29805728E-05  
