# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              CH4              H                N2               H2S             
  1                1.00000000E-05   7.76125468E+01   8.38453467E-01   1.60536482E-01   4.04256554E-04   3.76568683E-04   1.40106628E-04   3.16446112E-109  5.92520664E-05   2.29919827E-05  
  2                1.04428812E-04   1.05707127E+02   8.38383676E-01   1.60523119E-01   4.04256236E-04   3.76568386E-04   1.40106517E-04   1.25535729E-103  5.92520197E-05   2.29900690E-05  
  3                2.02653073E-04   1.22447893E+02   8.38453395E-01   1.60536468E-01   4.04290234E-04   3.76600056E-04   1.40118301E-04   3.91550837E-89   5.92570029E-05   2.29919808E-05  
  4                3.10948474E-04   1.37334673E+02   8.38453360E-01   1.60536461E-01   4.04290233E-04   3.76600054E-04   1.40118300E-04   3.34870155E-79   5.92570026E-05   2.29919798E-05  
  5                4.32807395E-04   1.46344762E+02   8.38452762E-01   1.60536347E-01   4.04289839E-04   3.76599688E-04   1.40118164E-04   3.40480331E-74   5.92569449E-05   2.29919634E-05  
  6                5.71283115E-04   1.57881785E+02   8.38451532E-01   1.60536111E-01   4.04288636E-04   3.76598567E-04   1.40117747E-04   1.35188610E-68   5.92567687E-05   2.29919297E-05  
  7                7.29547382E-04   1.64593254E+02   8.38411557E-01   1.60528457E-01   4.04281168E-04   3.76591611E-04   1.40115159E-04   1.01358914E-65   5.92556741E-05   2.29908335E-05  
  8                9.11212083E-04   1.74682527E+02   8.38453409E-01   1.60536471E-01   4.04285060E-04   3.76595236E-04   1.40116507E-04   8.65145392E-62   5.92562444E-05   2.29919811E-05  
  9                1.12006975E-03   1.80479485E+02   8.38293793E-01   1.60505909E-01   4.04039012E-04   3.76366040E-04   1.40031232E-04   9.50539645E-60   5.92201811E-05   2.29876042E-05  
  10               1.36057079E-03   1.90095740E+02   8.38001756E-01   1.60449994E-01   4.04389207E-04   3.76692250E-04   1.40152603E-04   1.30578334E-56   5.92715094E-05   2.29795960E-05  
  11               1.63754245E-03   1.95867697E+02   8.38452747E-01   1.60536344E-01   4.04609256E-04   3.76897228E-04   1.40228867E-04   6.84451348E-55   5.93037621E-05   2.29919630E-05  
  12               1.95671321E-03   2.05410785E+02   8.38452747E-01   1.60536344E-01   4.04609316E-04   3.76897283E-04   1.40228887E-04   3.08532977E-52   5.93037708E-05   2.29919630E-05  
  13               2.32476929E-03   2.11056103E+02   8.38452747E-01   1.60536344E-01   4.04609376E-04   3.76897339E-04   1.40228908E-04   8.52045742E-51   5.93037796E-05   2.29919630E-05  
  14               2.74945448E-03   2.20343728E+02   8.38452747E-01   1.60536344E-01   4.04609431E-04   3.76897391E-04   1.40228928E-04   1.45300277E-48   5.93037878E-05   2.29919630E-05  
  15               3.23950461E-03   2.25831003E+02   8.38452747E-01   1.60536344E-01   4.04609511E-04   3.76897465E-04   1.40228955E-04   2.39539690E-47   5.93037994E-05   2.29919630E-05  
  16               3.80527395E-03   2.34761407E+02   8.38452747E-01   1.60536344E-01   4.04609580E-04   3.76897529E-04   1.40228979E-04   1.81310976E-45   5.93038095E-05   2.29919630E-05  
  17               4.45866405E-03   2.39914941E+02   8.38452747E-01   1.60536344E-01   4.04609651E-04   3.76897595E-04   1.40229004E-04   1.83623722E-44   5.93038199E-05   2.29919630E-05  
  18               5.21364278E-03   2.48586914E+02   8.38452746E-01   1.60536344E-01   4.04609724E-04   3.76897663E-04   1.40229029E-04   7.63616001E-43   5.93038306E-05   2.29919630E-05  
  19               6.08601777E-03   2.53700480E+02   8.38452746E-01   1.60536344E-01   4.04609799E-04   3.76897733E-04   1.40229055E-04   5.90445057E-42   5.93038416E-05   2.29919630E-05  
  20               7.09432128E-03   2.62371916E+02   8.38452746E-01   1.60536344E-01   4.04609875E-04   3.76897804E-04   1.40229081E-04   1.65726854E-40   5.93038527E-05   2.29919630E-05  
  21               8.25970452E-03   2.67539551E+02   8.38452746E-01   1.60536344E-01   4.04609952E-04   3.76897876E-04   1.40229108E-04   1.05622114E-39   5.93038640E-05   2.29919630E-05  
  22               9.60680161E-03   2.76283937E+02   8.38452746E-01   1.60536344E-01   4.04610028E-04   3.76897947E-04   1.40229134E-04   2.17199232E-38   5.93038753E-05   2.29919630E-05  
  23               1.11634510E-02   2.81719903E+02   8.38452746E-01   1.60536344E-01   4.04610104E-04   3.76898017E-04   1.40229161E-04   1.25600154E-37   5.93038863E-05   2.29919630E-05  
  24               1.29620289E-02   2.90778920E+02   8.38452746E-01   1.60536344E-01   4.04610184E-04   3.76898092E-04   1.40229188E-04   2.11462659E-36   5.93038980E-05   2.29919630E-05  
  25               1.50396122E-02   2.96595901E+02   8.38452745E-01   1.60536343E-01   4.04610268E-04   3.76898170E-04   1.40229218E-04   1.15029174E-35   5.93039104E-05   2.29919629E-05  
  26               1.74392036E-02   3.06041684E+02   8.38452745E-01   1.60536343E-01   4.04610358E-04   3.76898254E-04   1.40229249E-04   1.63534751E-34   5.93039236E-05   2.29919629E-05  
  27               2.02093665E-02   3.12390576E+02   8.38452745E-01   1.60536343E-01   4.04610456E-04   3.76898345E-04   1.40229283E-04   8.66868302E-34   5.93039379E-05   2.29919629E-05  
  28               2.34060219E-02   3.22427338E+02   8.38452745E-01   1.60536343E-01   4.04610557E-04   3.76898439E-04   1.40229318E-04   1.09968437E-32   5.93039527E-05   2.29919628E-05  
  29               2.70925660E-02   3.29461736E+02   8.38452745E-01   1.60536342E-01   4.04610672E-04   3.76898546E-04   1.40229357E-04   5.80883808E-32   5.93039695E-05   2.29919627E-05  
