# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  1                1.00000000E-05   9.03497726E+01   8.38404526E-01   1.60527140E-01   4.50030145E-04   3.14170797E-04   2.14473732E-04   3.16440820E-109  5.86329570E-05   2.29891692E-05  
  2                1.25472146E-04   1.16695823E+02   8.38404518E-01   1.60527138E-01   4.50030287E-04   3.14170896E-04   2.14473800E-04   1.38014084E-93   5.86329755E-05   2.29891689E-05  
  3                2.48816456E-04   1.38979008E+02   8.38404363E-01   1.60527108E-01   4.50030580E-04   3.14171100E-04   2.14473939E-04   3.54138801E-78   5.86330136E-05   2.29891647E-05  
  4                3.86440488E-04   1.51014862E+02   8.38401413E-01   1.60526544E-01   4.50029136E-04   3.14170093E-04   2.14473251E-04   8.93986819E-72   5.86328255E-05   2.29890838E-05  
  5                5.43290833E-04   1.64363641E+02   8.38394387E-01   1.60525198E-01   4.50028323E-04   3.14169524E-04   2.14472863E-04   9.41085625E-66   5.86327195E-05   2.29888912E-05  
  6                7.23640572E-04   1.72229647E+02   8.38218292E-01   1.60491482E-01   4.49947703E-04   3.14113243E-04   2.14434442E-04   1.15425200E-62   5.86222158E-05   2.29840626E-05  
  7                9.32112832E-04   1.82891748E+02   8.38404313E-01   1.60527099E-01   4.50139781E-04   3.14247335E-04   2.14525982E-04   7.03164830E-59   5.86472411E-05   2.29891633E-05  
  8                1.17359358E-03   1.89093995E+02   8.37948572E-01   1.60439839E-01   4.49889809E-04   3.14072826E-04   2.14406851E-04   6.78731430E-57   5.86146730E-05   2.29766668E-05  
  9                1.45385302E-03   1.98753167E+02   8.38403837E-01   1.60527008E-01   4.50385039E-04   3.14418552E-04   2.14642866E-04   5.04062794E-54   5.86791950E-05   2.29891503E-05  
  10               1.77947574E-03   2.04404095E+02   8.38403831E-01   1.60527007E-01   4.50387818E-04   3.14420492E-04   2.14644190E-04   1.72852534E-52   5.86795570E-05   2.29891501E-05  
  11               2.15806628E-03   2.13598293E+02   8.38403831E-01   1.60527007E-01   4.50388185E-04   3.14420748E-04   2.14644365E-04   3.86359904E-50   5.86796048E-05   2.29891501E-05  
  12               2.59845564E-03   2.19033923E+02   8.38403830E-01   1.60527006E-01   4.50388551E-04   3.14421004E-04   2.14644540E-04   7.34912837E-49   5.86796525E-05   2.29891501E-05  
  13               3.11088119E-03   2.28022353E+02   8.38403829E-01   1.60527006E-01   4.50388932E-04   3.14421270E-04   2.14644721E-04   7.44113958E-47   5.86797021E-05   2.29891501E-05  
  14               3.70706324E-03   2.33362319E+02   8.38403829E-01   1.60527006E-01   4.50389297E-04   3.14421524E-04   2.14644895E-04   9.41589289E-46   5.86797496E-05   2.29891501E-05  
  15               4.40104397E-03   2.42025324E+02   8.38403828E-01   1.60527006E-01   4.50389699E-04   3.14421805E-04   2.14645087E-04   4.78454327E-44   5.86798021E-05   2.29891500E-05  
