# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  1                1.00000000E-05   5.17950390E+01   8.38141273E-01   1.60476733E-01   7.62407093E-04   5.13789498E-04   3.16322373E-109  5.12305695E-06   4.78664659E-05   2.55357450E-05  
  2                3.00101875E-05   6.66333493E+01   8.38141273E-01   1.60476733E-01   7.62407100E-04   5.13789503E-04   1.82597806E-109  5.12305700E-06   4.78664664E-05   2.55357453E-05  
  3                5.47878652E-05   7.24342704E+01   8.38141273E-01   1.60476733E-01   7.62407105E-04   5.13789506E-04   1.35141184E-109  5.12305703E-06   4.78664667E-05   2.55357455E-05  
  4                8.52090692E-05   7.58988653E+01   8.38141273E-01   1.60476733E-01   7.62407109E-04   5.13789509E-04   1.08364492E-109  5.12305706E-06   4.78664670E-05   2.55357456E-05  
  5                1.22112092E-04   8.09358152E+01   8.38141273E-01   1.60476733E-01   7.62407111E-04   5.13789510E-04   9.05212568E-110  5.12305707E-06   4.78664671E-05   2.55357457E-05  
  6                1.66707463E-04   8.38746488E+01   8.38141273E-01   1.60476733E-01   7.62407113E-04   5.13789511E-04   7.74733596E-110  5.12305708E-06   4.78664672E-05   2.55357457E-05  
  7                2.20610985E-04   8.88885326E+01   8.38141273E-01   1.60476733E-01   7.62407114E-04   5.13789512E-04   6.73467036E-110  5.12305709E-06   4.78664673E-05   2.55357457E-05  
  8                2.85919321E-04   9.19134207E+01   8.38141273E-01   1.60476733E-01   7.62407114E-04   5.13789512E-04   5.91572747E-110  5.12305709E-06   4.78664673E-05   2.55357458E-05  
  9                3.65175763E-04   9.71200055E+01   8.38141273E-01   1.60476733E-01   7.62407115E-04   5.13789513E-04   5.23454499E-110  5.12305710E-06   4.78664673E-05   2.55357458E-05  
  10               4.61493362E-04   1.00171301E+02   8.38128360E-01   1.60474260E-01   7.62404276E-04   5.13787599E-04   7.26913380E-110  5.12303802E-06   4.78662891E-05   2.55356507E-05  
  11               5.78654245E-04   1.05703340E+02   8.38141272E-01   1.60476732E-01   7.62408023E-04   5.13790125E-04   5.28449395E-104  5.12306320E-06   4.78665244E-05   2.55357762E-05  
  12               7.21264878E-04   1.08977057E+02   8.38053192E-01   1.60459868E-01   7.62341884E-04   5.13745553E-04   7.77676424E-101  5.12261878E-06   4.78623719E-05   2.55335610E-05  
  13               8.95000256E-04   1.14977669E+02   8.38141135E-01   1.60476706E-01   7.62499808E-04   5.13851979E-04   1.83546291E-95   5.12367995E-06   4.78722869E-05   2.55388504E-05  
  14               1.10674502E-03   1.18671528E+02   8.38141136E-01   1.60476706E-01   7.62499129E-04   5.13851521E-04   1.91398594E-92   5.12367539E-06   4.78722443E-05   2.55388277E-05  
  15               1.36481095E-03   1.25337693E+02   8.38141135E-01   1.60476706E-01   7.62499816E-04   5.13851984E-04   2.04333148E-87   5.12368001E-06   4.78722874E-05   2.55388507E-05  
