# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              N2               H2S             
  1                1.00000000E-05   5.63136059E+01   8.38113837E-01   1.60471490E-01   7.76163636E-04   5.26669360E-04   3.16312020E-109  4.63293783E-05   3.75699332E-05   2.29824264E-05  
  2                8.32601342E-05   7.00144998E+01   8.38113837E-01   1.60471490E-01   7.76163641E-04   5.26669364E-04   1.09621854E-109  4.63293786E-05   3.75699335E-05   2.29824264E-05  
  3                1.72980978E-04   7.68375219E+01   8.38113837E-01   1.60471490E-01   7.76163642E-04   5.26669364E-04   7.60530301E-110  4.63293787E-05   3.75699335E-05   2.29824264E-05  
  4                2.80155553E-04   8.38940829E+01   8.38113837E-01   1.60471490E-01   7.76163642E-04   5.26669365E-04   5.97607554E-110  4.63293787E-05   3.75699335E-05   2.29824264E-05  
  5                4.07537013E-04   9.01044722E+01   8.38113837E-01   1.60471490E-01   7.76163643E-04   5.26669365E-04   4.95486889E-110  4.63293787E-05   3.75699336E-05   2.29824264E-05  
  6                5.60210783E-04   9.59724005E+01   8.38113837E-01   1.60471490E-01   7.76163643E-04   5.26669365E-04   4.22610189E-110  4.63293787E-05   3.75699336E-05   2.29824264E-05  
  7                7.44075757E-04   1.01409409E+02   8.38109629E-01   1.60470684E-01   7.76161781E-04   5.26668102E-04   1.36926488E-108  4.63292676E-05   3.75698435E-05   2.29823110E-05  
  8                9.66168668E-04   1.06868373E+02   8.38098360E-01   1.60468527E-01   7.76160554E-04   5.26667269E-04   6.00584466E-103  4.63291943E-05   3.75697840E-05   2.29820020E-05  
  9                1.23508660E-03   1.11936397E+02   8.38032535E-01   1.60455923E-01   7.76098044E-04   5.26624853E-04   3.30617633E-98   4.63254631E-05   3.75667583E-05   2.29801970E-05  
  10               1.56133831E-03   1.17047176E+02   8.38113696E-01   1.60471463E-01   7.76257366E-04   5.26732961E-04   7.64650743E-94   4.63349730E-05   3.75744702E-05   2.29824225E-05  
  11               1.95760337E-03   1.21990602E+02   8.38113695E-01   1.60471463E-01   7.76258024E-04   5.26733408E-04   5.66940407E-90   4.63350123E-05   3.75745020E-05   2.29824225E-05  
  12               2.43900459E-03   1.27376233E+02   8.38113695E-01   1.60471463E-01   7.76258024E-04   5.26733408E-04   4.26656113E-86   4.63350123E-05   3.75745021E-05   2.29824225E-05  
  13               3.02371362E-03   1.32803442E+02   8.38113695E-01   1.60471463E-01   7.76258024E-04   5.26733408E-04   1.64715375E-82   4.63350123E-05   3.75745021E-05   2.29824225E-05  
  14               3.73407763E-03   1.38583616E+02   8.38113694E-01   1.60471462E-01   7.76258025E-04   5.26733408E-04   5.34951223E-79   4.63350124E-05   3.75745021E-05   2.29824224E-05  
  15               4.59735324E-03   1.44247517E+02   8.38113688E-01   1.60471461E-01   7.76258025E-04   5.26733408E-04   7.81806267E-76   4.63350124E-05   3.75745021E-05   2.29824223E-05  
  16               5.64654631E-03   1.50237989E+02   8.38113668E-01   1.60471458E-01   7.76258026E-04   5.26733409E-04   9.56699392E-73   4.63350125E-05   3.75745022E-05   2.29824218E-05  
  17               6.92160713E-03   1.56148118E+02   8.38113598E-01   1.60471444E-01   7.76258026E-04   5.26733409E-04   6.19355833E-70   4.63350124E-05   3.75745021E-05   2.29824198E-05  
  18               8.47136098E-03   1.62380858E+02   8.38113395E-01   1.60471405E-01   7.76258054E-04   5.26733428E-04   3.42542154E-67   4.63350141E-05   3.75745035E-05   2.29824143E-05  
  19               1.03552929E-02   1.68541149E+02   8.38112746E-01   1.60471281E-01   7.76258088E-04   5.26733451E-04   1.10505526E-64   4.63350161E-05   3.75745051E-05   2.29823965E-05  
  20               1.26450925E-02   1.75088094E+02   8.38111149E-01   1.60470975E-01   7.76258462E-04   5.26733705E-04   3.28212267E-62   4.63350385E-05   3.75745233E-05   2.29823527E-05  
  21               1.54274865E-02   1.81556074E+02   8.38088959E-01   1.60466727E-01   7.76258972E-04   5.26734051E-04   6.04044278E-60   4.63350689E-05   3.75745479E-05   2.29817442E-05  
  22               1.88068858E-02   1.88444608E+02   8.38113690E-01   1.60471462E-01   7.76261275E-04   5.26735614E-04   1.05327247E-57   4.63352064E-05   3.75746594E-05   2.29824224E-05  
  23               2.29086243E-02   1.95313045E+02   8.37973013E-01   1.60444527E-01   7.76284550E-04   5.26751407E-04   1.25160165E-55   4.63365957E-05   3.75757860E-05   2.29785647E-05  
  24               2.78840781E-02   2.02594201E+02   8.38113647E-01   1.60471453E-01   7.76290427E-04   5.26755395E-04   1.39211157E-53   4.63369465E-05   3.75760705E-05   2.29824212E-05  
  25               3.39171117E-02   2.09749274E+02   8.37626920E-01   1.60378261E-01   7.76414413E-04   5.26839526E-04   1.02960140E-51   4.63443472E-05   3.75820720E-05   2.29690743E-05  
  26               4.12268936E-02   2.17237491E+02   8.38113457E-01   1.60471417E-01   7.76417070E-04   5.26841329E-04   6.87110751E-50   4.63445058E-05   3.75822006E-05   2.29824159E-05  
  27               5.00802731E-02   2.24553551E+02   8.38112783E-01   1.60471288E-01   7.76866173E-04   5.27146070E-04   3.15077706E-48   4.63713129E-05   3.76039393E-05   2.29823975E-05  
  28               6.07982421E-02   2.32184159E+02   8.38112777E-01   1.60471287E-01   7.76870096E-04   5.27148732E-04   1.31579904E-46   4.63715470E-05   3.76041292E-05   2.29823973E-05  
  29               7.37655599E-02   2.39653213E+02   8.38112777E-01   1.60471287E-01   7.76870097E-04   5.27148733E-04   4.00579979E-45   4.63715471E-05   3.76041292E-05   2.29823973E-05  
  30               8.94563942E-02   2.47524381E+02   8.38112777E-01   1.60471287E-01   7.76870098E-04   5.27148734E-04   1.17258302E-43   4.63715472E-05   3.76041293E-05   2.29823973E-05  
  31               1.08439354E-01   2.55319789E+02   8.38112777E-01   1.60471287E-01   7.76870100E-04   5.27148735E-04   2.69057306E-42   4.63715473E-05   3.76041294E-05   2.29823973E-05  
  32               1.31396261E-01   2.63568286E+02   8.38112777E-01   1.60471287E-01   7.76870101E-04   5.27148736E-04   6.05557875E-41   4.63715474E-05   3.76041295E-05   2.29823973E-05  
  33               1.59151578E-01   2.71777402E+02   8.38112777E-01   1.60471287E-01   7.76870103E-04   5.27148737E-04   1.10714737E-39   4.63715475E-05   3.76041295E-05   2.29823973E-05  
  34               1.92705977E-01   2.80508940E+02   8.38112777E-01   1.60471287E-01   7.76870105E-04   5.27148738E-04   2.02245006E-38   4.63715476E-05   3.76041296E-05   2.29823973E-05  
  35               2.33271437E-01   2.89340761E+02   8.38112777E-01   1.60471287E-01   7.76870108E-04   5.27148740E-04   3.18334049E-37   4.63715477E-05   3.76041297E-05   2.29823973E-05  
  36               2.82313612E-01   2.98802615E+02   8.38112777E-01   1.60471287E-01   7.76870110E-04   5.27148742E-04   5.09785511E-36   4.63715479E-05   3.76041299E-05   2.29823973E-05  
  37               3.41585601E-01   3.08431036E+02   8.38112777E-01   1.60471287E-01   7.76870113E-04   5.27148743E-04   7.17354192E-35   4.63715481E-05   3.76041300E-05   2.29823973E-05  
  38               4.13174584E-01   3.18758005E+02   8.38112777E-01   1.60471287E-01   7.76870116E-04   5.27148746E-04   1.02547102E-33   4.63715483E-05   3.76041302E-05   2.29823973E-05  
  39               4.99566807E-01   3.29392934E+02   8.38112777E-01   1.60471287E-01   7.76870120E-04   5.27148748E-04   1.32989191E-32   4.63715485E-05   3.76041303E-05   2.29823973E-05  
  40               6.03725838E-01   3.40897465E+02   8.38112776E-01   1.60471287E-01   7.76870127E-04   5.27148753E-04   1.78022520E-31   4.63715489E-05   3.76041307E-05   2.29823973E-05  
  41               7.29155176E-01   3.52966071E+02   8.38112776E-01   1.60471287E-01   7.76870130E-04   5.27148755E-04   2.25472297E-30   4.63715491E-05   3.76041309E-05   2.29823973E-05  
  42               8.80033022E-01   3.66173981E+02   8.38112773E-01   1.60471286E-01   7.76870148E-04   5.27148767E-04   3.00500918E-29   4.63715502E-05   3.76041317E-05   2.29823972E-05  
