# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               H2S              Mg              
  1                1.00000000E-05   1.40848466E+02   8.37856169E-01   1.60422106E-01   5.19067771E-04   3.08934784E-04   2.13180014E-76   6.00453383E-05   2.29749994E-05   0.00000000E+00  
  2                1.73959021E-04   1.82396594E+02   8.38510471E-01   1.60547384E-01   5.19877992E-04   3.09417005E-04   1.10493965E-58   6.01390640E-05   2.29929411E-05   0.00000000E+00  
  3                3.43211741E-04   2.07593372E+02   8.38510471E-01   1.60547384E-01   5.19878006E-04   3.09417013E-04   2.80845626E-51   6.01390656E-05   2.29929411E-05   0.00000000E+00  
  4                5.26611501E-04   2.26187681E+02   8.38510471E-01   1.60547384E-01   5.19878020E-04   3.09417022E-04   7.13236361E-47   6.01390673E-05   2.29929411E-05   0.00000000E+00  
  5                7.29598501E-04   2.38080493E+02   8.38510471E-01   1.60547384E-01   5.19878036E-04   3.09417031E-04   1.95881628E-44   6.01390691E-05   2.29929411E-05   0.00000000E+00  
  6                9.56666501E-04   2.49846821E+02   8.38510471E-01   1.60547384E-01   5.19878051E-04   3.09417040E-04   3.03199199E-42   6.01390709E-05   2.29929411E-05   0.00000000E+00  
  7                1.21202514E-03   2.58386468E+02   8.38510471E-01   1.60547384E-01   5.19878067E-04   3.09417049E-04   8.60032782E-41   6.01390727E-05   2.29929411E-05   0.00000000E+00  
  8                1.50018870E-03   2.68158182E+02   8.38510471E-01   1.60547383E-01   5.19878083E-04   3.09417059E-04   3.10660109E-39   6.01390746E-05   2.29929411E-05   0.00000000E+00  
  9                1.82600803E-03   2.75612926E+02   8.38510472E-01   1.60547383E-01   5.19878100E-04   3.09417069E-04   3.95511666E-38   6.01390765E-05   2.29929411E-05   0.00000000E+00  
  10               2.19506376E-03   2.84454072E+02   8.38510472E-01   1.60547383E-01   5.19878116E-04   3.09417079E-04   6.92625759E-37   6.01390784E-05   2.29929410E-05   0.00000000E+00  
  11               2.61360103E-03   2.91211205E+02   8.38510473E-01   1.60547382E-01   5.19878132E-04   3.09417088E-04   5.38385964E-36   6.01390802E-05   2.29929409E-05   0.00000000E+00  
  12               3.08876362E-03   2.99500220E+02   8.38510474E-01   1.60547381E-01   5.19878151E-04   3.09417099E-04   5.98170736E-35   6.01390824E-05   2.29929407E-05   0.00000000E+00  
  13               3.62859352E-03   3.05942176E+02   8.38510475E-01   1.60547379E-01   5.19878165E-04   3.09417108E-04   3.48683036E-34   6.01390840E-05   2.29929405E-05   0.00000000E+00  
