# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  1                1.00000000E-05   1.18371407E+02   8.38490531E-01   1.60543576E-01   4.77217726E-04   3.20746162E-04   1.15423928E-91   5.97289679E-05   7.48291612E-05   2.29933575E-05  
  2                1.09184112E-04   1.58078714E+02   8.38365177E-01   1.60519575E-01   4.76858249E-04   3.20504551E-04   3.79916345E-68   5.96839755E-05   7.47727942E-05   2.29899200E-05  
  3                2.13982027E-04   1.77556446E+02   8.37971304E-01   1.60444161E-01   4.77301792E-04   3.20802664E-04   2.00681513E-60   5.97394897E-05   7.48423430E-05   2.29791191E-05  
  4                3.30683337E-04   1.94496999E+02   8.38493548E-01   1.60544154E-01   4.77599009E-04   3.21002428E-04   5.94804795E-55   5.97766896E-05   7.48889475E-05   2.29934402E-05  
  5                4.62823529E-04   2.04000820E+02   8.38493548E-01   1.60544154E-01   4.77598756E-04   3.21002259E-04   2.63244890E-52   5.97766580E-05   7.48889079E-05   2.29934402E-05  
  6                6.13802691E-04   2.15716904E+02   8.38493549E-01   1.60544154E-01   4.77598503E-04   3.21002089E-04   2.41133818E-49   5.97766263E-05   7.48888682E-05   2.29934403E-05  
  7                7.86911489E-04   2.22722741E+02   8.38493549E-01   1.60544154E-01   4.77598251E-04   3.21001919E-04   9.65210696E-48   5.97765948E-05   7.48888287E-05   2.29934403E-05  
  8                9.85885412E-04   2.32758284E+02   8.38493550E-01   1.60544154E-01   4.77597995E-04   3.21001747E-04   1.36502109E-45   5.97765628E-05   7.48887886E-05   2.29934403E-05  
  9                1.21491502E-03   2.38566570E+02   8.38493550E-01   1.60544154E-01   4.77597730E-04   3.21001569E-04   1.89897868E-44   5.97765296E-05   7.48887470E-05   2.29934403E-05  
  10               1.47895001E-03   2.47692347E+02   8.38493551E-01   1.60544154E-01   4.77597453E-04   3.21001383E-04   9.80202387E-43   5.97764949E-05   7.48887036E-05   2.29934403E-05  
  11               1.78352015E-03   2.53153030E+02   8.38493551E-01   1.60544154E-01   4.77597164E-04   3.21001189E-04   8.72578553E-42   5.97764588E-05   7.48886583E-05   2.29934403E-05  
  12               2.13513151E-03   2.61949239E+02   8.38493552E-01   1.60544154E-01   4.77596862E-04   3.21000985E-04   2.57163030E-40   5.97764209E-05   7.48886109E-05   2.29934403E-05  
  13               2.54115610E-03   2.67306318E+02   8.38493552E-01   1.60544154E-01   4.77596546E-04   3.21000773E-04   1.74840991E-39   5.97763813E-05   7.48885613E-05   2.29934403E-05  
  14               3.01023536E-03   2.75993869E+02   8.38493553E-01   1.60544154E-01   4.77596214E-04   3.21000550E-04   3.51224099E-38   5.97763399E-05   7.48885094E-05   2.29934403E-05  
  15               3.55224286E-03   2.81378120E+02   8.38493553E-01   1.60544154E-01   4.77595868E-04   3.21000317E-04   1.98880074E-37   5.97762965E-05   7.48884550E-05   2.29934403E-05  
  16               4.17883752E-03   2.89925608E+02   8.38493554E-01   1.60544154E-01   4.77595505E-04   3.21000074E-04   2.85656424E-36   5.97762511E-05   7.48883981E-05   2.29934403E-05  
  17               4.90340191E-03   2.95205805E+02   8.38493555E-01   1.60544154E-01   4.77595127E-04   3.20999819E-04   1.32874714E-35   5.97762037E-05   7.48883388E-05   2.29934403E-05  
  18               5.74145817E-03   3.03781953E+02   8.38493556E-01   1.60544154E-01   4.77594730E-04   3.20999553E-04   1.50689441E-34   5.97761541E-05   7.48882767E-05   2.29934402E-05  
  19               6.71073497E-03   3.09249386E+02   8.38493557E-01   1.60544153E-01   4.77594321E-04   3.20999278E-04   6.41229495E-34   5.97761029E-05   7.48882125E-05   2.29934402E-05  
  20               7.83187999E-03   3.18058221E+02   8.38493560E-01   1.60544151E-01   4.77593888E-04   3.20998987E-04   6.21754509E-33   5.97760487E-05   7.48881446E-05   2.29934399E-05  
  21               9.12848351E-03   3.23811290E+02   8.38493561E-01   1.60544150E-01   4.77593454E-04   3.20998695E-04   2.49338368E-32   5.97759944E-05   7.48880765E-05   2.29934397E-05  
  22               1.06278817E-02   3.32949568E+02   8.38493567E-01   1.60544145E-01   4.77592981E-04   3.20998377E-04   2.13640728E-31   5.97759351E-05   7.48880023E-05   2.29934390E-05  
  23               1.23611355E-02   3.39173267E+02   8.38493568E-01   1.60544141E-01   4.77592487E-04   3.20998045E-04   8.41528168E-31   5.97758734E-05   7.48879249E-05   2.29934384E-05  
  24               1.43645955E-02   3.48734382E+02   8.38493580E-01   1.60544129E-01   4.77592033E-04   3.20997740E-04   6.51673536E-30   5.97758165E-05   7.48878537E-05   2.29934366E-05  
  25               1.66801475E-02   3.55385247E+02   8.38493591E-01   1.60544119E-01   4.77591492E-04   3.20997377E-04   2.47479686E-29   5.97757489E-05   7.48877689E-05   2.29934353E-05  
  26               1.93560989E-02   3.65465236E+02   8.38493590E-01   1.60544086E-01   4.77590882E-04   3.20996966E-04   1.76386522E-28   5.97756725E-05   7.48876732E-05   2.29934306E-05  
  27               2.24469857E-02   3.72821894E+02   8.38493617E-01   1.60544060E-01   4.77590725E-04   3.20996861E-04   6.76551273E-28   5.97756528E-05   7.48876486E-05   2.29934268E-05  
  28               2.60152558E-02   3.83756356E+02   8.38493685E-01   1.60543993E-01   4.77590024E-04   3.20996390E-04   4.68210361E-27   5.97755651E-05   7.48875387E-05   2.29934173E-05  
  29               3.01320000E-02   3.92050568E+02   8.38493747E-01   1.60543932E-01   4.77589352E-04   3.20995938E-04   1.85286091E-26   5.97754810E-05   7.48874333E-05   2.29934085E-05  
  30               3.48785666E-02   4.03949018E+02   8.38493549E-01   1.60543701E-01   4.77588308E-04   3.20995236E-04   1.24152860E-25   5.97753503E-05   7.48872696E-05   2.29933754E-05  
  31               4.03456049E-02   4.13416334E+02   8.38493740E-01   1.60543504E-01   4.77590761E-04   3.20996885E-04   5.12684311E-25   5.97756573E-05   7.48876543E-05   2.29933472E-05  
  32               4.66348729E-02   4.26772485E+02   8.38494148E-01   1.60543097E-01   4.77589430E-04   3.20995990E-04   3.49384153E-24   5.97754907E-05   7.48874456E-05   2.29932890E-05  
  33               5.38612213E-02   4.38092589E+02   8.38494574E-01   1.60542645E-01   4.77587999E-04   3.20995028E-04   1.59967080E-23   5.97753116E-05   7.48872211E-05   2.29932242E-05  
  34               6.21544064E-02   4.53625515E+02   8.38495221E-01   1.60541552E-01   4.77584734E-04   3.20992834E-04   1.16574158E-22   5.97749030E-05   7.48867092E-05   2.29930676E-05  
  35               7.16515209E-02   4.67763948E+02   8.38493408E-01   1.60540082E-01   4.77624176E-04   3.21019344E-04   6.27887842E-22   5.97798396E-05   7.48928938E-05   2.29928571E-05  
  36               8.25067857E-02   4.85718957E+02   8.38495911E-01   1.60537591E-01   4.77618537E-04   3.21015554E-04   4.69460322E-21   5.97791338E-05   7.48920096E-05   2.29925003E-05  
  37               9.48916008E-02   5.02115292E+02   8.38498169E-01   1.60535341E-01   4.77614449E-04   3.21012806E-04   2.57598923E-20   5.97786221E-05   7.48913686E-05   2.29921781E-05  
  38               1.08983322E-01   5.23326878E+02   8.38501564E-01   1.60531958E-01   4.77608691E-04   3.21008936E-04   2.02100339E-19   5.97779014E-05   7.48904657E-05   2.29916936E-05  
