# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               NH3              CO              
  1                1.00000000E-05   6.60155187E+01   8.38120661E-01   1.60472790E-01   7.73610377E-04   5.24265464E-04   3.16314866E-109  4.13845614E-05   3.86495176E-05   1.37191335E-06  
  2                8.76801709E-05   8.68160736E+01   8.38120661E-01   1.60472790E-01   7.73610419E-04   5.24265493E-04   1.06824018E-109  4.13845637E-05   3.86495197E-05   1.37191343E-06  
  3                1.75737095E-04   9.72990625E+01   8.38116293E-01   1.60471954E-01   7.73596776E-04   5.24256247E-04   7.54545822E-110  4.13838338E-05   3.86488381E-05   1.37188923E-06  
  4                2.80443046E-04   1.04104434E+02   8.38025500E-01   1.60454570E-01   7.73539206E-04   5.24217233E-04   1.72310133E-105  4.13807541E-05   3.86459619E-05   1.37178714E-06  
  5                4.06272453E-04   1.11574845E+02   8.38120522E-01   1.60472763E-01   7.73703235E-04   5.24328393E-04   2.71155751E-98   4.13895289E-05   3.86541568E-05   1.37207803E-06  
  6                5.58192167E-04   1.17355654E+02   8.38120522E-01   1.60472763E-01   7.73703265E-04   5.24328414E-04   2.29628029E-93   4.13895305E-05   3.86541583E-05   1.37207808E-06  
  7                7.42010326E-04   1.24689652E+02   8.38120522E-01   1.60472763E-01   7.73703295E-04   5.24328434E-04   9.40069598E-88   4.13895321E-05   3.86541598E-05   1.37207813E-06  
  8                9.64717217E-04   1.30213089E+02   8.38120521E-01   1.60472763E-01   7.73703325E-04   5.24328454E-04   5.86611983E-84   4.13895337E-05   3.86541613E-05   1.37207819E-06  
  9                1.23490755E-03   1.37292986E+02   8.38120519E-01   1.60472763E-01   7.73703355E-04   5.24328475E-04   1.58557498E-79   4.13895353E-05   3.86541628E-05   1.37207824E-06  
  10               1.56303119E-03   1.42575398E+02   8.38120503E-01   1.60472760E-01   7.73703386E-04   5.24328495E-04   1.60762629E-76   4.13895370E-05   3.86541643E-05   1.37207829E-06  
  11               1.96185559E-03   1.49605696E+02   8.38120471E-01   1.60472753E-01   7.73703418E-04   5.24328517E-04   7.78990410E-73   4.13895387E-05   3.86541659E-05   1.37207835E-06  
  12               2.44680337E-03   1.54898025E+02   8.38119711E-01   1.60472608E-01   7.73703459E-04   5.24328545E-04   2.70338652E-70   4.13895409E-05   3.86541680E-05   1.37207842E-06  
  13               3.03666535E-03   1.61979887E+02   8.38120522E-01   1.60472763E-01   7.73703550E-04   5.24328607E-04   3.84290295E-67   4.13895458E-05   3.86541726E-05   1.37207859E-06  
  14               3.75456977E-03   1.67176117E+02   8.38114248E-01   1.60471562E-01   7.73704341E-04   5.24329143E-04   5.17982301E-65   4.13895881E-05   3.86542121E-05   1.37207999E-06  
  15               4.62869817E-03   1.74221543E+02   8.38120520E-01   1.60472763E-01   7.73704982E-04   5.24329577E-04   2.58334817E-62   4.13896224E-05   3.86542441E-05   1.37208112E-06  
  16               5.69299924E-03   1.79440412E+02   8.38083296E-01   1.60465636E-01   7.73710255E-04   5.24333150E-04   1.82315392E-60   4.13899044E-05   3.86545075E-05   1.37209047E-06  
  17               6.98863111E-03   1.86611530E+02   8.38120502E-01   1.60472760E-01   7.73716681E-04   5.24337505E-04   4.42609118E-58   4.13902482E-05   3.86548286E-05   1.37210187E-06  
  18               8.56538833E-03   1.91968179E+02   8.37939057E-01   1.60438019E-01   7.73744876E-04   5.24356613E-04   1.98875691E-56   4.13917565E-05   3.86562372E-05   1.37215187E-06  
  19               1.04838076E-02   1.99350434E+02   8.38120400E-01   1.60472740E-01   7.73785212E-04   5.24383948E-04   2.78190716E-54   4.13939143E-05   3.86582524E-05   1.37222340E-06  
  20               1.28168435E-02   2.04954727E+02   8.37690142E-01   1.60390360E-01   7.73913005E-04   5.24470551E-04   9.07143566E-53   4.14007506E-05   3.86646369E-05   1.37245003E-06  
  21               1.56533344E-02   2.12594147E+02   8.38120278E-01   1.60472717E-01   7.73866621E-04   5.24439118E-04   8.04351759E-51   4.13982693E-05   3.86623196E-05   1.37236777E-06  
  22               1.90992820E-02   2.18510493E+02   8.38119608E-01   1.60472588E-01   7.74313835E-04   5.24742188E-04   2.03570737E-49   4.14221932E-05   3.86846623E-05   1.37316086E-06  
  23               2.32830420E-02   2.26420723E+02   8.38119608E-01   1.60472588E-01   7.74313879E-04   5.24742219E-04   1.20768805E-47   4.14221955E-05   3.86846646E-05   1.37316094E-06  
  24               2.83602286E-02   2.32594673E+02   8.38119608E-01   1.60472588E-01   7.74313923E-04   5.24742248E-04   2.35051130E-46   4.14221979E-05   3.86846667E-05   1.37316101E-06  
  25               3.45197508E-02   2.40593127E+02   8.38119608E-01   1.60472588E-01   7.74313970E-04   5.24742280E-04   8.97157610E-45   4.14222004E-05   3.86846691E-05   1.37316110E-06  
  26               4.19900292E-02   2.46883043E+02   8.38119608E-01   1.60472588E-01   7.74314020E-04   5.24742314E-04   1.30037119E-43   4.14222031E-05   3.86846716E-05   1.37316119E-06  
  27               5.10473522E-02   2.55000235E+02   8.38119608E-01   1.60472588E-01   7.74314073E-04   5.24742350E-04   3.44859819E-42   4.14222059E-05   3.86846742E-05   1.37316128E-06  
  28               6.20240720E-02   2.61524203E+02   8.38119608E-01   1.60472588E-01   7.74314131E-04   5.24742389E-04   4.05397499E-41   4.14222090E-05   3.86846771E-05   1.37316138E-06  
  29               7.53219705E-02   2.69986360E+02   8.38119608E-01   1.60472588E-01   7.74314193E-04   5.24742431E-04   8.49098970E-40   4.14222123E-05   3.86846802E-05   1.37316149E-06  
  30               9.14236848E-02   2.77001581E+02   8.38119608E-01   1.60472588E-01   7.74314260E-04   5.24742476E-04   8.99799106E-39   4.14222159E-05   3.86846836E-05   1.37316161E-06  
  31               1.10910762E-01   2.85966219E+02   8.38119608E-01   1.60472588E-01   7.74314331E-04   5.24742525E-04   1.58529662E-37   4.14222197E-05   3.86846871E-05   1.37316174E-06  
  32               1.34482980E-01   2.93511612E+02   8.38119608E-01   1.60472588E-01   7.74314408E-04   5.24742577E-04   1.51900922E-36   4.14222238E-05   3.86846910E-05   1.37316187E-06  
  33               1.62993892E-01   3.02952515E+02   8.38119607E-01   1.60472588E-01   7.74314491E-04   5.24742633E-04   2.23194315E-35   4.14222282E-05   3.86846951E-05   1.37316202E-06  
  34               1.97475364E-01   3.11112968E+02   8.38119607E-01   1.60472588E-01   7.74314579E-04   5.24742693E-04   1.96366043E-34   4.14222330E-05   3.86846995E-05   1.37316218E-06  
  35               2.39171199E-01   3.21338568E+02   8.38119607E-01   1.60472588E-01   7.74314674E-04   5.24742757E-04   2.61019838E-33   4.14222381E-05   3.86847043E-05   1.37316235E-06  
  36               2.89562697E-01   3.30494572E+02   8.38119607E-01   1.60472588E-01   7.74314777E-04   5.24742827E-04   2.27809286E-32   4.14222436E-05   3.86847094E-05   1.37316253E-06  
  37               3.50412049E-01   3.41767428E+02   8.38119606E-01   1.60472588E-01   7.74314887E-04   5.24742901E-04   2.84271520E-31   4.14222494E-05   3.86847149E-05   1.37316272E-06  
  38               4.23808428E-01   3.52071999E+02   8.38119606E-01   1.60472588E-01   7.74315009E-04   5.24742984E-04   2.44836645E-30   4.14222560E-05   3.86847210E-05   1.37316294E-06  
  39               5.12276581E-01   3.64586280E+02   8.38119600E-01   1.60472587E-01   7.74315135E-04   5.24743070E-04   2.88187900E-29   4.14222627E-05   3.86847273E-05   1.37316316E-06  
  40               6.18816661E-01   3.76389462E+02   8.38119600E-01   1.60472586E-01   7.74315285E-04   5.24743172E-04   2.51193312E-28   4.14222708E-05   3.86847348E-05   1.37316343E-06  
  41               7.46957089E-01   3.90640977E+02   8.38119600E-01   1.60472586E-01   7.74315430E-04   5.24743269E-04   2.92039030E-27   4.14222785E-05   3.86847420E-05   1.37316369E-06  
  42               9.00799211E-01   4.04450838E+02   8.38119390E-01   1.60472545E-01   7.74315668E-04   5.24743431E-04   2.64732159E-26   4.14222912E-05   3.86847539E-05   1.37316411E-06  
  43               1.08522634E+00   4.20924451E+02   8.38119411E-01   1.60472524E-01   7.74315476E-04   5.24743301E-04   3.07408872E-25   4.14222810E-05   3.86847443E-05   1.37316377E-06  
  44               1.30585515E+00   4.37270313E+02   8.38119404E-01   1.60472522E-01   7.74319797E-04   5.24746229E-04   2.90041903E-24   4.14225121E-05   3.86849602E-05   1.37317143E-06  
  45               1.56906534E+00   4.56648254E+02   8.38119373E-01   1.60472514E-01   7.74320003E-04   5.24746369E-04   3.40574171E-23   4.14225231E-05   3.86849705E-05   1.37317180E-06  
  46               1.88193105E+00   4.76325195E+02   8.38118981E-01   1.60472462E-01   7.74320331E-04   5.24746591E-04   3.37021120E-22   4.14225407E-05   3.86849869E-05   1.37317238E-06  
  47               2.25305680E+00   4.99268188E+02   8.38115838E-01   1.60472184E-01   7.74321734E-04   5.24747542E-04   3.91675618E-21   4.14226157E-05   3.86850570E-05   1.37317487E-06  
  48               2.69197657E+00   5.22749557E+02   8.38116138E-01   1.60471884E-01   7.74322098E-04   5.24747789E-04   3.84449081E-20   4.14226352E-05   3.86850752E-05   1.37317551E-06  
  49               3.20935882E+00   5.49441439E+02   8.38116098E-01   1.60471807E-01   7.74387326E-04   5.24791993E-04   4.09170203E-19   4.14261246E-05   3.86883340E-05   1.37329119E-06  
  50               3.81738606E+00   5.74888130E+02   8.38116193E-01   1.60471712E-01   7.74387460E-04   5.24792084E-04   3.15026571E-18   4.14261318E-05   3.86883407E-05   1.37329142E-06  
  51               4.53130635E+00   6.03868608E+02   8.38116388E-01   1.60471517E-01   7.74387429E-04   5.24792062E-04   2.62687358E-17   4.14261301E-05   3.86883391E-05   1.37329137E-06  
  52               5.36737441E+00   6.31386245E+02   8.38116670E-01   1.60471234E-01   7.74387216E-04   5.24791918E-04   1.62873218E-16   4.14261187E-05   3.86883285E-05   1.37329099E-06  
  53               6.34321611E+00   6.61943801E+02   8.38117165E-01   1.60470741E-01   7.74386609E-04   5.24791507E-04   1.03813528E-15   4.14260863E-05   3.86882981E-05   1.37328992E-06  
  54               7.47774447E+00   6.90754109E+02   8.38117778E-01   1.60470128E-01   7.74385736E-04   5.24790915E-04   5.07704731E-15   4.14260395E-05   3.86882545E-05   1.37328837E-06  
  55               8.79628385E+00   7.22645462E+02   8.38118702E-01   1.60469205E-01   7.74384265E-04   5.24789918E-04   2.54786361E-14   4.14259609E-05   3.86881810E-05   1.37328576E-06  
  56               1.03274572E+01   7.53321821E+02   8.38119715E-01   1.60468183E-01   7.74382545E-04   5.24788752E-04   1.04929974E-13   4.14258688E-05   3.86880951E-05   1.37328271E-06  
  57               1.21007777E+01   7.87864826E+02   8.38121081E-01   1.60466781E-01   7.74380211E-04   5.24787170E-04   4.54973260E-13   4.14257440E-05   3.86879785E-05   1.37327857E-06  
  58               1.41496989E+01   8.22138186E+02   8.38122339E-01   1.60465307E-01   7.74377947E-04   5.24785636E-04   1.71820809E-12   4.14256229E-05   3.86878654E-05   1.37327456E-06  
  59               1.65122905E+01   8.61227430E+02   8.38123932E-01   1.60463462E-01   7.74375962E-04   5.24784291E-04   6.91393469E-12   4.14255167E-05   3.86877662E-05   1.37327107E-06  
  60               1.92383156E+01   9.00213748E+02   8.38125598E-01   1.60461773E-01   7.74377746E-04   5.24785500E-04   2.44592506E-11   4.14256121E-05   3.86878553E-05   1.37327453E-06  
  61               2.23704476E+01   9.41717600E+02   8.38127239E-01   1.60460063E-01   7.74378859E-04   5.24786254E-04   8.37167020E-11   4.14256716E-05   3.86879109E-05   1.37327865E-06  
  62               2.59478350E+01   9.82757675E+02   8.38128503E-01   1.60458584E-01   7.74376734E-04   5.24784814E-04   2.53999113E-10   4.14255580E-05   3.86878048E-05   1.37329021E-06  
  63               3.00097728E+01   1.02602402E+03   8.38129327E-01   1.60457118E-01   7.74376395E-04   5.24784585E-04   7.43657720E-10   4.14255398E-05   3.86877878E-05   1.37338407E-06  
  64               3.46162826E+01   1.06861431E+03   8.38129151E-01   1.60455805E-01   7.74381434E-04   5.24787999E-04   1.95793589E-09   4.14258094E-05   3.86880396E-05   1.37392730E-06  
  65               3.98452130E+01   1.11360712E+03   8.38128838E-01   1.60454597E-01   7.74401585E-04   5.24801654E-04   5.02483836E-09   4.14268875E-05   3.86890464E-05   1.37656713E-06  
  66               4.57711253E+01   1.15693587E+03   8.38129669E-01   1.60453745E-01   7.74400032E-04   5.24800590E-04   1.15531773E-08   4.14268050E-05   3.86889694E-05   1.38812818E-06  
  67               5.24826232E+01   1.19923351E+03   8.38130325E-01   1.60453028E-01   7.74398852E-04   5.24799702E-04   2.44578609E-08   4.14267471E-05   3.86889153E-05   1.43103347E-06  
  68               6.00531343E+01   1.24024860E+03   8.38130794E-01   1.60452396E-01   7.74397848E-04   5.24798474E-04   4.79703808E-08   4.14267263E-05   3.86888957E-05   1.56105045E-06  
  69               6.85843198E+01   1.28070713E+03   8.38131060E-01   1.60451766E-01   7.74395554E-04   5.24794148E-04   8.90555510E-08   4.14267762E-05   3.86889418E-05   1.87405691E-06  
  70               7.82267885E+01   1.32065618E+03   8.38131073E-01   1.60451097E-01   7.74384042E-04   5.24774430E-04   1.57487257E-07   4.14269361E-05   3.86890887E-05   2.46793956E-06  
  71               8.91041494E+01   1.36104406E+03   8.38130907E-01   1.60450322E-01   7.74332933E-04   5.24696034E-04   2.70341636E-07   4.14272070E-05   3.86893319E-05   3.39229959E-06  
  72               1.01319424E+02   1.40196472E+03   8.38130744E-01   1.60449433E-01   7.74150619E-04   5.24435728E-04   4.52058841E-07   4.14275572E-05   3.86896215E-05   4.66068408E-06  
  73               1.14998063E+02   1.44440863E+03   8.38130962E-01   1.60448398E-01   7.73615919E-04   5.23720622E-04   7.47150992E-07   4.14278977E-05   3.86898012E-05   6.37004197E-06  
  74               1.30246991E+02   1.48840432E+03   8.38132120E-01   1.60447262E-01   7.72345735E-04   5.22146853E-04   1.22037192E-06   4.14281712E-05   3.86895669E-05   8.62810132E-06  
  75               1.47253160E+02   1.53490508E+03   8.38134580E-01   1.60445952E-01   7.69955892E-04   5.19403986E-04   1.99020625E-06   4.14284206E-05   3.86881356E-05   1.16694999E-05  
  76               1.66146482E+02   1.58376454E+03   8.38138145E-01   1.60444350E-01   7.66364929E-04   5.15443482E-04   3.22826015E-06   4.14291877E-05   3.86835816E-05   1.56881441E-05  
  77               1.86958757E+02   1.63569292E+03   8.38142334E-01   1.60442158E-01   7.61466400E-04   5.10043331E-04   5.23873711E-06   4.14314925E-05   3.86710210E-05   2.10751444E-05  
  78               2.09682094E+02   1.68588997E+03   8.38130145E-01   1.60436734E-01   7.56399292E-04   5.03985144E-04   8.10456544E-06   4.14352014E-05   3.86461092E-05   2.70484132E-05  
  79               2.34287167E+02   1.73713793E+03   8.38116202E-01   1.60433659E-01   7.69114261E-04   4.95962385E-04   1.23298298E-05   4.14589405E-05   3.86264017E-05   3.49736110E-05  
  80               2.60877638E+02   1.78639002E+03   8.38120074E-01   1.60430726E-01   7.62102231E-04   4.88363565E-04   1.79852726E-05   4.14468859E-05   3.86262862E-05   4.24397139E-05  
  81               2.89757945E+02   1.83707342E+03   8.38121826E-01   1.60427086E-01   7.54399807E-04   4.79669539E-04   2.59742290E-05   4.14036595E-05   3.86798147E-05   5.09576528E-05  
  82               3.21176491E+02   1.88628448E+03   8.38117960E-01   1.60422970E-01   7.48238527E-04   4.70953239E-04   3.63144427E-05   4.12808165E-05   3.89010987E-05   5.94577207E-05  
  83               3.55238314E+02   1.93695554E+03   8.38101685E-01   1.60417068E-01   7.45349977E-04   4.61021256E-04   5.03831565E-05   4.11182077E-05   3.91642295E-05   6.91081748E-05  
  84               3.91584642E+02   1.98539228E+03   8.38066010E-01   1.60409494E-01   7.50973566E-04   4.50890548E-04   6.76517741E-05   4.08715660E-05   3.95892621E-05   7.89096143E-05  
  85               4.29453020E+02   2.03356312E+03   8.38000642E-01   1.60398785E-01   7.70170019E-04   4.38875090E-04   8.94579575E-05   4.06212987E-05   4.00040062E-05   9.05294618E-05  
  86               4.71612306E+02   2.08184836E+03   8.37919000E-01   1.60387800E-01   8.02316599E-04   4.25636891E-04   1.16557824E-04   4.02867780E-05   4.05807174E-05   1.03314854E-04  
  87               5.15235256E+02   2.12953305E+03   8.37899739E-01   1.60382468E-01   7.93609729E-04   4.16394853E-04   1.49622099E-04   3.99532065E-05   4.11434929E-05   1.12038113E-04  
