# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                CH4              N2               H2S             
  1                1.00000000E-05   1.78176872E+02   8.38476520E-01   1.60540926E-01   4.47096658E-04   3.43992780E-04   1.55079059E-59   1.02477529E-04   5.95256388E-05   2.29926638E-05  
  2                1.31124929E-04   2.12273018E+02   8.38476520E-01   1.60540926E-01   4.47096666E-04   3.43992785E-04   7.29928013E-50   1.02477530E-04   5.95256397E-05   2.29926638E-05  
  3                2.65191260E-04   2.30761182E+02   8.38476520E-01   1.60540926E-01   4.47096691E-04   3.43992804E-04   9.94848699E-46   1.02477536E-04   5.95256431E-05   2.29926638E-05  
  4                4.17862015E-04   2.43229686E+02   8.38476520E-01   1.60540926E-01   4.47096717E-04   3.43992825E-04   2.65274272E-43   1.02477542E-04   5.95256466E-05   2.29926638E-05  
  5                5.93703185E-04   2.52926256E+02   8.38476520E-01   1.60540926E-01   4.47096743E-04   3.43992845E-04   1.37840975E-41   1.02477548E-04   5.95256501E-05   2.29926638E-05  
  6                7.97293928E-04   2.61384460E+02   8.38476520E-01   1.60540926E-01   4.47096770E-04   3.43992865E-04   3.39067503E-40   1.02477554E-04   5.95256536E-05   2.29926638E-05  
  7                1.03365148E-03   2.69070359E+02   8.38476520E-01   1.60540925E-01   4.47096796E-04   3.43992885E-04   5.21159897E-39   1.02477560E-04   5.95256571E-05   2.29926638E-05  
  8                1.30850540E-03   2.76315833E+02   8.38476521E-01   1.60540925E-01   4.47096822E-04   3.43992906E-04   5.95012848E-38   1.02477566E-04   5.95256606E-05   2.29926637E-05  
  9                1.62842190E-03   2.83380605E+02   8.38476521E-01   1.60540925E-01   4.47096849E-04   3.43992926E-04   5.67229239E-37   1.02477572E-04   5.95256641E-05   2.29926636E-05  
  10               2.00101945E-03   2.90297970E+02   8.38476522E-01   1.60540924E-01   4.47096875E-04   3.43992946E-04   4.63552427E-36   1.02477579E-04   5.95256676E-05   2.29926635E-05  
