# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               H                CH4              N2               H2S             
  1                1.00000000E-05   1.79611023E+02   8.38400867E-01   1.60526433E-01   4.52270640E-04   3.16207066E-04   4.99894230E-59   2.14412048E-04   5.85947050E-05   2.29896003E-05  
  2                2.74398084E-04   2.12666057E+02   8.38400866E-01   1.60526433E-01   4.52270888E-04   3.16207239E-04   6.33529352E-50   2.14412166E-04   5.85947371E-05   2.29896002E-05  
  3                5.69199416E-04   2.30747816E+02   8.38400865E-01   1.60526433E-01   4.52271662E-04   3.16207780E-04   6.74548261E-46   2.14412532E-04   5.85948373E-05   2.29896002E-05  
  4                9.05187444E-04   2.45338714E+02   8.38400863E-01   1.60526432E-01   4.52272289E-04   3.16208219E-04   4.54532698E-43   2.14412830E-04   5.85949187E-05   2.29896002E-05  
  5                1.29217444E-03   2.54403803E+02   8.38400862E-01   1.60526432E-01   4.52272827E-04   3.16208595E-04   1.70439120E-41   2.14413085E-04   5.85949883E-05   2.29896001E-05  
  6                1.74019110E-03   2.64802059E+02   8.38400861E-01   1.60526432E-01   4.52273319E-04   3.16208939E-04   8.36315347E-40   2.14413318E-04   5.85950521E-05   2.29896001E-05  
  7                2.26009174E-03   2.71856234E+02   8.38400861E-01   1.60526432E-01   4.52273784E-04   3.16209264E-04   9.55731574E-39   2.14413539E-04   5.85951123E-05   2.29896001E-05  
  8                2.86444359E-03   2.80883401E+02   8.38400860E-01   1.60526431E-01   4.52274233E-04   3.16209578E-04   1.87948819E-37   2.14413752E-04   5.85951705E-05   2.29896000E-05  
  9                3.56750543E-03   2.87308373E+02   8.38400859E-01   1.60526431E-01   4.52274673E-04   3.16209886E-04   1.35673546E-36   2.14413960E-04   5.85952275E-05   2.29896000E-05  
  10               4.38613338E-03   2.95769748E+02   8.38400859E-01   1.60526430E-01   4.52275109E-04   3.16210191E-04   1.66393580E-35   2.14414167E-04   5.85952840E-05   2.29895999E-05  
  11               5.33980484E-03   3.01793897E+02   8.38400858E-01   1.60526430E-01   4.52275545E-04   3.16210495E-04   8.84807201E-35   2.14414373E-04   5.85953404E-05   2.29895998E-05  
  12               6.45127186E-03   3.09994464E+02   8.38400858E-01   1.60526429E-01   4.52275987E-04   3.16210805E-04   8.01770305E-34   2.14414583E-04   5.85953978E-05   2.29895996E-05  
  13               7.74688991E-03   3.15946021E+02   8.38400858E-01   1.60526428E-01   4.52276430E-04   3.16211114E-04   3.60153032E-33   2.14414793E-04   5.85954551E-05   2.29895995E-05  
  14               9.25747913E-03   3.24088885E+02   8.38400858E-01   1.60526425E-01   4.52276877E-04   3.16211427E-04   2.65359295E-32   2.14415005E-04   5.85955131E-05   2.29895991E-05  
  15               1.10185449E-02   3.30122633E+02   8.38400859E-01   1.60526423E-01   4.52277348E-04   3.16211756E-04   1.06825543E-31   2.14415228E-04   5.85955741E-05   2.29895988E-05  
  16               1.30712701E-02   3.38511118E+02   8.38400863E-01   1.60526418E-01   4.52277810E-04   3.16212079E-04   7.03314540E-31   2.14415447E-04   5.85956339E-05   2.29895981E-05  
  17               1.54634289E-02   3.44848652E+02   8.38400861E-01   1.60526413E-01   4.52278281E-04   3.16212408E-04   2.68887787E-30   2.14415670E-04   5.85956949E-05   2.29895975E-05  
  18               1.82510781E-02   3.53513828E+02   8.38400870E-01   1.60526404E-01   4.52278815E-04   3.16212782E-04   1.59981474E-29   2.14415924E-04   5.85957641E-05   2.29895960E-05  
  19               2.14988852E-02   3.60229254E+02   8.38400877E-01   1.60526396E-01   4.52279307E-04   3.16213126E-04   5.88763439E-29   2.14416157E-04   5.85958278E-05   2.29895949E-05  
  20               2.52816191E-02   3.69373728E+02   8.38400831E-01   1.60526364E-01   4.52279764E-04   3.16213445E-04   3.30170572E-28   2.14416374E-04   5.85958870E-05   2.29895904E-05  
  21               2.96857339E-02   3.76625940E+02   8.38400850E-01   1.60526342E-01   4.52281082E-04   3.16214367E-04   1.19866332E-27   2.14416999E-04   5.85960578E-05   2.29895872E-05  
  22               3.48114542E-02   3.86312209E+02   8.38400887E-01   1.60526304E-01   4.52281581E-04   3.16214716E-04   6.36692079E-27   2.14417235E-04   5.85961224E-05   2.29895818E-05  
  23               4.07730605E-02   3.94230793E+02   8.38400920E-01   1.60526270E-01   4.52282100E-04   3.16215078E-04   2.30764952E-26   2.14417481E-04   5.85961897E-05   2.29895769E-05  
  24               4.77012244E-02   4.04731646E+02   8.38400996E-01   1.60526193E-01   4.52282583E-04   3.16215416E-04   1.20390696E-25   2.14417710E-04   5.85962523E-05   2.29895659E-05  
  25               5.57446803E-02   4.13574245E+02   8.38401069E-01   1.60526119E-01   4.52283095E-04   3.16215774E-04   4.46836857E-25   2.14417953E-04   5.85963186E-05   2.29895552E-05  
  26               6.50751495E-02   4.25034378E+02   8.38400725E-01   1.60525863E-01   4.52283248E-04   3.16215881E-04   2.29829723E-24   2.14418025E-04   5.85963384E-05   2.29895186E-05  
  27               7.58910004E-02   4.34888667E+02   8.38400915E-01   1.60525652E-01   4.52289885E-04   3.16220521E-04   8.65564749E-24   2.14421172E-04   5.85971983E-05   2.29894884E-05  
  28               8.84181570E-02   4.47505703E+02   8.38401208E-01   1.60525320E-01   4.52290169E-04   3.16220720E-04   4.41858521E-23   2.14421306E-04   5.85972350E-05   2.29894408E-05  
  29               1.02905898E-01   4.58914848E+02   8.38401176E-01   1.60524911E-01   4.52290594E-04   3.16221017E-04   1.76873952E-22   2.14421508E-04   5.85972902E-05   2.29893823E-05  
  30               1.19631560E-01   4.73623546E+02   8.38401623E-01   1.60524457E-01   4.52294131E-04   3.16223490E-04   9.75316875E-22   2.14423185E-04   5.85977483E-05   2.29893172E-05  
  31               1.38905266E-01   4.86881089E+02   8.38399901E-01   1.60523186E-01   4.52292506E-04   3.16222354E-04   4.11801189E-21   2.14422414E-04   5.85975378E-05   2.29891353E-05  
  32               1.61099578E-01   5.02262862E+02   8.38401313E-01   1.60521704E-01   4.52323054E-04   3.16243711E-04   2.00754121E-20   2.14436896E-04   5.86014955E-05   2.29889230E-05  
  33               1.86607029E-01   5.17164455E+02   8.38402662E-01   1.60520357E-01   4.52322357E-04   3.16243225E-04   8.46945192E-20   2.14436566E-04   5.86014053E-05   2.29887301E-05  
  34               2.15876714E-01   5.34515199E+02   8.38404570E-01   1.60518453E-01   4.52320702E-04   3.16242067E-04   4.12554292E-19   2.14435781E-04   5.86011908E-05   2.29884575E-05  
  35               2.49419374E-01   5.51752036E+02   8.38406523E-01   1.60516504E-01   4.52319045E-04   3.16240909E-04   1.79553505E-18   2.14434996E-04   5.86009762E-05   2.29881783E-05  
  36               2.87791205E-01   5.71708374E+02   8.38408939E-01   1.60514094E-01   4.52316854E-04   3.16239377E-04   8.88836493E-18   2.14433957E-04   5.86006924E-05   2.29878331E-05  
  37               3.31580449E-01   5.91909858E+02   8.38411203E-01   1.60511834E-01   4.52314958E-04   3.16238051E-04   4.01077509E-17   2.14433058E-04   5.86004466E-05   2.29875095E-05  
  38               3.81405698E-01   6.15143796E+02   8.38413662E-01   1.60509380E-01   4.52312937E-04   3.16236638E-04   2.02136483E-16   2.14432100E-04   5.86001849E-05   2.29871581E-05  
  39               4.37910256E-01   6.39149057E+02   8.38415804E-01   1.60507241E-01   4.52311470E-04   3.16235613E-04   9.49058589E-16   2.14431405E-04   5.85999947E-05   2.29868518E-05  
  40               5.01858766E-01   6.67701151E+02   8.38417999E-01   1.60505047E-01   4.52310137E-04   3.16234681E-04   5.21331989E-15   2.14430773E-04   5.85998220E-05   2.29865374E-05  
  41               5.74216060E-01   6.93136497E+02   8.38419401E-01   1.60503633E-01   4.52310060E-04   3.16234627E-04   2.09115691E-14   2.14430736E-04   5.85998121E-05   2.29863350E-05  
  42               6.55971179E-01   7.23374595E+02   8.38420786E-01   1.60502212E-01   4.52310346E-04   3.16234827E-04   9.68494349E-14   2.14430872E-04   5.85998492E-05   2.29861315E-05  
  43               7.48134477E-01   7.50178307E+02   8.38421486E-01   1.60501293E-01   4.52311830E-04   3.16235864E-04   3.36436151E-13   2.14431575E-04   5.86000414E-05   2.29859998E-05  
  44               8.51804512E-01   7.82060479E+02   8.38422157E-01   1.60500351E-01   4.52315907E-04   3.16238715E-04   1.33546958E-12   2.14433508E-04   5.86005697E-05   2.29858646E-05  
  45               9.68541082E-01   8.10264168E+02   8.38422704E-01   1.60499786E-01   4.52320680E-04   3.16242052E-04   4.08902972E-12   2.14435771E-04   5.86011879E-05   2.29857830E-05  
  46               1.10001613E+00   8.43984032E+02   8.38423288E-01   1.60499175E-01   4.52322777E-04   3.16243518E-04   1.42481087E-11   2.14436765E-04   5.86014597E-05   2.29912743E-05  
  47               1.24786558E+00   8.73732820E+02   8.38423634E-01   1.60498745E-01   4.52325349E-04   3.16245316E-04   3.91678803E-11   2.14437985E-04   5.86017929E-05   2.30050176E-05  
  48               1.41368604E+00   9.09252122E+02   8.38423991E-01   1.60498150E-01   4.52328357E-04   3.16247420E-04   1.21158153E-10   2.14439411E-04   5.86021826E-05   2.30570208E-05  
  49               1.59904249E+00   9.40364064E+02   8.38423951E-01   1.60497497E-01   4.52332531E-04   3.16250339E-04   3.00709291E-10   2.14441389E-04   5.86027234E-05   2.31856714E-05  
  50               1.80601326E+00   9.77493260E+02   8.38423691E-01   1.60496208E-01   4.52340559E-04   3.16255958E-04   8.31927472E-10   2.14445195E-04   5.86037635E-05   2.36153392E-05  
  51               2.03718276E+00   1.00992611E+03   8.38423940E-01   1.60494593E-01   4.52350648E-04   3.16263038E-04   1.88460056E-09   2.14449978E-04   5.86050705E-05   2.42908786E-05  
  52               2.29527100E+00   1.04875309E+03   8.38427242E-01   1.60491305E-01   4.52349014E-04   3.16262003E-04   4.73312135E-09   2.14449203E-04   5.86048589E-05   2.42902802E-05  
  53               2.58307462E+00   1.08256912E+03   8.38431697E-01   1.60486869E-01   4.52345819E-04   3.16260211E-04   9.90374132E-09   2.14447682E-04   5.86044459E-05   2.42894624E-05  
  54               2.90348902E+00   1.12305404E+03   8.38440582E-01   1.60478007E-01   4.52336605E-04   3.16255351E-04   2.27997530E-08   2.14443276E-04   5.86032573E-05   2.42878253E-05  
  55               3.25970470E+00   1.15816601E+03   8.38450948E-01   1.60467647E-01   4.52325280E-04   3.16253270E-04   4.43858613E-08   2.14437644E-04   5.86018251E-05   2.42858535E-05  
  56               3.65664382E+00   1.19664038E+03   8.38466103E-01   1.60452470E-01   4.52306753E-04   3.16259308E-04   8.82964352E-08   2.14427501E-04   5.85996037E-05   2.42828733E-05  
  57               4.10028556E+00   1.22974418E+03   8.38480090E-01   1.60438405E-01   4.52284603E-04   3.16303309E-04   1.52602798E-07   2.14410304E-04   5.85975943E-05   2.42799032E-05  
  58               4.59707395E+00   1.26676484E+03   8.38497922E-01   1.60420388E-01   4.52239312E-04   3.16438817E-04   2.73052318E-07   2.14362703E-04   5.85950071E-05   2.42758216E-05  
  59               5.15372189E+00   1.29864054E+03   8.38511870E-01   1.60406125E-01   4.52134540E-04   3.16813282E-04   4.34386555E-07   2.14216849E-04   5.85931615E-05   2.42720897E-05  
  60               5.77733075E+00   1.33497856E+03   8.38528620E-01   1.60388872E-01   4.51847439E-04   3.17698933E-04   7.21473920E-07   2.13786383E-04   5.85910315E-05   2.42669618E-05  
  61               6.47554349E+00   1.36643524E+03   8.38540636E-01   1.60376416E-01   4.51099294E-04   3.19611685E-04   1.08463922E-06   2.12610880E-04   5.85899480E-05   2.42621318E-05  
