# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  1                1.00000000E-05   1.80557721E+02   8.38299229E-01   1.60506978E-01   5.98012573E-04   3.56722206E-04   1.47598689E-04   1.07149564E-58   5.68513814E-05   2.29881488E-05  
  2                5.67735285E-04   2.10968648E+02   8.38299229E-01   1.60506978E-01   5.98012597E-04   3.56722220E-04   1.47598695E-04   1.63755605E-50   5.68513836E-05   2.29881488E-05  
  3                1.19308192E-03   2.29905688E+02   8.38299229E-01   1.60506978E-01   5.98012635E-04   3.56722243E-04   1.47598704E-04   3.07527424E-46   5.68513873E-05   2.29881488E-05  
  4                1.90507204E-03   2.46604406E+02   8.38299229E-01   1.60506978E-01   5.98012660E-04   3.56722258E-04   1.47598710E-04   5.41686918E-43   5.68513897E-05   2.29881488E-05  
  5                2.72489702E-03   2.55067266E+02   8.38299229E-01   1.60506978E-01   5.98012679E-04   3.56722269E-04   1.47598715E-04   1.53379129E-41   5.68513915E-05   2.29881488E-05  
  6                3.67410738E-03   2.66943276E+02   8.38299229E-01   1.60506978E-01   5.98012695E-04   3.56722279E-04   1.47598719E-04   1.27234972E-39   5.68513930E-05   2.29881487E-05  
  7                4.77536471E-03   2.73451584E+02   8.38299229E-01   1.60506978E-01   5.98012710E-04   3.56722287E-04   1.47598723E-04   1.15346517E-38   5.68513944E-05   2.29881487E-05  
  8                6.05514534E-03   2.83872478E+02   8.38299229E-01   1.60506978E-01   5.98012723E-04   3.56722295E-04   1.47598726E-04   3.45205033E-37   5.68513957E-05   2.29881487E-05  
  9                7.54353194E-03   2.89658492E+02   8.38299229E-01   1.60506978E-01   5.98012736E-04   3.56722303E-04   1.47598729E-04   1.95558660E-36   5.68513969E-05   2.29881487E-05  
  10               9.27644507E-03   2.99289424E+02   8.38299229E-01   1.60506978E-01   5.98012749E-04   3.56722310E-04   1.47598732E-04   3.24444677E-35   5.68513981E-05   2.29881487E-05  
  11               1.12948523E-02   3.04641372E+02   8.38299229E-01   1.60506978E-01   5.98012761E-04   3.56722318E-04   1.47598735E-04   1.37027380E-34   5.68513992E-05   2.29881487E-05  
  12               1.36467093E-02   3.14005049E+02   8.38299229E-01   1.60506977E-01   5.98012775E-04   3.56722326E-04   1.47598739E-04   1.62410989E-33   5.68514006E-05   2.29881486E-05  
  13               1.63873517E-02   3.19292432E+02   8.38299229E-01   1.60506977E-01   5.98012786E-04   3.56722333E-04   1.47598741E-04   5.91092628E-33   5.68514016E-05   2.29881486E-05  
  14               1.95814500E-02   3.28643791E+02   8.38299230E-01   1.60506976E-01   5.98012810E-04   3.56722347E-04   1.47598747E-04   5.60303192E-32   5.68514039E-05   2.29881484E-05  
  15               2.33029743E-02   3.34093738E+02   8.38299228E-01   1.60506975E-01   5.98012822E-04   3.56722354E-04   1.47598750E-04   1.88945080E-31   5.68514050E-05   2.29881483E-05  
  16               2.76379691E-02   3.43750597E+02   8.38299231E-01   1.60506973E-01   5.98012828E-04   3.56722358E-04   1.47598752E-04   1.57692161E-30   5.68514057E-05   2.29881480E-05  
  17               3.26860412E-02   3.49581746E+02   8.38299232E-01   1.60506972E-01   5.98012876E-04   3.56722386E-04   1.47598763E-04   5.18383328E-30   5.68514102E-05   2.29881479E-05  
  18               3.85644770E-02   3.59561100E+02   8.38299224E-01   1.60506966E-01   5.98012882E-04   3.56722390E-04   1.47598765E-04   3.83852034E-29   5.68514108E-05   2.29881469E-05  
  19               4.54072930E-02   3.65847959E+02   8.38299227E-01   1.60506962E-01   5.98012877E-04   3.56722387E-04   1.47598764E-04   1.24126847E-28   5.68514103E-05   2.29881465E-05  
