# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   1.07443048E+02   8.38198242E-01   1.60487645E-01   7.15441048E-04   4.69362175E-04   2.17509694E-101  3.44687341E-05   5.34651060E-05   2.29852725E-05  
  2                3.06758440E-05   1.28181300E+02   8.38198225E-01   1.60487642E-01   7.15441041E-04   4.69362171E-04   1.37619873E-84   3.44687338E-05   5.34651055E-05   2.29852720E-05  
  3                5.50733510E-05   1.37207491E+02   8.38197898E-01   1.60487579E-01   7.15440813E-04   4.69362021E-04   6.67056135E-79   3.44687227E-05   5.34650885E-05   2.29852630E-05  
  4                8.44613547E-05   1.48199752E+02   8.38197272E-01   1.60487460E-01   7.15440365E-04   4.69361727E-04   7.17746244E-73   3.44687012E-05   5.34650550E-05   2.29852459E-05  
  5                1.20056968E-04   1.54414229E+02   8.38177753E-01   1.60483722E-01   7.15424084E-04   4.69351046E-04   7.19914708E-70   3.44679168E-05   5.34638383E-05   2.29847106E-05  
  6                1.63335785E-04   1.63682206E+02   8.38198215E-01   1.60487640E-01   7.15459691E-04   4.69374406E-04   8.85771981E-66   3.44696323E-05   5.34664992E-05   2.29852718E-05  
  7                2.16078675E-04   1.68785654E+02   8.38037924E-01   1.60456950E-01   7.15322447E-04   4.69284368E-04   9.57400533E-64   3.44630201E-05   5.34562430E-05   2.29808762E-05  
  8                2.80468218E-04   1.77488050E+02   8.38198013E-01   1.60487601E-01   7.15594068E-04   4.69462563E-04   1.65678251E-60   3.44761063E-05   5.34765413E-05   2.29852662E-05  
  9                3.59101342E-04   1.81940417E+02   8.37725068E-01   1.60397048E-01   7.15199996E-04   4.69204034E-04   5.36375593E-59   3.44571206E-05   5.34470922E-05   2.29722970E-05  
  10               4.55201572E-04   1.89899867E+02   8.38197392E-01   1.60487483E-01   7.16005013E-04   4.69732162E-04   1.96007854E-56   3.44959050E-05   5.35072513E-05   2.29852492E-05  
  11               5.72778293E-04   1.93766112E+02   8.38197392E-01   1.60487483E-01   7.16005018E-04   4.69732166E-04   2.72159040E-55   3.44959052E-05   5.35072517E-05   2.29852492E-05  
  12               7.16760405E-04   2.01249246E+02   8.38197392E-01   1.60487483E-01   7.16005024E-04   4.69732169E-04   3.66729369E-53   3.44959055E-05   5.35072521E-05   2.29852492E-05  
  13               8.93104406E-04   2.05073364E+02   8.38197392E-01   1.60487483E-01   7.16005029E-04   4.69732173E-04   3.70285576E-52   3.44959057E-05   5.35072525E-05   2.29852492E-05  
  14               1.10914694E-03   2.12452662E+02   8.38197392E-01   1.60487483E-01   7.16005034E-04   4.69732176E-04   2.78432871E-50   3.44959060E-05   5.35072529E-05   2.29852492E-05  
  15               1.37382605E-03   2.16153573E+02   8.38197392E-01   1.60487483E-01   7.16005040E-04   4.69732180E-04   2.05833737E-49   3.44959063E-05   5.35072533E-05   2.29852492E-05  
  16               1.69816022E-03   2.23329215E+02   8.38197392E-01   1.60487483E-01   7.16005046E-04   4.69732184E-04   9.03553262E-48   3.44959065E-05   5.35072537E-05   2.29852492E-05  
  17               2.09553691E-03   2.26991501E+02   8.38197392E-01   1.60487483E-01   7.16005052E-04   4.69732187E-04   5.38322665E-47   3.44959068E-05   5.35072542E-05   2.29852492E-05  
  18               2.58230813E-03   2.34275655E+02   8.38197392E-01   1.60487483E-01   7.16005058E-04   4.69732192E-04   1.74627141E-45   3.44959071E-05   5.35072547E-05   2.29852492E-05  
  19               3.17830807E-03   2.38246201E+02   8.38197392E-01   1.60487483E-01   7.16005065E-04   4.69732196E-04   1.01269568E-44   3.44959074E-05   5.35072552E-05   2.29852492E-05  
  20               3.90785508E-03   2.45927510E+02   8.38197392E-01   1.60487483E-01   7.16005072E-04   4.69732201E-04   2.82356140E-43   3.44959078E-05   5.35072557E-05   2.29852492E-05  
  21               4.80047930E-03   2.50235102E+02   8.38197392E-01   1.60487483E-01   7.16005079E-04   4.69732205E-04   1.59189505E-42   3.44959081E-05   5.35072562E-05   2.29852492E-05  
  22               5.89228045E-03   2.58216368E+02   8.38197392E-01   1.60487483E-01   7.16005086E-04   4.69732210E-04   3.64731515E-41   3.44959085E-05   5.35072568E-05   2.29852492E-05  
  23               7.22693124E-03   2.62993495E+02   8.38197392E-01   1.60487483E-01   7.16005094E-04   4.69732216E-04   2.07824540E-40   3.44959089E-05   5.35072574E-05   2.29852492E-05  
  24               8.85780257E-03   2.71445689E+02   8.38197392E-01   1.60487483E-01   7.16005103E-04   4.69732221E-04   4.17192101E-39   3.44959093E-05   5.35072580E-05   2.29852492E-05  
  25               1.08493030E-02   2.76710741E+02   8.38197392E-01   1.60487483E-01   7.16005112E-04   4.69732227E-04   2.36503987E-38   3.44959097E-05   5.35072587E-05   2.29852492E-05  
  26               1.32799702E-02   2.85595170E+02   8.38197392E-01   1.60487483E-01   7.16005121E-04   4.69732233E-04   4.06751266E-37   3.44959102E-05   5.35072594E-05   2.29852492E-05  
  27               1.62455367E-02   2.91236103E+02   8.38197392E-01   1.60487483E-01   7.16005131E-04   4.69732239E-04   2.17533440E-36   3.44959106E-05   5.35072601E-05   2.29852492E-05  
  28               1.98632120E-02   3.00363481E+02   8.38197392E-01   1.60487483E-01   7.16005141E-04   4.69732246E-04   3.03247491E-35   3.44959111E-05   5.35072609E-05   2.29852492E-05  
  29               2.42745067E-02   3.06270060E+02   8.38197392E-01   1.60487482E-01   7.16005152E-04   4.69732253E-04   1.47711418E-34   3.44959116E-05   5.35072617E-05   2.29852492E-05  
  30               2.96514503E-02   3.15819609E+02   8.38197392E-01   1.60487482E-01   7.16005165E-04   4.69732262E-04   1.78028865E-33   3.44959123E-05   5.35072626E-05   2.29852491E-05  
  31               3.62015198E-02   3.22277264E+02   8.38197392E-01   1.60487482E-01   7.16005176E-04   4.69732269E-04   8.51099892E-33   3.44959128E-05   5.35072635E-05   2.29852491E-05  
  32               4.41752359E-02   3.32520121E+02   8.38197392E-01   1.60487482E-01   7.16005195E-04   4.69732281E-04   9.46139621E-32   3.44959137E-05   5.35072649E-05   2.29852491E-05  
  33               5.38724098E-02   3.39790178E+02   8.38197391E-01   1.60487481E-01   7.16005206E-04   4.69732289E-04   4.63747636E-31   3.44959143E-05   5.35072657E-05   2.29852490E-05  
  34               6.56571574E-02   3.50894611E+02   8.38197392E-01   1.60487481E-01   7.16005238E-04   4.69732310E-04   4.84374726E-30   3.44959158E-05   5.35072681E-05   2.29852489E-05  
