# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               H2S              Mg              
  1                1.00000000E-05   2.17068928E+02   8.38505601E-01   1.60546450E-01   4.01993902E-48   5.23695583E-04   3.18308977E-04   6.02081657E-05   2.29948853E-05   0.00000000E+00  
  2                1.02864476E-04   2.60051147E+02   8.38505610E-01   1.60546440E-01   5.64791621E-40   5.23695573E-04   3.18308971E-04   6.02081645E-05   2.29948839E-05   0.00000000E+00  
  3                2.02888301E-04   2.79724476E+02   8.38505650E-01   1.60546401E-01   4.79875977E-37   5.23695526E-04   3.18308942E-04   6.02081591E-05   2.29948783E-05   0.00000000E+00  
  4                3.15476700E-04   2.93846224E+02   8.38505735E-01   1.60546316E-01   3.47358690E-35   5.23695428E-04   3.18308883E-04   6.02081478E-05   2.29948661E-05   0.00000000E+00  
  5                4.43996934E-04   3.03565367E+02   8.38505825E-01   1.60546226E-01   5.09523797E-34   5.23695308E-04   3.18308810E-04   6.02081340E-05   2.29948532E-05   0.00000000E+00  
  6                5.91644042E-04   3.13021011E+02   8.38505977E-01   1.60546073E-01   6.00018043E-33   5.23695123E-04   3.18308698E-04   6.02081129E-05   2.29948313E-05   0.00000000E+00  
  7                7.61803843E-04   3.20492533E+02   8.38506118E-01   1.60545933E-01   3.73000397E-32   5.23694922E-04   3.18308575E-04   6.02080897E-05   2.29948112E-05   0.00000000E+00  
  8                9.58255907E-04   3.28807429E+02   8.38506372E-01   1.60545674E-01   2.63614027E-31   5.23694590E-04   3.18308374E-04   6.02080516E-05   2.29947741E-05   0.00000000E+00  
  9                1.18530317E-03   3.35688032E+02   8.38506602E-01   1.60545444E-01   1.21692035E-30   5.23694312E-04   3.18308204E-04   6.02080196E-05   2.29947412E-05   0.00000000E+00  
  10               1.44789030E-03   3.43719385E+02   8.38507029E-01   1.60545019E-01   6.84368877E-30   5.23693752E-04   3.18307864E-04   6.02079552E-05   2.29946802E-05   0.00000000E+00  
  11               1.75172477E-03   3.50532369E+02   8.38507387E-01   1.60544644E-01   2.74578128E-29   5.23693040E-04   3.18307431E-04   6.02078733E-05   2.29946266E-05   0.00000000E+00  
  12               2.10347280E-03   3.58438659E+02   8.38508021E-01   1.60544009E-01   1.30785732E-28   5.23693419E-04   3.18307662E-04   6.02079169E-05   2.29945357E-05   0.00000000E+00  
  13               2.51087865E-03   3.65101879E+02   8.38508524E-01   1.60543508E-01   4.55933698E-28   5.23692536E-04   3.18307125E-04   6.02078155E-05   2.29944638E-05   0.00000000E+00  
  14               2.98292975E-03   3.72887412E+02   8.38509216E-01   1.60542668E-01   1.87906213E-27   5.23691453E-04   3.18306467E-04   6.02076909E-05   2.29943435E-05   0.00000000E+00  
  15               3.53001451E-03   3.79566645E+02   8.38509854E-01   1.60542031E-01   5.96885782E-27   5.23690261E-04   3.18305742E-04   6.02075538E-05   2.29942524E-05   0.00000000E+00  
  16               4.16416090E-03   3.87425352E+02   8.38510840E-01   1.60541048E-01   2.23860376E-26   5.23688954E-04   3.18304948E-04   6.02074036E-05   2.29941115E-05   0.00000000E+00  
  17               4.89923703E-03   3.94254776E+02   8.38511574E-01   1.60540317E-01   6.68508621E-26   5.23687309E-04   3.18303948E-04   6.02072145E-05   2.29940069E-05   0.00000000E+00  
  18               5.75120597E-03   4.02406350E+02   8.38512707E-01   1.60539172E-01   2.38221834E-25   5.23694022E-04   3.18308028E-04   6.02079863E-05   2.29938428E-05   0.00000000E+00  
  19               6.73838582E-03   4.09695075E+02   8.38513587E-01   1.60538295E-01   7.03899529E-25   5.23692609E-04   3.18307170E-04   6.02078238E-05   2.29937172E-05   0.00000000E+00  
  20               7.88180296E-03   4.18456739E+02   8.38514040E-01   1.60536800E-01   2.49627028E-24   5.23690839E-04   3.18306094E-04   6.02076203E-05   2.29935032E-05   0.00000000E+00  
  21               9.20569551E-03   4.26416681E+02   8.38515150E-01   1.60535687E-01   7.46950372E-24   5.23688613E-04   3.18304741E-04   6.02073644E-05   2.29933437E-05   0.00000000E+00  
  22               1.07378289E-02   4.36107882E+02   8.38516638E-01   1.60534175E-01   2.72564010E-23   5.23686783E-04   3.18303628E-04   6.02071540E-05   2.29931271E-05   0.00000000E+00  
  23               1.25091834E-02   4.45402363E+02   8.38517533E-01   1.60532832E-01   8.89884269E-23   5.23686482E-04   3.18303445E-04   6.02071193E-05   2.29929347E-05   0.00000000E+00  
  24               1.45559667E-02   4.55935040E+02   8.38518719E-01   1.60531584E-01   3.23243570E-22   5.23722193E-04   3.18325151E-04   6.02112250E-05   2.29927560E-05   0.00000000E+00  
  25               1.69229242E-02   4.64907540E+02   8.38519681E-01   1.60530624E-01   9.14102349E-22   5.23720876E-04   3.18324351E-04   6.02110736E-05   2.29926185E-05   0.00000000E+00  
  26               1.96591996E-02   4.75867454E+02   8.38518957E-01   1.60528894E-01   3.12796824E-21   5.23719093E-04   3.18323267E-04   6.02108686E-05   2.29923707E-05   0.00000000E+00  
  27               2.28204704E-02   4.85552965E+02   8.38520048E-01   1.60527808E-01   8.76251968E-21   5.23716369E-04   3.18321611E-04   6.02105554E-05   2.29922153E-05   0.00000000E+00  
  28               2.64697665E-02   4.97469491E+02   8.38521272E-01   1.60526587E-01   2.98681982E-20   5.23714751E-04   3.18320627E-04   6.02103694E-05   2.29920403E-05   0.00000000E+00  
  29               3.06785863E-02   5.08289772E+02   8.38522125E-01   1.60525736E-01   8.57467724E-20   5.23713426E-04   3.18319822E-04   6.02102171E-05   2.29919185E-05   0.00000000E+00  
  30               3.55286244E-02   5.21385220E+02   8.38523216E-01   1.60524648E-01   2.93375880E-19   5.23711986E-04   3.18318947E-04   6.02100516E-05   2.29917627E-05   0.00000000E+00  
  31               4.11138876E-02   5.33527270E+02   8.38523998E-01   1.60523869E-01   8.62847311E-19   5.23710801E-04   3.18318227E-04   6.02099153E-05   2.29916509E-05   0.00000000E+00  
  32               4.75396145E-02   5.48192561E+02   8.38524957E-01   1.60522912E-01   3.01464196E-18   5.23709540E-04   3.18317460E-04   6.02097703E-05   2.29915139E-05   0.00000000E+00  
  33               5.49229737E-02   5.62222758E+02   8.38525678E-01   1.60522193E-01   9.33188730E-18   5.23708495E-04   3.18316825E-04   6.02096501E-05   2.29914109E-05   0.00000000E+00  
  34               6.33951467E-02   5.78965725E+02   8.38526503E-01   1.60521370E-01   3.38054061E-17   5.23707438E-04   3.18316183E-04   6.02095286E-05   2.29912930E-05   0.00000000E+00  
  35               7.30985585E-02   5.95313879E+02   8.38527134E-01   1.60520740E-01   1.10288907E-16   5.23706559E-04   3.18315648E-04   6.02094276E-05   2.29912028E-05   0.00000000E+00  
  36               8.41859891E-02   6.14694937E+02   8.38527817E-01   1.60520058E-01   4.16997868E-16   5.23705701E-04   3.18315127E-04   6.02093290E-05   2.29911051E-05   0.00000000E+00  
  37               9.68190425E-02   6.34144097E+02   8.38528352E-01   1.60519523E-01   1.45583857E-15   5.23705026E-04   3.18314717E-04   6.02092513E-05   2.29910285E-05   0.00000000E+00  
