# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              H2S             
  1                1.00000000E-05   2.25637258E+02   8.38503092E-01   1.60546003E-01   3.90342297E-46   4.88450953E-04   3.11446707E-04   5.98208990E-05   6.23047840E-05   2.29945823E-05  
  2                1.44062062E-04   2.59909285E+02   8.38503095E-01   1.60546000E-01   4.51725214E-40   4.88450948E-04   3.11446703E-04   5.98208983E-05   6.23047833E-05   2.29945819E-05  
  3                2.91694926E-04   2.82778799E+02   8.38503126E-01   1.60545968E-01   1.10083266E-36   4.88450898E-04   3.11446671E-04   5.98208922E-05   6.23047769E-05   2.29945774E-05  
  4                4.59920266E-04   2.91562746E+02   8.38503137E-01   1.60545958E-01   1.43054147E-35   4.88450880E-04   3.11446660E-04   5.98208900E-05   6.23047746E-05   2.29945758E-05  
  5                6.54065592E-04   3.04774546E+02   8.38503210E-01   1.60545884E-01   5.91394119E-34   4.88450768E-04   3.11446589E-04   5.98208763E-05   6.23047603E-05   2.29945654E-05  
  6                8.79171220E-04   3.09672116E+02   8.38503208E-01   1.60545886E-01   1.98903736E-33   4.88450783E-04   3.11446598E-04   5.98208781E-05   6.23047622E-05   2.29945656E-05  
  7                1.14093704E-03   3.20780279E+02   8.38503332E-01   1.60545762E-01   3.28010201E-32   4.88450596E-04   3.11446479E-04   5.98208552E-05   6.23047384E-05   2.29945479E-05  
  8                1.44565856E-03   3.24799013E+02   8.38503318E-01   1.60545771E-01   8.01623778E-32   4.88450604E-04   3.11446484E-04   5.98208562E-05   6.23047394E-05   2.29945492E-05  
  9                1.80068655E-03   3.35539995E+02   8.38503532E-01   1.60545558E-01   9.53841371E-31   4.88450347E-04   3.11446320E-04   5.98208247E-05   6.23047066E-05   2.29945186E-05  
  10               2.21438029E-03   3.39562387E+02   8.38503525E-01   1.60545565E-01   2.17265780E-30   4.88450347E-04   3.11446320E-04   5.98208247E-05   6.23047066E-05   2.29945196E-05  
  11               2.69673092E-03   3.50089905E+02   8.38503856E-01   1.60545215E-01   2.01309798E-29   4.88449824E-04   3.11445987E-04   5.98207607E-05   6.23046399E-05   2.29944695E-05  
  12               3.25925147E-03   3.54087425E+02   8.38503847E-01   1.60545224E-01   4.27037318E-29   4.88450071E-04   3.11446144E-04   5.98207909E-05   6.23046714E-05   2.29944708E-05  
  13               3.91567380E-03   3.64417936E+02   8.38504359E-01   1.60544713E-01   3.18984086E-28   4.88449315E-04   3.11445662E-04   5.98206984E-05   6.23045750E-05   2.29943976E-05  
  14               4.68183852E-03   3.68289226E+02   8.38504326E-01   1.60544746E-01   6.22344726E-28   4.88449342E-04   3.11445680E-04   5.98207017E-05   6.23045785E-05   2.29944024E-05  
  15               5.57638508E-03   3.78539788E+02   8.38504966E-01   1.60544042E-01   3.93587315E-27   4.88448289E-04   3.11445008E-04   5.98205727E-05   6.23044441E-05   2.29943015E-05  
  16               6.62076938E-03   3.82489619E+02   8.38504919E-01   1.60544088E-01   7.39785650E-27   4.88449165E-04   3.11445567E-04   5.98206800E-05   6.23045559E-05   2.29943081E-05  
  17               7.84009374E-03   3.93019780E+02   8.38505850E-01   1.60543160E-01   4.28561604E-26   4.88447811E-04   3.11444703E-04   5.98205142E-05   6.23043832E-05   2.29941752E-05  
  18               9.26326951E-03   3.97248063E+02   8.38505800E-01   1.60543209E-01   8.03535217E-26   4.88447842E-04   3.11444723E-04   5.98205180E-05   6.23043872E-05   2.29941822E-05  
  19               1.09238397E-02   4.08292043E+02   8.38506830E-01   1.60541954E-01   4.43402623E-25   4.88445941E-04   3.11443511E-04   5.98202851E-05   6.23041446E-05   2.29940024E-05  
  20               1.28602887E-02   4.13045810E+02   8.38506845E-01   1.60541932E-01   8.57709667E-25   4.88449020E-04   3.11445474E-04   5.98206623E-05   6.23045374E-05   2.29939992E-05  
  21               1.51176032E-02   4.24776813E+02   8.38508402E-01   1.60540378E-01   4.59327739E-24   4.88446777E-04   3.11444044E-04   5.98203875E-05   6.23042513E-05   2.29937767E-05  
  22               1.77479376E-02   4.30165205E+02   8.38508483E-01   1.60540286E-01   9.21060873E-24   4.88446556E-04   3.11443903E-04   5.98203604E-05   6.23042230E-05   2.29937635E-05  
  23               2.08116581E-02   4.42737943E+02   8.38509616E-01   1.60538258E-01   4.83409871E-23   4.88443510E-04   3.11441961E-04   5.98199875E-05   6.23038346E-05   2.29934731E-05  
  24               2.43765179E-02   4.49304732E+02   8.38509605E-01   1.60537803E-01   1.06519556E-22   4.88453531E-04   3.11448350E-04   5.98212147E-05   6.23051128E-05   2.29934079E-05  
  25               2.85201555E-02   4.63324966E+02   8.38511609E-01   1.60535798E-01   5.80242474E-22   4.88454299E-04   3.11448840E-04   5.98213088E-05   6.23052108E-05   2.29931208E-05  
  26               3.33311625E-02   4.70950465E+02   8.38512118E-01   1.60535290E-01   1.34762963E-21   4.88453777E-04   3.11448507E-04   5.98212448E-05   6.23051441E-05   2.29930479E-05  
  27               3.89194936E-02   4.84859304E+02   8.38512128E-01   1.60532809E-01   6.20842890E-21   4.88449730E-04   3.11445927E-04   5.98207492E-05   6.23046279E-05   2.29926926E-05  
  28               4.54044741E-02   4.93321694E+02   8.38512861E-01   1.60532027E-01   1.46056591E-20   4.88475832E-04   3.11462570E-04   5.98239459E-05   6.23079574E-05   2.29925806E-05  
  29               5.29217981E-02   5.08368959E+02   8.38514899E-01   1.60529995E-01   6.58154485E-20   4.88473014E-04   3.11460773E-04   5.98236007E-05   6.23075979E-05   2.29922895E-05  
  30               6.16253847E-02   5.18188270E+02   8.38515588E-01   1.60529308E-01   1.63026958E-19   4.88471984E-04   3.11460116E-04   5.98234747E-05   6.23074666E-05   2.29921912E-05  
  31               7.16957784E-02   5.34686204E+02   8.38517481E-01   1.60527420E-01   7.27355076E-19   4.88469364E-04   3.11458446E-04   5.98231538E-05   6.23071324E-05   2.29919207E-05  
  32               8.33326012E-02   5.46209001E+02   8.38518240E-01   1.60526663E-01   1.91160252E-18   4.88468248E-04   3.11457734E-04   5.98230171E-05   6.23069900E-05   2.29918123E-05  
  33               9.67594461E-02   5.64620433E+02   8.38519927E-01   1.60524981E-01   8.58309920E-18   4.88465908E-04   3.11456242E-04   5.98227305E-05   6.23066915E-05   2.29915714E-05  
  34               1.12220509E-01   5.78468234E+02   8.38520723E-01   1.60524187E-01   2.44303707E-17   4.88464750E-04   3.11455504E-04   5.98225888E-05   6.23065439E-05   2.29914577E-05  
  35               1.29992338E-01   5.99381133E+02   8.38522155E-01   1.60522758E-01   1.11791697E-16   4.88462767E-04   3.11454240E-04   5.98223459E-05   6.23062909E-05   2.29912530E-05  
