# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CO               CH4              N2               H2S             
  1                1.00000000E-05   2.33576686E+02   8.38357240E-01   1.60518073E-01   5.15675210E-04   2.00929432E-44   2.42203836E-04   2.76323448E-04   5.78818326E-05   2.29883286E-05  
  2                6.13566488E-04   2.68233627E+02   8.38357231E-01   1.60518082E-01   5.15675251E-04   4.99206354E-39   2.42203855E-04   2.76323470E-04   5.78818371E-05   2.29883299E-05  
  3                1.28791125E-03   2.86496357E+02   8.38357233E-01   1.60518080E-01   5.15675313E-04   1.74352075E-36   2.42203884E-04   2.76323503E-04   5.78818441E-05   2.29883296E-05  
  4                2.05918476E-03   3.00877027E+02   8.38357238E-01   1.60518075E-01   5.15675347E-04   1.09335897E-34   2.42203900E-04   2.76323521E-04   5.78818479E-05   2.29883289E-05  
  5                2.94966679E-03   3.10535558E+02   8.38357241E-01   1.60518071E-01   5.15675372E-04   1.37399550E-33   2.42203912E-04   2.76323534E-04   5.78818507E-05   2.29883283E-05  
  6                3.98209519E-03   3.21113807E+02   8.38357250E-01   1.60518061E-01   5.15675393E-04   1.91107538E-32   2.42203922E-04   2.76323546E-04   5.78818530E-05   2.29883270E-05  
  7                5.18134498E-03   3.29023802E+02   8.38357255E-01   1.60518053E-01   5.15675404E-04   1.19454837E-31   2.42203927E-04   2.76323551E-04   5.78818542E-05   2.29883258E-05  
  8                6.57620257E-03   3.38379102E+02   8.38357273E-01   1.60518036E-01   5.15675439E-04   9.61967691E-31   2.42203943E-04   2.76323570E-04   5.78818582E-05   2.29883234E-05  
  9                8.19995849E-03   3.45505136E+02   8.38357285E-01   1.60518023E-01   5.15675440E-04   4.26692920E-30   2.42203944E-04   2.76323571E-04   5.78818584E-05   2.29883216E-05  
  10               1.00920092E-02   3.54096094E+02   8.38357300E-01   1.60517994E-01   5.15675414E-04   2.43079919E-29   2.42203932E-04   2.76323557E-04   5.78818553E-05   2.29883174E-05  
  11               1.22979246E-02   3.60735775E+02   8.38357319E-01   1.60517975E-01   5.15675574E-04   8.62324624E-29   2.42204007E-04   2.76323643E-04   5.78818734E-05   2.29883146E-05  
  12               1.48707344E-02   3.69134287E+02   8.38357360E-01   1.60517934E-01   5.15675532E-04   4.11070623E-28   2.42203987E-04   2.76323620E-04   5.78818686E-05   2.29883088E-05  
  13               1.78715986E-02   3.75811064E+02   8.38357388E-01   1.60517906E-01   5.15675510E-04   1.32791147E-27   2.42203977E-04   2.76323608E-04   5.78818662E-05   2.29883047E-05  
  14               2.13710105E-02   3.84472374E+02   8.38357347E-01   1.60517819E-01   5.15675366E-04   5.86763204E-27   2.42203909E-04   2.76323531E-04   5.78818500E-05   2.29882923E-05  
  15               2.54497594E-02   3.91582211E+02   8.38357405E-01   1.60517758E-01   5.15676810E-04   1.86043843E-26   2.42204588E-04   2.76324305E-04   5.78820121E-05   2.29882835E-05  
  16               3.02018094E-02   4.00735658E+02   8.38357515E-01   1.60517648E-01   5.15676666E-04   7.91514337E-26   2.42204520E-04   2.76324228E-04   5.78819959E-05   2.29882678E-05  
  17               3.57353899E-02   4.08332381E+02   8.38357601E-01   1.60517562E-01   5.15676553E-04   2.46675129E-25   2.42204467E-04   2.76324167E-04   5.78819833E-05   2.29882555E-05  
  18               4.21752787E-02   4.17984066E+02   8.38357780E-01   1.60517384E-01   5.15676321E-04   1.00490748E-24   2.42204358E-04   2.76324043E-04   5.78819572E-05   2.29882299E-05  
  19               4.96647271E-02   4.26180304E+02   8.38357926E-01   1.60517237E-01   5.15676119E-04   3.10711854E-24   2.42204263E-04   2.76323935E-04   5.78819345E-05   2.29882090E-05  
  20               5.83716369E-02   4.36536573E+02   8.38357337E-01   1.60516778E-01   5.15675180E-04   1.24019718E-23   2.42203822E-04   2.76323432E-04   5.78818291E-05   2.29881432E-05  
  21               6.84881973E-02   4.45576990E+02   8.38357621E-01   1.60516433E-01   5.15687288E-04   3.89158351E-23   2.42209509E-04   2.76329920E-04   5.78831882E-05   2.29880937E-05  
  22               8.02328762E-02   4.56965150E+02   8.38357716E-01   1.60515896E-01   5.15686828E-04   1.56800416E-22   2.42209293E-04   2.76329673E-04   5.78831365E-05   2.29880169E-05  
  23               9.38490392E-02   4.67328789E+02   8.38357899E-01   1.60515711E-01   5.15688026E-04   5.20518334E-22   2.42209855E-04   2.76330315E-04   5.78832710E-05   2.29879904E-05  
  24               1.09611161E-01   4.80134674E+02   8.38358724E-01   1.60514883E-01   5.15689254E-04   2.16660380E-21   2.42210432E-04   2.76330973E-04   5.78834089E-05   2.29878718E-05  
  25               1.27842261E-01   4.91255059E+02   8.38359425E-01   1.60514185E-01   5.15688207E-04   6.95074688E-21   2.42209940E-04   2.76330412E-04   5.78832913E-05   2.29877718E-05  
