# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   2.75381491E+02   8.38486894E-01   1.60535019E-01   4.93399116E-37   4.51369352E-04   3.40046782E-04   9.77000294E-05   5.95362879E-05   0.00000000E+00  
  2                3.28409023E-04   3.17130811E+02   8.38482019E-01   1.60539875E-01   2.38556242E-32   4.51375965E-04   3.40051763E-04   9.77014606E-05   5.95371601E-05   0.00000000E+00  
  3                6.80214630E-04   3.39816979E+02   8.38483973E-01   1.60537890E-01   4.15368599E-30   4.51373621E-04   3.40049997E-04   9.77009533E-05   5.95368509E-05   0.00000000E+00  
  4                1.08318668E-03   3.49486199E+02   8.38483942E-01   1.60537920E-01   2.79033232E-29   4.51373951E-04   3.40050246E-04   9.77010248E-05   5.95368945E-05   0.00000000E+00  
  5                1.54958001E-03   3.62908459E+02   8.38485535E-01   1.60536332E-01   3.75709104E-28   4.51372086E-04   3.40048841E-04   9.77006210E-05   5.95366484E-05   0.00000000E+00  
  6                2.09121790E-03   3.69389224E+02   8.38485357E-01   1.60536509E-01   1.15153498E-27   4.51372166E-04   3.40048901E-04   9.77006383E-05   5.95366589E-05   0.00000000E+00  
  7                2.72155787E-03   3.81012694E+02   8.38486908E-01   1.60534852E-01   8.84041225E-27   4.51370127E-04   3.40047365E-04   9.77001970E-05   5.95363901E-05   0.00000000E+00  
  8                3.45569590E-03   3.86704668E+02   8.38486769E-01   1.60534986E-01   2.16546020E-26   4.51372648E-04   3.40049265E-04   9.77007428E-05   5.95367226E-05   0.00000000E+00  
  9                4.31147208E-03   3.97638916E+02   8.38488439E-01   1.60533321E-01   1.25693888E-25   4.51370680E-04   3.40047782E-04   9.77003168E-05   5.95364631E-05   0.00000000E+00  
  10               5.30936439E-03   4.02896291E+02   8.38488267E-01   1.60533492E-01   2.68433526E-25   4.51370783E-04   3.40047860E-04   9.77003391E-05   5.95364766E-05   0.00000000E+00  
  11               6.47350424E-03   4.13410874E+02   8.38489625E-01   1.60531852E-01   1.27880671E-24   4.51368896E-04   3.40046438E-04   9.76999305E-05   5.95362276E-05   0.00000000E+00  
  12               7.83175058E-03   4.18482108E+02   8.38489450E-01   1.60532023E-01   2.51372263E-24   4.51368863E-04   3.40046413E-04   9.76999234E-05   5.95362233E-05   0.00000000E+00  
  13               9.41699056E-03   4.28884300E+02   8.38490970E-01   1.60530508E-01   1.05328573E-23   4.51366611E-04   3.40044717E-04   9.76994360E-05   5.95359263E-05   0.00000000E+00  
  14               1.12672078E-02   4.34027741E+02   8.38490714E-01   1.60530670E-01   1.99247083E-23   4.51378174E-04   3.40053427E-04   9.77019388E-05   5.95374515E-05   0.00000000E+00  
  15               1.34262648E-02   4.44908419E+02   8.38491567E-01   1.60529026E-01   8.04374696E-23   4.51376621E-04   3.40052258E-04   9.77016026E-05   5.95372466E-05   0.00000000E+00  
  16               1.59439283E-02   4.50869289E+02   8.38491318E-01   1.60528866E-01   1.61406441E-22   4.51376999E-04   3.40052542E-04   9.77016844E-05   5.95372965E-05   0.00000000E+00  
  17               1.88777620E-02   4.62563113E+02   8.38492676E-01   1.60527505E-01   6.49431818E-22   4.51377982E-04   3.40053283E-04   9.77018973E-05   5.95374262E-05   0.00000000E+00  
  18               2.22955325E-02   4.68703183E+02   8.38492690E-01   1.60527491E-01   1.26005918E-21   4.51377896E-04   3.40053218E-04   9.77018787E-05   5.95374148E-05   0.00000000E+00  
  19               2.62784081E-02   4.80127028E+02   8.38491984E-01   1.60525758E-01   4.42168755E-21   4.51375231E-04   3.40051210E-04   9.77013018E-05   5.95370633E-05   0.00000000E+00  
  20               3.09173552E-02   4.86788835E+02   8.38492208E-01   1.60525483E-01   8.64030101E-21   4.51399518E-04   3.40069508E-04   9.77065588E-05   5.95402668E-05   0.00000000E+00  
  21               3.63170062E-02   4.98914555E+02   8.38493501E-01   1.60524194E-01   2.97293003E-20   4.51397960E-04   3.40068334E-04   9.77062215E-05   5.95400613E-05   0.00000000E+00  
  22               4.25956152E-02   5.06370611E+02   8.38493662E-01   1.60524033E-01   5.97776321E-20   4.51397698E-04   3.40068136E-04   9.77061648E-05   5.95400267E-05   0.00000000E+00  
  23               4.98895733E-02   5.19406797E+02   8.38494903E-01   1.60522796E-01   2.04170027E-19   4.51396197E-04   3.40067005E-04   9.77058398E-05   5.95398287E-05   0.00000000E+00  
  24               5.83576545E-02   5.27878329E+02   8.38495157E-01   1.60522542E-01   4.26569146E-19   4.51395824E-04   3.40066725E-04   9.77057592E-05   5.95397795E-05   0.00000000E+00  
  25               6.81829635E-02   5.42033863E+02   8.38496332E-01   1.60521371E-01   1.45636590E-18   4.51394399E-04   3.40065651E-04   9.77054508E-05   5.95395916E-05   0.00000000E+00  
  26               7.95711510E-02   5.51677682E+02   8.38496655E-01   1.60521049E-01   3.15877725E-18   4.51393951E-04   3.40065314E-04   9.77053538E-05   5.95395325E-05   0.00000000E+00  
  27               9.27552975E-02   5.67114547E+02   8.38497737E-01   1.60519970E-01   1.07688221E-17   4.51392638E-04   3.40064324E-04   9.77050695E-05   5.95393592E-05   0.00000000E+00  
  28               1.07994152E-01   5.78269737E+02   8.38498123E-01   1.60519584E-01   2.45156973E-17   4.51392121E-04   3.40063934E-04   9.77049576E-05   5.95392911E-05   0.00000000E+00  
  29               1.25584613E-01   5.95431771E+02   8.38499118E-01   1.60518592E-01   8.48836675E-17   4.51390925E-04   3.40063034E-04   9.77046988E-05   5.95391334E-05   0.00000000E+00  
  30               1.45851555E-01   6.08493419E+02   8.38499548E-01   1.60518162E-01   2.04330499E-16   4.51390367E-04   3.40062614E-04   9.77045781E-05   5.95390598E-05   0.00000000E+00  
  31               1.69154335E-01   6.27677595E+02   8.38500430E-01   1.60517283E-01   7.16510389E-16   4.51389308E-04   3.40061816E-04   9.77043488E-05   5.95389201E-05   0.00000000E+00  
  32               1.95897212E-01   6.43105023E+02   8.38500873E-01   1.60516837E-01   1.83086563E-15   4.51388743E-04   3.40061390E-04   9.77042265E-05   5.95388456E-05   0.00000000E+00  
  33               2.26547203E-01   6.64854879E+02   8.38501635E-01   1.60516077E-01   6.54792457E-15   4.51387903E-04   3.40060757E-04   9.77040447E-05   5.95387347E-05   0.00000000E+00  
  34               2.61614860E-01   6.83242609E+02   8.38502037E-01   1.60515640E-01   1.78089662E-14   4.51387356E-04   3.40060345E-04   9.77039263E-05   5.95386626E-05   0.00000000E+00  
  35               3.01651271E-01   7.08008038E+02   8.38502663E-01   1.60515014E-01   6.44430491E-14   4.51387144E-04   3.40060185E-04   9.77038804E-05   5.95386346E-05   0.00000000E+00  
  36               3.47218195E-01   7.29663851E+02   8.38502867E-01   1.60514601E-01   1.82637645E-13   4.51386718E-04   3.40059864E-04   9.77037881E-05   5.95385784E-05   0.00000000E+00  
  37               3.98900102E-01   7.57698213E+02   8.38503303E-01   1.60514098E-01   6.54745348E-13   4.51388874E-04   3.40061489E-04   9.77042549E-05   5.95388629E-05   0.00000000E+00  
  38               4.57340112E-01   7.82873456E+02   8.38503435E-01   1.60513740E-01   1.88821015E-12   4.51391483E-04   3.40063454E-04   9.77048195E-05   5.95392069E-05   0.00000000E+00  
  39               5.23413930E-01   8.14292986E+02   8.38503830E-01   1.60513335E-01   6.54377775E-12   4.51391032E-04   3.40063115E-04   9.77047220E-05   5.95391475E-05   0.00000000E+00  
  40               5.97988047E-01   8.42966003E+02   8.38504119E-01   1.60513001E-01   1.86041289E-11   4.51390722E-04   3.40062880E-04   9.77046548E-05   5.95391065E-05   0.00000000E+00  
  41               6.81914690E-01   8.77698570E+02   8.38504531E-01   1.60512441E-01   6.08167864E-11   4.51390462E-04   3.40062685E-04   9.77045985E-05   5.95390722E-05   0.00000000E+00  
  42               7.75942768E-01   9.09862903E+02   8.38504865E-01   1.60511624E-01   1.66803364E-10   4.51390778E-04   3.40062923E-04   9.77046670E-05   5.95391140E-05   0.00000000E+00  
  43               8.80912212E-01   9.46153680E+02   8.38505202E-01   1.60509805E-01   4.82029408E-10   4.51393271E-04   3.40064801E-04   9.77052065E-05   5.95394428E-05   0.00000000E+00  
  44               9.98127852E-01   9.79354839E+02   8.38506269E-01   1.60506988E-01   1.17883394E-09   4.51400887E-04   3.40070537E-04   9.77068547E-05   5.95404471E-05   0.00000000E+00  
  45               1.12903019E+00   1.01709915E+03   8.38512010E-01   1.60501267E-01   3.05145464E-09   4.51392680E-04   3.40064349E-04   9.77050766E-05   5.95393636E-05   0.00000000E+00  
  46               1.27507269E+00   1.05148728E+03   8.38520400E-01   1.60492911E-01   6.78660644E-09   4.51380925E-04   3.40055469E-04   9.77025244E-05   5.95378091E-05   1.39586713E-15  
  47               1.43769619E+00   1.09072519E+03   8.38535551E-01   1.60477815E-01   1.59743669E-08   4.51360045E-04   3.40039643E-04   9.76979709E-05   5.95350392E-05   1.11929974E-14  
  48               1.61849506E+00   1.12515569E+03   8.38552344E-01   1.60461070E-01   3.19326840E-08   4.51337152E-04   3.40022003E-04   9.76928545E-05   5.95319576E-05   6.12229288E-14  
  49               1.81948407E+00   1.16405998E+03   8.38575887E-01   1.60437567E-01   6.68100230E-08   4.51306404E-04   3.39997384E-04   9.76855086E-05   5.95276852E-05   3.80283835E-13  
  50               2.04343464E+00   1.19829341E+03   8.38596610E-01   1.60416841E-01   1.21837772E-07   4.51283655E-04   3.39974752E-04   9.76774502E-05   5.95239297E-05   1.69837871E-12  
  51               2.29328831E+00   1.23720628E+03   8.38621117E-01   1.60392272E-01   2.32822864E-07   4.51268180E-04   3.39944370E-04   9.76615984E-05   5.95195121E-05   8.59995332E-12  
  52               2.57207322E+00   1.27139073E+03   8.38639521E-01   1.60373734E-01   3.94395559E-07   4.51296601E-04   3.39904567E-04   9.76192605E-05   5.95161932E-05   3.22270318E-11  
  53               2.88299491E+00   1.31036550E+03   8.38659443E-01   1.60353571E-01   6.99211444E-07   4.51409926E-04   3.39815836E-04   9.74857573E-05   5.95126125E-05   1.35602875E-10  
  54               3.22944328E+00   1.34448868E+03   8.38673136E-01   1.60339692E-01   1.11314697E-06   4.51723741E-04   3.39604166E-04   9.70867157E-05   5.95101493E-05   4.33209871E-10  
  55               3.61527988E+00   1.38353787E+03   8.38687731E-01   1.60325070E-01   1.85278512E-06   4.52405653E-04   3.39108277E-04   9.60647231E-05   5.95075015E-05   1.54295146E-09  
  56               4.04652491E+00   1.41764803E+03   8.38697552E-01   1.60315658E-01   2.79982253E-06   4.53722561E-04   3.38079132E-04   9.37826114E-05   5.95056366E-05   4.28455120E-09  
  57               4.53094049E+00   1.45699804E+03   8.38709381E-01   1.60306030E-01   4.42566952E-06   4.56015927E-04   3.36191900E-04   8.94042975E-05   5.95038848E-05   8.25770545E-09  
