# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   2.80736698E+02   8.38416844E-01   1.60517438E-01   3.02962533E-36   4.44456428E-04   3.25086530E-04   2.06396952E-04   5.85609140E-05   2.29900067E-05  
  2                7.21962135E-04   3.23609267E+02   8.38407489E-01   1.60526754E-01   8.42788709E-32   4.44470727E-04   3.25096989E-04   2.06403593E-04   5.85627980E-05   2.29913410E-05  
  3                1.51169796E-03   3.43389389E+02   8.38407948E-01   1.60526253E-01   6.22298966E-30   4.44479345E-04   3.25103293E-04   2.06407595E-04   5.85639336E-05   2.29912692E-05  
  4                2.41470585E-03   3.57330658E+02   8.38408414E-01   1.60525773E-01   9.72477238E-29   4.44484919E-04   3.25107369E-04   2.06410183E-04   5.85646679E-05   2.29912005E-05  
  5                3.45759471E-03   3.68058879E+02   8.38408762E-01   1.60525416E-01   6.92492088E-28   4.44489104E-04   3.25110430E-04   2.06412127E-04   5.85652193E-05   2.29911493E-05  
  6                4.66672012E-03   3.78470232E+02   8.38409084E-01   1.60524867E-01   4.24737715E-27   4.44492361E-04   3.25112812E-04   2.06413639E-04   5.85656484E-05   2.29910708E-05  
  7                6.07132326E-03   3.87259723E+02   8.38409467E-01   1.60524472E-01   1.80072339E-26   4.44497638E-04   3.25116672E-04   2.06416090E-04   5.85663437E-05   2.29910141E-05  
  8                7.70511586E-03   3.96387875E+02   8.38410006E-01   1.60523926E-01   7.63086019E-26   4.44500314E-04   3.25118630E-04   2.06417332E-04   5.85666963E-05   2.29909360E-05  
  9                9.60706021E-03   4.04273143E+02   8.38410370E-01   1.60523557E-01   2.49208050E-25   4.44503005E-04   3.25120598E-04   2.06418582E-04   5.85670509E-05   2.29908831E-05  
  10               1.18221773E-02   4.12799602E+02   8.38410923E-01   1.60522998E-01   8.61136333E-25   4.44505395E-04   3.25122346E-04   2.06419692E-04   5.85673658E-05   2.29908030E-05  
  11               1.44024294E-02   4.20413973E+02   8.38411309E-01   1.60522605E-01   2.47427069E-24   4.44507900E-04   3.25124178E-04   2.06420855E-04   5.85676958E-05   2.29907467E-05  
  12               1.74086970E-02   4.28894694E+02   8.38411916E-01   1.60521989E-01   7.75760954E-24   4.44510097E-04   3.25125785E-04   2.06421875E-04   5.85679853E-05   2.29906586E-05  
  13               2.09112564E-02   4.36673434E+02   8.38411486E-01   1.60521361E-01   2.11170432E-23   4.44511979E-04   3.25127162E-04   2.06422749E-04   5.85682333E-05   2.29905685E-05  
  14               2.49906713E-02   4.45578416E+02   8.38412231E-01   1.60520536E-01   6.44394564E-23   4.44524419E-04   3.25136260E-04   2.06428526E-04   5.85698723E-05   2.29904503E-05  
  15               2.97393238E-02   4.54078887E+02   8.38412479E-01   1.60519868E-01   1.78565703E-22   4.44526674E-04   3.25137910E-04   2.06429573E-04   5.85701695E-05   2.29903547E-05  
  16               3.52611800E-02   4.64173527E+02   8.38413223E-01   1.60519111E-01   5.78926340E-22   4.44531979E-04   3.25141790E-04   2.06432037E-04   5.85708685E-05   2.29902464E-05  
