# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  1                1.00000000E-05   2.08647200E+02   8.38306555E-01   1.60508382E-01   5.88598735E-04   3.10746193E-50   3.47268785E-04   1.57722865E-04   5.68291959E-05   2.29871499E-05  
  2                3.17134628E-05   2.51945328E+02   8.38306583E-01   1.60508354E-01   5.88598690E-04   3.98494682E-41   3.47268759E-04   1.57722853E-04   5.68291916E-05   2.29871459E-05  
  3                5.73279550E-05   2.53512856E+02   8.38306566E-01   1.60508370E-01   5.88598727E-04   5.63528797E-41   3.47268781E-04   1.57722863E-04   5.68291952E-05   2.29871483E-05  
  4                8.85350604E-05   2.68399628E+02   8.38306605E-01   1.60508332E-01   5.88598668E-04   1.39590933E-38   3.47268746E-04   1.57722847E-04   5.68291895E-05   2.29871428E-05  
  5                1.26587197E-04   2.68869051E+02   8.38306582E-01   1.60508355E-01   5.88598720E-04   1.38426633E-38   3.47268777E-04   1.57722861E-04   5.68291946E-05   2.29871462E-05  
  6                1.73121559E-04   2.81316153E+02   8.38306640E-01   1.60508297E-01   5.88598630E-04   8.82391170E-37   3.47268723E-04   1.57722837E-04   5.68291858E-05   2.29871378E-05  
  7                2.30040790E-04   2.81378768E+02   8.38306604E-01   1.60508333E-01   5.88598704E-04   7.81513438E-37   3.47268767E-04   1.57722857E-04   5.68291930E-05   2.29871430E-05  
  8                2.99791873E-04   2.92327066E+02   8.38306678E-01   1.60508259E-01   5.88598587E-04   2.24086200E-35   3.47268698E-04   1.57722825E-04   5.68291817E-05   2.29871324E-05  
  9                3.85278259E-04   2.92160156E+02   8.38306628E-01   1.60508309E-01   5.88598687E-04   1.87797637E-35   3.47268757E-04   1.57722852E-04   5.68291913E-05   2.29871395E-05  
  10               4.90128912E-04   3.02626744E+02   8.38306721E-01   1.60508216E-01   5.88598539E-04   3.70892071E-34   3.47268670E-04   1.57722813E-04   5.68291771E-05   2.29871263E-05  
  11               6.18697088E-04   3.02617161E+02   8.38306659E-01   1.60508278E-01   5.88598660E-04   3.29209339E-34   3.47268741E-04   1.57722845E-04   5.68291887E-05   2.29871350E-05  
  12               7.76402127E-04   3.12961968E+02   8.38306776E-01   1.60508162E-01   5.88598472E-04   5.15445780E-33   3.47268630E-04   1.57722795E-04   5.68291706E-05   2.29871184E-05  
  13               9.69794640E-04   3.13133836E+02   8.38306699E-01   1.60508237E-01   5.88598618E-04   4.82906817E-33   3.47268716E-04   1.57722834E-04   5.68291847E-05   2.29871292E-05  
  14               1.20700258E-03   3.23462440E+02   8.38306843E-01   1.60508093E-01   5.88598406E-04   6.28184917E-32   3.47268592E-04   1.57722777E-04   5.68291643E-05   2.29871086E-05  
  15               1.49788247E-03   3.23752210E+02   8.38306748E-01   1.60508187E-01   5.88598586E-04   6.06361016E-32   3.47268697E-04   1.57722825E-04   5.68291816E-05   2.29871220E-05  
  16               1.85457101E-03   3.34320690E+02   8.38306929E-01   1.60508007E-01   5.88598291E-04   7.06451564E-31   3.47268524E-04   1.57722746E-04   5.68291532E-05   2.29870963E-05  
  17               2.29181231E-03   3.34830628E+02   8.38306809E-01   1.60508121E-01   5.88598503E-04   7.16204229E-31   3.47268649E-04   1.57722803E-04   5.68291736E-05   2.29871125E-05  
  18               2.82770214E-03   3.45766167E+02   8.38307037E-01   1.60507893E-01   5.88598209E-04   7.69468010E-30   3.47268475E-04   1.57722724E-04   5.68291452E-05   2.29870800E-05  
  19               3.48429655E-03   3.46522905E+02   8.38306897E-01   1.60508032E-01   5.88598468E-04   8.18202680E-30   3.47268628E-04   1.57722793E-04   5.68291702E-05   2.29870999E-05  
  20               4.28872167E-03   3.57897596E+02   8.38307170E-01   1.60507741E-01   5.88597980E-04   8.19704006E-29   3.47268340E-04   1.57722663E-04   5.68291231E-05   2.29870582E-05  
  21               5.27391020E-03   3.58972467E+02   8.38307002E-01   1.60507907E-01   5.88598547E-04   9.20827821E-29   3.47268675E-04   1.57722815E-04   5.68291778E-05   2.29870820E-05  
  22               6.48017040E-03   3.70871982E+02   8.38307371E-01   1.60507540E-01   5.88597935E-04   8.69126025E-28   3.47268313E-04   1.57722651E-04   5.68291187E-05   2.29870293E-05  
  23               7.95641397E-03   3.72387064E+02   8.38307172E-01   1.60507738E-01   5.88598296E-04   1.04637457E-27   3.47268526E-04   1.57722747E-04   5.68291536E-05   2.29870578E-05  
  24               9.76258939E-03   3.84782773E+02   8.38307586E-01   1.60507262E-01   5.88597477E-04   9.17307928E-27   3.47268043E-04   1.57722528E-04   5.68290745E-05   2.29869896E-05  
  25               1.19711728E-02   3.86657068E+02   8.38307348E-01   1.60507497E-01   5.88598746E-04   1.15352468E-26   3.47268792E-04   1.57722868E-04   5.68291971E-05   2.29870232E-05  
  26               1.46707870E-02   3.99618439E+02   8.38307936E-01   1.60506911E-01   5.88597762E-04   9.45273033E-26   3.47268211E-04   1.57722604E-04   5.68291020E-05   2.29869394E-05  
  27               1.79685679E-02   4.01917704E+02   8.38307650E-01   1.60507197E-01   5.88598277E-04   1.24451483E-25   3.47268515E-04   1.57722742E-04   5.68291518E-05   2.29869802E-05  
  28               2.19946188E-02   4.15558478E+02   8.38308203E-01   1.60506426E-01   5.88596919E-04   9.63682620E-25   3.47267714E-04   1.57722378E-04   5.68290207E-05   2.29868699E-05  
  29               2.69053016E-02   4.18375084E+02   8.38307884E-01   1.60506737E-01   5.88600348E-04   1.33430649E-24   3.47269737E-04   1.57723297E-04   5.68293517E-05   2.29869144E-05  
