# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   3.02373969E+02   8.38566406E-01   1.60531459E-01   2.41582478E-33   5.26255723E-04   2.74258259E-04   6.03796917E-05   0.00000000E+00   2.29909791E-05  
  2                9.64613443E-05   3.56569533E+02   8.38569138E-01   1.60528733E-01   4.15978428E-28   5.26252522E-04   2.74256505E-04   6.03794809E-05   0.00000000E+00   2.29905887E-05  
  3                1.90053552E-04   3.81831451E+02   8.38570424E-01   1.60527447E-01   3.87885745E-26   5.26252044E-04   2.74256088E-04   6.03797325E-05   0.00000000E+00   2.29904045E-05  
  4                2.96124214E-04   3.95537529E+02   8.38570638E-01   1.60527231E-01   3.37572989E-25   5.26252933E-04   2.74256397E-04   6.03801158E-05   0.00000000E+00   2.29903735E-05  
  5                4.17636268E-04   4.10474358E+02   8.38568444E-01   1.60526262E-01   3.19399657E-24   5.26253467E-04   2.74256532E-04   6.03804387E-05   0.00000000E+00   2.29902348E-05  
  6                5.57348704E-04   4.20512504E+02   8.38568746E-01   1.60525894E-01   1.27654189E-23   5.26252898E-04   2.74256101E-04   6.03806213E-05   0.00000000E+00   2.29901820E-05  
  7                7.18323779E-04   4.33652739E+02   8.38568685E-01   1.60525538E-01   7.48851558E-23   5.26257006E-04   2.74258112E-04   6.03813317E-05   0.00000000E+00   2.29901311E-05  
  8                9.04112178E-04   4.41969019E+02   8.38568463E-01   1.60525757E-01   2.09145843E-22   5.26258814E-04   2.74258928E-04   6.03817720E-05   0.00000000E+00   2.29901624E-05  
  9                1.11932380E-03   4.51704138E+02   8.38568589E-01   1.60525629E-01   6.78651866E-22   5.26259616E-04   2.74259222E-04   6.03820925E-05   0.00000000E+00   2.29901441E-05  
  10               1.36890439E-03   4.58757809E+02   8.38568587E-01   1.60525630E-01   1.50395266E-21   5.26260581E-04   2.74259603E-04   6.03824288E-05   0.00000000E+00   2.29901442E-05  
