# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   3.28698306E+02   8.38429853E-01   1.60499023E-01   2.51272253E-30   4.52640474E-04   3.10750957E-04   2.16950845E-04   5.93335062E-05   0.00000000E+00  
  2                6.12968576E-04   3.78138843E+02   8.38421896E-01   1.60506951E-01   1.10274952E-26   4.52652369E-04   3.10759123E-04   2.16956546E-04   5.93350612E-05   0.00000000E+00  
  3                1.28015426E-03   4.00768599E+02   8.38422816E-01   1.60506027E-01   3.86550110E-25   4.52653807E-04   3.10760109E-04   2.16957235E-04   5.93352300E-05   0.00000000E+00  
  4                2.04412418E-03   4.14089207E+02   8.38422788E-01   1.60506046E-01   2.52547976E-24   4.52655556E-04   3.10761310E-04   2.16958074E-04   5.93354474E-05   0.00000000E+00  
  5                2.92651680E-03   4.27386448E+02   8.38423328E-01   1.60505487E-01   1.52369780E-23   4.52656057E-04   3.10761653E-04   2.16958314E-04   5.93355040E-05   0.00000000E+00  
  6                3.94977171E-03   4.36722545E+02   8.38423168E-01   1.60505529E-01   4.89188454E-23   4.52657290E-04   3.10762499E-04   2.16958905E-04   5.93356581E-05   0.00000000E+00  
  7                5.13894635E-03   4.47908354E+02   8.38423297E-01   1.60505054E-01   1.93233927E-22   4.52657458E-04   3.10762614E-04   2.16958985E-04   5.93356735E-05   0.00000000E+00  
  8                6.52197285E-03   4.56346304E+02   8.38423040E-01   1.60505229E-01   5.08643246E-22   4.52692793E-04   3.10786872E-04   2.16975921E-04   5.93402993E-05   0.00000000E+00  
  9                8.13270763E-03   4.66059708E+02   8.38421377E-01   1.60504529E-01   1.51667356E-21   4.52693122E-04   3.10787098E-04   2.16976079E-04   5.93403368E-05   0.00000000E+00  
  10               1.00111525E-02   4.72905477E+02   8.38421417E-01   1.60504490E-01   3.09840689E-21   4.52693005E-04   3.10787017E-04   2.16976023E-04   5.93403162E-05   0.00000000E+00  
  11               1.22026093E-02   4.82047931E+02   8.38421676E-01   1.60504230E-01   8.07438715E-21   4.52693345E-04   3.10787250E-04   2.16976186E-04   5.93403555E-05   0.00000000E+00  
  12               1.47591819E-02   4.88754674E+02   8.38421545E-01   1.60504359E-01   1.55468012E-20   4.52694215E-04   3.10787848E-04   2.16976603E-04   5.93404646E-05   0.00000000E+00  
  13               1.77411945E-02   4.97989725E+02   8.38421815E-01   1.60504088E-01   3.85553304E-20   4.52694503E-04   3.10788045E-04   2.16976741E-04   5.93404973E-05   0.00000000E+00  
  14               2.12179984E-02   5.04905401E+02   8.38421727E-01   1.60504175E-01   7.28103147E-20   4.52695283E-04   3.10788580E-04   2.16977115E-04   5.93405948E-05   0.00000000E+00  
  15               2.52696947E-02   5.14499017E+02   8.38422018E-01   1.60503883E-01   1.76708039E-19   4.52695522E-04   3.10788744E-04   2.16977229E-04   5.93406212E-05   0.00000000E+00  
  16               2.99899001E-02   5.21902400E+02   8.38421987E-01   1.60503913E-01   3.35699069E-19   4.52696216E-04   3.10789220E-04   2.16977562E-04   5.93407074E-05   0.00000000E+00  
  17               3.54869962E-02   5.32109245E+02   8.38422308E-01   1.60503591E-01   8.13937258E-19   4.52696413E-04   3.10789355E-04   2.16977656E-04   5.93407284E-05   0.00000000E+00  
  18               4.18851682E-02   5.40175351E+02   8.38422333E-01   1.60503565E-01   1.57133254E-18   4.52697031E-04   3.10789779E-04   2.16977952E-04   5.93408045E-05   0.00000000E+00  
  19               4.93267724E-02   5.51175386E+02   8.38422682E-01   1.60503216E-01   3.84035740E-18   4.52697198E-04   3.10789894E-04   2.16978033E-04   5.93408215E-05   0.00000000E+00  
  20               5.79745898E-02   5.60196908E+02   8.38422773E-01   1.60503123E-01   7.66289626E-18   4.52697737E-04   3.10790264E-04   2.16978291E-04   5.93408871E-05   0.00000000E+00  
  21               6.80151074E-02   5.72279618E+02   8.38423153E-01   1.60502743E-01   1.91465540E-17   4.52697882E-04   3.10790363E-04   2.16978360E-04   5.93409011E-05   0.00000000E+00  
  22               7.96586766E-02   5.82456880E+02   8.38423304E-01   1.60502591E-01   3.96426291E-17   4.52698359E-04   3.10790690E-04   2.16978589E-04   5.93409584E-05   0.00000000E+00  
  23               9.31432019E-02   5.95790647E+02   8.38423700E-01   1.60502194E-01   1.01225929E-16   4.52698516E-04   3.10790797E-04   2.16978664E-04   5.93409736E-05   0.00000000E+00  
