# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   3.06117164E+02   8.38372401E-01   1.60492876E-01   6.97413878E-33   5.36007444E-04   2.10314723E-04   2.98468036E-04   5.87449367E-05   2.29864875E-05  
  2                3.15500878E-05   3.34095160E+02   8.38373893E-01   1.60491164E-01   5.13696848E-30   5.36004787E-04   2.10313681E-04   2.98466556E-04   5.87446456E-05   2.29862423E-05  
  3                5.71854301E-05   3.47709380E+02   8.38374149E-01   1.60490903E-01   8.27122126E-29   5.36007409E-04   2.10314710E-04   2.98468016E-04   5.87449331E-05   2.29862050E-05  
  4                8.82750141E-05   3.56740415E+02   8.38374069E-01   1.60490982E-01   4.50348454E-28   5.36007525E-04   2.10314755E-04   2.98468081E-04   5.87449461E-05   2.29862163E-05  
  5                1.26158476E-04   3.65838928E+02   8.38374211E-01   1.60490841E-01   2.35082953E-27   5.36007332E-04   2.10314680E-04   2.98467973E-04   5.87449254E-05   2.29861961E-05  
  6                1.72418220E-04   3.72768965E+02   8.38374130E-01   1.60490921E-01   7.64121861E-27   5.36007461E-04   2.10314730E-04   2.98468045E-04   5.87449399E-05   2.29862076E-05  
  7                2.28974942E-04   3.80695577E+02   8.38374258E-01   1.60490794E-01   2.87715977E-26   5.36007295E-04   2.10314665E-04   2.98467953E-04   5.87449222E-05   2.29861893E-05  
  8                2.98154373E-04   3.87140057E+02   8.38374213E-01   1.60490839E-01   7.95651070E-26   5.36007374E-04   2.10314696E-04   2.98467997E-04   5.87449316E-05   2.29861958E-05  
  9                3.82801340E-04   3.94753501E+02   8.38373801E-01   1.60490607E-01   2.60127172E-25   5.36006970E-04   2.10314537E-04   2.98467771E-04   5.87448880E-05   2.29861626E-05  
  10               4.86386211E-04   4.01070018E+02   8.38373806E-01   1.60490584E-01   6.58766094E-25   5.36015360E-04   2.10317829E-04   2.98472443E-04   5.87458084E-05   2.29861593E-05  
  11               6.13166533E-04   4.08531973E+02   8.38373914E-01   1.60490475E-01   1.94330802E-24   5.36015236E-04   2.10317781E-04   2.98472375E-04   5.87457959E-05   2.29861437E-05  
  12               7.68341165E-04   4.14746926E+02   8.38373859E-01   1.60490516E-01   4.55554647E-24   5.36015343E-04   2.10317823E-04   2.98472434E-04   5.87458088E-05   2.29861496E-05  
  13               9.58290866E-04   4.22099404E+02   8.38373929E-01   1.60490446E-01   1.23140725E-23   5.36015331E-04   2.10317818E-04   2.98472427E-04   5.87458088E-05   2.29861395E-05  
  14               1.19086298E-03   4.28227340E+02   8.38373764E-01   1.60490492E-01   2.69538630E-23   5.36015497E-04   2.10317883E-04   2.98472519E-04   5.87458284E-05   2.29861461E-05  
  15               1.47565909E-03   4.35604117E+02   8.38371406E-01   1.60490063E-01   6.85547122E-23   5.36015271E-04   2.10317794E-04   2.98472394E-04   5.87458052E-05   2.29860847E-05  
  16               1.82440384E-03   4.41860391E+02   8.38371205E-01   1.60489844E-01   1.45057200E-22   5.36049301E-04   2.10331147E-04   2.98491343E-04   5.87495367E-05   2.29860532E-05  
