# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  1                1.00000000E-05   3.14248305E+02   8.38265427E-01   1.60469993E-01   6.39993048E-32   6.79092907E-04   4.35887381E-04   5.80475025E-05   5.69496547E-05   2.29814894E-05  
  2                8.67502162E-05   3.40317230E+02   8.38261511E-01   1.60473893E-01   1.30258243E-29   6.79101581E-04   4.35892949E-04   5.80482440E-05   5.69503822E-05   2.29820479E-05  
  3                1.77448187E-04   3.59951179E+02   8.38262680E-01   1.60472728E-01   6.12440457E-28   6.79099267E-04   4.35891464E-04   5.80480462E-05   5.69501884E-05   2.29818811E-05  
  4                2.86894065E-04   3.64280384E+02   8.38260824E-01   1.60474577E-01   1.14643945E-27   6.79102984E-04   4.35893850E-04   5.80483639E-05   5.69505004E-05   2.29821459E-05  
  5                4.19714664E-04   3.78217034E+02   8.38261865E-01   1.60473243E-01   1.35167800E-26   6.79100265E-04   4.35892104E-04   5.80481315E-05   5.69502727E-05   2.29819548E-05  
  6                5.81088644E-04   3.81129824E+02   8.38260504E-01   1.60474591E-01   1.95361213E-26   6.79107263E-04   4.35896596E-04   5.80487297E-05   5.69508600E-05   2.29821479E-05  
  7                7.77457153E-04   3.93551861E+02   8.38261731E-01   1.60473368E-01   1.48925738E-25   6.79104835E-04   4.35895037E-04   5.80485221E-05   5.69506568E-05   2.29819728E-05  
  8                1.01643520E-03   3.96154164E+02   8.38260597E-01   1.60474498E-01   2.01994754E-25   6.79107175E-04   4.35896539E-04   5.80487221E-05   5.69508536E-05   2.29821346E-05  
  9                1.30750045E-03   4.07792086E+02   8.38261688E-01   1.60473411E-01   1.18393683E-24   6.79104998E-04   4.35895142E-04   5.80485360E-05   5.69506718E-05   2.29819790E-05  
  10               1.66201223E-03   4.10156513E+02   8.38260642E-01   1.60474450E-01   1.52298952E-24   6.79107099E-04   4.35896491E-04   5.80487156E-05   5.69508489E-05   2.29821277E-05  
  11               2.09401500E-03   4.21312575E+02   8.38260976E-01   1.60473378E-01   7.41396600E-24   6.79104721E-04   4.35894964E-04   5.80485123E-05   5.69506504E-05   2.29819742E-05  
  12               2.62050801E-03   4.23492761E+02   8.38259984E-01   1.60474326E-01   9.14044758E-24   6.79117757E-04   4.35903332E-04   5.80496266E-05   5.69517448E-05   2.29821100E-05  
  13               3.26246737E-03   4.34382416E+02   8.38260823E-01   1.60473490E-01   3.88957798E-23   6.79116204E-04   4.35902335E-04   5.80494939E-05   5.69516160E-05   2.29819903E-05  
  14               4.04520573E-03   4.36553776E+02   8.38259704E-01   1.60474464E-01   4.72159333E-23   6.79118259E-04   4.35903654E-04   5.80496696E-05   5.69517900E-05   2.29821297E-05  
  15               4.99971024E-03   4.47479724E+02   8.38260408E-01   1.60473760E-01   1.85144426E-22   6.79117896E-04   4.35903421E-04   5.80496385E-05   5.69517614E-05   2.29820290E-05  
  16               6.16327773E-03   4.49915789E+02   8.38259191E-01   1.60474654E-01   2.29316933E-22   6.79119540E-04   4.35904476E-04   5.80497790E-05   5.69519013E-05   2.29821569E-05  
  17               7.58123985E-03   4.61335620E+02   8.38257662E-01   1.60473639E-01   8.80467357E-22   6.79121000E-04   4.35905414E-04   5.80499039E-05   5.69520263E-05   2.29820115E-05  
  18               9.30804669E-03   4.64362336E+02   8.38256961E-01   1.60474261E-01   1.15285148E-21   6.79163813E-04   4.35932893E-04   5.80535634E-05   5.69556193E-05   2.29821007E-05  
  19               1.14121882E-02   4.75208886E+02   8.38257577E-01   1.60473648E-01   3.80098924E-21   6.79162583E-04   4.35932104E-04   5.80534583E-05   5.69555194E-05   2.29820129E-05  
  20               1.39750451E-02   4.78362313E+02   8.38256727E-01   1.60474494E-01   4.95052978E-21   6.79164611E-04   4.35933406E-04   5.80536316E-05   5.69556928E-05   2.29821341E-05  
  21               1.70957168E-02   4.89525358E+02   8.38257319E-01   1.60473904E-01   1.57223829E-20   6.79163443E-04   4.35932656E-04   5.80535318E-05   5.69555987E-05   2.29820496E-05  
  22               2.08941328E-02   4.92810500E+02   8.38256456E-01   1.60474764E-01   2.03632517E-20   6.79165155E-04   4.35933755E-04   5.80536782E-05   5.69557464E-05   2.29821727E-05  
  23               2.55153969E-02   5.04287594E+02   8.38257020E-01   1.60474202E-01   6.22688641E-20   6.79164043E-04   4.35933041E-04   5.80535831E-05   5.69556576E-05   2.29820922E-05  
