# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  1                1.00000000E-05   4.44519518E+02   8.38551854E-01   1.60520387E-01   2.79880545E-21   4.95555713E-04   2.89262385E-04   5.93726955E-05   0.00000000E+00   5.10079577E-05  
  2                1.19349987E-04   5.09807038E+02   8.38551819E-01   1.60520402E-01   1.60434914E-18   4.95565862E-04   2.89265949E-04   5.93754320E-05   0.00000000E+00   5.10086494E-05  
  3                2.42970922E-04   5.31653207E+02   8.38551743E-01   1.60520394E-01   9.42832959E-18   4.95612781E-04   2.89285856E-04   5.93876859E-05   0.00000000E+00   5.10123890E-05  
  4                3.87999704E-04   5.52351559E+02   8.38551689E-01   1.60520365E-01   4.79582673E-17   4.95660141E-04   2.89307633E-04   5.93999557E-05   0.00000000E+00   5.10164145E-05  
  5                5.59531114E-04   5.63565470E+02   8.38551614E-01   1.60520354E-01   1.03408340E-16   4.95706232E-04   2.89329969E-04   5.94118559E-05   0.00000000E+00   5.10204958E-05  
  6                7.63287808E-04   5.78516717E+02   8.38551568E-01   1.60520314E-01   2.97368364E-16   4.95751160E-04   2.89352572E-04   5.94234563E-05   0.00000000E+00   5.10245892E-05  
  7                1.00582804E-03   5.86651829E+02   8.38551491E-01   1.60520306E-01   4.88083988E-16   4.95795289E-04   2.89375417E-04   5.94348605E-05   0.00000000E+00   5.10286960E-05  
  8                1.29494219E-03   5.99608509E+02   8.38551460E-01   1.60520256E-01   1.13898622E-15   4.95839025E-04   2.89398574E-04   5.94461694E-05   0.00000000E+00   5.10328332E-05  
  9                1.63979489E-03   6.06575070E+02   8.38551363E-01   1.60520246E-01   1.67965681E-15   4.95882280E-04   2.89421880E-04   5.94574097E-05   0.00000000E+00   5.10369748E-05  
  10               2.05135236E-03   6.18704218E+02   8.38551346E-01   1.60520182E-01   3.53066091E-15   4.95925295E-04   2.89445391E-04   5.94686387E-05   0.00000000E+00   5.10411330E-05  
  11               2.54268248E-03   6.25024216E+02   8.38551264E-01   1.60520180E-01   4.88671768E-15   4.95968220E-04   2.89469134E-04   5.94798896E-05   0.00000000E+00   5.10453140E-05  
  12               3.12965489E-03   6.36595654E+02   8.38551259E-01   1.60520103E-01   9.50954049E-15   4.96011675E-04   2.89493424E-04   5.94912517E-05   0.00000000E+00   5.10495744E-05  
  13               3.83119099E-03   6.42522260E+02   8.38551109E-01   1.60520096E-01   1.26127950E-14   4.96054475E-04   2.89517529E-04   5.95025855E-05   0.00000000E+00   5.10537864E-05  
  14               4.66998342E-03   6.53773229E+02   8.38551117E-01   1.60520006E-01   2.32167034E-14   4.96097297E-04   2.89541814E-04   5.95139814E-05   0.00000000E+00   5.10580148E-05  
  15               5.67302790E-03   6.59476364E+02   8.38551019E-01   1.60520019E-01   2.99012227E-14   4.96139885E-04   2.89566104E-04   5.95254054E-05   0.00000000E+00   5.10622294E-05  
  16               6.87268342E-03   6.70559300E+02   8.38551034E-01   1.60519918E-01   5.27655586E-14   4.96184555E-04   2.89591726E-04   5.95371439E-05   0.00000000E+00   5.10666649E-05  
  17               8.30755964E-03   6.76092227E+02   8.38550767E-01   1.60519912E-01   6.63145053E-14   4.96226967E-04   2.89616131E-04   5.95486705E-05   0.00000000E+00   5.10708719E-05  
  18               1.00237526E-02   6.87124625E+02   8.38550793E-01   1.60519802E-01   1.13280839E-13   4.96269764E-04   2.89640843E-04   5.95603100E-05   0.00000000E+00   5.10751196E-05  
  19               1.20760725E-02   6.92600763E+02   8.38550673E-01   1.60519838E-01   1.40015501E-13   4.96311902E-04   2.89665240E-04   5.95719311E-05   0.00000000E+00   5.10792986E-05  
  20               1.45295810E-02   7.03948617E+02   8.38550718E-01   1.60519712E-01   2.36601792E-13   4.96353518E-04   2.89689389E-04   5.95835606E-05   0.00000000E+00   5.10834208E-05  
  21               1.74612758E-02   7.09802987E+02   8.38550397E-01   1.60519713E-01   2.94477590E-13   4.96395189E-04   2.89713616E-04   5.95952630E-05   0.00000000E+00   5.10875439E-05  
  22               2.09620003E-02   7.21794773E+02   8.38550468E-01   1.60519555E-01   5.00059709E-13   4.96438929E-04   2.89739086E-04   5.96072925E-05   0.00000000E+00   5.10918734E-05  
  23               2.51383223E-02   7.28376734E+02   8.38550354E-01   1.60519585E-01   6.36554255E-13   4.96480354E-04   2.89763234E-04   5.96191248E-05   0.00000000E+00   5.10959568E-05  
  24               3.01154510E-02   7.41492623E+02   8.38550493E-01   1.60519365E-01   1.10796392E-12   4.96521152E-04   2.89787037E-04   5.96309815E-05   0.00000000E+00   5.10999660E-05  
  25               3.60398050E-02   7.49158810E+02   8.38550406E-01   1.60519367E-01   1.46098680E-12   4.96562369E-04   2.89811099E-04   5.96429950E-05   0.00000000E+00   5.11040074E-05  
  26               4.30824838E-02   7.63536080E+02   8.38550648E-01   1.60519041E-01   2.60477262E-12   4.96602926E-04   2.89834786E-04   5.96550559E-05   0.00000000E+00   5.11079685E-05  
