# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   4.80986296E+02   8.38449548E-01   1.60500673E-01   2.49999908E-19   3.48368781E-04   4.21538081E-04   1.86420097E-04   5.95049323E-05   0.00000000E+00  
  2                2.44882127E-05   5.05525670E+02   8.38449594E-01   1.60500624E-01   2.28511035E-18   3.48368771E-04   4.21538069E-04   1.86420092E-04   5.95049304E-05   0.00000000E+00  
  3                4.21708069E-05   5.18038090E+02   8.38449590E-01   1.60500617E-01   6.14016298E-18   3.48368767E-04   4.21538064E-04   1.86420089E-04   5.95049291E-05   0.00000000E+00  
  4                6.40857824E-05   5.24584219E+02   8.38449541E-01   1.60500649E-01   9.40389113E-18   3.48368814E-04   4.21538121E-04   1.86420115E-04   5.95049361E-05   0.00000000E+00  
  5                9.13224743E-05   5.33959302E+02   8.38449547E-01   1.60500639E-01   1.90536328E-17   3.48368802E-04   4.21538107E-04   1.86420108E-04   5.95049327E-05   0.00000000E+00  
  6                1.25195806E-04   5.39766248E+02   8.38449519E-01   1.60500657E-01   2.76966601E-17   3.48368831E-04   4.21538141E-04   1.86420123E-04   5.95049354E-05   0.00000000E+00  
  7                1.67338712E-04   5.48797721E+02   8.38449535E-01   1.60500639E-01   5.35780664E-17   3.48368820E-04   4.21538127E-04   1.86420117E-04   5.95049308E-05   0.00000000E+00  
  8                2.19765171E-04   5.54724493E+02   8.38449518E-01   1.60500650E-01   7.81740452E-17   3.48368840E-04   4.21538152E-04   1.86420128E-04   5.95049307E-05   0.00000000E+00  
  9                2.84983041E-04   5.63839405E+02   8.38449543E-01   1.60500624E-01   1.48215824E-16   3.48368818E-04   4.21538125E-04   1.86420117E-04   5.95049222E-05   0.00000000E+00  
  10               3.66090376E-04   5.70062768E+02   8.38449529E-01   1.60500629E-01   2.18092270E-16   3.48368834E-04   4.21538145E-04   1.86420125E-04   5.95049189E-05   0.00000000E+00  
  11               4.66948032E-04   5.79306349E+02   8.38449563E-01   1.60500595E-01   4.04568204E-16   3.48368838E-04   4.21538148E-04   1.86420127E-04   5.95049117E-05   0.00000000E+00  
  12               5.92331454E-04   5.85764109E+02   8.38449557E-01   1.60500597E-01   5.93974989E-16   3.48368854E-04   4.21538168E-04   1.86420136E-04   5.95049047E-05   0.00000000E+00  
  13               7.48186173E-04   5.95101723E+02   8.38449599E-01   1.60500554E-01   1.07290743E-15   3.48368832E-04   4.21538141E-04   1.86420124E-04   5.95048887E-05   0.00000000E+00  
  14               9.41861220E-04   6.01781484E+02   8.38449580E-01   1.60500552E-01   1.56585559E-15   3.48368848E-04   4.21538160E-04   1.86420132E-04   5.95048760E-05   0.00000000E+00  
