# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   4.02923518E+02   8.38541169E-01   1.60518030E-01   6.21277472E-24   5.29450514E-04   3.15255493E-04   6.05094142E-05   0.00000000E+00   0.00000000E+00  
  2                1.86269350E-05   4.56731850E+02   8.38540933E-01   1.60518282E-01   9.99410065E-21   5.29446156E-04   3.15252898E-04   6.05089187E-05   0.00000000E+00   0.00000000E+00  
  3                2.86288916E-05   4.77832787E+02   8.38540965E-01   1.60518275E-01   1.02933180E-19   5.29436015E-04   3.15246858E-04   6.05077654E-05   0.00000000E+00   0.00000000E+00  
  4                4.05624225E-05   4.97607245E+02   8.38541007E-01   1.60518257E-01   7.74278157E-19   5.29429702E-04   3.15243097E-04   6.05070530E-05   0.00000000E+00   0.00000000E+00  
  5                5.48924152E-05   5.10151738E+02   8.38541043E-01   1.60518243E-01   2.44979301E-18   5.29420489E-04   3.15237608E-04   6.05060119E-05   0.00000000E+00   0.00000000E+00  
  6                7.21634191E-05   5.25511325E+02   8.38541118E-01   1.60518192E-01   9.68533805E-18   5.29413311E-04   3.15233330E-04   6.05052051E-05   0.00000000E+00   0.00000000E+00  
  7                9.30243240E-05   5.35801845E+02   8.38541170E-01   1.60518151E-01   2.23787660E-17   5.29408461E-04   3.15230439E-04   6.05046656E-05   0.00000000E+00   0.00000000E+00  
  8                1.18259249E-04   5.49622051E+02   8.38541321E-01   1.60518019E-01   6.85098464E-17   5.29403548E-04   3.15227509E-04   6.05041197E-05   0.00000000E+00   0.00000000E+00  
  9                1.48809310E-04   5.58937978E+02   8.38541422E-01   1.60517926E-01   1.36030297E-16   5.29397753E-04   3.15224054E-04   6.05034736E-05   0.00000000E+00   0.00000000E+00  
  10               1.85819823E-04   5.71918774E+02   8.38541723E-01   1.60517640E-01   3.55839148E-16   5.29394268E-04   3.15221975E-04   6.05030921E-05   0.00000000E+00   0.00000000E+00  
  11               2.30670799E-04   5.80690566E+02   8.38541898E-01   1.60517462E-01   6.41803247E-16   5.29389768E-04   3.15219291E-04   6.05025948E-05   0.00000000E+00   0.00000000E+00  
