# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  1                1.00000000E-05   4.88364431E+02   8.38547453E-01   1.60519317E-01   5.72158198E-19   4.94197328E-04   2.92608147E-04   6.01715196E-05   5.36777832E-05   0.00000000E+00  
  2                1.82240929E-05   5.19200398E+02   8.38548081E-01   1.60518725E-01   1.04694519E-17   4.94196520E-04   2.92607669E-04   6.01714212E-05   5.36776955E-05   0.00000000E+00  
  3                2.82424292E-05   5.31003272E+02   8.38548233E-01   1.60518565E-01   2.60239018E-17   4.94196429E-04   2.92607614E-04   6.01714099E-05   5.36776856E-05   0.00000000E+00  
  4                4.06219982E-05   5.44260785E+02   8.38548710E-01   1.60518091E-01   7.28269498E-17   4.94195852E-04   2.92607273E-04   6.01713393E-05   5.36776229E-05   0.00000000E+00  
  5                5.59577687E-05   5.52856914E+02   8.38548825E-01   1.60517966E-01   1.31924223E-16   4.94195931E-04   2.92607320E-04   6.01713484E-05   5.36776315E-05   0.00000000E+00  
  6                7.49810131E-05   5.64451166E+02   8.38549474E-01   1.60517320E-01   3.04039230E-16   4.94195212E-04   2.92606894E-04   6.01712601E-05   5.36775534E-05   0.00000000E+00  
  7                9.85905356E-05   5.72278534E+02   8.38549613E-01   1.60517150E-01   5.02918135E-16   4.94195458E-04   2.92607040E-04   6.01712891E-05   5.36775802E-05   0.00000000E+00  
  8                1.27906152E-04   5.83202568E+02   8.38550476E-01   1.60516291E-01   1.04854853E-15   4.94194612E-04   2.92606539E-04   6.01711845E-05   5.36774883E-05   0.00000000E+00  
  9                1.64310236E-04   5.90741384E+02   8.38550680E-01   1.60516081E-01   1.64962497E-15   4.94194946E-04   2.92606737E-04   6.01712234E-05   5.36775247E-05   0.00000000E+00  
  10               2.09523248E-04   6.01369948E+02   8.38551729E-01   1.60514970E-01   3.22195793E-15   4.94194599E-04   2.92606531E-04   6.01711786E-05   5.36774870E-05   0.00000000E+00  
  11               2.65670460E-04   6.08835450E+02   8.38551972E-01   1.60514722E-01   4.90614493E-15   4.94195180E-04   2.92606875E-04   6.01712462E-05   5.36775502E-05   0.00000000E+00  
