# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   4.23153122E+02   8.38520313E-01   1.60514194E-01   1.40809821E-22   5.29611326E-04   3.41640459E-04   6.05467190E-05   0.00000000E+00   0.00000000E+00  
  2                1.78816594E-05   4.70297435E+02   8.38520352E-01   1.60514168E-01   5.38329267E-20   5.29608464E-04   3.41638658E-04   6.05463953E-05   0.00000000E+00   0.00000000E+00  
  3                2.70273375E-05   4.99239584E+02   8.38520453E-01   1.60514115E-01   1.12793813E-18   5.29601009E-04   3.41633945E-04   6.05455503E-05   0.00000000E+00   0.00000000E+00  
  4                3.79153572E-05   5.13792770E+02   8.38520526E-01   1.60514063E-01   4.25195525E-18   5.29594483E-04   3.41629866E-04   6.05448141E-05   0.00000000E+00   0.00000000E+00  
  5                5.09874861E-05   5.32649135E+02   8.38520779E-01   1.60513848E-01   2.25824971E-17   5.29585450E-04   3.41624192E-04   6.05437928E-05   0.00000000E+00   0.00000000E+00  
  6                6.67380565E-05   5.43086674E+02   8.38520930E-01   1.60513707E-01   5.11599591E-17   5.29579836E-04   3.41620738E-04   6.05431635E-05   0.00000000E+00   0.00000000E+00  
  7                8.57583284E-05   5.59415851E+02   8.38521591E-01   1.60513079E-01   1.86565562E-16   5.29570511E-04   3.41614900E-04   6.05421106E-05   0.00000000E+00   0.00000000E+00  
  8                1.08747681E-04   5.68584624E+02   8.38521912E-01   1.60512752E-01   3.54762905E-16   5.29566563E-04   3.41612537E-04   6.05416728E-05   0.00000000E+00   0.00000000E+00  
  9                1.36557412E-04   5.83850611E+02   8.38523429E-01   1.60511261E-01   1.06710522E-15   5.29554866E-04   3.41605181E-04   6.05403495E-05   0.00000000E+00   0.00000000E+00  
  10               1.70206936E-04   5.92390822E+02   8.38524024E-01   1.60510631E-01   1.83580455E-15   5.29551956E-04   3.41603496E-04   6.05400310E-05   0.00000000E+00   0.00000000E+00  
  11               2.10935730E-04   6.07120619E+02   8.38527033E-01   1.60507630E-01   4.87009338E-15   5.29540317E-04   3.41596184E-04   6.05387148E-05   0.00000000E+00   0.00000000E+00  
  12               2.60228216E-04   6.15428769E+02   8.38527976E-01   1.60506529E-01   7.89501632E-15   5.29537733E-04   3.41594714E-04   6.05384338E-05   0.00000000E+00   0.00000000E+00  
  13               3.19887087E-04   6.30088017E+02   8.38533367E-01   1.60501103E-01   1.93603399E-14   5.29524788E-04   3.41586562E-04   6.05369683E-05   0.00000000E+00   0.00000000E+00  
  14               3.92112582E-04   6.38450458E+02   8.38535110E-01   1.60499363E-01   3.03139913E-14   5.29521964E-04   3.41584940E-04   6.05366599E-05   0.00000000E+00   0.00000000E+00  
  15               4.79577375E-04   6.53268740E+02   8.38543771E-01   1.60490527E-01   7.02139766E-14   5.29506539E-04   3.41575189E-04   6.05349110E-05   0.00000000E+00   0.00000000E+00  
  16               5.85498333E-04   6.61772690E+02   8.38546263E-01   1.60488037E-01   1.06988248E-13   5.29503346E-04   3.41573329E-04   6.05345604E-05   0.00000000E+00   0.00000000E+00  
  17               7.13772645E-04   6.76744573E+02   8.38558807E-01   1.60475533E-01   2.34935832E-13   5.29485239E-04   3.41561847E-04   6.05325047E-05   0.00000000E+00   0.00000000E+00  
