# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               H2S              NH3              CO              
  1                1.00000000E-05   3.47505048E+01   8.38154546E-01   1.60479277E-01   7.56929759E-04   5.09301089E-04   5.39889326E-05   2.29836819E-05   1.35835345E-05   5.09558102E-06  
  2                6.47747526E-05   4.22905143E+01   8.38154546E-01   1.60479277E-01   7.56929745E-04   5.09301080E-04   5.39889316E-05   2.29836819E-05   1.35835342E-05   5.09558093E-06  
  3                1.28031842E-04   4.71725559E+01   8.38154547E-01   1.60479277E-01   7.56929739E-04   5.09301076E-04   5.39889312E-05   2.29836819E-05   1.35835341E-05   5.09558089E-06  
  4                2.01088046E-04   5.00284706E+01   8.38154547E-01   1.60479277E-01   7.56929735E-04   5.09301073E-04   5.39889308E-05   2.29836819E-05   1.35835340E-05   5.09558086E-06  
  5                2.85457731E-04   5.31261273E+01   8.38154547E-01   1.60479277E-01   7.56929732E-04   5.09301071E-04   5.39889306E-05   2.29836819E-05   1.35835339E-05   5.09558084E-06  
  6                3.82874896E-04   5.52488827E+01   8.38154547E-01   1.60479277E-01   7.56929729E-04   5.09301069E-04   5.39889304E-05   2.29836819E-05   1.35835339E-05   5.09558082E-06  
  7                4.95349549E-04   5.79885681E+01   8.38154547E-01   1.60479277E-01   7.56929726E-04   5.09301067E-04   5.39889302E-05   2.29836819E-05   1.35835338E-05   5.09558081E-06  
  8                6.25184544E-04   5.98948340E+01   8.38154547E-01   1.60479277E-01   7.56929724E-04   5.09301066E-04   5.39889300E-05   2.29836819E-05   1.35835338E-05   5.09558079E-06  
  9                7.75019637E-04   6.26097485E+01   8.38154547E-01   1.60479277E-01   7.56929722E-04   5.09301064E-04   5.39889299E-05   2.29836819E-05   1.35835337E-05   5.09558078E-06  
  10               9.47918420E-04   6.44914174E+01   8.38154547E-01   1.60479277E-01   7.56929720E-04   5.09301063E-04   5.39889297E-05   2.29836819E-05   1.35835337E-05   5.09558076E-06  
  11               1.14738276E-03   6.72537513E+01   8.38154547E-01   1.60479277E-01   7.56929718E-04   5.09301062E-04   5.39889296E-05   2.29836819E-05   1.35835337E-05   5.09558075E-06  
  12               1.37740677E-03   6.92095166E+01   8.38154547E-01   1.60479277E-01   7.56929716E-04   5.09301060E-04   5.39889294E-05   2.29836819E-05   1.35835336E-05   5.09558074E-06  
  13               1.64252924E-03   7.21456784E+01   8.38154547E-01   1.60479277E-01   7.56929714E-04   5.09301059E-04   5.39889293E-05   2.29836819E-05   1.35835336E-05   5.09558072E-06  
