# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              H2O(s)          
  1                1.00000000E-05   3.00618970E+01   8.38125852E-01   1.60473785E-01   7.73959786E-04   5.24963639E-04   4.83521752E-05   2.50566744E-05   2.29820068E-05   0.00000000E+00  
  2                4.10821508E-05   3.64794575E+01   8.38125852E-01   1.60473785E-01   7.73959770E-04   5.24963629E-04   4.83521743E-05   2.50566739E-05   2.29820068E-05   0.00000000E+00  
  3                7.75758718E-05   3.97612186E+01   8.38125852E-01   1.60473785E-01   7.73959762E-04   5.24963623E-04   4.83521738E-05   2.50566736E-05   2.29820068E-05   0.00000000E+00  
  4                1.20421506E-04   4.22333752E+01   8.38125852E-01   1.60473785E-01   7.73959756E-04   5.24963619E-04   4.83521735E-05   2.50566734E-05   2.29820068E-05   0.00000000E+00  
  5                1.70721431E-04   4.42027038E+01   8.38125852E-01   1.60473785E-01   7.73959751E-04   5.24963616E-04   4.83521732E-05   2.50566733E-05   2.29820068E-05   0.00000000E+00  
  6                2.29767041E-04   4.61230762E+01   8.38125853E-01   1.60473785E-01   7.73959747E-04   5.24963613E-04   4.83521730E-05   2.50566731E-05   2.29820068E-05   0.00000000E+00  
  7                2.99072758E-04   4.77678114E+01   8.38125853E-01   1.60473785E-01   7.73959744E-04   5.24963611E-04   4.83521728E-05   2.50566730E-05   2.29820068E-05   0.00000000E+00  
  8                3.80406735E-04   4.95249758E+01   8.38125853E-01   1.60473785E-01   7.73959740E-04   5.24963608E-04   4.83521726E-05   2.50566729E-05   2.29820068E-05   0.00000000E+00  
  9                4.75849178E-04   5.10676870E+01   8.38125853E-01   1.60473785E-01   7.73959737E-04   5.24963606E-04   4.83521725E-05   2.50566728E-05   2.29820068E-05   0.00000000E+00  
  10               5.87827856E-04   5.27780586E+01   8.38125853E-01   1.60473785E-01   7.73959734E-04   5.24963604E-04   4.83521723E-05   2.50566727E-05   2.29820068E-05   0.00000000E+00  
  11               7.19172234E-04   5.43382361E+01   8.38125853E-01   1.60473785E-01   7.73959731E-04   5.24963602E-04   4.83521721E-05   2.50566727E-05   2.29820068E-05   0.00000000E+00  
  12               8.73209201E-04   5.61010289E+01   8.38125853E-01   1.60473785E-01   7.73959728E-04   5.24963600E-04   4.83521720E-05   2.50566726E-05   2.29820068E-05   0.00000000E+00  
  13               1.05382345E-03   5.77251343E+01   8.38125853E-01   1.60473785E-01   7.73959725E-04   5.24963598E-04   4.83521718E-05   2.50566725E-05   2.29820068E-05   0.00000000E+00  
  14               1.26552883E-03   5.96173405E+01   8.38125853E-01   1.60473785E-01   7.73959722E-04   5.24963596E-04   4.83521716E-05   2.50566724E-05   2.29820068E-05   0.00000000E+00  
  15               1.51357765E-03   6.14174261E+01   8.38125853E-01   1.60473785E-01   7.73959719E-04   5.24963594E-04   4.83521715E-05   2.50566723E-05   2.29820068E-05   0.00000000E+00  
  16               1.80415094E-03   6.35035009E+01   8.38125853E-01   1.60473785E-01   7.73959716E-04   5.24963592E-04   4.83521713E-05   2.50566722E-05   2.29820068E-05   0.00000000E+00  
  17               2.14442022E-03   6.55017219E+01   8.38125853E-01   1.60473785E-01   7.73959713E-04   5.24963590E-04   4.83521711E-05   2.50566721E-05   2.29820068E-05   0.00000000E+00  
  18               2.54266821E-03   6.78615775E+01   8.38125853E-01   1.60473785E-01   7.73959710E-04   5.24963588E-04   4.83521709E-05   2.50566720E-05   2.29820068E-05   0.00000000E+00  
  19               3.00846288E-03   7.02004346E+01   8.38125853E-01   1.60473785E-01   7.73959706E-04   5.24963585E-04   4.83521707E-05   2.50566719E-05   2.29820068E-05   0.00000000E+00  
  20               3.55240177E-03   7.29530288E+01   8.38125853E-01   1.60473785E-01   7.73959703E-04   5.24963583E-04   4.83521705E-05   2.50566718E-05   2.29820068E-05   0.00000000E+00  
  21               4.18361317E-03   7.57426948E+01   8.38125853E-01   1.60473785E-01   7.73959699E-04   5.24963580E-04   4.83521703E-05   2.50566717E-05   2.29820068E-05   0.00000000E+00  
  22               4.91163689E-03   7.90844825E+01   8.38125853E-01   1.60473785E-01   7.73959695E-04   5.24963577E-04   4.83521701E-05   2.50566715E-05   2.29820068E-05   0.00000000E+00  
  23               5.74661594E-03   8.28114964E+01   8.38125853E-01   1.60473785E-01   7.73959690E-04   5.24963575E-04   4.83521699E-05   2.50566714E-05   2.29820068E-05   0.00000000E+00  
  24               6.70200912E-03   8.68160075E+01   8.38125853E-01   1.60473785E-01   7.73959686E-04   5.24963572E-04   4.83521696E-05   2.50566713E-05   2.29820068E-05   0.00000000E+00  
  25               7.79595911E-03   9.11613503E+01   8.38125853E-01   1.60473785E-01   7.73959683E-04   5.24963570E-04   4.83521695E-05   2.50566712E-05   2.29820068E-05   0.00000000E+00  
  26               9.05045084E-03   9.54318258E+01   8.38125853E-01   1.60473785E-01   7.73959681E-04   5.24963568E-04   4.83521693E-05   2.50566711E-05   2.29820068E-05   0.00000000E+00  
  27               1.04907011E-02   1.00097530E+02   8.38125699E-01   1.60473756E-01   7.73959679E-04   5.24963567E-04   4.83521693E-05   2.50566711E-05   2.29820026E-05   1.11810940E-16  
  28               1.21459358E-02   1.04697716E+02   8.38125132E-01   1.60473647E-01   7.73959820E-04   5.24963663E-04   4.83521781E-05   2.50566756E-05   2.29819870E-05   1.38613690E-15  
  29               1.40505254E-02   1.09747258E+02   8.38123129E-01   1.60473264E-01   7.73960485E-04   5.24964113E-04   4.83522196E-05   2.50566971E-05   2.29819321E-05   1.28901481E-14  
  30               1.62444616E-02   1.14740166E+02   8.38114865E-01   1.60471681E-01   7.73963000E-04   5.24965819E-04   4.83523767E-05   2.50567786E-05   2.29817055E-05   1.27032039E-13  
  31               1.87733760E-02   1.20261011E+02   8.38038393E-01   1.60457040E-01   7.73972986E-04   5.24972593E-04   4.83530007E-05   2.50571019E-05   2.29796086E-05   9.85099975E-13  
  32               2.16892110E-02   1.25792159E+02   8.38125714E-01   1.60473759E-01   7.74052988E-04   5.25026857E-04   4.83579987E-05   2.50596919E-05   2.29820030E-05   8.18649655E-12  
  33               2.50512706E-02   1.31949912E+02   8.38125717E-01   1.60473759E-01   7.74050581E-04   5.25025225E-04   4.83578483E-05   2.50596140E-05   2.29820031E-05   5.27299918E-11  
  34               2.89283537E-02   1.38058526E+02   8.38125732E-01   1.60473762E-01   7.74040759E-04   5.25018562E-04   4.83572347E-05   2.50592960E-05   2.29820035E-05   3.68394346E-10  
  35               3.33996437E-02   1.44885410E+02   8.38125824E-01   1.60473780E-01   7.73978065E-04   5.24976038E-04   4.83533180E-05   2.50572663E-05   2.29820060E-05   1.98644538E-09  
  36               3.85569640E-02   1.51615928E+02   8.38125702E-01   1.60473756E-01   7.74054479E-04   5.25027868E-04   4.83580919E-05   2.50597402E-05   2.29820026E-05   1.14254637E-08  
  37               4.45072522E-02   1.59070286E+02   8.38125669E-01   1.60473750E-01   7.74054008E-04   5.25027549E-04   4.83580625E-05   2.50597250E-05   2.29820017E-05   5.19635303E-08  
  38               5.13738120E-02   1.66441316E+02   8.38125499E-01   1.60473717E-01   7.74054673E-04   5.25028000E-04   4.83581041E-05   2.50597465E-05   2.29819971E-05   2.52631540E-07  
  39               5.92966747E-02   1.74603020E+02   8.38124888E-01   1.60473600E-01   7.74054869E-04   5.25028133E-04   4.83581163E-05   2.50597528E-05   2.29819803E-05   9.80510121E-07  
  40               6.84347602E-02   1.82664832E+02   8.38122323E-01   1.60473109E-01   7.74055613E-04   5.25028637E-04   4.83581628E-05   2.50597769E-05   2.29819100E-05   4.03522781E-06  
  41               7.89686302E-02   1.91533537E+02   8.38114437E-01   1.60471599E-01   7.74058681E-04   5.25030719E-04   4.83583546E-05   2.50598763E-05   2.29816938E-05   1.34256104E-05  
  42               9.10965565E-02   2.00281526E+02   8.38086404E-01   1.60466232E-01   7.74068821E-04   5.25037596E-04   4.83589881E-05   2.50602046E-05   2.29809251E-05   4.68096306E-05  
  43               1.05045024E-01   2.09808285E+02   8.38012043E-01   1.60451994E-01   7.74104077E-04   5.25061510E-04   4.83611907E-05   2.50613460E-05   2.29788861E-05   1.35347492E-04  
  44               1.21069521E-01   2.19236271E+02   8.37638278E-01   1.60380430E-01   7.74204552E-04   5.25129660E-04   4.83674678E-05   2.50645988E-05   2.29686371E-05   5.80511180E-04  
  45               1.39467630E-01   2.29430683E+02   8.38124837E-01   1.60473591E-01   7.74641529E-04   5.25426054E-04   4.83947675E-05   2.50787458E-05   2.29819789E-05   0.00000000E+00  
  46               1.60589210E-01   2.39577082E+02   8.38124902E-01   1.60473603E-01   7.74597886E-04   5.25396452E-04   4.83920410E-05   2.50773329E-05   2.29819807E-05   0.00000000E+00  
  47               1.84838576E-01   2.50489582E+02   8.38125573E-01   1.60473732E-01   7.74147457E-04   5.25090934E-04   4.83639012E-05   2.50627505E-05   2.29819991E-05   0.00000000E+00  
  48               2.12687580E-01   2.61422625E+02   8.38124804E-01   1.60473584E-01   7.74664054E-04   5.25441333E-04   4.83961750E-05   2.50794752E-05   2.29819780E-05   0.00000000E+00  
  49               2.44691661E-01   2.73135214E+02   8.38124809E-01   1.60473585E-01   7.74660496E-04   5.25438920E-04   4.83959528E-05   2.50793600E-05   2.29819782E-05   0.00000000E+00  
  50               2.81442187E-01   2.84938807E+02   8.38124803E-01   1.60473584E-01   7.74664765E-04   5.25441815E-04   4.83962196E-05   2.50794982E-05   2.29819780E-05   0.00000000E+00  
  51               3.23607236E-01   2.97515294E+02   8.38124803E-01   1.60473584E-01   7.74664789E-04   5.25441832E-04   4.83962213E-05   2.50794990E-05   2.29819780E-05   0.00000000E+00  
  52               3.71971936E-01   3.10246234E+02   8.38124803E-01   1.60473584E-01   7.74664772E-04   5.25441820E-04   4.83962203E-05   2.50794985E-05   2.29819780E-05   0.00000000E+00  
  53               4.27396085E-01   3.23756749E+02   8.38124803E-01   1.60473584E-01   7.74664752E-04   5.25441806E-04   4.83962192E-05   2.50794979E-05   2.29819780E-05   0.00000000E+00  
  54               4.90850188E-01   3.37466953E+02   8.38124802E-01   1.60473584E-01   7.74664729E-04   5.25441791E-04   4.83962180E-05   2.50794972E-05   2.29819780E-05   0.00000000E+00  
  55               5.63427997E-01   3.51964693E+02   8.38124802E-01   1.60473584E-01   7.74664704E-04   5.25441774E-04   4.83962166E-05   2.50794964E-05   2.29819780E-05   0.00000000E+00  
  56               6.46396793E-01   3.66712358E+02   8.38124792E-01   1.60473582E-01   7.74664677E-04   5.25441755E-04   4.83962151E-05   2.50794956E-05   2.29819777E-05   0.00000000E+00  
  57               7.41179697E-01   3.82278327E+02   8.38124793E-01   1.60473581E-01   7.74664637E-04   5.25441729E-04   4.83962128E-05   2.50794944E-05   2.29819775E-05   0.00000000E+00  
  58               8.49334830E-01   3.98128898E+02   8.38124793E-01   1.60473581E-01   7.74664620E-04   5.25441717E-04   4.83962120E-05   2.50794939E-05   2.29819775E-05   0.00000000E+00  
  59               9.72617638E-01   4.14820295E+02   8.38124507E-01   1.60473525E-01   7.74664576E-04   5.25441688E-04   4.83962096E-05   2.50794925E-05   2.29819695E-05   0.00000000E+00  
  60               1.11297369E+00   4.31812074E+02   8.38124536E-01   1.60473496E-01   7.74664364E-04   5.25441544E-04   4.83961966E-05   2.50794857E-05   2.29819654E-05   0.00000000E+00  
  61               1.27259417E+00   4.49680504E+02   8.38124528E-01   1.60473491E-01   7.74664123E-04   5.25441381E-04   4.83961820E-05   2.50794780E-05   2.29819647E-05   0.00000000E+00  
  62               1.45385756E+00   4.67855649E+02   8.38124123E-01   1.60473417E-01   7.74668773E-04   5.25444534E-04   4.83964728E-05   2.50796287E-05   2.29819540E-05   0.00000000E+00  
