# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   2.80979889E+01   8.38099634E-01   1.60468774E-01   7.79571796E-04   5.30368053E-04   6.72730969E-05   2.70933113E-05   2.29819770E-05   0.00000000E+00  
  2                9.44250597E-05   3.36856328E+01   8.38099635E-01   1.60468774E-01   7.79570956E-04   5.30367481E-04   6.72730244E-05   2.70932821E-05   2.29819771E-05   0.00000000E+00  
  3                1.94133670E-04   3.79089025E+01   8.38099635E-01   1.60468774E-01   7.79570666E-04   5.30367284E-04   6.72729994E-05   2.70932721E-05   2.29819771E-05   0.00000000E+00  
  4                3.11875480E-04   3.96695409E+01   8.38099636E-01   1.60468774E-01   7.79570505E-04   5.30367175E-04   6.72729854E-05   2.70932664E-05   2.29819771E-05   0.00000000E+00  
  5                4.50879791E-04   4.23652453E+01   8.38099636E-01   1.60468774E-01   7.79570389E-04   5.30367096E-04   6.72729754E-05   2.70932624E-05   2.29819771E-05   0.00000000E+00  
  6                6.14963875E-04   4.34579900E+01   8.38099636E-01   1.60468774E-01   7.79570295E-04   5.30367032E-04   6.72729673E-05   2.70932592E-05   2.29819771E-05   0.00000000E+00  
  7                8.08586858E-04   4.58296580E+01   8.38099636E-01   1.60468774E-01   7.79570213E-04   5.30366976E-04   6.72729603E-05   2.70932563E-05   2.29819771E-05   0.00000000E+00  
  8                1.03703152E-03   4.66918296E+01   8.38099636E-01   1.60468774E-01   7.79570138E-04   5.30366925E-04   6.72729538E-05   2.70932537E-05   2.29819771E-05   0.00000000E+00  
  9                1.30646218E-03   4.89821473E+01   8.38099636E-01   1.60468774E-01   7.79570068E-04   5.30366877E-04   6.72729477E-05   2.70932512E-05   2.29819771E-05   0.00000000E+00  
  10               1.62409407E-03   4.97766715E+01   8.38099636E-01   1.60468774E-01   7.79570000E-04   5.30366831E-04   6.72729418E-05   2.70932489E-05   2.29819771E-05   0.00000000E+00  
