# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H2O(s)          
  1                1.00000000E-05   4.17850050E+01   8.38230142E-01   1.60493749E-01   6.94384747E-04   4.51398000E-04   3.89685816E-05   5.72799746E-05   2.29868614E-05   0.00000000E+00  
  2                7.44206092E-05   5.22537136E+01   8.38230141E-01   1.60493749E-01   6.94385124E-04   4.51398245E-04   3.89686027E-05   5.72800060E-05   2.29868614E-05   0.00000000E+00  
  3                1.48816595E-04   5.85829116E+01   8.38230141E-01   1.60493749E-01   6.94385339E-04   4.51398384E-04   3.89686148E-05   5.72800240E-05   2.29868614E-05   0.00000000E+00  
  4                2.34732732E-04   6.31349297E+01   8.38230141E-01   1.60493749E-01   6.94385484E-04   4.51398479E-04   3.89686229E-05   5.72800362E-05   2.29868614E-05   0.00000000E+00  
  5                3.33943904E-04   6.71206503E+01   8.38230141E-01   1.60493749E-01   6.94385601E-04   4.51398555E-04   3.89686295E-05   5.72800460E-05   2.29868614E-05   0.00000000E+00  
  6                4.48486466E-04   7.07151630E+01   8.38230140E-01   1.60493748E-01   6.94385702E-04   4.51398620E-04   3.89686351E-05   5.72800544E-05   2.29868614E-05   0.00000000E+00  
  7                5.80231295E-04   7.42742973E+01   8.38230140E-01   1.60493748E-01   6.94385793E-04   4.51398680E-04   3.89686403E-05   5.72800621E-05   2.29868614E-05   0.00000000E+00  
  8                7.30026610E-04   7.77617655E+01   8.38230140E-01   1.60493748E-01   6.94385879E-04   4.51398736E-04   3.89686451E-05   5.72800693E-05   2.29868614E-05   0.00000000E+00  
  9                8.99222797E-04   8.13092341E+01   8.38230140E-01   1.60493748E-01   6.94385964E-04   4.51398791E-04   3.89686499E-05   5.72800764E-05   2.29868614E-05   0.00000000E+00  
  10               1.08984883E-03   8.47734540E+01   8.38230140E-01   1.60493748E-01   6.94386046E-04   4.51398844E-04   3.89686545E-05   5.72800833E-05   2.29868614E-05   0.00000000E+00  
  11               1.30469988E-03   8.83776477E+01   8.38230140E-01   1.60493748E-01   6.94386119E-04   4.51398891E-04   3.89686586E-05   5.72800894E-05   2.29868614E-05   0.00000000E+00  
