# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  1                1.00000000E-05   3.62309349E+01   8.38157544E-01   1.60479847E-01   7.54796752E-04   5.07331187E-04   5.42850184E-05   5.93041050E-06   2.29849744E-05   1.29875395E-05  
  2                4.89095855E-05   4.38429800E+01   8.38157544E-01   1.60479847E-01   7.54796750E-04   5.07331185E-04   5.42850180E-05   5.93041048E-06   2.29849744E-05   1.29875393E-05  
  3                9.45881083E-05   4.87467815E+01   8.38157544E-01   1.60479847E-01   7.54796749E-04   5.07331184E-04   5.42850178E-05   5.93041048E-06   2.29849744E-05   1.29875392E-05  
  4                1.48213219E-04   5.16112009E+01   8.38157544E-01   1.60479847E-01   7.54796748E-04   5.07331184E-04   5.42850176E-05   5.93041047E-06   2.29849744E-05   1.29875392E-05  
  5                2.11161041E-04   5.48211539E+01   8.38157544E-01   1.60479847E-01   7.54796747E-04   5.07331184E-04   5.42850175E-05   5.93041047E-06   2.29849744E-05   1.29875391E-05  
  6                2.85048185E-04   5.68806408E+01   8.38157544E-01   1.60479847E-01   7.54796747E-04   5.07331183E-04   5.42850174E-05   5.93041046E-06   2.29849744E-05   1.29875390E-05  
  7                3.71758865E-04   5.97316171E+01   8.38157544E-01   1.60479847E-01   7.54796746E-04   5.07331183E-04   5.42850173E-05   5.93041046E-06   2.29849744E-05   1.29875390E-05  
  8                4.73509896E-04   6.15619696E+01   8.38157544E-01   1.60479847E-01   7.54796746E-04   5.07331182E-04   5.42850172E-05   5.93041046E-06   2.29849744E-05   1.29875390E-05  
  9                5.92888970E-04   6.43369800E+01   8.38157544E-01   1.60479847E-01   7.54796745E-04   5.07331182E-04   5.42850171E-05   5.93041045E-06   2.29849744E-05   1.29875389E-05  
  10               7.32909176E-04   6.61583999E+01   8.38157544E-01   1.60479847E-01   7.54796745E-04   5.07331182E-04   5.42850170E-05   5.93041045E-06   2.29849744E-05   1.29875389E-05  
  11               8.97116209E-04   6.90338052E+01   8.38157544E-01   1.60479847E-01   7.54796744E-04   5.07331182E-04   5.42850169E-05   5.93041045E-06   2.29849744E-05   1.29875388E-05  
  12               1.08964442E-03   7.09071801E+01   8.38157544E-01   1.60479847E-01   7.54796744E-04   5.07331181E-04   5.42850168E-05   5.93041045E-06   2.29849744E-05   1.29875388E-05  
  13               1.31451277E-03   7.40166044E+01   8.38157544E-01   1.60479847E-01   7.54796743E-04   5.07331181E-04   5.42850167E-05   5.93041044E-06   2.29849744E-05   1.29875387E-05  
  14               1.57539656E-03   7.61431548E+01   8.38157544E-01   1.60479847E-01   7.54796743E-04   5.07331181E-04   5.42850166E-05   5.93041044E-06   2.29849744E-05   1.29875387E-05  
  15               1.87652829E-03   7.95872125E+01   8.38157544E-01   1.60479847E-01   7.54796742E-04   5.07331180E-04   5.42850165E-05   5.93041044E-06   2.29849744E-05   1.29875386E-05  
  16               2.22283202E-03   8.19892997E+01   8.38157544E-01   1.60479847E-01   7.54796742E-04   5.07331180E-04   5.42850164E-05   5.93041043E-06   2.29849744E-05   1.29875386E-05  
  17               2.62015391E-03   8.58715393E+01   8.38157544E-01   1.60479847E-01   7.54796741E-04   5.07331180E-04   5.42850163E-05   5.93041043E-06   2.29849744E-05   1.29875385E-05  
  18               3.07580064E-03   8.87445181E+01   8.38157544E-01   1.60479847E-01   7.54796741E-04   5.07331180E-04   5.42850162E-05   5.93041043E-06   2.29849744E-05   1.29875385E-05  
  19               3.59869828E-03   9.32130921E+01   8.38157544E-01   1.60479847E-01   7.54796741E-04   5.07331179E-04   5.42850161E-05   5.93041043E-06   2.29849744E-05   1.29875385E-05  
  20               4.19880841E-03   9.66934443E+01   8.38157544E-01   1.60479847E-01   7.54796741E-04   5.07331179E-04   5.42850161E-05   5.93041043E-06   2.29849744E-05   1.29875385E-05  
  21               4.88730916E-03   1.02120643E+02   8.38157003E-01   1.60479744E-01   7.54796741E-04   5.07331179E-04   5.42850161E-05   5.93041043E-06   2.29849596E-05   1.29875385E-05  
  22               5.67731352E-03   1.06330819E+02   8.38154102E-01   1.60479188E-01   7.54797229E-04   5.07331508E-04   5.42850512E-05   5.93041427E-06   2.29848800E-05   1.29875469E-05  
  23               6.58511630E-03   1.12175242E+02   8.38148137E-01   1.60478046E-01   7.54799904E-04   5.07333306E-04   5.42852436E-05   5.93043528E-06   2.29847164E-05   1.29875929E-05  
  24               7.62961757E-03   1.16704237E+02   8.38069041E-01   1.60462902E-01   7.54806750E-04   5.07337907E-04   5.42857359E-05   5.93048907E-06   2.29825474E-05   1.29877107E-05  
  25               8.83232062E-03   1.23043397E+02   8.38157420E-01   1.60479824E-01   7.54879799E-04   5.07387006E-04   5.42909896E-05   5.93106301E-06   2.29849710E-05   1.29889676E-05  
  26               1.02173535E-02   1.28081113E+02   8.38157526E-01   1.60479844E-01   7.54808871E-04   5.07339333E-04   5.42858884E-05   5.93050573E-06   2.29849739E-05   1.29877471E-05  
  27               1.18124326E-02   1.35074163E+02   8.38157406E-01   1.60479821E-01   7.54889192E-04   5.07393320E-04   5.42916650E-05   5.93113681E-06   2.29849706E-05   1.29891291E-05  
  28               1.36499405E-02   1.40656004E+02   8.38157405E-01   1.60479821E-01   7.54889181E-04   5.07393312E-04   5.42916642E-05   5.93113673E-06   2.29849706E-05   1.29891289E-05  
  29               1.57672806E-02   1.48350103E+02   8.38157399E-01   1.60479820E-01   7.54889130E-04   5.07393278E-04   5.42916605E-05   5.93113633E-06   2.29849705E-05   1.29891280E-05  
  30               1.82076260E-02   1.54507659E+02   8.38157356E-01   1.60479811E-01   7.54888503E-04   5.07392857E-04   5.42916154E-05   5.93113140E-06   2.29849693E-05   1.29891172E-05  
  31               2.10209774E-02   1.62907020E+02   8.38157234E-01   1.60479788E-01   7.54889243E-04   5.07393354E-04   5.42916685E-05   5.93113722E-06   2.29849659E-05   1.29891299E-05  
  32               2.42654997E-02   1.69625868E+02   8.38156344E-01   1.60479618E-01   7.54889372E-04   5.07393441E-04   5.42916777E-05   5.93113823E-06   2.29849415E-05   1.29891321E-05  
