# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              CO              
  1                1.00000000E-05   3.38075819E+01   8.38127467E-01   1.60474092E-01   7.73219119E-04   5.24288263E-04   4.89789929E-05   2.38005350E-05   2.29841551E-05   8.88276775E-07  
  2                6.14749354E-05   4.08133301E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288262E-04   4.89789972E-05   2.38005383E-05   2.29841551E-05   8.88276769E-07  
  3                1.22303351E-04   4.54990774E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790000E-05   2.38005405E-05   2.29841551E-05   8.88276766E-07  
  4                1.94185883E-04   4.82118992E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790019E-05   2.38005420E-05   2.29841551E-05   8.88276765E-07  
  5                2.79124705E-04   5.10926269E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790034E-05   2.38005431E-05   2.29841551E-05   8.88276763E-07  
  6                3.79471093E-04   5.31079679E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790047E-05   2.38005442E-05   2.29841551E-05   8.88276762E-07  
  7                4.98007302E-04   5.56311693E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790059E-05   2.38005451E-05   2.29841551E-05   8.88276761E-07  
  8                6.37999001E-04   5.74166937E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790070E-05   2.38005460E-05   2.29841551E-05   8.88276760E-07  
  9                8.03279586E-04   5.98700051E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790082E-05   2.38005469E-05   2.29841551E-05   8.88276759E-07  
  10               9.98387848E-04   6.15892813E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790093E-05   2.38005477E-05   2.29841551E-05   8.88276758E-07  
  11               1.22862828E-03   6.40917482E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790104E-05   2.38005486E-05   2.29841551E-05   8.88276758E-07  
  12               1.50019761E-03   6.59023200E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790115E-05   2.38005494E-05   2.29841551E-05   8.88276757E-07  
  13               1.82043786E-03   6.85793021E+01   8.38127467E-01   1.60474092E-01   7.73219118E-04   5.24288261E-04   4.89790126E-05   2.38005503E-05   2.29841551E-05   8.88276756E-07  
  14               2.19792479E-03   7.05492141E+01   8.38127467E-01   1.60474092E-01   7.73219119E-04   5.24288261E-04   4.89790138E-05   2.38005512E-05   2.29841551E-05   8.88276755E-07  
  15               2.64168734E-03   7.35289527E+01   8.38127467E-01   1.60474092E-01   7.73219119E-04   5.24288261E-04   4.89790150E-05   2.38005522E-05   2.29841551E-05   8.88276754E-07  
  16               3.16008009E-03   7.58366320E+01   8.38127467E-01   1.60474092E-01   7.73219119E-04   5.24288261E-04   4.89790163E-05   2.38005532E-05   2.29841551E-05   8.88276753E-07  
  17               3.76271102E-03   7.92242264E+01   8.38127467E-01   1.60474092E-01   7.73219119E-04   5.24288261E-04   4.89790177E-05   2.38005542E-05   2.29841551E-05   8.88276752E-07  
  18               4.46069629E-03   8.19081807E+01   8.38127467E-01   1.60474092E-01   7.73219119E-04   5.24288261E-04   4.89790190E-05   2.38005553E-05   2.29841551E-05   8.88276751E-07  
  19               5.26721876E-03   8.58060718E+01   8.38127467E-01   1.60474092E-01   7.73219120E-04   5.24288261E-04   4.89790199E-05   2.38005559E-05   2.29841551E-05   8.88276751E-07  
  20               6.19865929E-03   8.90394924E+01   8.38127467E-01   1.60474092E-01   7.73219120E-04   5.24288261E-04   4.89790206E-05   2.38005564E-05   2.29841551E-05   8.88276750E-07  
  21               7.27512341E-03   9.35791796E+01   8.38127467E-01   1.60474092E-01   7.73219120E-04   5.24288261E-04   4.89790210E-05   2.38005568E-05   2.29841551E-05   8.88276750E-07  
  22               8.51955615E-03   9.74506293E+01   8.38127467E-01   1.60474092E-01   7.73219120E-04   5.24288261E-04   4.89790213E-05   2.38005571E-05   2.29841551E-05   8.88276750E-07  
  23               9.95797015E-03   1.03001739E+02   8.38127072E-01   1.60474016E-01   7.73219120E-04   5.24288261E-04   4.89790217E-05   2.38005573E-05   2.29841443E-05   8.88276750E-07  
  24               1.16216573E-02   1.07463588E+02   8.38124972E-01   1.60473614E-01   7.73219485E-04   5.24288509E-04   4.89790452E-05   2.38005689E-05   2.29840867E-05   8.88277168E-07  
  25               1.35483783E-02   1.13491974E+02   8.38120163E-01   1.60472693E-01   7.73221223E-04   5.24289687E-04   4.89791557E-05   2.38006227E-05   2.29839549E-05   8.88279165E-07  
  26               1.57820173E-02   1.18338036E+02   8.38035716E-01   1.60456524E-01   7.73226016E-04   5.24292937E-04   4.89794598E-05   2.38007706E-05   2.29816390E-05   8.88284671E-07  
  27               1.83724368E-02   1.25094876E+02   8.38127343E-01   1.60474068E-01   7.73302444E-04   5.24344760E-04   4.89843017E-05   2.38031236E-05   2.29841517E-05   8.88372471E-07  
  28               2.13772289E-02   1.30410915E+02   8.38127444E-01   1.60474087E-01   7.73234012E-04   5.24298359E-04   4.89799674E-05   2.38010176E-05   2.29841545E-05   8.88293855E-07  
