# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  1                1.00000000E-05   2.35813490E+01   8.38087766E-01   1.60466500E-01   7.79671294E-04   5.30668162E-04   9.52978115E-05   2.29830783E-05   1.28308526E-05   0.00000000E+00  
  2                1.94214031E-05   2.83000496E+01   8.38087766E-01   1.60466500E-01   7.79671290E-04   5.30668160E-04   9.52978110E-05   2.29830783E-05   1.28308526E-05   0.00000000E+00  
  3                3.10900671E-05   2.98194000E+01   8.38087766E-01   1.60466500E-01   7.79671288E-04   5.30668158E-04   9.52978107E-05   2.29830783E-05   1.28308525E-05   0.00000000E+00  
  4                4.55411113E-05   3.09759669E+01   8.38087766E-01   1.60466500E-01   7.79671286E-04   5.30668157E-04   9.52978105E-05   2.29830783E-05   1.28308525E-05   0.00000000E+00  
  5                6.34369916E-05   3.22222098E+01   8.38087766E-01   1.60466500E-01   7.79671284E-04   5.30668156E-04   9.52978102E-05   2.29830783E-05   1.28308525E-05   0.00000000E+00  
  6                8.55968265E-05   3.33259954E+01   8.38087766E-01   1.60466500E-01   7.79671282E-04   5.30668155E-04   9.52978100E-05   2.29830783E-05   1.28308525E-05   0.00000000E+00  
  7                1.13034404E-04   3.45313489E+01   8.38087766E-01   1.60466500E-01   7.79671280E-04   5.30668153E-04   9.52978098E-05   2.29830783E-05   1.28308524E-05   0.00000000E+00  
  8                1.47003393E-04   3.56970084E+01   8.38087766E-01   1.60466500E-01   7.79671279E-04   5.30668152E-04   9.52978096E-05   2.29830783E-05   1.28308524E-05   0.00000000E+00  
  9                1.89052129E-04   3.70776227E+01   8.38087766E-01   1.60466500E-01   7.79671277E-04   5.30668151E-04   9.52978094E-05   2.29830783E-05   1.28308524E-05   0.00000000E+00  
  10               2.41097150E-04   3.84081459E+01   8.38087766E-01   1.60466500E-01   7.79671276E-04   5.30668150E-04   9.52978092E-05   2.29830783E-05   1.28308523E-05   0.00000000E+00  
  11               3.05503770E-04   3.98802326E+01   8.38087766E-01   1.60466500E-01   7.79671274E-04   5.30668149E-04   9.52978090E-05   2.29830783E-05   1.28308523E-05   0.00000000E+00  
  12               3.85190048E-04   4.11823347E+01   8.38087766E-01   1.60466500E-01   7.79671272E-04   5.30668148E-04   9.52978088E-05   2.29830783E-05   1.28308523E-05   0.00000000E+00  
  13               4.83765692E-04   4.25100332E+01   8.38087766E-01   1.60466500E-01   7.79671270E-04   5.30668146E-04   9.52978086E-05   2.29830783E-05   1.28308523E-05   0.00000000E+00  
  14               6.05676300E-04   4.36674131E+01   8.38087766E-01   1.60466500E-01   7.79671268E-04   5.30668145E-04   9.52978083E-05   2.29830783E-05   1.28308522E-05   0.00000000E+00  
  15               7.56391034E-04   4.49971610E+01   8.38087766E-01   1.60466500E-01   7.79671266E-04   5.30668144E-04   9.52978081E-05   2.29830783E-05   1.28308522E-05   0.00000000E+00  
  16               9.42669733E-04   4.62290693E+01   8.38087766E-01   1.60466500E-01   7.79671264E-04   5.30668142E-04   9.52978078E-05   2.29830783E-05   1.28308522E-05   0.00000000E+00  
  17               1.17281704E-03   4.76911097E+01   8.38087766E-01   1.60466500E-01   7.79671262E-04   5.30668141E-04   9.52978076E-05   2.29830783E-05   1.28308521E-05   0.00000000E+00  
  18               1.45700194E-03   4.90303933E+01   8.38087766E-01   1.60466500E-01   7.79671260E-04   5.30668139E-04   9.52978073E-05   2.29830783E-05   1.28308521E-05   0.00000000E+00  
  19               1.80776567E-03   5.05720891E+01   8.38087766E-01   1.60466500E-01   7.79671258E-04   5.30668138E-04   9.52978070E-05   2.29830783E-05   1.28308521E-05   0.00000000E+00  
  20               2.24048267E-03   5.20199221E+01   8.38087766E-01   1.60466500E-01   7.79671255E-04   5.30668136E-04   9.52978067E-05   2.29830783E-05   1.28308520E-05   0.00000000E+00  
  21               2.77384916E-03   5.37369870E+01   8.38087766E-01   1.60466500E-01   7.79671253E-04   5.30668135E-04   9.52978064E-05   2.29830783E-05   1.28308520E-05   0.00000000E+00  
  22               3.43072411E-03   5.53453696E+01   8.38087766E-01   1.60466500E-01   7.79671250E-04   5.30668133E-04   9.52978060E-05   2.29830783E-05   1.28308519E-05   0.00000000E+00  
  23               4.23917111E-03   5.72009993E+01   8.38087766E-01   1.60466500E-01   7.79671247E-04   5.30668131E-04   9.52978057E-05   2.29830783E-05   1.28308519E-05   0.00000000E+00  
  24               5.23298730E-03   5.89302555E+01   8.38087766E-01   1.60466500E-01   7.79671244E-04   5.30668129E-04   9.52978053E-05   2.29830783E-05   1.28308519E-05   0.00000000E+00  
  25               6.45277178E-03   6.09555145E+01   8.38087766E-01   1.60466500E-01   7.79671241E-04   5.30668127E-04   9.52978049E-05   2.29830783E-05   1.28308518E-05   0.00000000E+00  
  26               7.94825786E-03   6.28595956E+01   8.38087766E-01   1.60466500E-01   7.79671238E-04   5.30668124E-04   9.52978045E-05   2.29830783E-05   1.28308518E-05   0.00000000E+00  
  27               9.77916545E-03   6.51475402E+01   8.38087766E-01   1.60466500E-01   7.79671234E-04   5.30668122E-04   9.52978040E-05   2.29830783E-05   1.28308517E-05   0.00000000E+00  
  28               1.20165028E-02   6.73706282E+01   8.38087766E-01   1.60466500E-01   7.79671230E-04   5.30668119E-04   9.52978035E-05   2.29830783E-05   1.28308516E-05   0.00000000E+00  
  29               1.47451775E-02   7.00166016E+01   8.38087766E-01   1.60466500E-01   7.79671226E-04   5.30668116E-04   9.52978030E-05   2.29830783E-05   1.28308516E-05   0.00000000E+00  
  30               1.80666724E-02   7.26061182E+01   8.38087766E-01   1.60466500E-01   7.79671222E-04   5.30668114E-04   9.52978025E-05   2.29830783E-05   1.28308515E-05   0.00000000E+00  
  31               2.20954586E-02   7.57124535E+01   8.38087766E-01   1.60466500E-01   7.79671219E-04   5.30668112E-04   9.52978022E-05   2.29830783E-05   1.28308515E-05   0.00000000E+00  
  32               2.69690869E-02   7.88677642E+01   8.38087766E-01   1.60466500E-01   7.79671217E-04   5.30668110E-04   9.52978019E-05   2.29830783E-05   1.28308514E-05   0.00000000E+00  
  33               3.28548715E-02   8.26587931E+01   8.38087766E-01   1.60466500E-01   7.79671216E-04   5.30668110E-04   9.52978018E-05   2.29830783E-05   1.28308514E-05   0.00000000E+00  
  34               3.99626237E-02   8.66161809E+01   8.38087766E-01   1.60466500E-01   7.79671215E-04   5.30668109E-04   9.52978017E-05   2.29830783E-05   1.28308514E-05   0.00000000E+00  
  35               4.85524277E-02   9.15437489E+01   8.38087766E-01   1.60466500E-01   7.79671214E-04   5.30668108E-04   9.52978015E-05   2.29830783E-05   1.28308514E-05   0.00000000E+00  
  36               5.89385316E-02   9.72854516E+01   8.38087766E-01   1.60466500E-01   7.79671213E-04   5.30668107E-04   9.52978013E-05   2.29830783E-05   1.28308514E-05   4.95239489E-18  
  37               7.15078610E-02   1.02728663E+02   8.38087628E-01   1.60466473E-01   7.79671188E-04   5.30668090E-04   9.52977983E-05   2.29830745E-05   1.28308510E-05   2.52946136E-16  
  38               8.67285607E-02   1.09880842E+02   8.38087111E-01   1.60466374E-01   7.79671167E-04   5.30668076E-04   9.52977958E-05   2.29830603E-05   1.28308506E-05   3.64706976E-15  
  39               1.05177741E-01   1.16021101E+02   8.38082491E-01   1.60465490E-01   7.79670724E-04   5.30667775E-04   9.52977416E-05   2.29829336E-05   1.28308433E-05   1.02862739E-13  
  40               1.27545991E-01   1.24299858E+02   8.38067184E-01   1.60462559E-01   7.79670552E-04   5.30667657E-04   9.52977206E-05   2.29825138E-05   1.28308405E-05   1.12408945E-12  
  41               1.54672340E-01   1.31403407E+02   8.38012475E-01   1.60452084E-01   7.79609786E-04   5.30626298E-04   9.52902932E-05   2.29810135E-05   1.28298405E-05   2.21044631E-11  
  42               1.87590282E-01   1.40911909E+02   8.38087621E-01   1.60466472E-01   7.79766250E-04   5.30732792E-04   9.53094175E-05   2.29830743E-05   1.28324154E-05   1.79023349E-10  
  43               2.27565060E-01   1.49031435E+02   8.38087618E-01   1.60466471E-01   7.79766894E-04   5.30733231E-04   9.53094962E-05   2.29830742E-05   1.28324260E-05   2.44558469E-09  
  44               2.76108784E-01   1.59786443E+02   8.38087610E-01   1.60466470E-01   7.79766887E-04   5.30733226E-04   9.53094954E-05   2.29830740E-05   1.28324259E-05   1.27239706E-08  
  45               3.35085293E-01   1.68380650E+02   8.38087538E-01   1.60466456E-01   7.79766875E-04   5.30733218E-04   9.53094939E-05   2.29830720E-05   1.28324257E-05   9.77883546E-08  
