# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  1                1.00000000E-05   4.36627690E+01   8.38218890E-01   1.60491561E-01   7.04938862E-04   4.61372973E-04   3.16166667E-05   5.70391607E-05   2.29854177E-05   3.16351532E-109 
  2                5.78938922E-05   5.50664539E+01   8.38218890E-01   1.60491561E-01   7.04938892E-04   4.61372993E-04   3.16166681E-05   5.70391634E-05   2.29854177E-05   1.31478145E-109 
  3                1.14112489E-04   6.08228421E+01   8.38218890E-01   1.60491561E-01   7.04938910E-04   4.61373005E-04   3.16166689E-05   5.70391651E-05   2.29854177E-05   9.36490449E-110 
  4                1.80104783E-04   6.61345280E+01   8.38218890E-01   1.60491561E-01   7.04938923E-04   4.61373013E-04   3.16166695E-05   5.70391663E-05   2.29854177E-05   7.45430775E-110 
  5                2.57563410E-04   6.94910331E+01   8.38218890E-01   1.60491561E-01   7.04938933E-04   4.61373020E-04   3.16166699E-05   5.70391673E-05   2.29854177E-05   6.23344109E-110 
  6                3.48307048E-04   7.38645912E+01   8.38218890E-01   1.60491561E-01   7.04938942E-04   4.61373025E-04   3.16166703E-05   5.70391681E-05   2.29854177E-05   5.36029648E-110 
  7                4.53306028E-04   7.67613635E+01   8.38218890E-01   1.60491561E-01   7.04938950E-04   4.61373031E-04   3.16166707E-05   5.70391689E-05   2.29854177E-05   4.69866189E-110 
  8                5.73837850E-04   8.09695171E+01   8.38218890E-01   1.60491561E-01   7.04938958E-04   4.61373036E-04   3.16166710E-05   5.70391696E-05   2.29854177E-05   4.17614286E-110 
  9                7.11709102E-04   8.37753493E+01   8.38218890E-01   1.60491561E-01   7.04938965E-04   4.61373041E-04   3.16166714E-05   5.70391703E-05   2.29854177E-05   3.74989133E-110 
  10               8.69382955E-04   8.81039215E+01   8.38218890E-01   1.60491561E-01   7.04938973E-04   4.61373046E-04   3.16166717E-05   5.70391710E-05   2.29854177E-05   3.39284783E-110 
  11               1.05008682E-03   9.10138903E+01   8.38218890E-01   1.60491561E-01   7.04938978E-04   4.61373049E-04   3.16166719E-05   5.70391715E-05   2.29854177E-05   3.08714721E-110 
  12               1.25742994E-03   9.56312867E+01   8.38218890E-01   1.60491561E-01   7.04938981E-04   4.61373051E-04   3.16166721E-05   5.70391719E-05   2.29854177E-05   2.82116212E-110 
  13               1.49551663E-03   9.88300130E+01   8.38218168E-01   1.60491423E-01   7.04938984E-04   4.61373053E-04   3.16166722E-05   5.70391721E-05   2.29853979E-05   2.58686608E-110 
  14               1.76914423E-03   1.03877808E+02   8.38217027E-01   1.60491204E-01   7.04939592E-04   4.61373451E-04   3.16166995E-05   5.70392214E-05   2.29853666E-05   3.97518533E-106 
  15               2.08386728E-03   1.07400735E+02   8.38207624E-01   1.60489404E-01   7.04939261E-04   4.61373234E-04   3.16166846E-05   5.70391946E-05   2.29851087E-05   1.36940848E-102 
  16               2.44617540E-03   1.12941232E+02   8.38130945E-01   1.60474722E-01   7.04942603E-04   4.61375421E-04   3.16168345E-05   5.70394650E-05   2.29830061E-05   1.86423493E-97  
