# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              H               
  1                1.00000000E-05   4.10755887E+01   8.38157524E-01   1.60479849E-01   7.54836408E-04   5.07359582E-04   5.42832512E-05   5.86895209E-06   2.29825887E-05   3.16328390E-109 
  2                6.77552697E-05   5.08975856E+01   8.38157523E-01   1.60479849E-01   7.54836807E-04   5.07359850E-04   5.42832799E-05   5.86895520E-06   2.29825887E-05   1.21525280E-109 
  3                1.36020428E-04   5.67140341E+01   8.38157523E-01   1.60479849E-01   7.54836999E-04   5.07359979E-04   5.42832937E-05   5.86895669E-06   2.29825887E-05   8.57701367E-110 
  4                2.16697714E-04   6.11940904E+01   8.38157523E-01   1.60479849E-01   7.54837124E-04   5.07360063E-04   5.42833027E-05   5.86895767E-06   2.29825887E-05   6.79533710E-110 
  5                3.12032110E-04   6.45986465E+01   8.38157522E-01   1.60479849E-01   7.54837223E-04   5.07360129E-04   5.42833097E-05   5.86895843E-06   2.29825886E-05   5.66289523E-110 
  6                4.24659026E-04   6.81687208E+01   8.38157522E-01   1.60479849E-01   7.54837306E-04   5.07360186E-04   5.42833157E-05   5.86895908E-06   2.29825886E-05   4.85420363E-110 
  7                5.57698909E-04   7.10768276E+01   8.38157522E-01   1.60479849E-01   7.54837381E-04   5.07360236E-04   5.42833211E-05   5.86895966E-06   2.29825886E-05   4.23582757E-110 
  8                7.14146984E-04   7.44862845E+01   8.38157522E-01   1.60479849E-01   7.54837452E-04   5.07360283E-04   5.42833262E-05   5.86896021E-06   2.29825886E-05   3.74321151E-110 
  9                8.96566553E-04   7.73446829E+01   8.38157522E-01   1.60479849E-01   7.54837521E-04   5.07360330E-04   5.42833311E-05   5.86896075E-06   2.29825886E-05   3.34077251E-110 
  10               1.10819431E-03   8.07843133E+01   8.38157522E-01   1.60479849E-01   7.54837591E-04   5.07360377E-04   5.42833361E-05   5.86896129E-06   2.29825886E-05   3.00490131E-110 
  11               1.35301126E-03   8.37423423E+01   8.38157522E-01   1.60479849E-01   7.54837649E-04   5.07360416E-04   5.42833403E-05   5.86896175E-06   2.29825886E-05   2.71948999E-110 
  12               1.63598074E-03   8.74047143E+01   8.38157522E-01   1.60479849E-01   7.54837689E-04   5.07360443E-04   5.42833432E-05   5.86896206E-06   2.29825886E-05   2.47314213E-110 
  13               1.96353422E-03   9.06109305E+01   8.38157522E-01   1.60479849E-01   7.54837714E-04   5.07360459E-04   5.42833449E-05   5.86896225E-06   2.29825886E-05   2.25745412E-110 
  14               2.34297893E-03   9.45924172E+01   8.38157522E-01   1.60479849E-01   7.54837727E-04   5.07360468E-04   5.42833459E-05   5.86896235E-06   2.29825886E-05   2.06658836E-110 
  15               2.78271229E-03   9.81787533E+01   8.38157522E-01   1.60479849E-01   7.54837740E-04   5.07360477E-04   5.42833469E-05   5.86896245E-06   2.29825886E-05   1.89628678E-110 
  16               3.29252223E-03   1.02646527E+02   8.38156657E-01   1.60479683E-01   7.54837755E-04   5.07360487E-04   5.42833479E-05   5.86896257E-06   2.29825649E-05   1.43892796E-107 
  17               3.88387456E-03   1.06686076E+02   8.38153545E-01   1.60479087E-01   7.54838551E-04   5.07361022E-04   5.42834052E-05   5.86896876E-06   2.29824796E-05   1.97507175E-103 
  18               4.57020654E-03   1.11693283E+02   8.38145339E-01   1.60477516E-01   7.54842150E-04   5.07363441E-04   5.42836640E-05   5.86899674E-06   2.29822546E-05   1.03562195E-98  
  19               5.36701467E-03   1.16325461E+02   8.38072800E-01   1.60463627E-01   7.54851745E-04   5.07369890E-04   5.42843540E-05   5.86907134E-06   2.29802655E-05   1.03590074E-94  
  20               6.29211942E-03   1.22067313E+02   8.38157391E-01   1.60479824E-01   7.54925675E-04   5.07419582E-04   5.42896706E-05   5.86964616E-06   2.29825850E-05   3.61697889E-90  
  21               7.36615681E-03   1.27395556E+02   8.38157409E-01   1.60479827E-01   7.54913312E-04   5.07411273E-04   5.42887815E-05   5.86955004E-06   2.29825855E-05   2.53261844E-86  
  22               8.61291184E-03   1.33885337E+02   8.38157488E-01   1.60479842E-01   7.54860195E-04   5.07375570E-04   5.42849616E-05   5.86913704E-06   2.29825877E-05   4.77102439E-82  
  23               1.00601672E-02   1.39931005E+02   8.38157383E-01   1.60479822E-01   7.54930229E-04   5.07422643E-04   5.42899981E-05   5.86968157E-06   2.29825848E-05   1.99635790E-78  
