# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  1                1.00000000E-05   6.28547408E+01   8.38385759E-01   1.60523522E-01   4.86784357E-04   2.60789069E-04   2.53782297E-04   5.94544306E-05   3.16414816E-109  2.29902143E-05  
  2                1.14102833E-04   8.40515735E+01   8.38385759E-01   1.60523522E-01   4.86784388E-04   2.60789085E-04   2.53782313E-04   5.94544331E-05   9.36717423E-110  2.29902142E-05  
  3                2.20544312E-04   9.77323055E+01   8.38363568E-01   1.60519273E-01   4.86727932E-04   2.60758839E-04   2.53752880E-04   5.94475365E-05   6.73747850E-110  2.29896057E-05  
  4                3.35144620E-04   1.08319275E+02   8.38307833E-01   1.60508602E-01   4.86797516E-04   2.60796118E-04   2.53789157E-04   5.94560346E-05   2.67187597E-101  2.29880774E-05  
  5                4.61800498E-04   1.16681351E+02   8.38385651E-01   1.60523501E-01   4.86843047E-04   2.60820511E-04   2.53812894E-04   5.94615955E-05   6.99728301E-94   2.29902113E-05  
  6                6.03292867E-04   1.25030241E+02   8.38385651E-01   1.60523501E-01   4.86843053E-04   2.60820514E-04   2.53812897E-04   5.94615960E-05   1.84330367E-87   2.29902113E-05  
  7                7.62086994E-04   1.32328622E+02   8.38385649E-01   1.60523501E-01   4.86843051E-04   2.60820513E-04   2.53812897E-04   5.94615957E-05   1.62232095E-82   2.29902112E-05  
  8                9.40885819E-04   1.40024906E+02   8.38385636E-01   1.60523498E-01   4.86843003E-04   2.60820487E-04   2.53812871E-04   5.94615896E-05   7.39915411E-78   2.29902109E-05  
  9                1.14271692E-03   1.46836037E+02   8.38385552E-01   1.60523482E-01   4.86842880E-04   2.60820421E-04   2.53812807E-04   5.94615744E-05   3.80446405E-74   2.29902086E-05  
  10               1.37093181E-03   1.54393925E+02   8.38385245E-01   1.60523424E-01   4.86841880E-04   2.60819885E-04   2.53812286E-04   5.94614521E-05   2.08411101E-70   2.29902002E-05  
  11               1.62930651E-03   1.61187321E+02   8.38383792E-01   1.60523145E-01   4.86840401E-04   2.60819093E-04   2.53811515E-04   5.94612713E-05   2.37595742E-67   2.29901603E-05  
  12               1.92229832E-03   1.68643901E+02   8.38380004E-01   1.60522420E-01   4.86798551E-04   2.60796672E-04   2.53789696E-04   5.94561596E-05   2.81960505E-64   2.29900564E-05  
  13               2.25490439E-03   1.75319890E+02   8.38364455E-01   1.60519443E-01   4.86848146E-04   2.60823242E-04   2.53815553E-04   5.94622168E-05   9.46967111E-62   2.29896301E-05  
  14               2.63258375E-03   1.82838414E+02   8.38329370E-01   1.60512725E-01   4.86533296E-04   2.60654565E-04   2.53651407E-04   5.94237616E-05   4.01256474E-59   2.29886680E-05  
  15               3.06133515E-03   1.89782209E+02   8.37815825E-01   1.60414398E-01   4.86895956E-04   2.60848856E-04   2.53840478E-04   5.94680555E-05   6.93468811E-57   2.29745855E-05  
  16               3.54808141E-03   1.97910574E+02   8.38384952E-01   1.60523367E-01   4.87224447E-04   2.61024841E-04   2.54011735E-04   5.95081761E-05   1.84326155E-54   2.29901921E-05  
  17               4.10056673E-03   2.05305496E+02   8.38384948E-01   1.60523367E-01   4.87226734E-04   2.61026066E-04   2.54012927E-04   5.95084550E-05   1.99646356E-52   2.29901920E-05  
  18               4.72769049E-03   2.13458144E+02   8.38384948E-01   1.60523367E-01   4.87226739E-04   2.61026069E-04   2.54012930E-04   5.95084551E-05   2.40869259E-50   2.29901920E-05  
  19               5.43989088E-03   2.20661319E+02   8.38384948E-01   1.60523367E-01   4.87226755E-04   2.61026077E-04   2.54012938E-04   5.95084566E-05   1.22534164E-48   2.29901920E-05  
  20               6.24898695E-03   2.28447769E+02   8.38384948E-01   1.60523367E-01   4.87226752E-04   2.61026076E-04   2.54012937E-04   5.95084558E-05   6.50065269E-47   2.29901920E-05  
  21               7.16849075E-03   2.35210844E+02   8.38384948E-01   1.60523367E-01   4.87226780E-04   2.61026090E-04   2.54012951E-04   5.95084586E-05   1.63442731E-45   2.29901920E-05  
  22               8.21403788E-03   2.42586862E+02   8.38384948E-01   1.60523367E-01   4.87226794E-04   2.61026098E-04   2.54012958E-04   5.95084597E-05   4.49827832E-44   2.29901920E-05  
  23               9.40320665E-03   2.49172433E+02   8.38384948E-01   1.60523367E-01   4.87226809E-04   2.61026106E-04   2.54012966E-04   5.95084609E-05   7.28188824E-43   2.29901920E-05  
  24               1.07557953E-02   2.56564717E+02   8.38384948E-01   1.60523367E-01   4.87226825E-04   2.61026114E-04   2.54012975E-04   5.95084621E-05   1.40563795E-41   2.29901920E-05  
  25               1.22940141E-02   2.63315778E+02   8.38384948E-01   1.60523367E-01   4.87226842E-04   2.61026123E-04   2.54012984E-04   5.95084635E-05   1.80035436E-40   2.29901920E-05  
  26               1.40432270E-02   2.70901128E+02   8.38384948E-01   1.60523367E-01   4.87226860E-04   2.61026133E-04   2.54012993E-04   5.95084649E-05   2.72968090E-39   2.29901920E-05  
  27               1.60320914E-02   2.77877095E+02   8.38384948E-01   1.60523367E-01   4.87226879E-04   2.61026143E-04   2.54013003E-04   5.95084664E-05   2.89564930E-38   2.29901920E-05  
  28               1.82929653E-02   2.85777615E+02   8.38384948E-01   1.60523366E-01   4.87226899E-04   2.61026153E-04   2.54013013E-04   5.95084680E-05   3.67557468E-37   2.29901920E-05  
  29               2.08622731E-02   2.93193486E+02   8.38384947E-01   1.60523366E-01   4.87226918E-04   2.61026164E-04   2.54013023E-04   5.95084695E-05   3.50159499E-36   2.29901920E-05  
  30               2.37808207E-02   3.01705525E+02   8.38384947E-01   1.60523366E-01   4.87226939E-04   2.61026174E-04   2.54013034E-04   5.95084711E-05   4.08731215E-35   2.29901920E-05  
  31               2.70941963E-02   3.09878197E+02   8.38384947E-01   1.60523366E-01   4.87226964E-04   2.61026188E-04   2.54013047E-04   5.95084732E-05   3.79001158E-34   2.29901920E-05  
  32               3.08535328E-02   3.19252339E+02   8.38384947E-01   1.60523366E-01   4.87226987E-04   2.61026200E-04   2.54013059E-04   5.95084750E-05   4.26403618E-33   2.29901919E-05  
  33               3.51153635E-02   3.28426527E+02   8.38384947E-01   1.60523366E-01   4.87227026E-04   2.61026221E-04   2.54013079E-04   5.95084786E-05   3.96919397E-32   2.29901919E-05  
  34               3.99423532E-02   3.38945599E+02   8.38384947E-01   1.60523365E-01   4.87227046E-04   2.61026231E-04   2.54013090E-04   5.95084798E-05   4.44374985E-31   2.29901918E-05  
  35               4.54026683E-02   3.49590919E+02   8.38384944E-01   1.60523362E-01   4.87227232E-04   2.61026331E-04   2.54013186E-04   5.95085012E-05   4.40749343E-30   2.29901914E-05  
  36               5.15715585E-02   3.62132300E+02   8.38384948E-01   1.60523358E-01   4.87227255E-04   2.61026343E-04   2.54013199E-04   5.95085026E-05   5.57618018E-29   2.29901908E-05  
  37               5.85217496E-02   3.76698126E+02   8.38384631E-01   1.60523284E-01   4.87227094E-04   2.61026256E-04   2.54013114E-04   5.95084813E-05   8.65187615E-28   2.29901802E-05  
  38               6.63461322E-02   3.90625450E+02   8.38384678E-01   1.60523229E-01   4.87231218E-04   2.61028466E-04   2.54015265E-04   5.95089834E-05   9.77589536E-27   2.29901723E-05  
  39               7.51494568E-02   4.06079107E+02   8.38384734E-01   1.60523173E-01   4.87231161E-04   2.61028435E-04   2.54015235E-04   5.95089745E-05   1.18992742E-25   2.29901643E-05  
  40               8.50447363E-02   4.20851279E+02   8.38384840E-01   1.60523065E-01   4.87231019E-04   2.61028358E-04   2.54015160E-04   5.95089551E-05   1.08660253E-24   2.29901489E-05  
  41               9.61594952E-02   4.37246422E+02   8.38385069E-01   1.60522823E-01   4.87230553E-04   2.61028108E-04   2.54014918E-04   5.95088961E-05   1.06566597E-23   2.29901142E-05  
  42               1.08640384E-01   4.52917930E+02   8.38385077E-01   1.60522344E-01   4.87231769E-04   2.61028759E-04   2.54015551E-04   5.95090422E-05   8.05194451E-23   2.29900455E-05  
  43               1.22645537E-01   4.70325376E+02   8.38382765E-01   1.60521292E-01   4.87270202E-04   2.61049349E-04   2.54035588E-04   5.95137337E-05   6.52108815E-22   2.29898950E-05  
  44               1.38350861E-01   4.86949359E+02   8.38384218E-01   1.60519847E-01   4.87267149E-04   2.61047713E-04   2.54033997E-04   5.95133580E-05   4.15761213E-21   2.29896879E-05  
  45               1.55940377E-01   5.05408747E+02   8.38386123E-01   1.60517949E-01   4.87264335E-04   2.61046205E-04   2.54032529E-04   5.95130113E-05   2.82911142E-20   2.29894161E-05  
  46               1.75616501E-01   5.23001094E+02   8.38388313E-01   1.60515766E-01   4.87261183E-04   2.61044516E-04   2.54030886E-04   5.95126231E-05   1.54265937E-19   2.29891034E-05  
  47               1.97619678E-01   5.42544456E+02   8.38391084E-01   1.60513003E-01   4.87257283E-04   2.61042426E-04   2.54028853E-04   5.95121432E-05   8.95470701E-19   2.29887078E-05  
  48               2.22214434E-01   5.61162006E+02   8.38393638E-01   1.60510458E-01   4.87253757E-04   2.61040536E-04   2.54027014E-04   5.95117086E-05   4.24456540E-18   2.29883432E-05  
  49               2.49687926E-01   5.81852216E+02   8.38396349E-01   1.60507756E-01   4.87250065E-04   2.61038558E-04   2.54025090E-04   5.95112535E-05   2.13596714E-17   2.29879562E-05  
  50               2.80345655E-01   6.01533662E+02   8.38398521E-01   1.60505590E-01   4.87247162E-04   2.61037002E-04   2.54023576E-04   5.95108943E-05   8.91289533E-17   2.29876460E-05  
  51               3.14512765E-01   6.23387253E+02   8.38400626E-01   1.60503491E-01   4.87244372E-04   2.61035507E-04   2.54022121E-04   5.95105483E-05   3.93093845E-16   2.29873454E-05  
