# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  1                1.00000000E-05   5.39141363E+01   8.38297079E-01   1.60506544E-01   6.19661696E-04   3.81140195E-04   1.05374813E-04   5.84557999E-05   3.16381355E-109  2.29881854E-05  
  2                6.90595923E-05   6.90510572E+01   8.38297079E-01   1.60506544E-01   6.19662166E-04   3.81140484E-04   1.05374893E-04   5.84558446E-05   1.20392346E-109  2.29881853E-05  
  3                1.37864554E-04   7.81547407E+01   8.38297078E-01   1.60506543E-01   6.19662502E-04   3.81140690E-04   1.05374950E-04   5.84558766E-05   8.52088239E-110  2.29881853E-05  
  4                2.14516659E-04   8.55624100E+01   8.38297078E-01   1.60506543E-01   6.19662739E-04   3.81140836E-04   1.05374990E-04   5.84558992E-05   6.83093839E-110  2.29881853E-05  
  5                3.00358683E-04   9.13127542E+01   8.38297077E-01   1.60506543E-01   6.19662940E-04   3.81140960E-04   1.05375025E-04   5.84559183E-05   5.77285681E-110  2.29881853E-05  
  6                3.97591777E-04   9.72946163E+01   8.38297077E-01   1.60506543E-01   6.19663113E-04   3.81141066E-04   1.05375054E-04   5.84559348E-05   5.01755548E-110  2.29881853E-05  
  7                5.08406218E-04   1.02251481E+02   8.38287846E-01   1.60504776E-01   6.19660175E-04   3.81139260E-04   1.05374554E-04   5.84556577E-05   1.37392994E-107  2.29879322E-05  
  8                6.35176555E-04   1.07927858E+02   8.38206184E-01   1.60489140E-01   6.19650962E-04   3.81133592E-04   1.05372988E-04   5.84547886E-05   8.11105033E-102  2.29856928E-05  
  9                7.80590409E-04   1.12816325E+02   8.38297041E-01   1.60506536E-01   6.19685842E-04   3.81155047E-04   1.05378919E-04   5.84580791E-05   2.55679996E-97   2.29881843E-05  
  10               9.47739317E-04   1.18569702E+02   8.38296959E-01   1.60506521E-01   6.19737855E-04   3.81187039E-04   1.05387764E-04   5.84629858E-05   1.71309258E-92   2.29881821E-05  
  11               1.14011413E-03   1.23562479E+02   8.38296959E-01   1.60506521E-01   6.19737891E-04   3.81187060E-04   1.05387770E-04   5.84629891E-05   1.12629392E-88   2.29881821E-05  
