# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H                CO              
  1                1.00000000E-05   4.72686105E+01   8.38120354E-01   1.60472737E-01   7.76209970E-04   5.27061388E-04   4.58577159E-05   3.01340751E-05   3.16314314E-109  3.79546937E-07  
  2                4.62466106E-04   6.18577748E+01   8.38120354E-01   1.60472737E-01   7.76209989E-04   5.27061400E-04   4.58577170E-05   3.01340758E-05   4.65134862E-110  3.79546946E-07  
  3                9.92827645E-04   7.28674891E+01   8.38120354E-01   1.60472737E-01   7.76209999E-04   5.27061407E-04   4.58577176E-05   3.01340761E-05   3.17454812E-110  3.79546951E-07  
  4                1.60684869E-03   7.88927820E+01   8.38120354E-01   1.60472737E-01   7.76210004E-04   5.27061411E-04   4.58577179E-05   3.01340763E-05   2.49534934E-110  3.79546954E-07  
  5                2.30489494E-03   8.55678116E+01   8.38120354E-01   1.60472737E-01   7.76210008E-04   5.27061413E-04   4.58577181E-05   3.01340764E-05   2.08349891E-110  3.79546955E-07  
  6                3.10131666E-03   9.00109808E+01   8.38120354E-01   1.60472737E-01   7.76210009E-04   5.27061414E-04   4.58577181E-05   3.01340765E-05   1.79616318E-110  3.79546956E-07  
  7                4.01611012E-03   9.60681573E+01   8.38120354E-01   1.60472737E-01   7.76210010E-04   5.27061415E-04   4.58577182E-05   3.01340765E-05   1.57839625E-110  3.79546956E-07  
  8                5.07047670E-03   1.00190536E+02   8.38119772E-01   1.60472625E-01   7.76210010E-04   5.27061415E-04   4.58577182E-05   3.01340765E-05   2.30523767E-110  3.79546957E-07  
  9                6.28823478E-03   1.06364345E+02   8.38118879E-01   1.60472454E-01   7.76209845E-04   5.27061303E-04   4.58577084E-05   3.01340701E-05   7.41541211E-104  3.79546876E-07  
  10               7.69749296E-03   1.10543025E+02   8.38110529E-01   1.60470856E-01   7.76208918E-04   5.27060674E-04   4.58576537E-05   3.01340341E-05   7.04202404E-100  3.79546423E-07  
  11               9.33106785E-03   1.16958383E+02   8.38099203E-01   1.60468687E-01   7.76211081E-04   5.27062142E-04   4.58577815E-05   3.01341181E-05   2.64117809E-94   3.79547480E-07  
  12               1.12259815E-02   1.21400837E+02   8.38051490E-01   1.60459552E-01   7.76161177E-04   5.27028256E-04   4.58548332E-05   3.01321807E-05   8.38296678E-91   3.79523078E-07  
  13               1.34249216E-02   1.28329702E+02   8.38120212E-01   1.60472710E-01   7.76305141E-04   5.27126011E-04   4.58633384E-05   3.01377697E-05   8.32231402E-86   3.79593473E-07  
  14               1.59777646E-02   1.33165823E+02   8.38120213E-01   1.60472710E-01   7.76304467E-04   5.27125553E-04   4.58632986E-05   3.01377435E-05   1.22272242E-82   3.79593144E-07  
  15               1.89428025E-02   1.40572221E+02   8.38120211E-01   1.60472709E-01   7.76305210E-04   5.27126058E-04   4.58633425E-05   3.01377724E-05   3.40483890E-78   3.79593507E-07  
  16               2.23870510E-02   1.45849122E+02   8.38120207E-01   1.60472709E-01   7.76305217E-04   5.27126062E-04   4.58633429E-05   3.01377726E-05   2.58192783E-75   3.79593510E-07  
  17               2.63886484E-02   1.53897777E+02   8.38120198E-01   1.60472707E-01   7.76305219E-04   5.27126064E-04   4.58633431E-05   3.01377727E-05   2.75366378E-71   3.79593512E-07  
  18               3.10381600E-02   1.59713733E+02   8.38120117E-01   1.60472691E-01   7.76305219E-04   5.27126063E-04   4.58633430E-05   3.01377727E-05   1.22131613E-68   3.79593511E-07  
  19               3.64433547E-02   1.68209972E+02   8.38119972E-01   1.60472664E-01   7.76305253E-04   5.27126087E-04   4.58633450E-05   3.01377740E-05   4.34201256E-65   3.79593528E-07  
  20               4.27280305E-02   1.74379963E+02   8.38118899E-01   1.60472458E-01   7.76305252E-04   5.27126086E-04   4.58633450E-05   3.01377740E-05   9.74310201E-63   3.79593527E-07  
  21               5.00350484E-02   1.83266918E+02   8.38117310E-01   1.60472154E-01   7.76305783E-04   5.27126447E-04   4.58633764E-05   3.01377946E-05   1.28512549E-59   3.79593787E-07  
  22               5.85262744E-02   1.89911361E+02   8.38077794E-01   1.60464588E-01   7.76306058E-04   5.27126633E-04   4.58633926E-05   3.01378053E-05   1.74215267E-57   3.79593922E-07  
  23               6.83845978E-02   1.99519100E+02   8.38120162E-01   1.60472700E-01   7.76338412E-04   5.27148602E-04   4.58653040E-05   3.01390613E-05   1.21678580E-54   3.79609742E-07  
  24               7.98199646E-02   2.06755781E+02   8.38014196E-01   1.60452411E-01   7.76239834E-04   5.27081666E-04   4.58594801E-05   3.01352343E-05   1.10458818E-52   3.79561540E-07  
  25               9.30813416E-02   2.16462079E+02   8.37617254E-01   1.60376409E-01   7.76447558E-04   5.27222715E-04   4.58717523E-05   3.01432986E-05   2.96830240E-50   3.79663112E-07  
  26               1.08453335E-01   2.23607812E+02   8.38120016E-01   1.60472672E-01   7.76436236E-04   5.27215026E-04   4.58710833E-05   3.01428590E-05   1.30815374E-48   3.79657575E-07  
  27               1.26276922E-01   2.32933248E+02   8.38119300E-01   1.60472535E-01   7.76916228E-04   5.27540950E-04   4.58994408E-05   3.01614933E-05   1.31180169E-46   3.79892279E-07  
  28               1.46956719E-01   2.39740847E+02   8.38119299E-01   1.60472535E-01   7.76917280E-04   5.27541665E-04   4.58995030E-05   3.01615341E-05   2.95366312E-45   3.79892794E-07  
  29               1.70970074E-01   2.48870650E+02   8.38119305E-01   1.60472536E-01   7.76913177E-04   5.27538879E-04   4.58992605E-05   3.01613748E-05   1.50298697E-43   3.79890787E-07  
  30               1.98857488E-01   2.55781910E+02   8.38119299E-01   1.60472535E-01   7.76917302E-04   5.27541680E-04   4.58995042E-05   3.01615350E-05   2.39132120E-42   3.79892804E-07  
  31               2.31244898E-01   2.65228491E+02   8.38119299E-01   1.60472535E-01   7.76917339E-04   5.27541705E-04   4.58995064E-05   3.01615364E-05   8.50257043E-41   3.79892822E-07  
  32               2.68867113E-01   2.72706384E+02   8.38119299E-01   1.60472535E-01   7.76917342E-04   5.27541707E-04   4.58995066E-05   3.01615365E-05   1.18290605E-39   3.79892824E-07  
  33               3.12552401E-01   2.82953281E+02   8.38119299E-01   1.60472535E-01   7.76917345E-04   5.27541709E-04   4.58995068E-05   3.01615366E-05   3.55912395E-38   3.79892826E-07  
  34               3.63233750E-01   2.91434392E+02   8.38119299E-01   1.60472535E-01   7.76917349E-04   5.27541712E-04   4.58995070E-05   3.01615368E-05   4.89050944E-37   3.79892828E-07  
  35               4.21987352E-01   3.02776535E+02   8.38119299E-01   1.60472535E-01   7.76917353E-04   5.27541714E-04   4.58995072E-05   3.01615369E-05   1.31908205E-35   3.79892830E-07  
