# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  1                1.00000000E-05   3.37320200E+01   8.38105277E-01   1.60469853E-01   7.79164266E-04   5.29948377E-04   5.52624839E-05   3.31847370E-05   2.29841809E-05   3.16308632E-109 
  2                2.38832112E-05   4.07782073E+01   8.38105277E-01   1.60469853E-01   7.79164264E-04   5.29948376E-04   5.52624838E-05   3.31847369E-05   2.29841809E-05   2.04674946E-109 
  3                4.10762615E-05   4.38753501E+01   8.38105277E-01   1.60469853E-01   7.79164263E-04   5.29948375E-04   5.52624837E-05   3.31847369E-05   2.29841809E-05   1.56068619E-109 
  4                6.23666407E-05   4.51620751E+01   8.38105277E-01   1.60469853E-01   7.79164262E-04   5.29948374E-04   5.52624836E-05   3.31847368E-05   2.29841809E-05   1.26658654E-109 
  5                8.87285147E-05   4.78536638E+01   8.38105277E-01   1.60469853E-01   7.79164260E-04   5.29948374E-04   5.52624836E-05   3.31847368E-05   2.29841809E-05   1.06188977E-109 
  6                1.21367332E-04   4.87887337E+01   8.38105277E-01   1.60469853E-01   7.79164259E-04   5.29948373E-04   5.52624835E-05   3.31847368E-05   2.29841809E-05   9.07946254E-110 
  7                1.61772951E-04   5.14004759E+01   8.38105277E-01   1.60469853E-01   7.79164258E-04   5.29948372E-04   5.52624835E-05   3.31847367E-05   2.29841809E-05   7.86426409E-110 
  8                2.11786490E-04   5.24563027E+01   8.38105277E-01   1.60469853E-01   7.79164257E-04   5.29948371E-04   5.52624834E-05   3.31847367E-05   2.29841809E-05   6.87324645E-110 
  9                2.73685411E-04   5.53026894E+01   8.38105277E-01   1.60469853E-01   7.79164256E-04   5.29948370E-04   5.52624833E-05   3.31847366E-05   2.29841809E-05   6.04623773E-110 
  10               3.50276962E-04   5.65334399E+01   8.38105277E-01   1.60469853E-01   7.79164254E-04   5.29948369E-04   5.52624832E-05   3.31847366E-05   2.29841809E-05   5.34447754E-110 
  11               4.45032207E-04   5.94461936E+01   8.38105277E-01   1.60469853E-01   7.79164253E-04   5.29948368E-04   5.52624832E-05   3.31847365E-05   2.29841809E-05   4.74149528E-110 
  12               5.62233970E-04   6.05421539E+01   8.38105277E-01   1.60469853E-01   7.79164251E-04   5.29948367E-04   5.52624831E-05   3.31847365E-05   2.29841809E-05   4.21844608E-110 
  13               7.07147418E-04   6.35992701E+01   8.38105277E-01   1.60469853E-01   7.79164250E-04   5.29948366E-04   5.52624830E-05   3.31847364E-05   2.29841809E-05   3.76145667E-110 
  14               8.86274159E-04   6.47370042E+01   8.38105277E-01   1.60469853E-01   7.79164248E-04   5.29948365E-04   5.52624829E-05   3.31847364E-05   2.29841809E-05   3.35990501E-110 
  15               1.10761990E-03   6.81091067E+01   8.38105277E-01   1.60469853E-01   7.79164246E-04   5.29948364E-04   5.52624828E-05   3.31847363E-05   2.29841809E-05   3.00549264E-110 
  16               1.38098583E-03   6.94333660E+01   8.38105277E-01   1.60469853E-01   7.79164244E-04   5.29948363E-04   5.52624827E-05   3.31847362E-05   2.29841809E-05   2.69163664E-110 
  17               1.71818613E-03   7.31547251E+01   8.38105277E-01   1.60469853E-01   7.79164242E-04   5.29948361E-04   5.52624826E-05   3.31847361E-05   2.29841809E-05   2.41310344E-110 
