# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H               
  1                1.00000000E-05   3.35635668E+01   8.38091988E-01   1.60467307E-01   7.79645444E-04   5.30587382E-04   8.53085198E-05   2.29838752E-05   1.78950480E-05   3.16303597E-109 
  2                5.90129555E-05   4.30600488E+01   8.38091988E-01   1.60467307E-01   7.79645451E-04   5.30587387E-04   8.53085206E-05   2.29838752E-05   1.78950481E-05   1.30205835E-109 
  3                1.19366728E-04   4.65208852E+01   8.38091988E-01   1.60467307E-01   7.79645456E-04   5.30587390E-04   8.53085211E-05   2.29838752E-05   1.78950482E-05   9.15508720E-110 
  4                1.93680279E-04   4.95780729E+01   8.38091988E-01   1.60467307E-01   7.79645459E-04   5.30587392E-04   8.53085215E-05   2.29838752E-05   1.78950483E-05   7.18722812E-110 
  5                2.85168129E-04   5.19411100E+01   8.38091988E-01   1.60467307E-01   7.79645462E-04   5.30587394E-04   8.53085219E-05   2.29838752E-05   1.78950484E-05   5.92316236E-110 
  6                3.97769557E-04   5.44725932E+01   8.38091988E-01   1.60467307E-01   7.79645465E-04   5.30587396E-04   8.53085222E-05   2.29838752E-05   1.78950484E-05   5.01520119E-110 
  7                5.36332731E-04   5.65977135E+01   8.38091988E-01   1.60467307E-01   7.79645467E-04   5.30587398E-04   8.53085225E-05   2.29838752E-05   1.78950485E-05   4.31903755E-110 
  8                7.06782398E-04   5.89998917E+01   8.38091988E-01   1.60467307E-01   7.79645470E-04   5.30587399E-04   8.53085227E-05   2.29838752E-05   1.78950486E-05   3.76236797E-110 
  9                9.16388613E-04   6.09955755E+01   8.38091988E-01   1.60467307E-01   7.79645472E-04   5.30587401E-04   8.53085230E-05   2.29838752E-05   1.78950486E-05   3.30418449E-110 
  10               1.17405962E-03   6.34075704E+01   8.38091988E-01   1.60467307E-01   7.79645474E-04   5.30587402E-04   8.53085233E-05   2.29838752E-05   1.78950487E-05   2.91916776E-110 
  11               1.49062657E-03   6.55432422E+01   8.38091988E-01   1.60467307E-01   7.79645477E-04   5.30587404E-04   8.53085236E-05   2.29838752E-05   1.78950487E-05   2.59071537E-110 
  12               1.87939334E-03   6.80625140E+01   8.38091988E-01   1.60467307E-01   7.79645479E-04   5.30587405E-04   8.53085238E-05   2.29838752E-05   1.78950488E-05   2.30725337E-110 
  13               2.35655848E-03   7.02937858E+01   8.38091988E-01   1.60467307E-01   7.79645481E-04   5.30587407E-04   8.53085241E-05   2.29838752E-05   1.78950488E-05   2.06046395E-110 
  14               2.94109724E-03   7.30324640E+01   8.38091988E-01   1.60467307E-01   7.79645483E-04   5.30587408E-04   8.53085243E-05   2.29838752E-05   1.78950489E-05   1.84437590E-110 
  15               3.65398826E-03   7.54505448E+01   8.38091988E-01   1.60467307E-01   7.79645484E-04   5.30587409E-04   8.53085245E-05   2.29838752E-05   1.78950489E-05   1.65470492E-110 
  16               4.52015303E-03   7.84774970E+01   8.38091988E-01   1.60467307E-01   7.79645485E-04   5.30587409E-04   8.53085246E-05   2.29838752E-05   1.78950489E-05   1.48774179E-110 
  17               5.56919152E-03   8.12206315E+01   8.38091988E-01   1.60467307E-01   7.79645485E-04   5.30587410E-04   8.53085246E-05   2.29838752E-05   1.78950489E-05   1.34031863E-110 
  18               6.83706685E-03   8.46632453E+01   8.38091988E-01   1.60467307E-01   7.79645486E-04   5.30587410E-04   8.53085247E-05   2.29838752E-05   1.78950489E-05   1.20967643E-110 
  19               8.36897093E-03   8.78078057E+01   8.38091988E-01   1.60467307E-01   7.79645486E-04   5.30587410E-04   8.53085247E-05   2.29838752E-05   1.78950490E-05   1.09337238E-110 
  20               1.02204839E-02   9.17493229E+01   8.38091988E-01   1.60467307E-01   7.79645486E-04   5.30587410E-04   8.53085248E-05   2.29838752E-05   1.78950490E-05   9.89392015E-111 
  21               1.24575819E-02   9.53328569E+01   8.38091988E-01   1.60467307E-01   7.79645487E-04   5.30587411E-04   8.53085248E-05   2.29838752E-05   1.78950490E-05   8.96163508E-111 
  22               1.51608068E-02   9.97549491E+01   8.38091923E-01   1.60467295E-01   7.79645487E-04   5.30587411E-04   8.53085249E-05   2.29838734E-05   1.78950490E-05   8.12349543E-111 
  23               1.84283209E-02   1.03771210E+02   8.38091672E-01   1.60467246E-01   7.79645413E-04   5.30587361E-04   8.53085168E-05   2.29838665E-05   1.78950473E-05   9.51814515E-107 
  24               2.23784815E-02   1.08689132E+02   8.38091016E-01   1.60467121E-01   7.79645535E-04   5.30587444E-04   8.53085302E-05   2.29838485E-05   1.78950501E-05   7.41105153E-102 
  25               2.71533456E-02   1.13203737E+02   8.38087832E-01   1.60466511E-01   7.79644817E-04   5.30586955E-04   8.53084516E-05   2.29837612E-05   1.78950336E-05   9.55377943E-98  
  26               3.29247017E-02   1.18730216E+02   8.38079808E-01   1.60464975E-01   7.79646491E-04   5.30588094E-04   8.53086348E-05   2.29835411E-05   1.78950720E-05   3.91106806E-93  
  27               3.99009773E-02   1.23927098E+02   8.38007659E-01   1.60451161E-01   7.79639026E-04   5.30583014E-04   8.53078181E-05   2.29815625E-05   1.78949007E-05   3.54043147E-89  
  28               4.83340788E-02   1.30276116E+02   8.38091942E-01   1.60467298E-01   7.79675458E-04   5.30607808E-04   8.53118044E-05   2.29838739E-05   1.78957369E-05   9.13031131E-85  
  29               5.85259991E-02   1.36276889E+02   8.38091842E-01   1.60467279E-01   7.79741178E-04   5.30652533E-04   8.53189955E-05   2.29838712E-05   1.78972454E-05   5.58655538E-81  
  30               7.08413749E-02   1.43481948E+02   8.38091842E-01   1.60467279E-01   7.79741178E-04   5.30652533E-04   8.53189956E-05   2.29838712E-05   1.78972454E-05   7.58746533E-77  
  31               8.57237241E-02   1.50394192E+02   8.38091839E-01   1.60467278E-01   7.79741178E-04   5.30652533E-04   8.53189956E-05   2.29838711E-05   1.78972454E-05   2.94070426E-73  
  32               1.03712276E-01   1.58516838E+02   8.38091826E-01   1.60467276E-01   7.79741178E-04   5.30652534E-04   8.53189957E-05   2.29838707E-05   1.78972454E-05   1.94496731E-69  
  33               1.25453844E-01   1.66157258E+02   8.38091755E-01   1.60467262E-01   7.79741171E-04   5.30652529E-04   8.53189950E-05   2.29838688E-05   1.78972452E-05   3.43894372E-66  
  34               1.51729358E-01   1.74816804E+02   8.38091520E-01   1.60467217E-01   7.79741197E-04   5.30652546E-04   8.53189979E-05   2.29838623E-05   1.78972458E-05   7.51690273E-63  
  35               1.83491308E-01   1.82988412E+02   8.38090463E-01   1.60467015E-01   7.79741136E-04   5.30652505E-04   8.53189913E-05   2.29838333E-05   1.78972444E-05   5.40180519E-60  
  36               2.21910274E-01   1.92304165E+02   8.38087174E-01   1.60466385E-01   7.79741707E-04   5.30652893E-04   8.53190539E-05   2.29837432E-05   1.78972575E-05   4.95703600E-57  
  37               2.68327135E-01   2.01545889E+02   8.38076138E-01   1.60464272E-01   7.79729521E-04   5.30644600E-04   8.53177207E-05   2.29834405E-05   1.78969779E-05   2.29347950E-54  
  38               3.24358273E-01   2.11416335E+02   8.37949110E-01   1.60439950E-01   7.79761878E-04   5.30666621E-04   8.53212613E-05   2.29799569E-05   1.78977206E-05   8.90008420E-52  
  39               3.91988148E-01   2.20676805E+02   8.38091795E-01   1.60467270E-01   7.79772082E-04   5.30673565E-04   8.53223779E-05   2.29838699E-05   1.78979548E-05   1.45461974E-49  
  40               4.73678735E-01   2.30250290E+02   8.37600680E-01   1.60373237E-01   7.79895296E-04   5.30757419E-04   8.53358601E-05   2.29704015E-05   1.79007829E-05   1.82791627E-47  
  41               5.72496881E-01   2.39189094E+02   8.38091624E-01   1.60467237E-01   7.79884903E-04   5.30750345E-04   8.53347230E-05   2.29838652E-05   1.79005443E-05   1.16330269E-45  
  42               6.92120507E-01   2.48673164E+02   8.38090907E-01   1.60467100E-01   7.80355981E-04   5.31070938E-04   8.53862683E-05   2.29838455E-05   1.79113569E-05   6.87116019E-44  
