# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H                H2S             
  1                1.00000000E-05   3.83697832E+01   8.38113056E-01   1.60471341E-01   7.78054816E-04   5.28827388E-04   4.07807496E-05   4.05001478E-05   3.16311598E-109  2.29841457E-05  
  2                2.21793331E-05   4.73806423E+01   8.38113056E-01   1.60471341E-01   7.78054968E-04   5.28827491E-04   4.07807575E-05   4.05001557E-05   2.12393330E-109  2.29841457E-05  
  3                3.72666327E-05   5.00978966E+01   8.38113056E-01   1.60471341E-01   7.78055064E-04   5.28827557E-04   4.07807625E-05   4.05001608E-05   1.63853242E-109  2.29841457E-05  
  4                5.59535177E-05   5.22365333E+01   8.38113056E-01   1.60471341E-01   7.78055141E-04   5.28827609E-04   4.07807666E-05   4.05001648E-05   1.33721555E-109  2.29841457E-05  
  5                7.90967108E-05   5.48543874E+01   8.38113056E-01   1.60471341E-01   7.78055208E-04   5.28827654E-04   4.07807701E-05   4.05001683E-05   1.12469795E-109  2.29841457E-05  
  6                1.07755729E-04   5.69792355E+01   8.38113056E-01   1.60471341E-01   7.78055270E-04   5.28827697E-04   4.07807733E-05   4.05001716E-05   9.63595869E-110  2.29841457E-05  
  7                1.43242201E-04   5.95596350E+01   8.38113055E-01   1.60471341E-01   7.78055330E-04   5.28827737E-04   4.07807765E-05   4.05001747E-05   8.35756229E-110  2.29841457E-05  
  8                1.87175766E-04   6.17450829E+01   8.38113055E-01   1.60471341E-01   7.78055388E-04   5.28827777E-04   4.07807795E-05   4.05001777E-05   7.31122762E-110  2.29841457E-05  
  9                2.41561723E-04   6.44105650E+01   8.38113055E-01   1.60471341E-01   7.78055445E-04   5.28827816E-04   4.07807825E-05   4.05001807E-05   6.43577801E-110  2.29841457E-05  
  10               3.08875435E-04   6.66603770E+01   8.38113055E-01   1.60471341E-01   7.78055503E-04   5.28827855E-04   4.07807855E-05   4.05001837E-05   5.69145662E-110  2.29841457E-05  
