# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  1                1.00000000E-05   4.03640389E+01   8.38098983E-01   1.60468646E-01   7.79500144E-04   5.30352394E-04   6.90633409E-05   3.16306269E-109  2.61702320E-05   2.29807696E-05  
  2                6.79074622E-05   5.18273712E+01   8.38098983E-01   1.60468646E-01   7.79500143E-04   5.30352394E-04   6.90633409E-05   1.21380535E-109  2.61702320E-05   2.29807696E-05  
  3                1.39198711E-04   5.58696736E+01   8.38098983E-01   1.60468646E-01   7.79500143E-04   5.30352393E-04   6.90633409E-05   8.47793714E-110  2.61702320E-05   2.29807696E-05  
  4                2.26962435E-04   5.93817655E+01   8.38098983E-01   1.60468646E-01   7.79500142E-04   5.30352393E-04   6.90633410E-05   6.63943018E-110  2.61702320E-05   2.29807696E-05  
  5                3.34988296E-04   6.29062482E+01   8.38098983E-01   1.60468646E-01   7.79500142E-04   5.30352392E-04   6.90633410E-05   5.46503543E-110  2.61702320E-05   2.29807696E-05  
  6                4.67918350E-04   6.58732920E+01   8.38098983E-01   1.60468646E-01   7.79500141E-04   5.30352392E-04   6.90633410E-05   4.62405254E-110  2.61702320E-05   2.29807696E-05  
  7                6.31456240E-04   6.88395800E+01   8.38098983E-01   1.60468646E-01   7.79500140E-04   5.30352391E-04   6.90633411E-05   3.98048663E-110  2.61702320E-05   2.29807696E-05  
  8                8.32562652E-04   7.15254451E+01   8.38098983E-01   1.60468646E-01   7.79500139E-04   5.30352391E-04   6.90633411E-05   3.46656491E-110  2.61702320E-05   2.29807696E-05  
  9                1.07893842E-03   7.45184692E+01   8.38098983E-01   1.60468646E-01   7.79500139E-04   5.30352390E-04   6.90633411E-05   3.04515546E-110  2.61702320E-05   2.29807696E-05  
  10               1.37905067E-03   7.74645529E+01   8.38098983E-01   1.60468646E-01   7.79500138E-04   5.30352390E-04   6.90633411E-05   2.69350438E-110  2.61702319E-05   2.29807696E-05  
  11               1.74310484E-03   8.07547989E+01   8.38098983E-01   1.60468646E-01   7.79500138E-04   5.30352390E-04   6.90633411E-05   2.39577509E-110  2.61702319E-05   2.29807696E-05  
  12               2.18371757E-03   8.39100381E+01   8.38098983E-01   1.60468646E-01   7.79500137E-04   5.30352389E-04   6.90633411E-05   2.14047207E-110  2.61702319E-05   2.29807696E-05  
  13               2.71649910E-03   8.74368981E+01   8.38098983E-01   1.60468646E-01   7.79500137E-04   5.30352389E-04   6.90633411E-05   1.91912391E-110  2.61702319E-05   2.29807696E-05  
  14               3.36146061E-03   9.08792818E+01   8.38098983E-01   1.60468646E-01   7.79500137E-04   5.30352389E-04   6.90633411E-05   1.72521722E-110  2.61702319E-05   2.29807696E-05  
  15               4.14273892E-03   9.47008333E+01   8.38098983E-01   1.60468646E-01   7.79500136E-04   5.30352389E-04   6.90633411E-05   1.55404652E-110  2.61702319E-05   2.29807696E-05  
  16               5.08930156E-03   9.84981479E+01   8.38098983E-01   1.60468646E-01   7.79500136E-04   5.30352388E-04   6.90633411E-05   1.40209909E-110  2.61702319E-05   2.29807696E-05  
  17               6.23594358E-03   1.02786890E+02   8.38098486E-01   1.60468551E-01   7.79499706E-04   5.30352096E-04   6.90633031E-05   1.47851835E-107  2.61702175E-05   2.29807560E-05  
  18               7.62525231E-03   1.07015998E+02   8.38097104E-01   1.60468287E-01   7.79500599E-04   5.30352704E-04   6.90633823E-05   2.99243720E-103  2.61702475E-05   2.29807181E-05  
  19               9.30909700E-03   1.11721410E+02   8.38093124E-01   1.60467524E-01   7.79496484E-04   5.30349904E-04   6.90630177E-05   7.69478267E-99   2.61701093E-05   2.29806089E-05  
  20               1.13498181E-02   1.16413461E+02   8.38078519E-01   1.60464728E-01   7.79507859E-04   5.30357643E-04   6.90640256E-05   8.43811274E-95   2.61704912E-05   2.29802085E-05  
  21               1.38224400E-02   1.21676361E+02   8.38025813E-01   1.60454637E-01   7.79499977E-04   5.30352281E-04   6.90633274E-05   1.22847775E-90   2.61702267E-05   2.29787633E-05  
  22               1.68180702E-02   1.26888616E+02   8.38098932E-01   1.60468637E-01   7.79533718E-04   5.30375237E-04   6.90663170E-05   7.39887890E-87   2.61713595E-05   2.29807682E-05  
