# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  1                1.00000000E-05   1.22529824E+02   8.38494299E-01   1.60544316E-01   4.68214154E-04   3.16749790E-04   2.03240682E-88   6.01511750E-05   8.28138232E-05   2.29923989E-05  
  2                1.51864462E-04   1.59818019E+02   8.37847101E-01   1.60420399E-01   4.67855574E-04   3.16507209E-04   1.94189048E-67   6.01050988E-05   8.27504008E-05   2.29746521E-05  
  3                2.98768787E-04   1.87992394E+02   8.38497774E-01   1.60544981E-01   4.68585710E-04   3.17001150E-04   5.99160131E-57   6.01988675E-05   8.28795419E-05   2.29924942E-05  
  4                4.58441890E-04   2.02602837E+02   8.38497774E-01   1.60544981E-01   4.68585729E-04   3.17001164E-04   1.09250520E-52   6.01988374E-05   8.28795462E-05   2.29924942E-05  
  5                6.35930692E-04   2.17906095E+02   8.38497774E-01   1.60544981E-01   4.68585749E-04   3.17001177E-04   8.00823345E-49   6.01988078E-05   8.28795503E-05   2.29924942E-05  
  6                8.34766919E-04   2.26939486E+02   8.38497774E-01   1.60544981E-01   4.68585767E-04   3.17001190E-04   8.30981223E-47   6.01987790E-05   8.28795544E-05   2.29924942E-05  
  7                1.05864512E-03   2.38564395E+02   8.38497774E-01   1.60544981E-01   4.68585785E-04   3.17001202E-04   2.03229052E-44   6.01987516E-05   8.28795583E-05   2.29924942E-05  
  8                1.31148273E-03   2.45271090E+02   8.38497774E-01   1.60544981E-01   4.68585801E-04   3.17001213E-04   3.66714307E-43   6.01987270E-05   8.28795618E-05   2.29924942E-05  
  9                1.59776179E-03   2.55264800E+02   8.38497774E-01   1.60544981E-01   4.68585818E-04   3.17001224E-04   2.16913871E-41   6.01987017E-05   8.28795653E-05   2.29924942E-05  
  10               1.92229959E-03   2.61145615E+02   8.38497774E-01   1.60544981E-01   4.68585835E-04   3.17001236E-04   1.99250406E-40   6.01986757E-05   8.28795690E-05   2.29924942E-05  
  11               2.29067939E-03   2.70440618E+02   8.38497774E-01   1.60544981E-01   4.68585852E-04   3.17001248E-04   5.73338194E-39   6.01986487E-05   8.28795728E-05   2.29924942E-05  
  12               2.70903787E-03   2.76007566E+02   8.38497774E-01   1.60544981E-01   4.68585870E-04   3.17001260E-04   3.71984795E-38   6.01986207E-05   8.28795767E-05   2.29924942E-05  
  13               3.18447310E-03   2.85045682E+02   8.38497774E-01   1.60544981E-01   4.68585889E-04   3.17001273E-04   6.96210168E-37   6.01985915E-05   8.28795808E-05   2.29924942E-05  
  14               3.72498921E-03   2.90427434E+02   8.38497775E-01   1.60544981E-01   4.68585908E-04   3.17001286E-04   3.53714452E-36   6.01985612E-05   8.28795850E-05   2.29924941E-05  
  15               4.33985857E-03   2.99258767E+02   8.38497775E-01   1.60544980E-01   4.68585928E-04   3.17001299E-04   4.70217805E-35   6.01985295E-05   8.28795892E-05   2.29924940E-05  
  16               5.03940111E-03   3.04642096E+02   8.38497776E-01   1.60544979E-01   4.68585948E-04   3.17001313E-04   2.05234280E-34   6.01984965E-05   8.28795937E-05   2.29924939E-05  
  17               5.83546366E-03   3.13522821E+02   8.38497778E-01   1.60544977E-01   4.68585970E-04   3.17001328E-04   2.18472844E-33   6.01984623E-05   8.28795985E-05   2.29924936E-05  
  18               6.74133886E-03   3.19084638E+02   8.38497779E-01   1.60544975E-01   4.68585991E-04   3.17001342E-04   8.73782129E-33   6.01984263E-05   8.28796030E-05   2.29924934E-05  
