# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   8.15576112E+01   8.38159722E-01   1.60480267E-01   7.52070284E-04   5.04471047E-04   3.16334517E-109  8.82753170E-06   5.41131955E-05   2.29827804E-05  
  2                5.46091439E-04   1.10334166E+02   8.38086158E-01   1.60466182E-01   7.52006008E-04   5.04427932E-04   1.69218857E-99   8.82677724E-06   5.41085750E-05   2.29807632E-05  
  3                1.11323976E-03   1.32859707E+02   8.38159606E-01   1.60480245E-01   7.52136952E-04   5.04515766E-04   2.95018906E-82   8.82831417E-06   5.41180127E-05   2.29827772E-05  
  4                1.74540798E-03   1.48101251E+02   8.38159416E-01   1.60480209E-01   7.52136892E-04   5.04515725E-04   1.40435108E-73   8.82831343E-06   5.41180192E-05   2.29827720E-05  
  5                2.46695998E-03   1.59353737E+02   8.38158066E-01   1.60479950E-01   7.52136361E-04   5.04515368E-04   2.99477082E-68   8.82830717E-06   5.41179897E-05   2.29827350E-05  
  6                3.29816636E-03   1.69799679E+02   8.38153443E-01   1.60479065E-01   7.52135312E-04   5.04514664E-04   6.17383065E-64   8.82829483E-06   5.41179216E-05   2.29826082E-05  
  7                4.26026152E-03   1.78472892E+02   8.38135330E-01   1.60475597E-01   7.52131106E-04   5.04511842E-04   9.57388146E-61   8.82824545E-06   5.41176257E-05   2.29821116E-05  
  8                5.37637612E-03   1.87365380E+02   8.38093767E-01   1.60467639E-01   7.52132492E-04   5.04512772E-04   8.86341116E-58   8.82826169E-06   5.41177317E-05   2.29809719E-05  
  9                6.67206419E-03   1.95272698E+02   8.37601954E-01   1.60373473E-01   7.52120272E-04   5.04504574E-04   2.25503979E-55   8.82811824E-06   5.41168584E-05   2.29674861E-05  
  10               8.17730813E-03   2.03685686E+02   8.38159381E-01   1.60480202E-01   7.52299826E-04   5.04625015E-04   5.13435285E-53   8.83022576E-06   5.41297836E-05   2.29827710E-05  
