# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               CO               NH3             
  1                1.00000000E-05   5.00838926E+01   8.38126231E-01   1.60473853E-01   7.73299327E-04   5.24400090E-04   3.16316714E-109  4.78535624E-05   1.14524476E-06   2.59505461E-05  
  2                2.31745731E-05   6.65602830E+01   8.38126230E-01   1.60473853E-01   7.73299939E-04   5.24400505E-04   2.07785993E-109  4.78536004E-05   1.14524566E-06   2.59505666E-05  
  3                3.94980943E-05   7.06233985E+01   8.38126229E-01   1.60473853E-01   7.73300447E-04   5.24400850E-04   1.59160050E-109  4.78536319E-05   1.14524642E-06   2.59505837E-05  
  4                5.96637001E-05   7.45781139E+01   8.38126229E-01   1.60473853E-01   7.73300895E-04   5.24401153E-04   1.29499189E-109  4.78536596E-05   1.14524708E-06   2.59505987E-05  
  5                8.43762117E-05   7.75858797E+01   8.38126228E-01   1.60473852E-01   7.73301241E-04   5.24401388E-04   1.08896050E-109  4.78536811E-05   1.14524759E-06   2.59506103E-05  
  6                1.14512233E-04   8.16006993E+01   8.38126228E-01   1.60473852E-01   7.73301504E-04   5.24401566E-04   9.34751556E-110  4.78536974E-05   1.14524798E-06   2.59506191E-05  
  7                1.51203711E-04   8.43456700E+01   8.38126227E-01   1.60473852E-01   7.73301683E-04   5.24401688E-04   8.13468823E-110  4.78537085E-05   1.14524825E-06   2.59506251E-05  
  8                1.95894873E-04   8.83146163E+01   8.38126227E-01   1.60473852E-01   7.73301797E-04   5.24401765E-04   7.14678313E-110  4.78537156E-05   1.14524842E-06   2.59506289E-05  
  9                2.50391367E-04   9.13982438E+01   8.38126227E-01   1.60473852E-01   7.73301926E-04   5.24401852E-04   6.32138821E-110  4.78537236E-05   1.14524861E-06   2.59506333E-05  
  10               3.16848224E-04   9.60429374E+01   8.38126227E-01   1.60473852E-01   7.73302074E-04   5.24401952E-04   5.61948478E-110  4.78537327E-05   1.14524883E-06   2.59506382E-05  
  11               3.97901767E-04   9.96791764E+01   8.38122446E-01   1.60473128E-01   7.73302246E-04   5.24402069E-04   5.01455323E-110  4.78537434E-05   1.14524908E-06   2.59506440E-05  
  12               4.96818630E-04   1.04733869E+02   8.38117155E-01   1.60472115E-01   7.73301961E-04   5.24401876E-04   5.82524125E-105  4.78537258E-05   1.14524866E-06   2.59506344E-05  
  13               6.17625484E-04   1.08506726E+02   8.38038076E-01   1.60456974E-01   7.73304016E-04   5.24403269E-04   2.98122439E-101  4.78538529E-05   1.14525170E-06   2.59507034E-05  
  14               7.65314450E-04   1.13708159E+02   8.38126203E-01   1.60473848E-01   7.73318117E-04   5.24412832E-04   1.58022116E-96   4.78547256E-05   1.14527259E-06   2.59511766E-05  
  15               9.45984257E-04   1.17649067E+02   8.38126085E-01   1.60473825E-01   7.73397161E-04   5.24466435E-04   3.06923774E-93   4.78596171E-05   1.14538965E-06   2.59538292E-05  
  16               1.16703051E-03   1.23361054E+02   8.38126085E-01   1.60473825E-01   7.73397536E-04   5.24466689E-04   7.88648688E-89   4.78596403E-05   1.14539021E-06   2.59538417E-05  
  17               1.43740987E-03   1.27862131E+02   8.38126084E-01   1.60473825E-01   7.73397969E-04   5.24466982E-04   1.20985124E-85   4.78596671E-05   1.14539085E-06   2.59538563E-05  
  18               1.76810371E-03   1.34152649E+02   8.38126083E-01   1.60473825E-01   7.73398465E-04   5.24467319E-04   1.55232891E-81   4.78596979E-05   1.14539158E-06   2.59538729E-05  
  19               2.17266963E-03   1.39006929E+02   8.38126078E-01   1.60473824E-01   7.73399030E-04   5.24467702E-04   1.24406924E-78   4.78597329E-05   1.14539242E-06   2.59538918E-05  
  20               2.66770121E-03   1.45665525E+02   8.38126068E-01   1.60473822E-01   7.73399665E-04   5.24468132E-04   5.96975555E-75   4.78597722E-05   1.14539336E-06   2.59539131E-05  
  21               3.27342405E-03   1.50801860E+02   8.38126005E-01   1.60473810E-01   7.73400377E-04   5.24468615E-04   2.40562821E-72   4.78598164E-05   1.14539441E-06   2.59539370E-05  
  22               4.01466959E-03   1.57791681E+02   8.38125901E-01   1.60473790E-01   7.73401181E-04   5.24469160E-04   4.63844594E-69   4.78598662E-05   1.14539560E-06   2.59539640E-05  
  23               4.92183716E-03   1.63149653E+02   8.38123362E-01   1.60473304E-01   7.73402119E-04   5.24469797E-04   9.58624150E-67   4.78599243E-05   1.14539699E-06   2.59539954E-05  
  24               6.03207820E-03   1.70544820E+02   8.38126075E-01   1.60473823E-01   7.73403769E-04   5.24470916E-04   8.93827246E-64   4.78600265E-05   1.14539944E-06   2.59540508E-05  
  25               7.39067091E-03   1.76291442E+02   8.38103148E-01   1.60469433E-01   7.73406709E-04   5.24472909E-04   1.18842666E-61   4.78602085E-05   1.14540379E-06   2.59541494E-05  
  26               9.05285834E-03   1.84112473E+02   8.38126061E-01   1.60473820E-01   7.73413438E-04   5.24477472E-04   5.81461935E-59   4.78606250E-05   1.14541376E-06   2.59543752E-05  
  27               1.10852671E-02   1.90310484E+02   8.37970546E-01   1.60444045E-01   7.73430185E-04   5.24488829E-04   5.34143452E-57   4.78616614E-05   1.14543856E-06   2.59549372E-05  
  28               1.35687886E-02   1.98640975E+02   8.38125969E-01   1.60473803E-01   7.73475250E-04   5.24519389E-04   1.53091322E-54   4.78644503E-05   1.14550530E-06   2.59564494E-05  
  29               1.66025801E-02   2.05228791E+02   8.37651403E-01   1.60382939E-01   7.73576468E-04   5.24588028E-04   9.44981948E-53   4.78707140E-05   1.14565520E-06   2.59598461E-05  
  30               2.03076137E-02   2.13813667E+02   8.38125890E-01   1.60473788E-01   7.73528466E-04   5.24555477E-04   1.42432111E-50   4.78677436E-05   1.14558411E-06   2.59582352E-05  
  31               2.48284120E-02   2.20618992E+02   8.38125156E-01   1.60473647E-01   7.74020868E-04   5.24889391E-04   5.60488664E-49   4.78982148E-05   1.14631335E-06   2.59747593E-05  
  32               3.03414190E-02   2.29392639E+02   8.38125154E-01   1.60473647E-01   7.74022285E-04   5.24890352E-04   4.72688332E-47   4.78983026E-05   1.14631545E-06   2.59748068E-05  
  33               3.70625839E-02   2.36425390E+02   8.38125152E-01   1.60473646E-01   7.74023666E-04   5.24891288E-04   1.27258494E-45   4.78983882E-05   1.14631750E-06   2.59748531E-05  
  34               4.52540737E-02   2.45451921E+02   8.38125150E-01   1.60473646E-01   7.74025148E-04   5.24892293E-04   6.75046398E-44   4.78984800E-05   1.14631969E-06   2.59749028E-05  
  35               5.52333588E-02   2.52891717E+02   8.38125147E-01   1.60473646E-01   7.74026749E-04   5.24893379E-04   1.40844604E-42   4.78985792E-05   1.14632206E-06   2.59749565E-05  
  36               6.73868123E-02   2.62340855E+02   8.38125145E-01   1.60473645E-01   7.74028475E-04   5.24894550E-04   5.31200445E-41   4.78986862E-05   1.14632462E-06   2.59750144E-05  
  37               8.21833986E-02   2.70231214E+02   8.38125142E-01   1.60473645E-01   7.74030336E-04   5.24895812E-04   8.87585553E-40   4.78988015E-05   1.14632737E-06   2.59750768E-05  
  38               1.00193265E-01   2.80178582E+02   8.38125139E-01   1.60473644E-01   7.74032340E-04   5.24897170E-04   2.51233658E-38   4.78989256E-05   1.14633034E-06   2.59751440E-05  
  39               1.22101777E-01   2.88815597E+02   8.38125136E-01   1.60473643E-01   7.74034496E-04   5.24898633E-04   3.73185360E-37   4.78990593E-05   1.14633354E-06   2.59752163E-05  
  40               1.48745345E-01   2.99640554E+02   8.38125132E-01   1.60473643E-01   7.74036814E-04   5.24900204E-04   8.97638777E-36   4.78992029E-05   1.14633697E-06   2.59752940E-05  
  41               1.81145304E-01   3.09274719E+02   8.38125128E-01   1.60473642E-01   7.74039304E-04   5.24901893E-04   1.24225550E-34   4.78993572E-05   1.14634066E-06   2.59753775E-05  
  42               2.20545609E-01   3.21213760E+02   8.38125124E-01   1.60473641E-01   7.74041979E-04   5.24903707E-04   2.63332829E-33   4.78995230E-05   1.14634462E-06   2.59754672E-05  
  43               2.68440329E-01   3.32150369E+02   8.38125120E-01   1.60473640E-01   7.74044853E-04   5.24905656E-04   3.51502227E-32   4.78997011E-05   1.14634888E-06   2.59755636E-05  
  44               3.26619382E-01   3.45559187E+02   8.38125114E-01   1.60473639E-01   7.74047949E-04   5.24907756E-04   6.83977327E-31   4.78998929E-05   1.14635346E-06   2.59756674E-05  
  45               3.97225755E-01   3.58293476E+02   8.38125109E-01   1.60473638E-01   7.74051277E-04   5.24910012E-04   9.23463310E-30   4.79000991E-05   1.14635839E-06   2.59757790E-05  
  46               4.82845132E-01   3.73870628E+02   8.38125000E-01   1.60473617E-01   7.74054888E-04   5.24912462E-04   1.77679003E-28   4.79003229E-05   1.14636374E-06   2.59759001E-05  
  47               5.86559833E-01   3.89072695E+02   8.38125004E-01   1.60473606E-01   7.74058638E-04   5.24915004E-04   2.51270693E-27   4.79005553E-05   1.14636929E-06   2.59760259E-05  
  48               7.12007569E-01   4.07344451E+02   8.38124998E-01   1.60473603E-01   7.74063675E-04   5.24918420E-04   4.72578213E-26   4.79008673E-05   1.14637675E-06   2.59761948E-05  
  49               8.63389046E-01   4.25758103E+02   8.38124992E-01   1.60473600E-01   7.74068244E-04   5.24921519E-04   7.00759502E-25   4.79011505E-05   1.14638352E-06   2.59763480E-05  
  50               1.04569948E+00   4.47944509E+02   8.38124967E-01   1.60473591E-01   7.74073225E-04   5.24924896E-04   1.36062374E-23   4.79014592E-05   1.14639090E-06   2.59765151E-05  
  51               1.26476562E+00   4.70862869E+02   8.38121594E-01   1.60472951E-01   7.74075926E-04   5.24926728E-04   2.16409235E-22   4.79016268E-05   1.14639490E-06   2.59766056E-05  
  52               1.52707720E+00   4.98058852E+02   8.38121507E-01   1.60472909E-01   7.74148688E-04   5.24976070E-04   4.18501295E-21   4.79061300E-05   1.14650266E-06   2.59790472E-05  
  53               1.83977533E+00   5.26821457E+02   8.38121566E-01   1.60472828E-01   7.74160716E-04   5.24984227E-04   6.86947987E-20   4.79068748E-05   1.14652047E-06   2.59794506E-05  
  54               2.21245443E+00   5.56540659E+02   8.38121726E-01   1.60472655E-01   7.74167741E-04   5.24988991E-04   9.09755784E-19   4.79073102E-05   1.14653088E-06   2.59796862E-05  
  55               2.65614377E+00   5.88021195E+02   8.38122073E-01   1.60472296E-01   7.74175174E-04   5.24994031E-04   1.05437748E-17   4.79077709E-05   1.14654188E-06   2.59799355E-05  
  56               3.18247232E+00   6.20467435E+02   8.38122715E-01   1.60471640E-01   7.74182845E-04   5.24999234E-04   1.01172852E-16   4.79082464E-05   1.14655325E-06   2.59801927E-05  
  57               3.80407564E+00   6.54643171E+02   8.38123809E-01   1.60470532E-01   7.74190542E-04   5.25004453E-04   8.58041168E-16   4.79087236E-05   1.14656465E-06   2.59804507E-05  
  58               4.53826968E+00   6.89034963E+02   8.38125321E-01   1.60469005E-01   7.74198374E-04   5.25009764E-04   5.92205054E-15   4.79092092E-05   1.14657625E-06   2.59807133E-05  
  59               5.40405251E+00   7.25144639E+02   8.38127271E-01   1.60467032E-01   7.74206448E-04   5.25015240E-04   3.68912572E-14   4.79097099E-05   1.14658820E-06   2.59809839E-05  
  60               6.42030429E+00   7.63178035E+02   8.38129515E-01   1.60464736E-01   7.74215153E-04   5.25021143E-04   2.09822450E-13   4.79102498E-05   1.14660110E-06   2.59812757E-05  
  61               7.60847999E+00   8.02694420E+02   8.38131672E-01   1.60462336E-01   7.74225301E-04   5.25028024E-04   1.07022664E-12   4.79108791E-05   1.14661616E-06   2.59816158E-05  
  62               9.00041812E+00   8.43505680E+02   8.38133664E-01   1.60460061E-01   7.74238123E-04   5.25036720E-04   4.89121975E-12   4.79116741E-05   1.14663546E-06   2.59820457E-05  
  63               1.06294111E+01   8.86015852E+02   8.38135644E-01   1.60458026E-01   7.74257092E-04   5.25049583E-04   2.04748450E-11   4.79128496E-05   1.14666687E-06   2.59826818E-05  
  64               1.25253336E+01   9.29685395E+02   8.38137283E-01   1.60456265E-01   7.74276864E-04   5.25062991E-04   7.75343498E-11   4.79140749E-05   1.14672810E-06   2.59833448E-05  
  65               1.47157314E+01   9.74675607E+02   8.38138470E-01   1.60454727E-01   7.74295129E-04   5.25075378E-04   2.69219839E-10   4.79152072E-05   1.14702486E-06   2.59839572E-05  
  66               1.72405069E+01   1.02056649E+03   8.38138452E-01   1.60453275E-01   7.74316977E-04   5.25090193E-04   8.53486762E-10   4.79165612E-05   1.14902863E-06   2.59846898E-05  
  67               2.01484460E+01   1.06782782E+03   8.38137579E-01   1.60452007E-01   7.74363285E-04   5.25121589E-04   2.51944653E-09   4.79194296E-05   1.16134383E-06   2.59862435E-05  
  68               2.34833630E+01   1.11589901E+03   8.38138459E-01   1.60451019E-01   7.74382392E-04   5.25134441E-04   6.87704059E-09   4.79206216E-05   1.22500910E-06   2.59868881E-05  
  69               2.72960406E+01   1.16266265E+03   8.38139075E-01   1.60450102E-01   7.74400857E-04   5.25145824E-04   1.67711892E-08   4.79218504E-05   1.47692864E-06   2.59875526E-05  
  70               3.16484755E+01   1.20617112E+03   8.38139268E-01   1.60449214E-01   7.74411338E-04   5.25143831E-04   3.58262568E-08   4.79232028E-05   2.13194080E-06   2.59882833E-05  
  71               3.66342393E+01   1.24969323E+03   8.38139213E-01   1.60448140E-01   7.74367753E-04   5.25063468E-04   7.23524171E-08   4.79246599E-05   3.32897379E-06   2.59890662E-05  
  72               4.23478660E+01   1.29119488E+03   8.38139283E-01   1.60447023E-01   7.74082477E-04   5.24658402E-04   1.34426618E-07   4.79260205E-05   4.97795027E-06   2.59897753E-05  
  73               4.88711612E+01   1.33413181E+03   8.38140353E-01   1.60445734E-01   7.73085664E-04   5.23381704E-04   2.44834193E-07   4.79269193E-05   7.32421527E-06   2.59901408E-05  
  74               5.62718060E+01   1.37643681E+03   8.38143204E-01   1.60444520E-01   7.70837989E-04   5.20808334E-04   4.24549387E-07   4.79271504E-05   1.02821230E-05   2.59897741E-05  
  75               6.46272662E+01   1.42149052E+03   8.38148027E-01   1.60442986E-01   7.67055079E-04   5.16755962E-04   7.37341563E-07   4.79271530E-05   1.44508235E-05   2.59878599E-05  
  76               7.41051403E+01   1.46706847E+03   8.38154229E-01   1.60441178E-01   7.62059526E-04   5.11539146E-04   1.24245379E-06   4.79277071E-05   1.96659933E-05   2.59813666E-05  
  77               8.48499809E+01   1.51621198E+03   8.38162637E-01   1.60438689E-01   7.55125594E-04   5.04344065E-04   2.10983409E-06   4.79307562E-05   2.68368689E-05   2.59595174E-05  
  78               9.69439456E+01   1.56640368E+03   8.38172432E-01   1.60435636E-01   7.46657439E-04   4.95512187E-04   3.49677734E-06   4.79414214E-05   3.56202415E-05   2.58988989E-05  
  79               1.10393935E+02   1.62042758E+03   8.38184405E-01   1.60431432E-01   7.35470842E-04   4.83762951E-04   5.83229253E-06   4.79738598E-05   4.72938116E-05   2.57429473E-05  
  80               1.25121533E+02   1.67580664E+03   8.38182061E-01   1.60423399E-01   7.22633970E-04   4.69608753E-04   9.52360555E-06   4.80334918E-05   6.13302323E-05   2.55144736E-05  
  81               1.41076797E+02   1.73022902E+03   8.38179116E-01   1.60417438E-01   7.26409227E-04   4.52720442E-04   1.49281719E-05   4.80845809E-05   7.80766007E-05   2.53755299E-05  
  82               1.58340806E+02   1.78394950E+03   8.38191686E-01   1.60411469E-01   7.10953499E-04   4.36558523E-04   2.26108023E-05   4.80721866E-05   9.40592551E-05   2.53454125E-05  
