# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              N2               H2S             
  1                1.00000000E-05   5.57195579E+01   8.38109302E-01   1.60470621E-01   7.78683660E-04   5.29453335E-04   3.16310236E-109  4.73924607E-05   3.71687720E-05   2.29818125E-05  
  2                8.11572597E-05   6.90009109E+01   8.38109302E-01   1.60470621E-01   7.78683663E-04   5.29453336E-04   1.11032357E-109  4.73924608E-05   3.71687721E-05   2.29818125E-05  
  3                1.68524022E-04   7.58047681E+01   8.38109302E-01   1.60470621E-01   7.78683664E-04   5.29453337E-04   7.70517200E-110  4.73924609E-05   3.71687722E-05   2.29818125E-05  
  4                2.73251524E-04   8.27584403E+01   8.38109302E-01   1.60470621E-01   7.78683665E-04   5.29453338E-04   6.05106683E-110  4.73924610E-05   3.71687722E-05   2.29818125E-05  
  5                3.97762641E-04   8.89528921E+01   8.38109302E-01   1.60470621E-01   7.78683666E-04   5.29453338E-04   5.01535005E-110  4.73924610E-05   3.71687722E-05   2.29818125E-05  
  6                5.47008710E-04   9.45731631E+01   8.38109302E-01   1.60470621E-01   7.78683666E-04   5.29453339E-04   4.27677226E-110  4.73924610E-05   3.71687722E-05   2.29818125E-05  
  7                7.26851023E-04   9.97675096E+01   8.38107178E-01   1.60470215E-01   7.78683668E-04   5.29453340E-04   3.71013270E-110  4.73924612E-05   3.71687723E-05   2.29817543E-05  
  8                9.44218953E-04   1.04908369E+02   8.38100890E-01   1.60469011E-01   7.78669860E-04   5.29443952E-04   6.39075953E-105  4.73916208E-05   3.71681132E-05   2.29815818E-05  
  9                1.20746850E-03   1.09900072E+02   8.38018364E-01   1.60453210E-01   7.78693463E-04   5.29460000E-04   4.47703362E-100  4.73930573E-05   3.71692398E-05   2.29793189E-05  
  10               1.52681648E-03   1.14888190E+02   8.38109276E-01   1.60470617E-01   7.78700406E-04   5.29464721E-04   1.17782263E-95   4.73934799E-05   3.71695712E-05   2.29818118E-05  
  11               1.91463205E-03   1.19863868E+02   8.38109159E-01   1.60470594E-01   7.78778718E-04   5.29517967E-04   1.29358977E-91   4.73982460E-05   3.71733092E-05   2.29818086E-05  
  12               2.38576552E-03   1.25126834E+02   8.38109159E-01   1.60470594E-01   7.78778719E-04   5.29517968E-04   1.08845864E-87   4.73982461E-05   3.71733093E-05   2.29818086E-05  
  13               2.95799617E-03   1.30593758E+02   8.38109159E-01   1.60470594E-01   7.78778721E-04   5.29517970E-04   6.00564263E-84   4.73982462E-05   3.71733094E-05   2.29818086E-05  
  14               3.65312237E-03   1.36258307E+02   8.38109158E-01   1.60470594E-01   7.78778723E-04   5.29517971E-04   2.17851315E-80   4.73982463E-05   3.71733094E-05   2.29818085E-05  
