# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                CH4              N2               H2S             
  1                1.00000000E-05   1.23079472E+02   8.38447232E-01   1.60535290E-01   4.09405407E-04   3.68617014E-04   5.25558357E-88   1.34215071E-04   5.98808567E-05   2.29915325E-05  
  2                9.07586273E-05   1.62745124E+02   8.37819160E-01   1.60415035E-01   4.09121815E-04   3.68361676E-04   4.74107526E-66   1.34122102E-04   5.98393790E-05   2.29743098E-05  
  3                1.77079531E-04   1.80911411E+02   8.38460192E-01   1.60537771E-01   4.09742716E-04   3.68920717E-04   3.37930433E-59   1.34325651E-04   5.99301966E-05   2.29918879E-05  
  4                2.73874727E-04   1.97072652E+02   8.38460193E-01   1.60537771E-01   4.09742511E-04   3.68920533E-04   3.78432226E-54   1.34325584E-04   5.99301698E-05   2.29918879E-05  
  5                3.83932619E-04   2.06122295E+02   8.38460193E-01   1.60537772E-01   4.09742303E-04   3.68920346E-04   1.08079061E-51   1.34325516E-04   5.99301426E-05   2.29918879E-05  
  6                5.10024088E-04   2.17453212E+02   8.38460194E-01   1.60537772E-01   4.09742097E-04   3.68920160E-04   6.96416467E-49   1.34325448E-04   5.99301155E-05   2.29918879E-05  
  7                6.54907966E-04   2.24172135E+02   8.38460194E-01   1.60537772E-01   4.09741890E-04   3.68919975E-04   2.26079692E-47   1.34325381E-04   5.99300885E-05   2.29918879E-05  
  8                8.21750165E-04   2.33819406E+02   8.38460194E-01   1.60537772E-01   4.09741683E-04   3.68919788E-04   2.49018024E-45   1.34325312E-04   5.99300613E-05   2.29918880E-05  
  9                1.01409291E-03   2.39541324E+02   8.38460195E-01   1.60537772E-01   4.09741467E-04   3.68919593E-04   3.24791169E-44   1.34325242E-04   5.99300330E-05   2.29918880E-05  
  10               1.23616527E-03   2.48238097E+02   8.38460195E-01   1.60537772E-01   4.09741242E-04   3.68919391E-04   1.35252807E-42   1.34325168E-04   5.99300035E-05   2.29918880E-05  
  11               1.49271070E-03   2.53545233E+02   8.38460196E-01   1.60537772E-01   4.09741007E-04   3.68919180E-04   1.11922856E-41   1.34325091E-04   5.99299728E-05   2.29918880E-05  
  12               1.78927608E-03   2.61957434E+02   8.38460196E-01   1.60537772E-01   4.09740762E-04   3.68918960E-04   2.81788506E-40   1.34325011E-04   5.99299407E-05   2.29918880E-05  
  13               2.13219616E-03   2.67122589E+02   8.38460197E-01   1.60537772E-01   4.09740506E-04   3.68918729E-04   1.78425848E-39   1.34324927E-04   5.99299072E-05   2.29918880E-05  
  14               2.52889533E-03   2.75373986E+02   8.38460197E-01   1.60537772E-01   4.09740238E-04   3.68918488E-04   3.09455125E-38   1.34324839E-04   5.99298721E-05   2.29918880E-05  
  15               2.98778403E-03   2.80649934E+02   8.38460198E-01   1.60537772E-01   4.09739958E-04   3.68918236E-04   1.70298966E-37   1.34324747E-04   5.99298354E-05   2.29918880E-05  
  16               3.51873150E-03   2.88966790E+02   8.38460199E-01   1.60537772E-01   4.09739665E-04   3.68917972E-04   2.30614884E-36   1.34324651E-04   5.99297971E-05   2.29918880E-05  
  17               4.13313178E-03   2.94262281E+02   8.38460200E-01   1.60537772E-01   4.09739359E-04   3.68917697E-04   1.08862339E-35   1.34324551E-04   5.99297570E-05   2.29918880E-05  
  18               4.84426169E-03   3.02618591E+02   8.38460201E-01   1.60537771E-01   4.09739041E-04   3.68917411E-04   1.17721229E-34   1.34324447E-04   5.99297154E-05   2.29918878E-05  
  19               5.66725979E-03   3.08100053E+02   8.38460202E-01   1.60537770E-01   4.09738707E-04   3.68917110E-04   5.08519713E-34   1.34324337E-04   5.99296717E-05   2.29918878E-05  
  20               6.61971062E-03   3.16717762E+02   8.38460205E-01   1.60537768E-01   4.09738363E-04   3.68916801E-04   4.77002105E-33   1.34324225E-04   5.99296267E-05   2.29918874E-05  
  21               7.72181231E-03   3.22485726E+02   8.38460207E-01   1.60537766E-01   4.09737998E-04   3.68916472E-04   1.94300621E-32   1.34324105E-04   5.99295789E-05   2.29918872E-05  
  22               8.99708276E-03   3.31336762E+02   8.38460213E-01   1.60537761E-01   4.09737636E-04   3.68916147E-04   1.58204497E-31   1.34323986E-04   5.99295318E-05   2.29918864E-05  
  23               1.04723448E-02   3.37435536E+02   8.38460215E-01   1.60537756E-01   4.09737238E-04   3.68915788E-04   6.13735003E-31   1.34323856E-04   5.99294796E-05   2.29918857E-05  
