# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  1                1.00000000E-05   1.10994458E+02   8.38382140E-01   1.60522852E-01   4.86042110E-04   2.69289238E-04   2.49808803E-04   5.09803423E-98   5.92116978E-05   2.29907937E-05  
  2                1.04501979E-04   1.47566819E+02   8.38374872E-01   1.60521460E-01   4.86027504E-04   2.69281145E-04   2.49801296E-04   3.03296385E-73   5.92099186E-05   2.29905944E-05  
  3                2.06754669E-04   1.63958350E+02   8.38210599E-01   1.60490007E-01   4.85952252E-04   2.69239453E-04   2.49762619E-04   1.02991974E-65   5.92007514E-05   2.29860896E-05  
  4                3.22428387E-04   1.81281826E+02   8.37906396E-01   1.60431762E-01   4.85877566E-04   2.69198073E-04   2.49724233E-04   3.36061473E-59   5.91916532E-05   2.29777475E-05  
  5                4.55037073E-04   1.88798620E+02   8.38381675E-01   1.60522763E-01   4.86425631E-04   2.69501726E-04   2.50005919E-04   8.78797791E-57   5.92584211E-05   2.29907809E-05  
  6                6.08060913E-04   2.01732878E+02   8.38381675E-01   1.60522763E-01   4.86425747E-04   2.69501790E-04   2.50005979E-04   5.43738350E-53   5.92584356E-05   2.29907809E-05  
  7                7.85357478E-04   2.06545078E+02   8.38381675E-01   1.60522763E-01   4.86425839E-04   2.69501842E-04   2.50006026E-04   9.79599763E-52   5.92584471E-05   2.29907809E-05  
  8                9.91308473E-04   2.17840493E+02   8.38381675E-01   1.60522763E-01   4.86425929E-04   2.69501891E-04   2.50006073E-04   6.18557362E-49   5.92584583E-05   2.29907809E-05  
  9                1.23070897E-03   2.21827347E+02   8.38381675E-01   1.60522763E-01   4.86426016E-04   2.69501939E-04   2.50006117E-04   4.80366163E-48   5.92584691E-05   2.29907809E-05  
  10               1.50928097E-03   2.32324723E+02   8.38381674E-01   1.60522763E-01   4.86426101E-04   2.69501987E-04   2.50006161E-04   8.94335488E-46   5.92584798E-05   2.29907809E-05  
  11               1.83342132E-03   2.36059740E+02   8.38381674E-01   1.60522763E-01   4.86426185E-04   2.69502033E-04   2.50006204E-04   4.82167818E-45   5.92584904E-05   2.29907809E-05  
  12               2.21094113E-03   2.46018684E+02   8.38381674E-01   1.60522763E-01   4.86426270E-04   2.69502080E-04   2.50006248E-04   3.90575209E-43   5.92585010E-05   2.29907809E-05  
