# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  1                1.00000000E-05   1.10032668E+02   8.38280611E-01   1.60503415E-01   6.30571512E-04   3.89451478E-04   1.05243126E-04   6.54892673E-99   5.79220833E-05   2.29873361E-05  
  2                2.18018188E-04   1.41524640E+02   8.38276902E-01   1.60502705E-01   6.30570585E-04   3.89450905E-04   1.05242971E-04   1.10667798E-76   5.79219981E-05   2.29872344E-05  
  3                4.44177153E-04   1.64093952E+02   8.38227435E-01   1.60493234E-01   6.30551789E-04   3.89439297E-04   1.05239834E-04   8.01506176E-66   5.79202713E-05   2.29858779E-05  
  4                6.99346410E-04   1.79296865E+02   8.37681746E-01   1.60388752E-01   6.30541651E-04   3.89433035E-04   1.05238142E-04   4.62741334E-60   5.79193399E-05   2.29709140E-05  
  5                9.92022496E-04   1.90810421E+02   8.38280458E-01   1.60503386E-01   6.30678762E-04   3.89517718E-04   1.05261026E-04   2.56053310E-56   5.79319344E-05   2.29873319E-05  
  6                1.32997186E-03   2.00756605E+02   8.38279839E-01   1.60503267E-01   6.31070214E-04   3.89759485E-04   1.05326360E-04   1.95763630E-53   5.79678916E-05   2.29873149E-05  
  7                1.72184236E-03   2.09363815E+02   8.38279837E-01   1.60503267E-01   6.31071745E-04   3.89760431E-04   1.05326615E-04   3.63641865E-51   5.79680322E-05   2.29873149E-05  
  8                2.17720341E-03   2.17726758E+02   8.38279840E-01   1.60503267E-01   6.31069420E-04   3.89758995E-04   1.05326227E-04   3.91963215E-49   5.79678185E-05   2.29873150E-05  
  9                2.70679761E-03   2.25273933E+02   8.38279835E-01   1.60503266E-01   6.31072547E-04   3.89760925E-04   1.05326749E-04   1.96741458E-47   5.79681056E-05   2.29873148E-05  
  10               3.32287399E-03   2.32988837E+02   8.38279835E-01   1.60503266E-01   6.31072906E-04   3.89761147E-04   1.05326809E-04   8.30799211E-46   5.79681385E-05   2.29873148E-05  
  11               4.04010343E-03   2.40015615E+02   8.38279834E-01   1.60503266E-01   6.31073253E-04   3.89761362E-04   1.05326867E-04   2.01891016E-44   5.79681704E-05   2.29873148E-05  
  12               4.87557925E-03   2.47254569E+02   8.38279834E-01   1.60503266E-01   6.31073596E-04   3.89761574E-04   1.05326924E-04   4.47613168E-43   5.79682017E-05   2.29873148E-05  
  13               5.84905576E-03   2.54011311E+02   8.38279833E-01   1.60503266E-01   6.31073939E-04   3.89761786E-04   1.05326982E-04   6.83218817E-42   5.79682332E-05   2.29873148E-05  
  14               6.98356433E-03   2.61108439E+02   8.38279833E-01   1.60503266E-01   6.31074293E-04   3.89762004E-04   1.05327041E-04   1.03028552E-40   5.79682655E-05   2.29873147E-05  
  15               8.30592357E-03   2.67782971E+02   8.38279832E-01   1.60503266E-01   6.31074658E-04   3.89762230E-04   1.05327102E-04   1.15107766E-39   5.79682990E-05   2.29873147E-05  
  16               9.84726458E-03   2.74871709E+02   8.38279831E-01   1.60503266E-01   6.31075037E-04   3.89762464E-04   1.05327165E-04   1.31767788E-38   5.79683337E-05   2.29873147E-05  
  17               1.16435434E-02   2.81663157E+02   8.38279831E-01   1.60503266E-01   6.31075431E-04   3.89762707E-04   1.05327231E-04   1.20675399E-37   5.79683698E-05   2.29873147E-05  
  18               1.37366261E-02   2.88952903E+02   8.38279830E-01   1.60503265E-01   6.31075841E-04   3.89762960E-04   1.05327299E-04   1.16185997E-36   5.79684074E-05   2.29873147E-05  
  19               1.61754952E-02   2.95934645E+02   8.38279830E-01   1.60503265E-01   6.31076268E-04   3.89763224E-04   1.05327370E-04   9.10195487E-36   5.79684465E-05   2.29873146E-05  
  20               1.90169273E-02   3.03466107E+02   8.38279829E-01   1.60503265E-01   6.31076714E-04   3.89763499E-04   1.05327445E-04   7.56654218E-35   5.79684873E-05   2.29873146E-05  
  21               2.23264076E-02   3.10778573E+02   8.38279828E-01   1.60503265E-01   6.31077178E-04   3.89763786E-04   1.05327522E-04   5.33461899E-34   5.79685298E-05   2.29873146E-05  
  22               2.61795097E-02   3.18744038E+02   8.38279827E-01   1.60503264E-01   6.31077663E-04   3.89764086E-04   1.05327603E-04   4.06003612E-33   5.79685742E-05   2.29873145E-05  
  23               3.06637776E-02   3.26560067E+02   8.38279826E-01   1.60503264E-01   6.31078171E-04   3.89764400E-04   1.05327688E-04   2.69010657E-32   5.79686208E-05   2.29873145E-05  
  24               3.58801897E-02   3.35074071E+02   8.38279826E-01   1.60503263E-01   6.31078699E-04   3.89764725E-04   1.05327776E-04   1.91609596E-31   5.79686691E-05   2.29873144E-05  
  25               4.19445180E-02   3.43538829E+02   8.38279824E-01   1.60503262E-01   6.31079257E-04   3.89765070E-04   1.05327869E-04   1.22115551E-30   5.79687202E-05   2.29873142E-05  
  26               4.89904210E-02   3.52798025E+02   8.38279825E-01   1.60503260E-01   6.31079830E-04   3.89765424E-04   1.05327965E-04   8.39739968E-30   5.79687727E-05   2.29873139E-05  
