# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               NH3              CO              
  1                1.00000000E-05   6.48389218E+01   8.38114241E-01   1.60471561E-01   7.77606475E-04   5.28445600E-04   3.16312906E-109  4.11217592E-05   3.94949304E-05   2.61725296E-07  
  2                7.49372002E-05   8.82628087E+01   8.38114241E-01   1.60471561E-01   7.77606502E-04   5.28445618E-04   1.15549529E-109  4.11217606E-05   3.94949317E-05   2.61725305E-07  
  3                1.48874515E-04   9.68576271E+01   8.38114255E-01   1.60471564E-01   7.77597564E-04   5.28439544E-04   8.19797782E-110  4.11212880E-05   3.94944778E-05   2.61722297E-07  
  4                2.37532350E-04   1.02723581E+02   8.38017156E-01   1.60452972E-01   7.77525573E-04   5.28390620E-04   6.47952722E-107  4.11174809E-05   3.94908213E-05   2.61698066E-07  
  5                3.44482839E-04   1.09815858E+02   8.38114105E-01   1.60471535E-01   7.77697573E-04   5.28507508E-04   6.98965143E-100  4.11265767E-05   3.94995572E-05   2.61755957E-07  
  6                4.73909539E-04   1.15136267E+02   8.38114105E-01   1.60471535E-01   7.77697648E-04   5.28507559E-04   3.44662585E-95   4.11265807E-05   3.94995611E-05   2.61755983E-07  
  7                6.30830833E-04   1.22261960E+02   8.38114105E-01   1.60471535E-01   7.77697736E-04   5.28507619E-04   1.60480721E-89   4.11265854E-05   3.94995655E-05   2.61756012E-07  
  8                8.21291834E-04   1.27411533E+02   8.38114104E-01   1.60471535E-01   7.77697837E-04   5.28507688E-04   7.78153542E-86   4.11265908E-05   3.94995707E-05   2.61756047E-07  
  9                1.05270738E-03   1.34364173E+02   8.38114103E-01   1.60471535E-01   7.77697954E-04   5.28507767E-04   2.73206535E-81   4.11265971E-05   3.94995767E-05   2.61756086E-07  
  10               1.33415645E-03   1.39227576E+02   8.38114095E-01   1.60471533E-01   7.77698087E-04   5.28507858E-04   2.13739347E-78   4.11266042E-05   3.94995835E-05   2.61756131E-07  
  11               1.67666605E-03   1.46226295E+02   8.38114081E-01   1.60471530E-01   7.77698238E-04   5.28507960E-04   1.49661743E-74   4.11266122E-05   3.94995911E-05   2.61756182E-07  
  12               2.09362800E-03   1.51200144E+02   8.38113708E-01   1.60471459E-01   7.77698401E-04   5.28508071E-04   4.74500591E-72   4.11266209E-05   3.94995994E-05   2.61756237E-07  
  13               2.60137439E-03   1.58254877E+02   8.38114103E-01   1.60471535E-01   7.77698850E-04   5.28508376E-04   9.35106526E-69   4.11266447E-05   3.94996222E-05   2.61756388E-07  
  14               3.21978585E-03   1.63255831E+02   8.38110797E-01   1.60470901E-01   7.77698802E-04   5.28508343E-04   1.31519276E-66   4.11266422E-05   3.94996198E-05   2.61756372E-07  
  15               3.97334897E-03   1.70344165E+02   8.38114104E-01   1.60471535E-01   7.77698454E-04   5.28508107E-04   9.19545102E-64   4.11266239E-05   3.94996022E-05   2.61756255E-07  
  16               4.89172596E-03   1.75324126E+02   8.38093799E-01   1.60467647E-01   7.77702866E-04   5.28511106E-04   6.45044446E-62   4.11268574E-05   3.94998263E-05   2.61757740E-07  
  17               6.01084657E-03   1.82495084E+02   8.38114101E-01   1.60471534E-01   7.77700121E-04   5.28509240E-04   2.02905779E-59   4.11267123E-05   3.94996869E-05   2.61756816E-07  
  18               7.37431727E-03   1.87497693E+02   8.38011464E-01   1.60451883E-01   7.77722513E-04   5.28524457E-04   8.34981745E-58   4.11278965E-05   3.95008242E-05   2.61764353E-07  
  19               9.03510562E-03   1.94827523E+02   8.38114074E-01   1.60471529E-01   7.77718074E-04   5.28521441E-04   1.42816864E-55   4.11276620E-05   3.95005988E-05   2.61762860E-07  
  20               1.10571698E-02   2.00109876E+02   8.37584756E-01   1.60370182E-01   7.77818849E-04   5.28589925E-04   4.45230422E-54   4.11329913E-05   3.95057172E-05   2.61796778E-07  
  21               1.35180576E-02   2.07771715E+02   8.38113908E-01   1.60471497E-01   7.77829261E-04   5.28597001E-04   4.98350925E-52   4.11335420E-05   3.95062461E-05   2.61800283E-07  
  22               1.65109478E-02   2.13408604E+02   8.38113181E-01   1.60471358E-01   7.78314696E-04   5.28926893E-04   1.25235832E-50   4.11592132E-05   3.95309016E-05   2.61963670E-07  
  23               2.01492070E-02   2.21348503E+02   8.38113181E-01   1.60471358E-01   7.78315165E-04   5.28927212E-04   9.19603999E-49   4.11592382E-05   3.95309254E-05   2.61963828E-07  
  24               2.45700784E-02   2.27261013E+02   8.38113180E-01   1.60471358E-01   7.78315636E-04   5.28927531E-04   1.80219579E-47   4.11592632E-05   3.95309494E-05   2.61963987E-07  
  25               2.99390773E-02   2.35327583E+02   8.38113179E-01   1.60471358E-01   7.78316150E-04   5.28927881E-04   8.44865744E-46   4.11592905E-05   3.95309755E-05   2.61964160E-07  
  26               3.64573010E-02   2.41364129E+02   8.38113178E-01   1.60471357E-01   7.78316713E-04   5.28928264E-04   1.23571739E-44   4.11593204E-05   3.95310042E-05   2.61964350E-07  
  27               4.43690862E-02   2.49521175E+02   8.38113177E-01   1.60471357E-01   7.78317326E-04   5.28928680E-04   3.88126500E-43   4.11593531E-05   3.95310354E-05   2.61964557E-07  
  28               5.39684935E-02   2.55761050E+02   8.38113176E-01   1.60471357E-01   7.78317993E-04   5.28929133E-04   4.55207614E-42   4.11593885E-05   3.95310693E-05   2.61964782E-07  
  29               6.56112781E-02   2.64211126E+02   8.38113175E-01   1.60471357E-01   7.78318715E-04   5.28929624E-04   1.09133285E-40   4.11594269E-05   3.95311060E-05   2.61965025E-07  
