# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H                H2O              N2               H2S              Mg              
  1                1.00000000E-05   2.01360448E+02   8.38537134E-01   1.60552498E-01   5.15099568E-04   3.33703488E-52   2.75884168E-04   6.02407295E-05   2.29949949E-05   0.00000000E+00  
  2                1.61278599E-04   2.47972499E+02   8.38537134E-01   1.60552497E-01   5.15099670E-04   3.34489201E-42   2.75884220E-04   6.02407925E-05   2.29949948E-05   0.00000000E+00  
  3                3.20378204E-04   2.68144354E+02   8.38537137E-01   1.60552494E-01   5.15100034E-04   6.68887478E-39   2.75884405E-04   6.02410188E-05   2.29949943E-05   0.00000000E+00  
  4                4.95695129E-04   2.85259592E+02   8.38537150E-01   1.60552480E-01   5.15100423E-04   1.89066225E-36   2.75884602E-04   6.02412703E-05   2.29949923E-05   0.00000000E+00  
  5                6.91722492E-04   2.95309173E+02   8.38537165E-01   1.60552463E-01   5.15100816E-04   3.64961560E-35   2.75884801E-04   6.02415292E-05   2.29949899E-05   0.00000000E+00  
  6                9.12412344E-04   3.07805215E+02   8.38537219E-01   1.60552408E-01   5.15101170E-04   1.16823485E-33   2.75884978E-04   6.02417882E-05   2.29949821E-05   0.00000000E+00  
  7                1.16174862E-03   3.15345373E+02   8.38537258E-01   1.60552367E-01   5.15101522E-04   7.94124676E-33   2.75885155E-04   6.02420508E-05   2.29949762E-05   0.00000000E+00  
  8                1.44427712E-03   3.25883246E+02   8.38537389E-01   1.60552236E-01   5.15101783E-04   1.04934552E-31   2.75885282E-04   6.02423064E-05   2.29949573E-05   0.00000000E+00  
  9                1.76494349E-03   3.32300044E+02   8.38537459E-01   1.60552158E-01   5.15102067E-04   4.49422906E-31   2.75885421E-04   6.02425685E-05   2.29949462E-05   0.00000000E+00  
  10               2.12944725E-03   3.41931626E+02   8.38537713E-01   1.60551903E-01   5.15102235E-04   3.78550404E-30   2.75885498E-04   6.02428212E-05   2.29949097E-05   0.00000000E+00  
  11               2.54416696E-03   3.47746215E+02   8.38537835E-01   1.60551781E-01   5.15102438E-04   1.25030334E-29   2.75885594E-04   6.02430831E-05   2.29948922E-05   0.00000000E+00  
  12               3.01643743E-03   3.56967862E+02   8.38538236E-01   1.60551347E-01   5.15102204E-04   8.07593906E-29   2.75885455E-04   6.02432999E-05   2.29948301E-05   0.00000000E+00  
