# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H                H2O              N2               CH4              H2S             
  1                1.00000000E-05   1.87275389E+02   8.38500084E-01   1.60545400E-01   4.69256768E-04   1.92360594E-56   3.16207123E-04   6.00360169E-05   8.03924691E-05   2.29937969E-05  
  2                9.87118141E-05   2.24119789E+02   8.38500084E-01   1.60545400E-01   4.69256793E-04   5.66697547E-47   3.16207147E-04   6.00360708E-05   8.03924743E-05   2.29937969E-05  
  3                1.95393970E-04   2.43630319E+02   8.38500084E-01   1.60545400E-01   4.69256863E-04   4.63041950E-43   3.16207213E-04   6.00362222E-05   8.03924888E-05   2.29937969E-05  
  4                3.04505897E-04   2.55406891E+02   8.38500084E-01   1.60545399E-01   4.69256945E-04   5.26053539E-41   3.16207291E-04   6.00364015E-05   8.03925060E-05   2.29937968E-05  
  5                4.29189994E-04   2.65969296E+02   8.38500084E-01   1.60545398E-01   4.69257032E-04   2.59963853E-39   3.16207375E-04   6.00365937E-05   8.03925242E-05   2.29937967E-05  
  6                5.72408044E-04   2.73990750E+02   8.38500085E-01   1.60545397E-01   4.69257123E-04   4.02379316E-38   3.16207462E-04   6.00367941E-05   8.03925432E-05   2.29937965E-05  
  7                7.37424185E-04   2.82382012E+02   8.38500088E-01   1.60545394E-01   4.69257213E-04   6.07818892E-37   3.16207549E-04   6.00370009E-05   8.03925621E-05   2.29937961E-05  
  8                9.27844136E-04   2.89410440E+02   8.38500091E-01   1.60545391E-01   4.69257307E-04   5.16117696E-36   3.16207640E-04   6.00372145E-05   8.03925820E-05   2.29937956E-05  
  9                1.14783026E-03   2.97112811E+02   8.38500097E-01   1.60545384E-01   4.69257396E-04   4.85620471E-35   3.16207728E-04   6.00374337E-05   8.03926009E-05   2.29937946E-05  
  10               1.40215082E-03   3.03741430E+02   8.38500104E-01   1.60545376E-01   4.69257491E-04   3.01438576E-34   3.16207821E-04   6.00376603E-05   8.03926211E-05   2.29937935E-05  
  11               1.69632598E-03   3.11217475E+02   8.38500118E-01   1.60545361E-01   4.69257583E-04   2.18051576E-33   3.16207913E-04   6.00378933E-05   8.03926408E-05   2.29937913E-05  
  12               2.03673041E-03   3.17721468E+02   8.38500135E-01   1.60545344E-01   4.69257676E-04   1.11718296E-32   3.16208007E-04   6.00381335E-05   8.03926609E-05   2.29937889E-05  
  13               2.43079568E-03   3.25035522E+02   8.38500162E-01   1.60545313E-01   4.69257732E-04   6.55624312E-32   3.16208076E-04   6.00383762E-05   8.03926747E-05   2.29937845E-05  
  14               2.88708264E-03   3.31502853E+02   8.38500195E-01   1.60545280E-01   4.69257843E-04   2.90599094E-31   3.16208184E-04   6.00386331E-05   8.03926979E-05   2.29937798E-05  
  15               3.41552663E-03   3.38856227E+02   8.38500252E-01   1.60545223E-01   4.69257858E-04   1.48911046E-30   3.16208228E-04   6.00388855E-05   8.03927049E-05   2.29937715E-05  
  16               4.02762584E-03   3.45391773E+02   8.38500305E-01   1.60545161E-01   4.69257913E-04   5.93936146E-30   3.16208299E-04   6.00391507E-05   8.03927189E-05   2.29937627E-05  
  17               4.73677761E-03   3.52817050E+02   8.38500407E-01   1.60545059E-01   4.69257975E-04   2.71216369E-29   3.16208377E-04   6.00394249E-05   8.03927342E-05   2.29937481E-05  
  18               5.55841557E-03   3.59533937E+02   8.38500513E-01   1.60544953E-01   4.69257995E-04   1.00574839E-28   3.16208427E-04   6.00397020E-05   8.03927423E-05   2.29937329E-05  
  19               6.51030144E-03   3.67303301E+02   8.38500608E-01   1.60544756E-01   4.69257789E-04   4.35799383E-28   3.16208325E-04   6.00399592E-05   8.03927119E-05   2.29937047E-05  
  20               7.61289982E-03   3.74436125E+02   8.38500805E-01   1.60544558E-01   4.69258241E-04   1.57417498E-27   3.16208669E-04   6.00403102E-05   8.03927944E-05   2.29936763E-05  
  21               8.88981338E-03   3.82629469E+02   8.38501116E-01   1.60544248E-01   4.69257831E-04   6.54664400E-27   3.16208433E-04   6.00405610E-05   8.03927292E-05   2.29936319E-05  
  22               1.03681185E-02   3.90220861E+02   8.38501440E-01   1.60543924E-01   4.69257622E-04   2.30660355E-26   3.16208334E-04   6.00408484E-05   8.03926988E-05   2.29935855E-05  
  23               1.20788179E-02   3.98991856E+02   8.38501961E-01   1.60543404E-01   4.69256757E-04   9.39719630E-26   3.16207794E-04   6.00410635E-05   8.03925561E-05   2.29935111E-05  
  24               1.40574204E-02   4.07269251E+02   8.38502505E-01   1.60542856E-01   4.69259007E-04   3.32490910E-25   3.16209355E-04   6.00416899E-05   8.03929473E-05   2.29934325E-05  
  25               1.63445813E-02   4.16799400E+02   8.38502773E-01   1.60541910E-01   4.69257737E-04   1.35006242E-24   3.16208545E-04   6.00418793E-05   8.03927354E-05   2.29932971E-05  
  26               1.89866136E-02   4.25952881E+02   8.38503704E-01   1.60540977E-01   4.69256524E-04   4.86311943E-24   3.16207775E-04   6.00420909E-05   8.03925336E-05   2.29931635E-05  
  27               2.20368001E-02   4.36528548E+02   8.38504964E-01   1.60539702E-01   4.69254159E-04   2.01655150E-23   3.16206231E-04   6.00421715E-05   8.03921347E-05   2.29929809E-05  
  28               2.55549215E-02   4.47045928E+02   8.38506164E-01   1.60538334E-01   4.69264257E-04   7.73728015E-23   3.16213088E-04   6.00438651E-05   8.03938712E-05   2.29927849E-05  
  29               2.96074866E-02   4.59412019E+02   8.38507681E-01   1.60536502E-01   4.69265336E-04   3.50918074E-22   3.16213869E-04   6.00444258E-05   8.03940628E-05   2.29925225E-05  
  30               3.42681176E-02   4.71688010E+02   8.38506905E-01   1.60534396E-01   4.69263946E-04   1.45056381E-21   3.16212990E-04   6.00446954E-05   8.03938316E-05   2.29922209E-05  
