# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               H                CH4              N2               H2S             
  1                1.00000000E-05   1.79352121E+02   8.38347826E-01   1.60516279E-01   5.35912345E-04   2.12233119E-04   4.05207278E-59   2.97794570E-04   5.88059784E-05   2.29898571E-05  
  2                2.27876648E-04   2.13854712E+02   8.38347824E-01   1.60516279E-01   5.35913600E-04   2.12233616E-04   1.37688258E-49   2.97795268E-04   5.88061164E-05   2.29898571E-05  
  3                4.71464373E-04   2.30141037E+02   8.38347820E-01   1.60516278E-01   5.35915771E-04   2.12234476E-04   5.49617956E-46   2.97796474E-04   5.88063553E-05   2.29898570E-05  
  4                7.50141490E-04   2.44462268E+02   8.38347817E-01   1.60516278E-01   5.35917494E-04   2.12235158E-04   3.40576089E-43   2.97797432E-04   5.88065449E-05   2.29898569E-05  
  5                1.07192103E-03   2.52390765E+02   8.38347815E-01   1.60516277E-01   5.35918953E-04   2.12235736E-04   8.23442607E-42   2.97798242E-04   5.88067055E-05   2.29898568E-05  
  6                1.44512572E-03   2.62968567E+02   8.38347812E-01   1.60516277E-01   5.35920277E-04   2.12236260E-04   4.60467827E-40   2.97798978E-04   5.88068512E-05   2.29898568E-05  
  7                1.87877402E-03   2.69194433E+02   8.38347810E-01   1.60516276E-01   5.35921520E-04   2.12236752E-04   4.04241642E-39   2.97799668E-04   5.88069880E-05   2.29898567E-05  
  8                2.38341184E-03   2.78586044E+02   8.38347808E-01   1.60516276E-01   5.35922714E-04   2.12237226E-04   9.54627204E-38   2.97800332E-04   5.88071195E-05   2.29898566E-05  
  9                2.97099771E-03   2.84234960E+02   8.38347807E-01   1.60516275E-01   5.35923882E-04   2.12237688E-04   5.54425304E-37   2.97800981E-04   5.88072480E-05   2.29898565E-05  
  10               3.65570055E-03   2.93142942E+02   8.38347805E-01   1.60516274E-01   5.35925035E-04   2.12238145E-04   8.23658729E-36   2.97801622E-04   5.88073749E-05   2.29898564E-05  
  11               4.45389922E-03   2.98482983E+02   8.38347803E-01   1.60516273E-01   5.35926187E-04   2.12238601E-04   3.69572317E-35   2.97802262E-04   5.88075017E-05   2.29898563E-05  
  12               5.38488958E-03   3.07051725E+02   8.38347802E-01   1.60516272E-01   5.35927341E-04   2.12239058E-04   3.90069172E-34   2.97802903E-04   5.88076287E-05   2.29898561E-05  
  13               6.47087111E-03   3.12293224E+02   8.38347801E-01   1.60516271E-01   5.35928506E-04   2.12239519E-04   1.49220026E-33   2.97803550E-04   5.88077569E-05   2.29898559E-05  
  14               7.73789688E-03   3.20864828E+02   8.38347800E-01   1.60516268E-01   5.35929682E-04   2.12239985E-04   1.28672398E-32   2.97804204E-04   5.88078864E-05   2.29898555E-05  
  15               9.21605169E-03   3.26174373E+02   8.38347800E-01   1.60516266E-01   5.35930884E-04   2.12240461E-04   4.46254873E-32   2.97804872E-04   5.88080187E-05   2.29898552E-05  
  16               1.09403406E-02   3.34934428E+02   8.38347803E-01   1.60516261E-01   5.35932095E-04   2.12240941E-04   3.35878423E-31   2.97805545E-04   5.88081520E-05   2.29898545E-05  
  17               1.29510490E-02   3.40536436E+02   8.38347799E-01   1.60516257E-01   5.35933331E-04   2.12241430E-04   1.12049738E-30   2.97806232E-04   5.88082881E-05   2.29898539E-05  
  18               1.52954413E-02   3.49640970E+02   8.38347808E-01   1.60516246E-01   5.35934608E-04   2.12241936E-04   7.67540531E-30   2.97806941E-04   5.88084286E-05   2.29898523E-05  
  19               1.80286008E-02   3.55538683E+02   8.38347811E-01   1.60516240E-01   5.35935897E-04   2.12242446E-04   2.45715335E-29   2.97807657E-04   5.88085705E-05   2.29898515E-05  
  20               2.12146452E-02   3.64986670E+02   8.38347809E-01   1.60516216E-01   5.35937198E-04   2.12242961E-04   1.53303767E-28   2.97808380E-04   5.88087137E-05   2.29898480E-05  
